"code_id","code_type","code_value","label","description"
"entity-status-rebranded","entity_status","rebranded","Rebranded","Company changed its name or was absorbed under a different brand"
"entity-status-unknown","entity_status","unknown","Unknown","Current status could not be determined"
"tech-lifecycle-active","tech_lifecycle","active","Active","Technology remains in current, widespread use"
"tech-lifecycle-legacy","tech_lifecycle","legacy","Legacy","Technology still in use in some environments but largely superseded"
"tech-lifecycle-obsolete","tech_lifecycle","obsolete","Obsolete","Technology has been discontinued and is no longer in use"
"strategy-classification","observation_type","strategy-classification","Strategy Classification","Categorization of an entity's business strategy or competitive positioning"
"viability-prediction","observation_type","viability-prediction","Viability Prediction","Expert prediction of entity's long-term survival or market trajectory"
"actual-outcome","observation_type","actual-outcome","Actual Outcome","Verified historical outcome for an entity or prediction"
"technology-assessment","observation_type","technology-assessment","Technology Assessment","Evaluation of a technology's maturity, fitness, or competitive positioning"
"benchmark-result","observation_type","benchmark-result","Benchmark Result","Quantitative performance comparison against peers or industry standards"
"framework-factor","observation_type","framework-factor","Framework Factor","One component of a multi-factor analytical framework"
"market-data","observation_type","market-data","Market Data","Quantitative market statistic such as revenue, share, or growth rate"
"expert-opinion","observation_type","expert-opinion","Expert Opinion","Qualitative professional judgment or analytical finding"
"method-document-review","methodology","document-review","Document Review","Analysis of existing documents, reports, and published records"
"method-field-research","methodology","field-research","Field Research","Primary data collection via IS executive interviews or customer surveys"
"method-revenue-benchmark","methodology","revenue-benchmark","Revenue Benchmarking","Measurement and comparison of entity revenues against market total"
"conf-verified","confidence","verified","Verified","Confirmed by subsequent events, independent sources, or official records"
