# Source: 2002 DCT Pubs.xls

## Sheet: Sheet1 (436 rows x 5 cols)
[r0] 2002 PUBLICATIONS |  |  |  | 
[r1] # | DATE | TITLE | PUB TYPE | ANALYST
[r63] 356 | 2002-10-02 | Covisint Drives Cost Efficiencies for the Automotive Industry | OnSite | Brandel, Bill
[r64] 388 | 2002-11-02 | Collaborative Planning:  You Can't Optimize What You Can't See | InSight | Brandel, Bill
[r65] 15 | 2002-01-02 | Computer Associates Extends Its Lead in Linux-Based e-Business Management Solutions | Impact | Claybrook, Bill
[r66] 39 | 2002-02-02 | Linux-Based Software Management:  An Emerging Revenue Stream for Large and Small Companies | InSight | Claybrook, Bill
[r67] 76 | 2002-03-02 | The Linux Standard Base:  How Will It Benefit Linux? | InSight | Claybrook, Bill
[r68] 112 | 2002-04-02 | Total Cost of Ownership:  Sun Fire 280R and Sun Fire V880 Win out over IBM p620 and p660 | White Paper | Claybrook, Bill
[r69] 156 | 2002-05-02 | Sun's Grid Computing Solutions Outdistance the Competition | White Paper | Claybrook, Bill
[r70] 171 | 2002-06-02 | Dell Focuses Its Linux Efforts Where Customers See the Most Value | Strategy Profile | Claybrook, Bill
[r71] 180 | 2002-06-02 | Price/Performance Leadership: Sun Fire 280R, V480, and V880 Win out over IBM p620, p640, and p660 | White Paper | Claybrook, Bill
[r72] 236 | 2002-08-02 | Ximian: The Linux Desktop Company | Profile | Claybrook, Bill
[r73] 257 | 2002-08-02 | Sun's Grid Computing Solutions Outdistance the Competition - An Update | White Paper | Claybrook, Bill
[r74] 304 | 2002-11-02 | Red Hat:  Readying Linux for the Enterprise | White Paper | Claybrook, Bill
[r75] 311 | 2002-12-02 | Trustix and IBM:  Providing Linux-Based Infrastructure Alternatives for SMEs | White Paper | Claybrook, Bill
[r76] 119 | 2002-04-02 | The Business Case for Smart Metering (SmartSynch) | Profile | Cohen, Ethan
[r77] 137 | 2002-04-02 | Outsourcing Billing and Customer Care:  A Strong Case in the Energy Utility Industry (ORCOM) | Profile | Cohen, Ethan
[r78] 17 | 2002-01-02 | Wi-Fi’s New Standard:  802.11a Will Offer the Best Bandwidth for the Buck | InSight | Ro, Isaac
[r79] 80 | 2002-03-02 | AMD’s Gigahertz Equivalency:  Inexperienced Buyers Accept Bad Science | White Paper | Kastner, Peter
[r80] 89 | 2002-03-02 | Second-Generation PDAs:  It’s High Time for Wireless | InSight | Ro, Isaac
[r81] 130 | 2002-04-02 | Only Focused WiFi-x IC Suppliers Will Prosper | InSight | Craig, Russ
[r82] 131 | 2002-04-02 | Achieving Differentiated WiFi-x IC Offerings | InSight | Craig, Russ
[r83] 132 | 2002-04-02 | Disruptive Technology May Challenge Existing WiFi-x Architectures | InSight | Craig, Russ
[r84] 96 | 2002-04-02 | HP’s Consumer PC Business Will Shrink | InSight | Kastner, Peter
[r85] 102 | 2002-04-02 | WebEx:  Taking Conferencing to the Business Communications Summit | Profile | Kastner, Peter
[r86] 152 | 2002-05-02 | Beyond Windows 8-Way Servers:  Why Businesses Are Deploying the Unisys ES7000 | White Paper | Kastner, Peter
[r87] 175 | 2002-06-02 | Pity the Poor Consumer Electronics Manufacturer | InSight | Craig, Russ
[r88] 183 | 2002-06-02 | Cable and Telco Companies Battle for Home Internet Gateway and Network | InSight | Craig/Kastner
[r89] 194 | 2002-06-02 | Infiniband Architecture: Planning the Nex-Generation Data Center | White Paper | Kastner, Peter
[r90] 31 | 2002-02-02 | Teradata E-Business Analytics:  Translating Clicks into Business (NCR) | Profile | Creese, Guy
[r91] 34 | 2002-02-02 | Through the Analytical CRM Looking Glass:  Customer Behavior Analytics | InSight | Creese, Guy
[r92] 79 | 2002-03-02 | A New Analytical Perspective:  CA’s Operational Intelligence Solutions | White Paper | Creese, Guy
[r93] 113 | 2002-04-02 | WebTrends Intelligence Suite:  High-End Analytics for Turning Web Visitors into Returning Customers (Net IQ) | Profile | Creese, Guy
[r94] 163 | 2002-05-02 | Generating Roi (Return on Internet) by Focusing Web Analytics on Business Process | White Paper | Creese, Guy
[r95] 168 | 2002-06-02 | MERANT: Web Content Management: Managing Changing Code + Content | Impact | Creese, Guy
[r96] 170 | 2002-06-02 | Web Analytics: Making Business Sense of Online Behavior | Report | Creese, Guy
[r97] 206 | 2002-07-02 | Visual Insights & Usability Sciences: Exposing the Web Channel to Better Insight | Impact | Creese, Guy
[r98] 216 | 2002-07-02 | Web Analytics ASPs: Making Market Waves | InSight | Creese, Guy
[r99] 223 | 2002-07-02 | D&B's Supply Spend Analysis Solution: Weaving Strategic Sourcing into the Enterprise | Profile | Creese, Guy
[r100] 258 | 2002-08-02 | Clickstream Technologies PLC | Profile | Creese, Guy
[r101] 277 | 2002-09-02 | Business Objects:  Raising the Bar on Itself with Analytic Applications | Profile | Creese, Guy
[r102] 302 | 2002-11-02 | A Life Sciences Evolution:  The Shifting Universe of Regulatory Publishing | White Paper | Creese, Guy
[r103] 328 | 2002-12-03 | Informatica:  Generating Cross-Enterprise Insight | Profile | Creese, Guy
[r104] 11 | 2002-01-02 | Omnicell Deploys Commerce One’s e-Procurement Platform as Antidote to Rising Healthcare Costs  | OnSite | Degnan, Christa
[r105] 153 | 2002-05-02 | Zegato Delivers Complete, End-to-End Solution for Optimizing Travel and Expense Costs — and Performance | Profile | Degnan, Christa
[r106] 188 | 2002-06-02 | Online Optimization Delivers Value for Total Business Hotel Spend | White Paper | Degnan, Christa
[r107] 213 | 2002-07-02 | Expense Management Automation in Action: Value Affirmed | InSight | Degnan, Christa
[r108] 237 | 2002-08-01 | Captura Acquisition Hones Concur's Edge in EMA Market | Perspective | Degnan, Christa
[r109] 270 | Sepember-02 | PeopleSoft Gained Clout While SCM Market Was Sleeping  | Perspective | Degnan, Christa
[r110] 284 | 2002-09-02 | The Stationery Office Creates Collaboration Value with Noosh | OnSite | Degnan, Christa
[r111] 285 | 2002-09-02 | Texas Instruments Captures and Contains Contract Labor Costs | OnSite | Degnan, Christa
[r112] 286 | 2002-09-02 | Hewlett-Packard Print E-procurement Delivers Direct Cost Savings | OnSite | Degnan, Christa
[r113] 287 | 2002-09-02 | Verizon Wireless Receives Rapid ROI in Contract Labor Procurement | OnSite | Degnan, Christa
[r114] 288 | 2002-09-02 | divine Drops Travel Costs By Extending Its Own Enterprise | OnSite | Degnan, Christa
[r115] 308 | 2002-09-02 | Best Practices in Online Services Procurement (OSP): Travel, Print and Contract Labor | Report | Degnan, Christa
[r116] 312 | 2002-09-02 | Henkel Reduces Travel Costs While Boosting Convenience | OnSite | Degnan, Christa
[r117] 323 | 2002-10-02 | Online Services Procurement: The Next Operational Optimization Opportunity (Peoplesoft) | White Paper | Degnan, Christa
[r118] 303 | 2002-11-02 | Ariba Suite Upgrasdes Spend Management Story | Perspective | Degnan, Christa
[r119] 70 | 2002-03-02 | Gorillas Play Leapfrog:  Unisys Takes SAP Benchmark Record to 26,000 Concurrent Users | Impact | Dorin, Robert
[r120] 128 | 2002-04-02 | Compaq and Tru64 Unix Meet the Challenges of Demanding Supply Chain Management with mySAP.com | Profile | Dorin, Robert
[r121] 149 | 2002-05-02 | Compaq TruCluster Server and Oracle9i Clusters Combine to Reduce Costs:  Can SAP Resist This Fit? | InSight | Dorin, Robert
[r122] 251 | 2002-08-02 | IBM's DB2 and the pSeries Family of Servers - Industry Performance Leadership for SAP, Siebel, and Other Enterprise Applications | Profile | Dorin, Robert
[r123] 327 | 2002-10-02 | Performance Breakthroughs: The Benchmarking Fanatics Are Still At It | Perspective | Dorin, Robert
[r124] 349 | 2002-10-02 | IBM WebSphere Business Integration for the Siebel UAN: Enabling Composite Applications Through Collaboration | Impact | Dwyer, Tom
[r125] 116 | 2002-04-02 | World IT Spending 2002-2005:  Timing the Recovery | Report | Fantozzi, Esme
[r126] 120 | 2002-04-02 | Logistics Resource Management:  Navigating The Technology Landscape | Report | Fantozzi, Esme
[r127] 18 | 2002-01-02 | The Reynolds Generations Series: CRM Services for the Automotive Industry | Profile | Fletcher, Chris
[r128] 37 | 2002-02-02 | IP Contact Centers: An Architectural Foundation for Multi-Channel CRM (Aspect) | White Paper | Fletcher, Chris
[r129] 40 | 2002-03-02 | Microsoft Enters CRM Market with MS CRM:  Opportunity or Threat? | InSight | Fletcher, Chris
[r130] 73 | 2002-03-02 | CRM for the Community:  City of Des Moines Implements FrontRange’s HEAT for ‘Customer Care’ | Report OnSite | Fletcher, Chris
[r131] 155 | 2002-05-02 | British Telecom and Compaq Professional Services: Providing Call Center Services for the Enterprise | OnSite | Fletcher, Chris
[r132] 202 | 2002-07-02 | Microsoft.NET: A Foundation for Connected Business | White Paper | Fletcher, Chris
[r133] 243 | 2002-08-02 | Microsoft: "Nothing but .Net?" | InSight | Fletcher, Chris
[r134] 343 | 2002-10-02 | Maximizing Return and Minimizing Risk: Integrated Suites Versus "Best-of-Breed" Applications | White Paper | Fletcher, Chris
[r135] 357 | 2002-10-02 | Intertwine B.V.: “Dependability, Reliability, Discipline” | OnSite | Fletcher, Chris
[r136] 358 | 2002-10-02 | A "Golden Age" of Call and Contact Centers | Market Viewpoint | Fletcher, Chris
[r137] 363 | 2002-10-02 | What Works: Ten Significant Implementations in CRM: Customer Call and Contact Centers | Report | Fletcher, Chris
[r138] 373 | 2002-11-02 | Sanlam Life Shifts Focus from Cost Reduction to Quality Client Service and Achieves Both in the Process  | OnSite | Fletcher, Chris
[r139] 375 | 2002-11-02 | BlueCross BlueShield of Tennessee: Operational Efficiency and Better Customer Service | OnSite | Fletcher, Chris
[r140] 38 | 2002-02-02 | Business Process Management — the Key to Efficient Government (Metastorm) | Profile | Fowkes, Darcy
[r141] 66 | 2002-03-02 | Business Process Management:  Emerging Software Streamlines Operations, Boosts Bottom Line | Market Viewpoint | Fowkes, Darcy
[r142] 140 | 2002-05-02 | One Size Fits All:  The Quest for a Common Language | InSight | Fowkes, Darcy
[r143] 192 | 2002-06-02 | Agentis: A Secret Sauce for Serving High-End Business Process Management Solutions | Strategy Profile | Fowkes, Darcy
[r144] 239 | 2002-08-02 | Business Process Management - What Do Web Services Have to Do with It?  | Viewpoint | Fowkes, Darcy
[r145] 304 | 2002-09-02 | Worldwide Business Process Management Spending: Forecast and Analysis | Report | Fowkes, Darcy
[r146] 326 | 2002-10-02 | Worldwide Business Process Management Spending: Forecast and Analysis (2001-2005) | InSight | Fowkes, Darcy
[r147] 336 | 2002-10-02 | Savvion | Snapshot | Fowkes, Darcy
[r148] 365 | 2002-10-02 | Vitria | Snapshot | Fowkes, Darcy
[r149] 380 | 2002-11-02 | Intalio | Snapshot | Fowkes, Darcy
[r150] 339 | 2002-10-02 | Administrators Demand a New Balance Between Features and Value For for Enterprise Messaging | White Paper | Gardner, Dana
[r151] 374 | 2002-11-02 | Openwave's Messaging Suite Aligns Best-of-Breed Components with an Agile Platform | White Paper | Gardner, Dana
[r152] 36 | 2002-02-02 | Identrus Charts the Course to e-Business for Financial Services | Profile | Hemmendinger, Eric
[r153] 174 | 2002-06-02 | Automating Security Patches for the Enterprise: A Two-Billion-Dollar Business Opportunity | InSight | Hemmendinger, Eric
[r154] 215 | 2002-07-02 | Automated Web Application VulnerabilityTesting Keeps Web Applications from Being Hacked (SPI Dynamics) | InSight | Hemmendinger, Eric
[r155] 316 | 2002-09-02 | SafeWeb, Inc | Snapshot | Hemmendinger, Eric
[r156] 347 | 2002-10-02 | Wireless LAN Security: An Adolescent Market | InSight | Hemmendinger, Eric
[r157] 319 | 2002-12-02 | Automated Vulnerability Remediation -- The Cure for Security's Common Cold | White Paper | Hemmendinger, Eric
[r158] 19 | 2002-01-02 | The State of the Storage Area Network (SAN):  2001 (Dell) | White Paper | Hill, David
[r159] 88 | 2002-03-02 | Alacritus Software’s Securitus I:  Pointing the Way to Virtual Tape Libraries | Profile | Hill, David
[r160] 95 | 2002-04-02 | iSCSI:  Extending the Cost Savings and Increasing the Flexibility of Storage Networking (Cisco) | White Paper | Hill, David
[r161] 201 | 2002-06-02 | Dell: Extending Its Direct Model Values to Enterprise Storage | Profile | Hill, David
[r162] 234 | 2002-08-02 | Sony's AIT-3: Measuring Up to New Demands Upon Tape | Profile | Hill, David
[r163] 282 | 2002-09-02 | StorageNetworks' STORos StorageManager: Helping Enterprises Manage Storage as a Utility | Impact | Hill, David
[r164] 310 | 2002-12-02 | Security May Be Key to Wide-Area Storage Networking Success | Perspective | Hill, David
[r165] 324 | 2002-12-03 | Hitachi Freedom Storage:  Thunder 9500 V Series:  Making a Loud Impact in Open Systems Storage | Impact | Hill, David
[r166] 52 | 2002-03-02 | CA’s eTrust Directory:  A Cornerstone of e-Business Infrastructure Revisited | Profile | Hoch, Michael
[r167] 72 | 2002-03-02 | Streaming with Surgient’s eQ2500:  Low TCO + High QoS = Real-World Solutions | Impact | Hoch, Michael
[r168] 104 | 2002-04-02 | Yahoo! Broadcast Solutions Brings Wide Audience and Rich Media to Pepsi’s Online Marketing Campaign | Report OnSite | Hoch, Michael
[r169] 105 | 2002-04-02 | Volera and the Plano Independent School District:  Streaming Vast Internet Content at Fast Intranet Speeds | Report OnSite | Hoch, Michael
[r170] 106 | 2002-04-02 | Kontiki Networks and the Sundance Online Film Festival:  Reaffirming the Artistic Mission with Video on Demand | Report OnSite | Hoch, Michael
[r171] 107 | 2002-04-02 | RealNetworks and Oracle Corporation:  Using Streaming Media to Reduce Costs and Drive Revenue | Report OnSite | Hoch, Michael
[r172] 108 | 2002-04-02 | Thin Multimedia and SK Telecom:  Streaming New Revenue with Wireless Video and Multimedia Services | Report OnSite | Hoch, Michael
[r173] 109 | 2002-04-02 | Blue Falcon Networks and Radio Free Virgin:  Building a Profitable Streaming Business Model with a Distributed Delivery Network | Report OnSite | Hoch, Michael
[r174] 115 | 2002-04-02 | VeriSign’s Managed DNS Services Improve Manageability, Accuracy, and Security While Cutting Associated Costs | Profile | Hoch, Michael
[r175] 148 | 2002-05-02 | Array Networks Lowers Data Center TCO by Decreasing Network Complexity | Impact | Hoch, Michael
[r176] 157 | 2002-05-02 | E Pluribus Unum: Can Multifunction Solutions Radically Increase Data Center Efficiency? | White Paper | Hoch, Michael
[r177] 158 | 2002-05-02 | Does Novell Have What It Takes to Be a Serious Web Services Contender? | Viewpoint | Hoch, Michael
[r178] 167 | 2002-06-02 | Persistence Software Enables Real-Time Business Decisions Through Distributed Data Management and the Virtual Data Center | Profile | Hoch, Michael
[r179] 189 | 2002-06-02 | Enterprises Need Managed Deilvery Solutions for Efficient, Guaranteed Distribution | White Paper | Hoch, Michael
[r180] 252 | 2002-08-02 | Blue Coat Systems Secures Use of Web-Based Applications | Profile | Hoch, Michael
[r181] 300 | 2002-11-02 | Intraware's SubscribeNet Software Delivery Service:  Slash Costs and Increase Customer Satisfaction | Impact | Hoch, Michael
[r182] 26 | 2002-02-02 | Unit 4 Agresso’s Professional Services Automation Solution Adapts to Change as Rapidly as Organizations Require | Profile | Hofferberth, David
[r183] 69 | 2002-03-02 | ERP Meets Services Automation:  Enterprise Solutions Optimize Internal Service Organization Performance (Lawson) | White Paper | Hofferberth, David
[r184] 101 | 2002-04-02 | PlanView:  Professional Services Automation End-User Survey Results | Report Profile | Hofferberth, David
[r185] 103 | 2002-04-02 | Autotask Delivers Comprehensive Professional Services Automation Solutions to Emerging Services-Based Organizations | Profile | Hofferberth, David
[r186] 114 | 2002-04-02 | ERP Meets PSA:  Enterprise Solutions Enhance Decision-Making and Provide Significant ROI (Lawson) | White Paper | Hofferberth, David
[r187] 135 | 2002-04-02 | A Rising PSA Star from ‘Down Under’:  Solution 6’s CABS Shines in Effective Financial Management | Profile | Hofferberth, David
[r188] 232 | 2002-07-02 | Professional Services Automation: Technology-Enabled Integration of People, Process and Capital Assets | Report | Hofferberth, David
[r189] 276 | 2002-09-02 | OpenAccounts Increases Financial Management | Profile | Hofferberth, David
[r190] 300 | 2002-09-02 | Tx3 Solutions, Inc. | Profile | Hofferberth, David
[r191] 337 | 2002-10-02 | Microsoft's Move to PSA: What Does This Mean for the Market:  | InSight | Hofferberth, David
[r192] 2 | 2002-01-02 | The Power of Partnership:  How MapInfo Helps Shape the Future of Location-Based Services | OnSite | Hollerbach, Lew
[r193] 221 | 2002-07-02 | Izodia: Optimizing Inter-Enterprise Commerce | Impact | Howarth, Fran
[r194] 266 | 2002-08-02 | Best Practices in Private Exchange Implementations in Europe | Report | Howarth, Fran
[r195] 283 | 2002-09-02 | SAP: containing Costs Effectively in Turbulent Times (Sapphire) | Perspective | Howarth, Fran
[r196] 315 | 2002-09-02 | Office Depot/Viking: Pan-European Private Exchange Implementation Yeilds Benefits for All Participants | OnSite | Howarth, Fran
[r197] 348 | 2002-10-02 | Siemens: Masters of Innovation | OnSite | Howarth, Fran
[r198] 360 | 2002-10-02 | Scania: Eliminating the Paper Chase | OnSite | Howarth, Fran
[r199] 289 | 2002-11-02 | Marrakech:  Defining the Market for Private Training Utilities | Strategy Profile | Howarth, Fran
[r200] 8 | 2002-01-02 | Microsoft and Security:  A Broader Perspective | InSight | Hurley, Jim
[r201] 29 | 2002-02-02 | Best Practices for Personalizing and Protecting Web Portal Applications (CA) | White Paper | Hurley, Jim
[r202] 145 | 2002-05-02 | Federated Identity Systems (Sun) | White Paper | Hurley, Jim
[r203] 154 | 2002-05-02 | Security Policy Automation and IT Systems: Putting the Buyer Back in Charge | InSight | Hurley, Jim
[r204] 166 | 2002-06-02 | Security Process Automation | White Paper | Hurley, Jim
[r205] 178 | 2002-06-02 | Reconnecting Business, Technology, and Finance to Achieve Win-Win Results | Executive Viewpoint | Hurley, Jim
[r206] 179 | 2002-06-02 | Microsoft and Security:  A Sleeping Giant Awakens | InSight | Hurley, Jim
[r207] 242 | 2002-08-01 | VRM: A Simple and Effective Solution for Retaining Control of High-Value Distributed Digital Assets | Impact | Hurley, Jim
[r208] 272 | 2002-09-02 | Homeland Security: A Look Forward | InSIght | Hurley, Jim
[r209] 273 | 2002-09-02 | Identity Management Systems:  A Core Business Competence | White Paper | Hurley, Jim
[r210] 279 | 2002-09-02 | Active eIRM Security: A Dynamic Electronic Maginot Line | InSight | Hurley, Jim
[r211] 294 | 2002-09-02 | Tax Carrots, Not Mandatory Sticks, for U.S. Cybersecurity Strategy | Perspective | Hurley, Jim
[r212] 303 | 2002-09-02 | Active eIRM: New Realities in Security for Managing Electronic Infrastructure Risks | Report | Hurley, Jim
[r213] 342 | 2002-10-02 | Next Line of Defense: Active Internet Content Inspection Tools | Perspective | Hurley, Jim
[r214] 385 | 2002-11-02 | Open Source and Linux: 2002 Poster Children for Security Problems | Perspective | Hurley, Jim
[r215] 315 | 2002-12-02 | Avatier's Self-Service Accout Provisioning: Big Gains, No Pains | Impact | Hurley, Jim
[r216] 12 | 2002-01-02 | The Infrastructure for Education:  SAP Provides Keystone for Managing the Learning Process | White Paper | Jones, Katherine
[r217] 64 | 2002-03-02 | Enterprise Incentive Management:  Variable Compensation 2002 (Synygy Buyers Guide) | White Paper | Jones, Katherine
[r218] 78 | 2002-03-02 | Employee Relationship Management:  Siebel Enters New Domain with HCM Applications | InSight | Jones, Katherine
[r219] 91 | 2002-03-02 | Lawson Software:  A Resolute Rival Emerges to Target Service Sector Enterprises | Profile | Jones, Katherine
[r220] 94 | 2002-04-02 | Enterprise Incentive Management:  Variable Compensation 2002 | Report | Jones, Katherine
[r221] 99 | 2002-04-02 | Mastering the Extended Supply Chain:  Why the New Generation of SCM Is Strategic to the Enterprise (Baan) | White Paper | Jones, Katherine
[r222] 111 | 2002-04-02 | Human Capital Management Lessons from September 11th:  Planning for the Unthinkable | InSight | Jones, Katherine
[r223] 121 | 2002-04-02 | Enterprise Incentive Management:  Variable Compensation 2002 | Report | Jones, Katherine
[r224] 133 | 2002-04-02 | Microsoft Great Plains Convergence 2002:  The Road to .NET for Business Applications | InSight | Jones, Katherine
[r225] 150 | 2002-05-02 | A Kinder, Gentler Larry Ellison?  Oracle Presents New Face to Its User Community | InSight | Jones, Katherine
[r226] 151 | 2002-05-02 | Baan Ups the Ante for Manufacturing Enterprises Through Integrated SCM, CRM, and PLM | InSight | Jones, Katherine
