"study_id","title","author","date","type","subject_domain","methodology","source_file","abstract","license","importance","importance_rationale","relevance","relevance_rationale","prescience","prescience_rationale","collection"
"10ibmiss-f66945","Ten Issues for IBM Mainframe MIS Executives","Peter S. Kastner","1991-01-01","white-paper","mainframe-computing, enterprise-IT-management","industry-analysis, expert-opinion, competitive-analysis","10IBMiss.docx","This white paper identifies ten prioritized technology-related issues facing IBM mainframe MIS executives in the early 1990s, arguing that System/390 architecture constraints—rooted in 1960s batch-processing design—severely hamper cost reduction and agility demanded by corporate management. Kastner contends that IBM's failure to publish clear technology roadmaps leaves MIS planners in the dark, and that rising support costs and architectural limitations are driving mainframe customers to consider non-IBM alternatives such as Hewlett-Packard.","CC-BY-4.0","high","An influential analyst opinion piece that crystallized the mainstream IT industry's growing disenchantment with IBM mainframes at a pivotal moment in computing history, helping accelerate the shift to open, distributed systems.","medium","The specific IBM System/390 issues are largely historical, but the framework for evaluating legacy-platform lock-in and architectural debt remains instructive for enterprise IT decision-makers today.","high","Kastner's prediction that IBM mainframe dominance would erode under cost and architectural pressures proved accurate; the 1990s saw a massive migration to distributed and open systems, and IBM was eventually forced to dramatically reinvent its mainframe value proposition.","kastner-author"
"11-storage-hierarchy-presentation-e84d53","How Aberdeen Sees the Storage Pyramid Evolving","David Hill, Aberdeen Group","2002-10-01","market-study","enterprise-storage","industry-analysis, content-taxonomy, storage-tiering-framework","11-Storage-Hierarchy-Presentation.txt","David Hill's Fall 2002 presentation establishing Aberdeen Group's analytical framework for the four-tier storage pyramid evolution. Introduces a content-centric approach to storage architecture based on four principles (ageing, freezing, accumulation, redundancy) and maps content types (structured/semi-structured/unstructured) to appropriate storage tiers. Provides foundational intellectual basis for the Pools of Storage and midline storage category initiative.","CC-BY-4.0","high","Foundational theoretical document for the midline category creation project; establishes the intellectual infrastructure (content principles and storage pyramid) that the entire Maxtor/Aberdeen engagement was built upon. David Hill's framework predated and enabled the Pools of Storage framework.","high","Content lifecycle principles (ageing freezing accumulation redundancy) are more relevant than ever in cloud/object storage era; tiered storage mapping is core to modern storage architecture including S3 Intelligent-Tiering. Zipf's Law application to content access frequency is still cited in storage economics.","high","Predicted that ATA cost-effective disk would displace tape for many archival functions; confirmed. Predicted content-based storage tiering would drive enterprise storage decisions; confirmed by ILM movement and cloud tiering. Predicted tape would not die but find its specific niche; tape remains active for deep archive.","Project Examples"
"12-steps-to-category-creation-0abd5a","Steps to Category Creation","Aberdeen Group","2003-01-01","market-study","enterprise-storage","category-creation, market-strategy, methodology-framework","12-Steps-to-Category-Creation.txt","Working draft of Aberdeen Group's 10-step category creation methodology presentation, developed for the Maxtor midline storage engagement circa 2003. Enumerates and briefly describes each step: Define, Differentiate, Debunk, Define argument/position/messages, Deliver to influencers, Create awareness, Evangelize, Measure and report, Let influencers take over, and Nurture. Includes several placeholder slides indicating this was a working/incomplete version.","CC-BY-4.0","high","Documents Aberdeen Group's proprietary methodology for engineering a new IT market category; represents the intellectual property core of their Maxtor engagement and provides rare insight into how analyst firms operationalize category creation.","high","10-step framework is directly applicable to any technology category launch; Aberdeen's distinction between analyst/press/Wall Street delivery paths and the CRM precedent of letting influencers adopt and rename the concept remains best practice in category marketing.","medium","Framework correctly predicts that measurement and independent thought leadership are required for category success; CRM precedent cited (Gartner adoption) proved accurate model; midline as a concept did achieve partial category status before Maxtor's 2006 acquisition.","Project Examples"
"13-hh-time-compression-downtime-strategy-4e50c9","Time Compression - Downtime Strategy: Formulas and Business Case","David Hill (HH), Aberdeen Group","2003-01-01","case-analysis","enterprise-storage","financial-modeling, tco-analysis, benchmark","13-HH-Time-Compression-Downtime-Strategy.txt","Working document containing financial formulas and a detailed business case for demonstrating TCO savings from migrating from traditional tape-based nearline storage to a midline disk plus tape combination. Models downtime reduction for a large financial services company with 1 million customers by quantifying backup time savings and customer revenue impact. Provides specific dollar-per-GB pricing for online (HDS 9980V at $31.60/GB) midline ($9.30/GB) and nearline disk/tape systems.","CC-BY-4.0","high","Primary quantitative tool developed to justify enterprise adoption of midline storage; shows how Aberdeen constructed ROI arguments for the Pools of Storage/midline category; pricing benchmarks from 2003/2004 provide valuable historical record of enterprise storage economics.","high","Financial modeling methodology for storage TCO using backup time savings and customer revenue impact per hour is still directly applicable; the basic formula structure (old way vs new way cost comparison with opportunity cost factor) remains standard in storage business case analysis.","high","Predicted midline disk at approximately 70% of midrange online disk cost ($9.30/GB vs $13.30/GB); SATA enterprise pricing did track at similar discounts to FC/SCSI. Backup time compression modeling correctly anticipated the parallel backup strategies that became standard in enterprise storage architectures.","Project Examples"
"14-formulas-disaster-scenario-c2f0b4","Formulas for Disaster Recovery Scenario","Aberdeen Group","2003-01-01","case-analysis","enterprise-storage","financial-modeling, disaster-recovery, tco-analysis","14-Formulas-Disaster-Scenario.txt","Companion document to the downtime strategy formulas, applying similar financial modeling to disaster recovery scenarios. Defines a multi-stage recovery time model comparing old tape-based architecture to a new midline disk hybrid. Uses an online book/CD seller scenario (modeled on Amazon.com) with 50,000 customers/hour at $20-30/order to quantify revenue impact of improved recovery time. Models parallel disk/disk and disk/tape recovery paths to show New Way always recovers faster than Old Way, with minimum recovery time at 1/3 of Old Way.","CC-BY-4.0","high","Companion financial model to study 13; together these documents represent the complete TCO toolkit developed by Aberdeen for the Maxtor midline category launch. Historical benchmark for enterprise disaster recovery economics in the early SAN era.","high","Multi-stage disaster recovery time model with parallel recovery paths is directly applicable to modern hybrid cloud architectures; the formula structure (downtime = outage time + recovery time; parallel recovery advantages) is still valid for evaluating object storage vs block storage recovery.","high","Predicted parallel recovery always outperforms single-path tape recovery; confirmed by industry adoption of disk-to-disk backup and cloud-based disaster recovery. Minimum recovery time at 1/3 of Old Way proved accurate as disk/disk became standard primary DR mechanism.","Project Examples"
"15-classification-key-applications-55b6be","Classification of Key Applications by Storage Category","Aberdeen Group (David Hill)","2003-01-01","case-analysis","enterprise-storage","industry-analysis","15-Classification-Key-Applications.txt","A concise classification matrix mapping eight major enterprise application types to their data access characteristics (read/write patterns and data structures). The framework distinguishes Traditional OLTP, Contemporary OLTP, Business Intelligence, Web Applications, Personal Productivity, Interactive Design, Unique Large Files, and Large File Distribution. This taxonomy serves as the foundational analytical framework supporting Maxtor's midline storage category creation project.","CC-BY-4.0","high","First structured application-to-storage-access mapping produced as part of Aberdeen/Maxtor's midline storage category creation effort; directly shaped the commercial rationale for differentiated storage tiers.","high","Application I/O pattern taxonomy remains foundational to storage tiering and ILM architectures; the categories and their read/write descriptions are still used in modern storage design.","high","Predicted that different workloads require differentiated storage tiers (performance vs. nearline vs. archive); this tiered ILM model became industry standard and is the basis of modern cloud storage classes (hot/warm/cold).","Project Examples"
"16-maxtor-survey-meeting-agenda-4fe65d","Maxtor PoSEE Phase 3 Survey Organizational Meeting Agenda","Peter Kastner, David Hill, John Boyne, Beth Conant","2003-12-10","employer-record","market-research / storage-strategy","oral-history","16-Maxtor-Survey-Meeting-Agenda.txt","An internal Aberdeen Group meeting agenda for the Maxtor Pools of Storage Enterprise Edition (PoSEE) project Phase 3 — Message Testing. The document outlines plans to conduct 100–250 internet surveys and 5–8 interviews to test market receptivity to the Pools of Storage messaging, with intent to merge results with Aberdeen's April 2003 midline storage survey data. Sample survey questions reveal the research instruments aimed at gauging enterprise storage buyers' awareness, pain points, and openness to the midline storage value proposition.","CC-BY-4.0","medium","Documents the research planning process behind a commercially significant category creation effort; provides a rare view of how market research was designed to validate and refine the Pools of Storage message.","medium","Research design patterns (mixed internet survey + qualitative interview; message testing against segmented audiences) remain standard; specific storage market context is dated.","not-applicable","No forward predictions made; this is a planning/process document capturing meeting structure and research design intent.","Project Examples"
"17-maxtor-tool-decision-components-d9c2fb","ILM/Pools of Storage Tool Decision Components and IP Framework","Aberdeen Group (Peter Kastner)","2003-01-01","employer-record","storage-strategy / intellectual-property","document-review","17-Maxtor-Tool-Decision-Components.txt","An internal Aberdeen Group strategy presentation outlining the business premises and IP framework for the ILM/Pools of Storage (PoS) Hardware Hawker (HH) sales tool developed for Maxtor. The document establishes that the HH tool is Aberdeen IP with Maxtor receiving limited usage rights; proposes a broader commercialization strategy through a Storage COE involving HP, EMC, IBM, Intel, Sun, and others; and presents a permitted usage matrix defining where Aberdeen deliverables (white papers and ILM tools) may be deployed. A critical IP dispute between Aberdeen and Maxtor over tool rights is documented.","CC-BY-4.0","high","Rare documentation of IP ownership dispute within a market research firm's client engagement; shows the commercial tensions in selling analytical tools vs. bespoke research; directly relevant to Aberdeen's business model evolution.","medium","The IP framework model — where research firm retains tool IP and monetizes through multi-client licensing rather than single-client exclusivity — remains relevant to analyst firm and consulting IP strategy.","high","Aberdeen predicted that the HH tool would attract multiple storage component makers (HP, EMC, Intel, etc.) if positioned as neutral COE infrastructure; the COE model for storage management did not materialize as described, but multi-vendor storage analytics frameworks did emerge through cloud and vendor-neutral ILM products.","Project Examples"
"18-maxtor-strategy-event-template-faeb40","Maxtor ILM Pools of Storage Strategy Event Data Collection Template","Aberdeen Group","2003-01-01","employer-record","storage-strategy / interactive-tool","document-review","18-Maxtor-Strategy-Event-Template.txt","A template specification extracted from the Hardware Hawker (HH) ILM/Pools of Storage interactive sales tool, defining the data input fields and scenario structure for Strategy Events. Each Strategy Event models a customer's data environment across structured, semi-structured, and unstructured data; storage tiers (online disk, nearline tape, offline tape, midline disk, nearline disk); cost-per-GB parameters; and workflow flow directions. The template supports iterative scenario modeling with duplicate slides for sequential steps, quantifying bottom-line benefits from storage tier migration including downtime savings, admin management savings, opportunity cost savings, and revenue operations improvements.","CC-BY-4.0","high","Provides the technical specification of the Hardware Hawker tool's scenario engine — the core mechanism by which Aberdeen and Maxtor translated ILM storage theory into customer-specific ROI models; documents the first purpose-built ILM cost justification tool.","medium","The data model — structured vs. semi-structured vs. unstructured data volumes mapped to tiered storage costs and bottom-line benefits — remains the standard ROI framework for storage tiering and cloud storage migration analyses.","high","Predicted that enterprise customers would respond to quantified cost-per-GB and bottom-line-benefit models as the primary ILM adoption driver; this TCO/ROI approach to storage decisions became standard in cloud migration and storage modernization sales by 2010.","Project Examples"
"19-maxline-data-timeline-slide-6e6572","MaXLine in the Data Center Spectrum: Data Value vs. Duration Positioning Slide","Maxtor Corporation","2003-01-01","employer-record","storage-strategy / product-positioning","industry-analysis","19-MaXLine-Data-Timeline-Slide.txt","A single product positioning slide depicting MaXLine's placement in the enterprise data center storage spectrum along two axes: Data Value (high to low) and Data Duration (minutes to years). The slide defines three storage zones — Active Data (served by Atlas high-end SCSI), Recallable Data (served by MaXLine nearline/midline), and Archive Data (served by Tape) — and characterizes MaXLine's tier as medium-speed bulk storage with low cost per GB, network-attached sequential and random access, and moderate I/O performance. This is the core visual artifact of Maxtor's midline storage positioning strategy.","CC-BY-4.0","high","Captures Maxtor's definitive internal positioning for MaXLine within the storage tier spectrum; represents the culmination of the Aberdeen/Maxtor category creation research in a single market-facing visual.","high","The Data Value vs. Data Duration two-axis framework for storage classification remains the canonical ILM and cloud storage tiering model (hot/warm/cold); this slide is an early instance of that visualization.","high","Predicted that a distinct nearline disk tier between high-performance SCSI and tape would capture workloads with data durations of days to months and declining value — this became the ATA nearline and eventually cloud object storage warm tier.","Project Examples"
"1988-encore-oltp-market-tps-needs-deee45","OLTP Market Transaction Processing Needs: A Vertical Market Analysis for Encore Computer","Peter S. Kastner / Aberdeen Group","1988-01-01","market-study","OLTP-transaction-processing","industry-analysis,vertical-market-research,expert-opinion,benchmarking","1988 Encore OLTP market tps needs.pdf","This 1988 Aberdeen Group report prepared for Encore Computer Corporation analyzes online transaction processing (OLTP) market requirements across ten industry verticals—including banking, brokerage, retail, transportation, communications, and government. The study characterizes TPS throughput demands per application segment, sizes the high-end OLTP market at $1.4 billion (1989, >25 TPS) and $630M (>100 TPS), and identifies the top ten priority market/application areas for Encore's forthcoming commercial Series 90 system. Aberdeen concludes that multi-user people-to-computer OLTP and outstanding price/performance versus IBM 3090 mainframes are the most viable commercial strategies for the Series 90.","CC-BY-4.0","high","First systematic sizing of high-end OLTP market by vertical segment with specific TPS thresholds; provided strategic market entry guidance for Encore's commercial mainframe alternative at a pivotal moment in the OLTP market's expansion.","medium","TPS benchmarking methodology and vertical market classification remain analytically useful as historical baseline; specific hardware configurations and dollar market sizes are outdated, but the framework for segmenting OLTP demand by industry is still applied.","medium","The study correctly identified communications, retail credit authorization, and transportation reservations as high-growth OLTP segments; however, Encore Computer failed commercially and the Series 90 never captured the predicted mainframe-alternative market.","kastner-author"
"1989-vidmar-as400-hp3000-and-metadata-a32d04","IBM AS/400 vs. HP 3000 Marketplace Analysis for Stanley-Vidmar","Peter S. Kastner / Aberdeen Group","1989-01-01","consulting-report","midrange-computing-platform-selection","benchmarking,competitive-analysis,user-interviews,expert-opinion","1989 Vidmar AS400 HP3000 and metadata.pdf","This 1989 Aberdeen Group consulting report advises Stanley-Vidmar on the choice between upgrading to an HP Precision Architecture (HPPA) system versus converting to an IBM AS/400. Drawing on normalized DebitCredit benchmark data and analysis of Stanley-Vidmar's current HP 3000 Models 48 and 70, Aberdeen demonstrates that the AS/400 cannot provide adequate throughput growth while HPPA offers 2.5x capacity improvement with lower risk and conversion cost. The report recommends the HP 3000 Model 950 as the minimum entry point, upgradable to the 955 and 960.","CC-BY-4.0","high","This is believed to be the first independent benchmark comparison of AS/400 vs. HP 3000 in a real manufacturing user context; Aberdeen's methodology of normalizing DebitCredit results across vendor benchmarks was cited as pioneering by the industry press.","medium","The AS/400 vs. HP 3000 competitive analysis is historically significant; the recommendation framework for platform selection (risk, conversion cost, staff expertise, growth path) remains directly applicable to modern legacy migration decisions.","high","Aberdeen correctly predicted the AS/400's performance shortcomings and maturity issues in 1989; HP 3000 indeed outlasted AS/400's original product line, running until 2010; Stanley-Vidmar remained part of The Stanley Works and is now Vidmar within Stanley Black & Decker.","kastner-author"
"1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Ingres/Sybase Customer Satisfaction Survey for Bull Corporate Strategy & Marketing","Peter S. Kastner / Aberdeen Group","1990-03-28","survey-report","RDBMS-customer-satisfaction","user-interviews,comparative-analysis,expert-opinion,industry-analysis","1990 Bull RDBMS 1990 and 2024 Metadata.pdf","This March 1990 Aberdeen Group report surveys ten leading-edge users of Ingres and Sybase relational database management systems on behalf of Bull Corporate Strategy & Marketing. The survey reveals that Ingres users are substantially more satisfied than Sybase users, with no Ingres users reporting reliability problems versus universal Sybase reliability issues. Aberdeen recommends Bull select Ingres version 6.3 as its RDBMS partner due to reliability and stability advantages, and advises establishing an Application Implementation Business Center to differentiate Bull from competitors in the emerging client-server era.","CC-BY-4.0","high","Rare primary-source survey of RDBMS users during the critical 1990 period when Ingres and Sybase were competing for the emerging high-performance OLTP market against Oracle; findings directly influenced Bull's RDBMS partnership strategy.","medium","Historical benchmark for understanding RDBMS competitive dynamics in the pre-Oracle-dominance era; Aberdeen's Systems Integration business center recommendation was prescient of the managed services / professional services market that grew through the 1990s.","high","Aberdeen correctly identified Sybase's platform support limitations (Sun-centric) and predicted Oracle's architectural weakness for high-performance OLTP, both confirmed by subsequent market outcomes; Sybase acquired by SAP for $5.8B in 2010, Ingres became Actian.","kastner-author"
