study_id,proposed_pub_year,source_rule,needs_pete_review,source_file,date_field,title,candidate_years_found,notes
1q06-leanbenchmarkslick-8e7b1e,2006,raw_text_earliest_year,False,1q06_leanbenchmarkslick.pdf,,==> picture [441 x 108] intentionally omitted <==,2006,
1q06-mfg-networksbestpractices-041505a-70ad3a,2006,,True,1q06-mfg-networksbestpractices_041505a.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q06-mfg-ss-20lean-jbjf-spf071805b-fa3a8c,2006,,True,1q06-mfg-ss%20lean_jbjf_spf071805b.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
1q06-on-demandsupplychain-148b1d,2006,,True,1q06-on-demandsupplychain.pdf,,==> picture [441 x 95] intentionally omitted <==,,no_year_in_window
1q06-tresury-cashmngt-jp-3dc92d,2006,raw_text_earliest_year,False,1q06_tresury_cashmngt_jp.pdf,,==> picture [441 x 95] intentionally omitted <==,2006,
2q05-ee-security-best-practices-041105a-a3dd34,2005,,True,2q05-ee-security_best_practices_041105a.pdf,,==> picture [441 x 109] intentionally omitted <==,,no_year_in_window
2q05-ee-workforceoptimization-030105b-3988e6,2005,,True,2q05_ee_workforceoptimization_030105b.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
4q05-greatit-wm-d4022a,2004,raw_text_earliest_year,False,4q05_greatit_wm.pdf,,==> picture [441 x 108] intentionally omitted <==,2004;2005,
4q05-mto-mktingperfmgmt-080105a-053084,2005,raw_text_earliest_year,False,4q05-mto-mktingperfmgmt_080105a.pdf,,==> picture [441 x 108] intentionally omitted <==,2005,
aberdeen-companyprofile-50a990,2005,,True,aberdeen-companyprofile.pdf,,==> picture [489 x 68] intentionally omitted <==,,no_year_in_window
aberdeen-preso-for-emc-final-storage-ead7c2,2005,,True,Aberdeen Preso for EMC Final - Storage.pdf,,~~Aberdeen~~ ~~Group~~,,no_year_in_window
aberdeenaccess-699575,2005,,True,aberdeenaccess.pdf,,==> picture [716 x 112] intentionally omitted <==,,no_year_in_window
aberdeenadvisoryaccessservice-b99846,2005,,True,aberdeenadvisoryaccessservice.pdf,,Aberdeen Advisory Access Service,,no_year_in_window
aberdeene-businesscollateral-788c61,2005,,True,aberdeene-businesscollateral.pdf,,e-Business@Aberdeen Research and Consulting for e-Business,,no_year_in_window
aberdeene-learning-6737c5,2001,,True,aberdeene-learning.pdf,,Services,,no_year_in_window
aberdeenexecutivewhitepaper-112639,2005,,True,aberdeenexecutivewhitepaper.pdf,,Publications,,no_year_in_window
aberdeenfulfillmentresearchagenda-788e79,1988,raw_text_earliest_year,False,aberdeenfulfillmentresearchagenda.pdf,,==> picture [441 x 117] intentionally omitted <==,1988;2004,
aberdeenmascollateral-2c5815,2005,,True,aberdeenmascollateral.pdf,,==> picture [34 x 716] intentionally omitted <==,,no_year_in_window
aberdeenmto-retailresearchagenda-9b596e,1988,raw_text_earliest_year,False,aberdeenmto-retailresearchagenda.pdf,,==> picture [441 x 117] intentionally omitted <==,1988;2004,
aberdeenmto-sellsideresearchagenda-0c8b87,1988,raw_text_earliest_year,False,aberdeenmto-sellsideresearchagenda.pdf,,==> picture [441 x 117] intentionally omitted <==,1988;2004,
aberdeenprofile-c87d33,2005,,True,aberdeenprofile.pdf,,Publications,,no_year_in_window
aberdeensmiscollateral-ed3f69,2005,,True,aberdeensmiscollateral.pdf,,SMIS@Aberdeen,,no_year_in_window
about-aberdeen-access-d00a7c,2005,,True,about_aberdeen_access.pdf,,==> picture [648 x 134] intentionally omitted <==,,no_year_in_window
abra-design-to-procure-090204-fc3e6d,2004,raw_text_earliest_year,False,abra-design-to-procure-090204.pdf,,==> picture [441 x 108] intentionally omitted <==,2004,
abra-fulfillment-090204-47775d,2004,raw_text_earliest_year,False,abra-fulfillment-090204.pdf,,==> picture [441 x 117] intentionally omitted <==,2004,
abra-market-to-order-retail-090204-5ba5a7,1988,raw_text_earliest_year,False,abra-market-to-order-retail-090204.pdf,,==> picture [441 x 117] intentionally omitted <==,1988;2004,
abra-market-to-order-sellside-090204-acd407,2004,raw_text_earliest_year,False,abra-market-to-order-sellside-090204.pdf,,==> picture [441 x 117] intentionally omitted <==,2004,
adls-chase-manhattan-bank-208c2d,1972,raw_text_earliest_year,False,ADLS Chase Manhattan bank.pdf,,ADLS Chase Manhattan bank,1972,
aimsnapshot-8adfd4,1992,raw_text_earliest_year,False,aimsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1992;1994;2002;2003,
akonixsnapshot-089ee6,2002,raw_text_earliest_year,False,akonixsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
alternasnapshot-5ed256,1996,raw_text_earliest_year,False,alternasnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1996;2002,
ariba-e7dfd0,2002,raw_text_earliest_year,False,ariba.pdf,,Making E-sourcing Strategic,2002,
arzoonsnapshot-149da0,1999,raw_text_earliest_year,False,arzoonsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1999;2002,
aspreport-toc-0c4a40,1999,raw_text_earliest_year,False,aspreport-toc.pdf,,Evolution of a Revolution: The State of the ASP Industry,1999;2000,
asptop10toc-216854,2001,raw_text_earliest_year,False,asptop10toc.pdf,,~~What Works~~,2001,
avatiersnapshot-882cb6,2003,raw_text_earliest_year,False,avatiersnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2003,
azeritysnapshot-511e79,1998,raw_text_earliest_year,False,azeritysnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1998;2003,
ba-mobilemessaging-apw-bs-3703-2a96a0,2006,raw_text_earliest_year,False,ba_mobilemessaging_apw_bs_3703.pdf,,==> picture [149 x 20] intentionally omitted <==,2006,
ba-uc-pb-3704-82afab,2006,raw_text_earliest_year,False,ba_uc_pb_3704.pdf,,==> picture [149 x 20] intentionally omitted <==,2006,
bigfixsnapshot-f4a360,2002,raw_text_earliest_year,False,bigfixsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002;2003,
bluestreaksnapshot-be4053,1999,raw_text_earliest_year,False,bluestreaksnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1999;2003,
bm-compliance-clues-3590-ac2adb,1988,raw_text_earliest_year,False,bm_compliance_clues_3590.pdf,,==> picture [240 x 792] intentionally omitted <==,1988;2006,
bm-compliance-traceability-3702-c02e4b,2006,raw_text_earliest_year,False,bm_compliance_traceability_3702.pdf,,==> picture [149 x 20] intentionally omitted <==,2006,
bm-manufacturing-intelligence-3594-578435,1988,raw_text_earliest_year,False,bm_manufacturing_intelligence_3594.pdf,,==> picture [149 x 20] intentionally omitted <==,1988;2005;2006,
bocsnapshot-a766a7,1995,raw_text_earliest_year,False,bocsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1995;2002,
bpmwebtoc-065bc6,2001,raw_text_earliest_year,False,bpmwebtoc.pdf,,Worldwide Business Process Management Spending,2001;2002,
bvr-spendcompmgmt-121704b-e31821,1988,raw_text_earliest_year,False,bvr_spendcompmgmt_121704b.pdf,,==> picture [69 x 792] intentionally omitted <==,1988,
callcenteroptimization-researchreport-rk-3503-0ea8b5,2006,raw_text_earliest_year,False,callcenteroptimization_researchreport_rk_3503.pdf,,==> picture [149 x 20] intentionally omitted <==,2006,
callcenterstoc-46e10a,2002,raw_text_earliest_year,False,callcenterstoc.pdf,,What Works,2002,
ci-factoids-188ee5,2005,raw_text_earliest_year,False,ci_factoids.pdf,,==> picture [442 x 95] intentionally omitted <==,2005;2006,
citadelsnapshot-654e06,2002,raw_text_earliest_year,False,citadelsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
clpbenchmark-3708-63ff3f,2007,raw_text_earliest_year,False,clpbenchmark_3708.pdf,,==> picture [149 x 21] intentionally omitted <==,2007,
cm-q2c-vp-3715-aa1364,2006,raw_text_earliest_year,False,cm_q2c_vp_3715.pdf,,==> picture [240 x 792] intentionally omitted <==,2006,
cobionsnapshot-6c1ec0,2002,raw_text_earliest_year,False,cobionsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002;2003,
compaqsnapshot-65b991,2000,raw_text_earliest_year,False,compaqsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2000;2002,
compensationmanagement-toc-8064cc,2001,raw_text_earliest_year,False,compensationmanagement-toc.pdf,,Compensation Management in the Internet Age,2001,
computerassociatessnapshot-17f654,2001,raw_text_earliest_year,False,computerassociatessnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2003,
configuresoftsnapshot-2caf8d,2002,raw_text_earliest_year,False,configuresoftsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002;2003,
courionsnapshot-f4ea3e,2002,raw_text_earliest_year,False,courionsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002;2003,
cpc-update-toc-07238f,2000,raw_text_earliest_year,False,cpc-update-toc.pdf,,Beating the Competition with Collaborative Product Commerce,2000,
cposummit-techservices-cd-vc-3816-690612,2006,raw_text_earliest_year,False,cposummit_techservices_cd_vc_3816.pdf,,The 2006 CPO’s Summit: Technology and Services Benchmark Report,2006,
crmdatasheet-2fa361,1994,raw_text_earliest_year,False,crmdatasheet.pdf,,Aberdeen’s Sixth Annual CRM Market Research Re ort p,1994;2000,
crmeuropetoc-8d72da,2000,raw_text_earliest_year,False,crmeuropetoc.pdf,,~~What Works in~~ E urope:,2000;2002,
crmreportwebtoc-fedb33,2002,raw_text_earliest_year,False,crmreportwebtoc.pdf,,Customer Relationship Management:,2002,
crmspendingtoc-114504,2001,raw_text_earliest_year,False,crmspendingtoc.pdf,,~~Worldwide CRM Sp~~ ending,2001,
cryptocardsnapshot-3ce4c3,2001,raw_text_earliest_year,False,cryptocardsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002;2003,
dbbuyingguidetoc-1a0a0e,2002,raw_text_earliest_year,False,dbbuyingguidetoc.pdf,,Database Buying Guide Fourth Edition October 2002,2002,
dcd-dbb402,2001,raw_text_earliest_year,False,dcd.pdf,,"Digital Content Distribution: New Media, New Challenges",2001,
dctcollateral-30d25c,2005,pete_manual_fill,False,dctcollateral.pdf,,Services,,manually filled v5->v6
dellsnapshot-db9d8f,2002,raw_text_earliest_year,False,dellsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
devwsreporttoc-60f6e8,2002,raw_text_earliest_year,False,devwsreporttoc.pdf,,Web Services Development Solutions Buying Guide,2002;2003,
digital-20cash-toc-fd1ab4,1999,raw_text_earliest_year,False,digital%20cash_toc.pdf,,The Dash to Digital Cash: Enabling Internet Commerce Microtransactions,1999,
digitalcash-595cbc,1999,raw_text_earliest_year,False,digitalcash.pdf,,The Dash to Digital Cash: Enabling Internet Commerce Microtransactions,1999,
e-learning-fd5d01,1999,raw_text_earliest_year,False,e-learning.pdf,,e-Learning in the Enterprise,1999,
e-recruitmentabridgedtoc-57b416,2002,raw_text_earliest_year,False,e-recruitmentabridgedtoc.pdf,,Enterprise Talent Management,2002,
e-sourcingfulltoc-ff36c8,2002,raw_text_earliest_year,False,e-sourcingfulltoc.pdf,,Making e-Sourcing Strategic,2002,
eai-toc-1059fc,2000,raw_text_earliest_year,False,eai_toc.pdf,,Enterprise Application Integration:,2000,
ebi-spendingtoc-a6bf6a,2002,raw_text_earliest_year,False,ebi-spendingtoc.pdf,,==> picture [68 x 722] intentionally omitted <==,2002;2003;2006,
edocssnapshot-8a34df,1996,raw_text_earliest_year,False,edocssnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1996;2000;2002,
ee-4q04-20-security-spend-mgmt101504a-71e631,2004,,True,ee-4q04%20-security_spend_mgmt101504a.pdf,,==> picture [441 x 109] intentionally omitted <==,,no_year_in_window
eiitoc-742f80,2002,raw_text_earliest_year,False,eiitoc.pdf,,Enterprise Information Integration,2002,
eimtoc-71da8d,1984,raw_text_earliest_year,False,eimtoc.pdf,,Enterprise Incentive Management,1984;2002,
emabestpracticestoc-1fb7cd,2003,raw_text_earliest_year,False,emabestpracticestoc.pdf,,Best Practices in Expense Management Automation (EMA),2003,
emagia2-922390,1998,raw_text_earliest_year,False,emagia2.pdf,,==> picture [82 x 80] intentionally omitted <==,1998;2002,
emailmarketing-8a22e9,2001,raw_text_earliest_year,False,emailmarketing.pdf,,"e-Mail Marketing: Relevancy, Retention, and ROI",2001,
endpointdp-bg-3717-8ecfb0,2006,raw_text_earliest_year,False,endpointdp_bg_3717.pdf,,The Endpoint Data Protection Benchmark Report,2006,
enterprise-aligning-for-action-wb060305b-e14454,2005,,True,enterprise-aligning_for_action_wb060305b.pdf,,==> picture [432 x 130] intentionally omitted <==,,no_year_in_window
enterprise-benchmarking-performance-7387ac,2004,raw_text_earliest_year,False,enterprise-benchmarking_performance.pdf,,==> picture [433 x 130] intentionally omitted <==,2004,
enterprise-benchmarking-performance-wb060305b-c9f431,2004,raw_text_earliest_year,False,enterprise-benchmarking_performance_wb060305b.pdf,,==> picture [432 x 130] intentionally omitted <==,2004,
enterprise-educating-the-team-a33c39,2005,,True,enterprise-educating_the_team.pdf,,==> picture [433 x 130] intentionally omitted <==,,no_year_in_window
enterprise-educating-the-team-wb061005a-4fb6c2,2005,,True,enterprise-educating_the_team_wb061005a.pdf,,==> picture [432 x 130] intentionally omitted <==,,no_year_in_window
enterprise-introduction-0fadce,2005,,True,enterprise-introduction.pdf,,==> picture [433 x 130] intentionally omitted <==,,no_year_in_window
enterprise-introduction-wb060305b-fc9e4f,2005,,True,enterprise-introduction_wb060305b.pdf,,==> picture [432 x 130] intentionally omitted <==,,no_year_in_window
entrustsnapshot-f78f15,2001,raw_text_earliest_year,False,entrustsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2003,
epresencesnapshot-69ff57,2001,raw_text_earliest_year,False,epresencesnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002;2003,
erp-snapshot-7d2836,2007,raw_text_earliest_year,False,erp_snapshot.pdf,,==> picture [222 x 36] intentionally omitted <==,2007,
esourcing-a513ee,2001,raw_text_earliest_year,False,esourcing.pdf,,Strategic e-Sourcing: A Framework for Competitive Advantage,2001,
eurowiress-13e05b,2000,raw_text_earliest_year,False,eurowiress.pdf,,==> picture [442 x 39] intentionally omitted <==,2000,
examensnapshot-cf83e1,1990,raw_text_earliest_year,False,examensnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1990;2002,
f-4q04-mfg-perfmgmt102904a-5126bc,2004,,True,f-4q04-mfg_perfmgmt102904a.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
f-4q04-midsize-fulfillment102904a-9b4725,2004,pete_manual_fill,False,f-4q04-midsize_fulfillment102904a.pdf,,==> picture [441 x 108] intentionally omitted <==,,manually filled v5->v6
f-4q04-supply-chain-inventory-strategies102704a-a3921d,2004,pete_manual_fill,False,f-4q04_supply_chain_inventory_strategies102704a.pdf,,==> picture [441 x 108] intentionally omitted <==,,manually filled v5->v6
f-4q05-rfid-slick-jf091405a-ab5754,2005,,True,f-4q05-rfid_slick-jf091405a.pdf,,==> picture [441 x 108] intentionally omitted <==,,no_year_in_window
firstwavesnapshot-506187,2002,raw_text_earliest_year,False,firstwavesnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
fsmwebtoc-e69049,2002,raw_text_earliest_year,False,fsmwebtoc.pdf,,What Works,2002,
fvcm-2d867b,2001,raw_text_earliest_year,False,fvcm.pdf,,~~‘Show Me the M~~ one ’: y,2001,
fvcmwebtoc-5f0032,2002,raw_text_earliest_year,False,fvcmwebtoc.pdf,,Best Practices in Streamlining the Financial Value Chain,2002,
g-logsnapshot-418c10,1999,raw_text_earliest_year,False,g-logsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1999;2002,
generationgap-c89824,2001,raw_text_earliest_year,False,generationgap.pdf,,The Generation Gap 3G U.S. Market Forecast and Carrier Activities,2001,
giliansnapshot-6fcaf6,2001,raw_text_earliest_year,False,giliansnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002,
gsm-researchagenda-48cbc9,2007,raw_text_earliest_year,False,gsm_researchagenda.pdf,,2007 Calendar,2007,
gtnexussnapshot-16ab54,1998,raw_text_earliest_year,False,gtnexussnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1998;2002,
handhelds-3ee4af,2001,raw_text_earliest_year,False,handhelds.pdf,,~~Mobile Handheld D~~ evices,2001,
hcm-toc-9ec0bd,2001,raw_text_earliest_year,False,hcm-toc.pdf,,Human Capital Management,2001,
homenetworking-toc-0443b2,2001,raw_text_earliest_year,False,homenetworking-toc.pdf,,"The Network Comes Home: Connectivity, Access, and Control",2001,
hosting-20services-toc-d1e361,2000,raw_text_earliest_year,False,hosting%20services-toc.pdf,,Hosting Services: Outsourcing e-Business Delivery,2000,
hpsnapshot-31573d,2002,raw_text_earliest_year,False,hpsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
i2snapshot-e7bbb1,2002,raw_text_earliest_year,False,i2snapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
ibmrep-toc-9d0086,2000,raw_text_earliest_year,False,ibmrep-toc.pdf,,IBM’s Windows 2000 Products and Services: Putting Muscle Behind Enterprise-Ready,2000;2001,
ibmsnapshot-9b0905,2002,raw_text_earliest_year,False,ibmsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
ibpp-toc-6e2fc5,2000,raw_text_earliest_year,False,ibpp-toc.pdf,,Internet Bill Presentment and Payment,2000,
ilmprimerwpa-fd53e8,2002,pete_manual_fill,False,ilmprimerwpa.pdf,,Information Life Cycle Management,,manually filled v5->v6
imperitosnapshot-8db06b,2000,raw_text_earliest_year,False,imperitosnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2000;2001;2002,
infrastructure-speech-7f6c5b,1995,,True,Infrastructure speech.pdf,,IT Infrastructure: Are We Building Chaos or Cosmos?,,no_year_in_window
integratedopticstoc-4b3a46,2001,raw_text_earliest_year,False,integratedopticstoc.pdf,,~~OPTICAL CIRCU~~ ITS: ~~Market Realities & Po~~ tential,2001,
intelitanium-toc-8308d0,2001,raw_text_earliest_year,False,intelitanium-toc.pdf,,Evolving Itanium into the Enterprise,2001,
ipolicysnapshot-398455,2000,raw_text_earliest_year,False,ipolicysnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2000;2002,
itoutsourcingtoc-18f459,2002,raw_text_earliest_year,False,itoutsourcingtoc.pdf,,IT Outsourcing,2002,
itspending-236a9a,2001,raw_text_earliest_year,False,itspending.pdf,,"Worldwide IT Spending 2001-2005: Forecast and Analysis for Hardware, Software, and Services",2001;2005,
junenews-fc15cc,1988,raw_text_earliest_year,False,junenews.pdf,,June 2000,1988;1999;2000,
latisnetworkssnapshot-90caa6,2002,raw_text_earliest_year,False,latisnetworkssnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002;2003,
leopardsnapshot-032eb0,1984,raw_text_earliest_year,False,leopardsnapshot.pdf,,==> picture [506 x 76] intentionally omitted <==,1984;2003,
linuxweb-toc-0a59c7,2001,raw_text_earliest_year,False,linuxweb-toc.pdf,,~~Software Manage~~ ment Solutions ~~from Linux S~~ uppliers,2001;2002,
lrmrptwebtoc-1f7efa,2002,raw_text_earliest_year,False,lrmrptwebtoc.pdf,,Logistics Resource Management,2002,
lrmtechnologytoc-fbce1d,2002,raw_text_earliest_year,False,lrmtechnologytoc.pdf,,Logistics Resource Management,2002,
lumetasnapshot-6233db,2001,raw_text_earliest_year,False,lumetasnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002,
lurhqsnapshot-f30215,2003,raw_text_earliest_year,False,lurhqsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2003,
m-commerce-20-20toc-2bfda1,2000,raw_text_earliest_year,False,m-commerce%20--%20toc.pdf,,Mobile Electronic Commerce,2000,
manufacturing-researchlicensing-f49444,2006,,True,manufacturing-researchlicensing.pdf,,==> picture [433 x 107] intentionally omitted <==,,no_year_in_window
manufacturing-snapshot-c7bf80,2007,raw_text_earliest_year,False,manufacturing_snapshot.pdf,,==> picture [222 x 37] intentionally omitted <==,2007,
maynews-888c65,1988,raw_text_earliest_year,False,maynews.pdf,,"Volume 2, Number 1",1988;2000,
mazunetworkssnapshot-f9bae1,2002,raw_text_earliest_year,False,mazunetworkssnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
mcmwebtoc-09fe7d,2002,raw_text_earliest_year,False,mcmwebtoc.pdf,,Marketing Campaign Management,2002,
memoir-scratch-pad-464eb7,2026,,True,Memoir Scratch Pad.pdf,,Memoir Scratch Pad,,no_year_in_window
mfg-05-06-manufacturingagenda-080305b-fa62f7,2005,raw_text_earliest_year,False,mfg_05-06_manufacturingagenda_080305b.pdf,,==> picture [441 x 108] intentionally omitted <==,2005,
microsoftsnapshot-eec9a2,2001,raw_text_earliest_year,False,microsoftsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002;2003,
mid-marketreporttoc-6fc1a9,2003,raw_text_earliest_year,False,mid-marketreporttoc.pdf,,The Small and Middle Market Enterprise,2003,
midlinestoragewp-7f30e3,2003,raw_text_earliest_year,False,midlinestoragewp.pdf,,==> picture [442 x 39] intentionally omitted <==,2003,
mobiledatatoc-5b5e85,2002,raw_text_earliest_year,False,mobiledatatoc.pdf,,What Works,2002,
mobilemiddlewareabridgedtoc-80c331,2002,raw_text_earliest_year,False,mobilemiddlewareabridgedtoc.pdf,,~~Mobile Middlew~~ are,2002,
mobility-management-jb-3822-93c2b3,2007,raw_text_earliest_year,False,mobility_management_jb_3822.pdf,,==> picture [149 x 20] intentionally omitted <==,2007,
mto-05-06-cmo-mktanalyticslagenda-081605a-6a0fa4,2005,raw_text_earliest_year,False,mto_05-06_cmo-mktanalyticslagenda_081605a.pdf,,CMO/Market Analytics,2005,
mto-204q05-20-20business-20benefits-20auto-20replenishment-11e73c,2005,raw_text_earliest_year,False,mto%204q05%20-%20business%20benefits%20auto%20replenishment.pdf,,==> picture [441 x 108] intentionally omitted <==,2005,
net2ssnapshot-446b68,2001,raw_text_earliest_year,False,net2ssnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002;2003,
netmarket-toc-a7bfa2,2001,raw_text_earliest_year,False,netmarket-toc.pdf,,Net Market Technology: Internet Hubs Drive Business Process Reengineering,2001,
netmarketliquidity-toc-fb9fbc,2001,raw_text_earliest_year,False,netmarketliquidity-toc.pdf,,~~What Works~~ :,2001,
network-1snapshot-b7770f,1999,raw_text_earliest_year,False,network-1snapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1999;2001;2002,
networkappliancesnapshot-894077,2001,raw_text_earliest_year,False,networkappliancesnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002,
newmediasnapshot-ff463f,2002,raw_text_earliest_year,False,newmediasnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
nextancesnapshot-504aed,2000,raw_text_earliest_year,False,nextancesnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2000;2004,
nfrsnapshot-c5fc14,2001,raw_text_earliest_year,False,nfrsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2002,
optical-electronicreport-toc-0a3155,1999,raw_text_earliest_year,False,optical_electronicreport-toc.pdf,,Moving at Light Speed: The Transition to Optical Networks,1999;2000;2003,
opticalnetworking-1695aa,2001,raw_text_earliest_year,False,opticalnetworking.pdf,,Shining the Light on Intelligent Optical Networking,2001,
oracle-wp-prod-15ac4a,2001,raw_text_earliest_year,False,Oracle wp prod.pdf,,==> picture [442 x 38] intentionally omitted <==,2001,
oracleroiwhitepaperprod-7023c3,2001,,True,OracleROIWhitePaperPROD.doc,June 2001,Point Solutions Versus Integrated Oracle Applications: The Road to IT Investment ROI,,raw_text_not_found
osbptoc9-23-fd5f9a,2000,raw_text_earliest_year,False,osbptoc9-23.pdf,,Best Practices in Online Services Procurement (OSP),2000;2001;2002,
ourpromise-5b66af,2005,,True,ourpromise.pdf,,==> picture [432 x 102] intentionally omitted <==,,no_year_in_window
outsourcing-application-development-and--59d651,2006,,True,Outsourcing Application Development and Maintenance.pdf,November 2006,Outsourcing Application Development and Maintenance: Joining Cost Savings with IT Human Asset Management,,raw_text_not_found
p2scrm99-execsum-27132c,1999,raw_text_earliest_year,False,p2scrm99_execsum.pdf,,Managing Customers with Next-Generation Software Applications: 1999 Edition,1999,
patchlinksnapshot-a10275,2002,raw_text_earliest_year,False,patchlinksnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002;2003,
perspective-041304-e4be4c,2004,,True,Perspective 041304.doc,"April 13, 2004",Intel's Itanium: Ready and Desirable for Mainframe-Class Workloads,,raw_text_not_found
phoenixsnapshot-e90044,2001,raw_text_earliest_year,False,phoenixsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2001;2003,
plm-market-sizing-toc-12e77f,1999,raw_text_earliest_year,False,plm-market-sizing-toc.pdf,,Worldwide PLM Spending (From the Engineering Perspective),1999;2000;2001;2002,
polivecsnapshot-388c4c,2002,raw_text_earliest_year,False,polivecsnapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,2002,
poolsofstoragewp-3a0151,1988,raw_text_earliest_year,False,poolsofstoragewp.pdf,,==> picture [442 x 39] intentionally omitted <==,1988;2004,
pragmatechv2snapshot-b0953e,1994,raw_text_earliest_year,False,pragmatechv2snapshot.pdf,,==> picture [82 x 80] intentionally omitted <==,1994;2002;2003,
