"tech_id","study_id"
"TECH-BO-007","1997-dev-expanding-universes-for-busines-c42c71"
"TECH-BO-008","1997-dev-expanding-universes-for-busines-c42c71"
"TECH-CADE","aberdeen-1995-progress-software-profile"
"TECH-CTI-001","1997-nortel--transforming-business-by-po-3edae6"
"TECH-DAS-001","1997-network-storage--obtaining-the-payo-3bdc3d"
"TECH-DATABLADE","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-DBLIB-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"TECH-DOT-001","1997-distributed-object-technology--dead-3cf2d1"
"TECH-DOT-002","1997-distributed-object-technology--dead-3cf2d1"
"TECH-DOT-003","1997-distributed-object-technology--dead-3cf2d1"
"TECH-DOT-005","1997-distributed-object-technology--dead-3cf2d1"
"TECH-DR-001","1997-datareach--finding-business-value-i-34f0a6"
"TECH-DR-002","1997-datareach--finding-business-value-i-34f0a6"
"TECH-DR-003","1997-datareach--finding-business-value-i-34f0a6"
"TECH-DYF-001","1997-dynaflo-systems----e-mail-for-the-b-854582"
"TECH-DYF-003","1997-dynaflo-systems----e-mail-for-the-b-854582"
"TECH-DYS-001","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-002","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-003","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-004","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-007","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-009","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-011","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-DYS-012","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"TECH-EC-001","1997-electronic-commerce-to-internet-com-b26a35"
"TECH-EC-002","1997-electronic-commerce-to-internet-com-b26a35"
"TECH-EC-003","1997-electronic-commerce-to-internet-com-b26a35"
"TECH-EC-004","1997-electronic-commerce-to-internet-com-b26a35"
"TECH-EC-005","1997-electronic-commerce-to-internet-com-b26a35"
"TECH-FULL-TEXT","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-GROUPWISE","aberdeen-1995-novell-predicament"
"TECH-HA-CLUSTER","aberdeen-1995-sun-microsystems-computer-company"
"TECH-HP-001","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-002","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-003","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-004","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-005","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-006","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-007","1997-desktop-and-systems-management-the--169a9b"
"TECH-HP-010","1997-desktop-and-systems-management-the--169a9b"
"TECH-I2O-001","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-I2O-002","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-I2O-003","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-I2O-004","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-I2O-005","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-I2O-006","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-I2O-007","1997-intelligent-i-o-initiative--scaling-aae222"
"TECH-IMI-001","1997-object-technology-meets-demand-mana-551c84"
"TECH-IMI-002","1997-object-technology-meets-demand-mana-551c84"
"TECH-IMI-003","1997-object-technology-meets-demand-mana-551c84"
"TECH-IMI-004","1997-object-technology-meets-demand-mana-551c84"
"TECH-IMI-005","1997-object-technology-meets-demand-mana-551c84"
"TECH-IMI-006","1997-object-technology-meets-demand-mana-551c84"
"TECH-INF-OL-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"TECH-INF-US-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"TECH-INF-XPS-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"TECH-INS-001","1997-insession---accessing-and-leveragin-cb2e40"
"TECH-INS-002","1997-insession---accessing-and-leveragin-cb2e40"
"TECH-INS-003","1997-insession---accessing-and-leveragin-cb2e40"
"TECH-INS-004","1997-insession---accessing-and-leveragin-cb2e40"
"TECH-INS-005","1997-insession---accessing-and-leveragin-cb2e40"
"TECH-INTRANET","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-IRP-001","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-002","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-004","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-005","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-006","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-007","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-008","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-009","1997-infinite-resource-planning-wp-893815"
"TECH-IRP-010","1997-infinite-resource-planning-wp-893815"
"TECH-KD1-001","1997-knowledge-discovery-one's-retail-di-f6b834"
"TECH-KD1-002","1997-knowledge-discovery-one's-retail-di-f6b834"
"TECH-KD1-003","1997-knowledge-discovery-one's-retail-di-f6b834"
"TECH-KD1-004","1997-knowledge-discovery-one's-retail-di-f6b834"
"TECH-KOD-001","1997-kodak-completes-wang-software-acqui-e78bb4"
"TECH-KOD-003","1997-kodak-completes-wang-software-acqui-e78bb4"
"TECH-KOD-004","1997-kodak-completes-wang-software-acqui-e78bb4"
"TECH-KOD-006","1997-kodak-completes-wang-software-acqui-e78bb4"
"TECH-KOD-007","1997-kodak-completes-wang-software-acqui-e78bb4"
"TECH-KOD-008","1997-kodak-completes-wang-software-acqui-e78bb4"
"TECH-LAP-001","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LAP-002","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LAP-003","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LAP-004","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LAP-005","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LAP-006","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LAP-007","1997-laplink-solutions-offer-telecommuti-292aa8"
"TECH-LDAP","aberdeen-1995-novell-predicament"
"TECH-LUC-001","1997-lucent-delivers-internet-telephony--888598"
"TECH-LUC-002","1997-lucent-delivers-internet-telephony--888598"
"TECH-LUC-003","1997-lucent-delivers-internet-telephony--888598"
"TECH-LUC-005","1997-lucent-delivers-internet-telephony--888598"
"TECH-LUC-006","1997-lucent-delivers-internet-telephony--888598"
"TECH-MAG-ATM","1997-nortel--transforming-business-by-po-3edae6"
"TECH-MANAGEWISE","aberdeen-1995-novell-predicament"
"TECH-MATE","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"TECH-MC-001","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-MC-002","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-MC-003","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-MC-004","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-MC-005","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-MC-006","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-MC-007","1997-informix-metacube-4.0--relational-o-23491d"
"TECH-NAS-001","1997-network-storage--obtaining-the-payo-3bdc3d"
"TECH-NDS","aberdeen-1995-novell-predicament"
"TECH-NETWARE","aberdeen-1995-novell-predicament"
"TECH-NOV-001","1997-novell-directory-to-the-network-str-048b05"
"TECH-NOV-002","1997-novell-directory-to-the-network-str-048b05"
"TECH-NOV-003","1997-novell-directory-to-the-network-str-048b05"
"TECH-NOV-005","1997-novell-directory-to-the-network-str-048b05"
"TECH-NOV-006","1997-novell-directory-to-the-network-str-048b05"
"TECH-NOV-009","1997-novell-directory-to-the-network-str-048b05"
"TECH-NOV-010","1997-novell-directory-to-the-network-str-048b05"
"TECH-NTSQL-001","1997-nt-case-41-56aa2e"
"TECH-O2-001","1997-object-databases-such-as-o2-odmg--t-c98c72"
"TECH-O2-002","1997-object-databases-such-as-o2-odmg--t-c98c72"
"TECH-O2-003","1997-object-databases-such-as-o2-odmg--t-c98c72"
"TECH-O2-004","1997-object-databases-such-as-o2-odmg--t-c98c72"
"TECH-OBJ-001","1997-objective-communications--vidmodem--f3351f"
"TECH-OBJ-002","1997-objective-communications--vidmodem--f3351f"
"TECH-OBJ-003","1997-objective-communications--vidmodem--f3351f"
"TECH-OBJ-004","1997-objective-communications--vidmodem--f3351f"
"TECH-OBJ-005","1997-objective-communications--vidmodem--f3351f"
"TECH-OBJ-006","1997-objective-communications--vidmodem--f3351f"
"TECH-OBJ-008","1997-objective-communications--vidmodem--f3351f"
"TECH-OLE-DIR","aberdeen-1995-novell-predicament"
"TECH-OODBMS","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-OOP-DEV","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"TECH-OS2-001","1997-nt-case-41-56aa2e"
"TECH-PROGRESS-4GL","aberdeen-1995-progress-software-profile"
"TECH-PS-001","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-002","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-003","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-004","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-005","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-006","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-007","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-008","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-009","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-011","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-012","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-PS-013","1997-dw-competitive-advantage-through-pr-b307c7"
"TECH-RAD","aberdeen-1995-progress-software-profile"
"tech-rdbms","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-RDBMS-COMM","aberdeen-1995-sun-microsystems-computer-company"
"TECH-ROLAP","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-ROW-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"TECH-S1-001","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"TECH-S1-001","1997-ibm-s-enterprise-communications-fam-14559a"
"TECH-S1-002","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"TECH-S1-002","1997-ibm-s-enterprise-communications-fam-14559a"
"TECH-S1-003","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"TECH-S1-003","1997-ibm-s-enterprise-communications-fam-14559a"
"TECH-S1-004","1997-ibm-s-enterprise-communications-fam-14559a"
"TECH-S1-005","1997-ibm-s-enterprise-communications-fam-14559a"
"TECH-S1-008","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"TECH-S1-009","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"TECH-S2-001","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"TECH-S2-001","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S2-002","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"TECH-S2-002","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S2-003","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S2-004","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"TECH-S2-004","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S2-005","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"TECH-S2-006","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"TECH-S2-006","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S2-007","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S2-008","1997-ibm-s-solution-centric-global-healt-7a073f"
"TECH-S3-001","1997-digital-equipment-corporation-pr-c375a8"
"TECH-S3-001","1997-ibm’s-nt-strategy-strat-pr-b93817"
"TECH-S3-002","1997-digital-equipment-corporation-pr-c375a8"
"TECH-S3-003","1997-digital-equipment-corporation-pr-c375a8"
"TECH-S3-003","1997-ibm’s-nt-strategy-strat-pr-b93817"
"TECH-S3-004","1997-digital-equipment-corporation-pr-c375a8"
"TECH-S3-005","1997-digital-equipment-corporation-pr-c375a8"
"TECH-S3-006","1997-digital-equipment-corporation-pr-c375a8"
"TECH-S3-006","1997-ibm’s-nt-strategy-strat-pr-b93817"
"TECH-S3-007","1997-ibm’s-nt-strategy-strat-pr-b93817"
"TECH-S3-011","1997-ibm’s-nt-strategy-strat-pr-b93817"
"TECH-S4-001","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S4-001","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-002","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S4-002","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-003","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S4-003","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-004","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S4-004","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-005","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S4-005","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-007","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-008","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-009","1997-ibm’s-network-computing-solution----e74e8a"
"TECH-S4-011","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S4-012","1997-digital-ramps-up-for-the-leadership-fb5854"
"TECH-S5-001","1997-digital-s-terabyte-hour-nonstop-vld-ce92ca"
"TECH-S5-001","1997-industry-matematik-international-co-c398bc"
"TECH-S5-002","1997-digital-s-terabyte-hour-nonstop-vld-ce92ca"
"TECH-S5-004","1997-digital-s-terabyte-hour-nonstop-vld-ce92ca"
"TECH-S5-004","1997-industry-matematik-international-co-c398bc"
"TECH-S5-006","1997-industry-matematik-international-co-c398bc"
"TECH-S5-008","1997-industry-matematik-international-co-c398bc"
"TECH-S5-009","1997-industry-matematik-international-co-c398bc"
"TECH-SB-001","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-002","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-004","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-005","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-006","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-007","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-008","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-009","1997-crm-siebel-systems-pr-569e52"
"TECH-SB-010","1997-crm-siebel-systems-pr-569e52"
"TECH-SCRUM","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"TECH-SGI-001","1997-informix-and-silicon-graphics-reach-98e6ea"
"TECH-SGI-002","1997-informix-and-silicon-graphics-reach-98e6ea"
"TECH-SGI-004","1997-informix-and-silicon-graphics-reach-98e6ea"
"TECH-SGI-005","1997-informix-and-silicon-graphics-reach-98e6ea"
"TECH-SGI-006","1997-informix-and-silicon-graphics-reach-98e6ea"
"TECH-SMARTOBJECT","aberdeen-1995-progress-software-profile"
"TECH-SMP","aberdeen-1995-sun-microsystems-computer-company"
"TECH-SMP-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"tech-solaris","aberdeen-1995-sun-microsystems-computer-company"
"TECH-SPARC","aberdeen-1995-sun-microsystems-computer-company"
"TECH-SPATIAL-DB","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-SPRINT","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"TECH-SYB11-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"TECH-SYB49-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"tech-tpc","aberdeen-1995-sun-microsystems-computer-company"
"TECH-UDT","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-UNIVERSAL-SERVER","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"TECH-UNIX","aberdeen-1995-sun-microsystems-computer-company"
"TECH-VBX","aberdeen-1995-progress-software-profile"
"TECH-VPN-001","1997-nortel--transforming-business-by-po-3edae6"
"TECH-WAN-001","1997-nortel--transforming-business-by-po-3edae6"
"TECH-WATERFALL","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"TECH-WIN95","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"TECH-WINNT","aberdeen-1995-novell-predicament"
"TECH-WNT-SRV","1997-nt-case-41-56aa2e"
"TECH-WNT-WS","1997-nt-case-41-56aa2e"
"TECH-XED-001","1997-managing-corporate-internet-access--ae26d9"
"TECH-XED-002","1997-managing-corporate-internet-access--ae26d9"
"TECH-XED-003","1997-managing-corporate-internet-access--ae26d9"
"TECH-XED-004","1997-managing-corporate-internet-access--ae26d9"
"TECH-XED-005","1997-managing-corporate-internet-access--ae26d9"
"TECH-XED-006","1997-managing-corporate-internet-access--ae26d9"
"TECH-XED-008","1997-managing-corporate-internet-access--ae26d9"
"VLDB","aberdeen-1995-rdbms-cray-research-inc"
"web-browser","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"WEB-CS-TOOLS","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"WORKFLOW-TECH","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"aberdeen-aaas","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001"
"aberdeen-aas","aas-launch-package-aug-2001-b4a001"
"aberdeen-aas","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-aas","aberdeen-corporate-collateral-2001-v2-b4b001"
"aberdeen-aas","aberdeen-corporate-collateral-combined-1-9674e4"
"aberdeen-aas","aberdeen-corporate-presentation-98680d"
"aberdeen-aas","aberdeen-overview-presentation-v10-29-a665b8"
"aberdeen-aas-rate-tier","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-aas-starter","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001"
"aberdeen-alliances-workshop","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001"
"aberdeen-aocs","ibm-scm-murray2-tm-4a0fbf"
"aberdeen-aocs","ibmfinal1-3-720230"
"aberdeen-base-retainer","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-briefing-workshop","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-cad","aas-launch-package-aug-2001-b4a001"
"aberdeen-client-profile-template","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-credit-bank","intel-renewal1017-9-0d4419"
"aberdeen-critical-tech-planning","aberdeen-snr-architecture-three-tier-sli-abaaa5"
"aberdeen-day-3-n-rate","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-dev-solutions","2004-aberdeentelelogicagrfinal-5-8fd44a"
"aberdeen-dset","ibm-aberdeen-wip-deck-2-704ff9"
"aberdeen-e-profile","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-elearning","2001-kickoff-content-1db48b"
"aberdeen-elearning","aberdeen-corporate-collateral-2001-v2-b4b001"
"aberdeen-elearning","aberdeen-corporate-collateral-combined-1-9674e4"
"aberdeen-elearning","aberdeen-corporate-presentation-98680d"
"aberdeen-elearning","aberdeen-overview-presentation-v10-29-a665b8"
"aberdeen-engaging-workshop","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-entry-retainer-500-monthly","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001"
"aberdeen-eprofile","2001-kickoff-content-1db48b"
"aberdeen-era","ibmfinal1-3-720230"
"aberdeen-eti-content","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-executive-white-paper","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-executive-white-paper","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001"
"aberdeen-go-to-market-methodology","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-go-to-market-workshop","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001"
"aberdeen-impact","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-impact","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-impact-deliverable","aberdeen-training-book-day-3-03cfc1"
"aberdeen-lifecycle-consulting","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-market-attractiveness-model","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-market-knowledge-engagement","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-market-knowledge-workshop","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-market-knowledge-workshop","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001"
"aberdeen-marketing-workshop","aberdeen-corporate-collateral-2001-v2-b4b001"
"aberdeen-mas","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-mas-qualitative","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-mas-quantitative","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-mas-service","aas-launch-package-aug-2001-b4a001"
"aberdeen-mas-service","aberdeen-corporate-collateral-2001-v2-b4b001"
"aberdeen-master-price-list-2001-09-01","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-maturity-grids","06-aberdeen-after-action-showandtell-95c6d9"
"aberdeen-maturity-grids","07-pools-of-storage-functional-spec-597fa5"
"aberdeen-memory-cards-study","sd-memory-cards-to-drive-market-for-digi-71a434"
"aberdeen-messaging-strategy-workshop","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001"
"aberdeen-milestone-billing-50-50","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001"
"aberdeen-pace-framework","aberdeen-ra-modernizing-legacy-2007-52a27a"
"aberdeen-pc-reference-model","warranty-week-dell-warranty-policies-kas-0c084d"
"aberdeen-positioning-strategy-options","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-positioning-strategy-workshop","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001"
"aberdeen-practice-b2b-ebusiness-scm","aberdeen-practice-definitions-compendium-2000-b7a001"
"aberdeen-practice-data-knowledge","aberdeen-practice-definitions-compendium-2000-b7a001"
"aberdeen-practice-eas","aberdeen-practice-definitions-compendium-2000-b7a001"
