"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","notes","source_studies"
"amr-automatic-meter-reading","Automatic Meter Reading","application","unknown","1970s","emerging","active","Technology used by a utility client of Arthur D. Little Systems; data transmitted at five baud over power lines.","utilities-transformed-it-696ffb; volume-1-about-the-author; volume-1-ch03-physics-of-consulting-1972-1979"
"fortran","FORTRAN","language","IBM / ANSI","1966-1973","growing","legacy-supported","Kastner self-taught FORTRAN at MIT as computer operator.","adl-commercial-engagements-kastner-1972-1979-b8b001; ieee-db-stratus-32-psk-1d4564; nti-5-development-toolsets-0e71c5; perspective-041304-e4be4c; volume-1-appendix-career-timeline; volume-1-ch01-waiting-for-automation-1960-1969; volume-1-ch05-stratus-fault-tolerant-wars-1981-1987; volume-1-ch10-the-long-view-1966-2026"
"assembler","IBM Assembler","language","IBM","1966-1973","mature","legacy-end-of-life","Kastner self-taught assembler at MIT alongside FORTRAN.","management-skills-learned-1969-3e75d0; translating-early-skills-and-experiences-15bb2d; volume-1-appendix-career-timeline"
"cosmos-application-package","Cosmos/CAS Code Generator","application","PHI / internal","1969-1973","emerging","legacy-end-of-life","Code generator developed during Kastner's time at PHI; notable early automation tool.","adl-commercial-engagements-kastner-1972-1979-b8b001; phi-legacy-in-wang-labs-runaway-horse-1995-b8e001; phi-psd-brochure-and-kastner-engagements-1969-1972-b8d001; volume-1-appendix-career-timeline; volume-1-ch02-physics-of-the-machine-1969-1972"
"ibm-3090","IBM 3090 Mainframe","platform","IBM","1987-1988","mature","legacy-end-of-life","Target of secret DEC blind benchmark; IBM responded with DB2 v2.","1993-hercules-sap-28344a; psk-litigate98-72601c; psk-litigation-b452e6; psk-niopubs-3d103b; stratus-xa2000-launch-cw-1987-11913f; volume-1-appendix-career-timeline; volume-1-ch06-dec-mainframes-last-stand-1987-1988"
"tech-tpc","TPC Benchmark Standards","framework","Transaction Processing Performance Council","1988-present","emerging","active","TPC-A (1989), TPC-B (1990), TPC-C (1992), TPC-H, TPC-DS, TPC-E. Kastner was co-founder and early auditor.","volume-1-appendix-career-timeline; volume-1-ch09-expert-witness-technology-on-trial-1992-2015"
"4gl","Fourth-Generation Languages (4GL)","language","various","1979-1981","emerging","legacy-end-of-life","Emerging during Prime Computer peak period (1979-1981); key technology transition witnessed by Kastner.","nti-2-open-systems-1dd3af; nti-5-development-toolsets-0e71c5; psk-misc-speech-agendas-5965a3; volume-1-appendix-career-timeline; volume-1-ch04-prime-computer-1979-1981"
"client-server","Client-Server Architecture","platform","various","1990-1997","growing","legacy-supported","Dominant computing paradigm during Aberdeen's partnership years 1990-1997.","10ibmiss-f66945; aberdeen-1996-risc-unix-market; bio-webfocus-bef516; ca-internet-app-dev-sales-training-1996-48db9c; cispra~1-23a333; dectp-genspark-research2-4-a09a82; dectp92-0ca51c; erppsp~1-31f088; ft-mitfor~1-a56a9d; health~1-056358; ibmrs6k-05561e; informdsa-9f8bcf; informix-dsa-presentation-2-8d5fa3; itthar-1-4-32f824; kastner-ie-v-andersen-expert-report-3de98a; nti-12-client-server-goals-1993-15a519; nti-2-open-systems-1dd3af; nti-3-pc-and-ws-1993-17d49b; nti-5-development-toolsets-0e71c5; psk-bio2004-939357; psk-bio97-475934; psk-ibmbio-fde139; psk-misc-speech-agendas-5965a3; psk-niopubs-3d103b; retail~1-d5de79; sabre-s-challenge-fb76f5; sap-sybase-face-off-f2612e; savant-targets-feds-with-oracle-database-60eca2; server-deal-turns-rivals-into-allies-seq-bdc3af; software-market-safegu~1-ea7453; testahur95-330c0c; volume-1-appendix-career-timeline; volume-1-ch07-founding-aberdeen-1988-1997; volume-1-ch10-the-long-view-1966-2026; volume-1-introduction-physics-of-the-machine"
"tech-rdbms","Relational Database Management System (RDBMS)","platform","various","1990-1997","growing","active","RDBMS dominance was a defining technology trend of Aberdeen's partnership years.","volume-1-appendix-career-timeline"
"oltp","Online Transaction Processing (OLTP)","framework","various","1987-1992","growing","active","Kastner predicted microprocessor OLTP dominance in 1987 Yankee Group paper; TPC benchmarks standardized OLTP measurement.","10ibmiss-f66945; 15-classification-key-applications-55b6be; 1992-tpc-benchmarks-vp-ed0e0d; 1996-sequent-38f0b1; aberdeen-press-advisory-kastner-appointm-efd58c; bbn1989-1e6838; bio-webfocus-bef516; dbmspr~1-7c854e; debit-credit-ibm-dec-1988-2-2fc147; dec-mgmt-memo-v7n5-state-of-company-1988-6a9954; dec-resume-performance-review-3-1f133b; dectp-genspark-research2-4-a09a82; ft-mitfor~1-a56a9d; ibmrs6k-05561e; informdsa-9f8bcf; inforx95-3-9a45fe; jungle-1-5-675c58; jungle-6-7af8b7; nti-6-rdbms-technology-48f4aa; psk-bio2004-939357; psk-bio97-475934; psk-ibmbio-fde139; psk-niopubs-3d103b; tpcbench92-139998; unisys-florida-hrs-expert-witness-tallah-5b4524; volume-1-appendix-career-timeline; volume-1-ch05-stratus-fault-tolerant-wars-1981-1987; volume-1-ch06-dec-mainframes-last-stand-1987-1988; volume-1-ch07-founding-aberdeen-1988-1997; volume-1-ch10-the-long-view-1966-2026"
"snr-framework","SNR (Signal-to-Noise Ratio) Research Framework","framework","Aberdeen Group","1990-2006","growing","legacy-end-of-life","Aberdeen proprietary research methodology developed by Kastner and partners.","enterprise-integration-perspective-2-cb6165; volume-1-appendix-career-timeline"
"5-year-tco","TCO (Total Cost of Ownership) Framework","framework","Aberdeen Group","1990-2006","growing","active","Aberdeen proprietary benchmark research methodology developed alongside SNR.","tandem-tr-85-2-debitcredit-1985-ca207a; volume-1-appendix-career-timeline; volume-1-ch09-expert-witness-technology-on-trial-1992-2015"
"cloud-computing","Cloud Computing","platform","various","2008-2015","growing","active","Key technology transition Kastner witnessed during expert witness / Intel advisory period.","2010-intel-ia-continuum-wp-1-2-fc5653; volume-1-appendix-career-timeline; volume-1-ch09-expert-witness-technology-on-trial-1992-2015; volume-1-ch10-the-long-view-1966-2026; volume-1-epilogue-argument-with-reality; washington-times-kellner-google-chrome-o-02e6a9"
"saas","Software as a Service (SaaS)","platform","various","2004-2008","emerging","active","SaaS emergence was a defining transition of Kastner's Aberdeen final years (2004-2008).","technology-themes-2003-04; volume-1-appendix-career-timeline; volume-1-epilogue-argument-with-reality"
"ai-expert-systems","AI/ML and Generative AI","platform","various","2015-2026","growing","active","AI/ML maturation and generative AI represent the final major technology transition in the timeline (2015-2026).","system~1-36ba8c; volume-1-appendix-career-timeline; volume-1-ch10-the-long-view-1966-2026"
"ibm-360","IBM System/360","platform","IBM","1969-1973","mature","legacy-end-of-life","Platform used at PHI service bureau for client work including Cumberland Farms and First Chicago DDA.","adl-public-safety-911-cad-systems-1973-1979-b8a001; on-computers-tips-40th-anniversary-of-th-ee9cc5; phi-legacy-in-wang-labs-runaway-horse-1995-b8e001; phi-psd-brochure-and-kastner-engagements-1969-1972-b8d001; volume-1-appendix-career-timeline; volume-1-ch01-waiting-for-automation-1960-1969; volume-1-ch02-physics-of-the-machine-1969-1972"
"e-commerce","E-Commerce Infrastructure","platform","various","1997-2001","growing","active","Internet boom and e-commerce infrastructure was the defining transition of Aberdeen's scaled years 1997-2001.","1999pr~2-cd0049; kastner-jrl-trends-1999-pk-responses-f4c5a4; volume-1-appendix-career-timeline"
"ibm-1401","IBM 1401","platform","IBM","1959-1971","mature","legacy-end-of-life","Used at MIT as a reader-printer workhorse: ingested punch-card decks, wrote to magnetic tape at 800 bpi, and printed output from the mainframe. Described as 'the loading dock.'","volume-1-ch01-waiting-for-automation-1960-1969"
"ibm-7094","IBM 7094","platform","IBM","1962-1969","mature","legacy-end-of-life","MIT production mainframe in 1966-1967. Ran timesharing during daytime hours for dozens of academic users; batch mode off-peak. Timesharing techniques developed here fed directly into Multics.","volume-1-ch01-waiting-for-automation-1960-1969"
"punch-card-tabulation","IBM Punch-Card Tabulating Equipment","platform","IBM","1890s-1970s","declining","legacy-end-of-life","Electromechanical sorters, collators, and accumulators programmed via plugboard wiring. Used at Cornell's Hotel Ezra Cornell weekend. Could not perform conditional logic flexibly enough to automate hotel accounting.","volume-1-ch01-waiting-for-automation-1960-1969; volume-1-ch10-the-long-view-1966-2026"
"ibm-assembler","IBM Assembler","language","IBM","1960s-","growing","legacy-supported","Kastner taught himself IBM assembler on the company's idle overnight CPU cycles at MIT in 1966-1967.","10ibmiss-f66945; perspective-041304-e4be4c; volume-1-ch01-waiting-for-automation-1960-1969"
"pl-1","PL/1 (Programming Language One)","language","IBM","1964-1990s","emerging","legacy-end-of-life","Designed to merge FORTRAN's mathematical capability with COBOL's data handling. Cornell sought experienced PL/1 programmers in 1967 — virtually none existed. Kastner compared the ask to seeking experienced ChatGPT programmers in 2020.","ieee-db-stratus-32-psk-1d4564; prime-industry-product-5-year-plan-1981-0a3546; volume-1-ch01-waiting-for-automation-1960-1969"
"cobol","COBOL","language","open standard","1959-","growing","legacy-supported","Referenced as the business data-processing language whose structured data and file-management conventions PL/1 attempted to absorb alongside FORTRAN's scientific capabilities.","1992-sapiens-and-metadata-0608b6; 1997-viasoft-y2k-c2e540; 2004-03-intelitaniummfewp11.doc-618d4a; aberdeen-1997-picks-right-tools-year-2000; adl-commercial-engagements-kastner-1972-1979-b8b001; ieee-db-stratus-32-psk-1d4564; intelitaniummfewp1[1]-773ea2; management-skills-learned-1969-3e75d0; nti-5-development-toolsets-0e71c5; nti-9-mainframe-role-1993-77fc40; on-computers-tips-40th-anniversary-of-th-ee9cc5; perspective-041304-e4be4c; translating-early-skills-and-experiences-15bb2d; unisys-florida-hrs-expert-witness-tallah-5b4524; volume-1-ch01-waiting-for-automation-1960-1969; volume-1-ch02-physics-of-the-machine-1969-1972; volume-1-ch03-physics-of-consulting-1972-1979; volume-1-ch04-prime-computer-1979-1981; volume-1-ch05-stratus-fault-tolerant-wars-1981-1987"
"multics","Multics Operating System","platform","MIT / GE / Honeywell","1969-2000","emerging","legacy-end-of-life","Produced by Project MAC at MIT; its foundations came from timesharing work on the IBM 7094. Referenced as resurfacing in Kastner's career at Stratus Computer.","volume-1-ch01-waiting-for-automation-1960-1969"
"lisp","LISP (List Processing language)","language","MIT","1958-","emerging","active","Used at MIT's Project MAC area to manipulate symbolic representations of knowledge for AI research. Kastner observed LISP in use circa 1966-1967.","volume-1-ch01-waiting-for-automation-1960-1969; volume-1-ch10-the-long-view-1966-2026"
"eliza","ELIZA","application","MIT","1964-1967","emerging","legacy-end-of-life","Text-based conversational program at MIT that 'unnerved people who didn't know it had no inner life.' Kastner observed it circa 1966-1967 and concluded AI was just code competing for machine time.","volume-1-ch01-waiting-for-automation-1960-1969"
"spacewar","Spacewar! Video Game","application","MIT","1962-","emerging","legacy-end-of-life","Appeared permanently installed on the IBM 360/65 graphics workstation at MIT. Kastner could play it on a '$5 million mainframe' during overnight shifts circa 1966-1967.","volume-1-ch01-waiting-for-automation-1960-1969"
"dec-pdp-8","DEC PDP/8","platform","Digital Equipment Corporation","1965-1990","emerging","legacy-end-of-life","Early PDP/8 minicomputers were appearing in Cambridge labs in 1966-1967. Kastner identified them as the beginning of the end of the centralized glass-house computing era.","volume-1-ch01-waiting-for-automation-1960-1969"
"hasp","HASP (Houston Automated Spooling Processor)","application","IBM / NASA","1967-1975","emerging","legacy-end-of-life","Added to Cornell's OS/360 to manage the queue of jobs waiting to run. Used during the September 23, 1967 Sysgen with Arlene Larsen.","volume-1-ch01-waiting-for-automation-1960-1969"
"batch-computing","Batch Processing","platform","various","1950s-1980s","mature","legacy-supported","The dominant computing model of the 1960s: submit a job and wait. Defined the economics of computing for a decade. The MIT three-machine pipeline (cards-in, tape to mainframe, results out) was Kastner's hands-on introduction.","computer-dating-1960s-businessinsider-gr-2b9490; volume-1-ch01-waiting-for-automation-1960-1969; volume-1-introduction-physics-of-the-machine"
"ibm-timesharing","Timesharing (IBM 7094 / Project MAC)","platform","MIT / IBM","1961-1975","emerging","legacy-end-of-life","Dozens of academic users typed at alphanumeric terminals simultaneously on the MIT IBM 7094. Kastner characterized it as 'brilliant but fragile.'","volume-1-ch01-waiting-for-automation-1960-1969"
"magnetic-tape-storage","Magnetic Tape (800 bpi)","platform","IBM","1950s-1980s","mature","legacy-end-of-life","IBM 1401 at MIT wrote punch-card batches to magnetic tape at 800 bits per inch for transfer to the mainframe.","volume-1-ch01-waiting-for-automation-1960-1969"
"ibm-2311-disk","IBM 2311 Disk Pack","platform","IBM","1964-1975","emerging","legacy-end-of-life","13 megabytes of storage, described as 'an enormous amount of storage by the standards of the day.' Used during Cornell's Sysgen on September 23, 1967.","volume-1-ch01-waiting-for-automation-1960-1969"
"remote-job-entry","Remote Job Entry (56 kbps telephone line)","protocol","IBM / Cornell","1967-1975","emerging","legacy-end-of-life","Cornell's innovative workaround after IBM couldn't deliver the 360/67: RJE over a 56-kilobit dedicated telephone line from Upson Hall to Langmuir Labs. Kastner called this effectively Cornell's 'cloud' — a concept without a name for another forty years.","volume-1-ch01-waiting-for-automation-1960-1969"
"cdc-1604","CDC 1604","platform","Control Data Corporation","1960-1968","mature","legacy-end-of-life","Installed at Upson Hall, Cornell; read student card decks and transmitted them to the IBM 360/65 at Langmuir Labs via the 56 kbps telephone line.","volume-1-ch01-waiting-for-automation-1960-1969"
"adding-machine","Adding Machine / Mechanical Calculator","platform","various","1900s-1970s","mature","legacy-end-of-life","Kastner's primary tool in the Cape Cod restaurant bookkeeping department as a child. Cornell's Statistics 101 lab previously required hand-cranked mechanical calculators before Kastner automated it.","volume-1-ch01-waiting-for-automation-1960-1969"
"ibm-360-67","IBM 360/67","platform","IBM","1966-1972","emerging","legacy-end-of-life","Timesharing-capable variant that Cornell originally planned to install to match MIT's capability. IBM could not deliver it, forcing Cornell's RJE workaround.","volume-1-ch01-waiting-for-automation-1960-1969"
"chase-simulation","CHASE / CRASE / CHESS (Cornell Simulations)","application","Cornell University / Robert M. Chase","1967-2000s","emerging","legacy-end-of-life","CHASE = Cornell Hotel School Administration Simulation Exercise; CRASE = Cornell Restaurant Administration Simulation Exercise; CHESS = Cornell Educational Strategic Simulation. Kastner enhanced and debugged CHASE in 1967-68, fixing FORTRAN floating-point arithmetic errors. Adopted by Intercontinent","volume-1-ch01-waiting-for-automation-1960-1969"
"wang-vs","Wang VS Operating System","platform","Wang Laboratories","1977-1992","emerging","legacy-end-of-life","Operating system later architected by Robert A. Siegel after he left PHI.","phi-legacy-in-wang-labs-runaway-horse-1995-b8e001; volume-1-ch02-physics-of-the-machine-1969-1972"
"y2k-bug","Y2K / Year 2000 Two-Digit Year Bug","application","industry-wide","1960-2000","emerging","legacy-end-of-life","Two-digit year field vulnerability; Kastner fixed an early instance in Marine Midland Bank's bond portfolio system in July 1969, 30 years before the global Y2K crisis.","volume-1-ch02-physics-of-the-machine-1969-1972; y2k-computerworld-aberdeen-psk-irving-19-5bcd20"
"jcl","Job Control Language (JCL)","language","IBM","1964-","growing","legacy-supported","Command syntax for IBM OS to control program execution: tape mounts, disk pack allocation, memory reservation. Notoriously cryptic; a single misplaced comma could fail a job.","volume-1-ch02-physics-of-the-machine-1969-1972"
"punch-cards","Punch Cards / Card Decks","platform","IBM","1950-1980","mature","legacy-end-of-life","Primary input mechanism at PHI; programmers wrote code on coding forms, had it keypunched, submitted deck to operations queue, waited hours for printout.","volume-1-ch02-physics-of-the-machine-1969-1972"
"core-memory","Core Memory","platform","IBM","1955-1975","mature","legacy-end-of-life","Primary memory technology of the IBM 360 era; core dumps captured entire contents of core memory upon program failure.","volume-1-ch02-physics-of-the-machine-1969-1972"
"core-dump","Core Dump / Hexadecimal Core Dump","application","IBM","1960-1980","mature","legacy-end-of-life","Debugging technique: on catastrophic failure, OS printed entire core memory contents as hex. Could span hundreds of pages. Kastner learned to read these to find program errors.","volume-1-ch02-physics-of-the-machine-1969-1972"
"ibm-360-reference-card","IBM System/360 Reference Card","application","IBM","1964-1978","mature","legacy-end-of-life","Dense fold-out cheat sheet roughly placemat-sized; primary documentation resource for programmers at PHI in absence of online docs.","volume-1-ch02-physics-of-the-machine-1969-1972"
"service-bureau-computing","Service Bureau Computing","platform","industry-wide","1960-1980","mature","legacy-end-of-life","Business model where companies purchased CPU time on shared mainframes; PHI charged $360/hour for IBM 360/65 time in 1969.","volume-1-ch02-physics-of-the-machine-1969-1972"
"timesharing","Timesharing Systems","platform","various","1965-1985","emerging","legacy-end-of-life","Interactive terminal-based computing available at universities and research labs in 1969 but not typical at commercial service bureaus like PHI.","volume-1-ch02-physics-of-the-machine-1969-1972; volume-1-introduction-physics-of-the-machine"
"bond-portfolio-system","Bond Portfolio System (Marine Midland)","application","PHI (Philip Hankins Inc.)","1969","mature","dissolved","Banking application upgraded by Kastner in July 1969; contained two-digit year field vulnerability for bonds maturing in year 2000+.","volume-1-ch02-physics-of-the-machine-1969-1972"
"retail-accounting-system","Retail Accounting System (Cumberland Farms)","application","PHI (Philip Hankins Inc.)","1969","mature","dissolved","Accounting system designed by Kastner for Cumberland Farms; required handling mechanical pump counter rollover at 9,999 gallons.","volume-1-ch02-physics-of-the-machine-1969-1972"
"code-generation","Code Generation / Automated Code Generation","framework","PHI (Philip Hankins Inc.)","1969-","emerging","active","Technique exemplified by Cosmos: templates and rules produce architecturally consistent code at scale, sidestepping Brooks's Law coordination overhead.","volume-1-ch02-physics-of-the-machine-1969-1972"
"apollo-navigation-software","Apollo Lunar Navigation Software","application","NASA","1961-1972","mature","legacy-end-of-life","Navigation code for the Apollo lunar program; PHI founders Philip Hankins and David Moros had written this code before founding PHI.","volume-1-ch02-physics-of-the-machine-1969-1972"
"univac-96-col-card","Univac 96-Column Punch Card","platform","Univac","1950s-1970s","declining","legacy-end-of-life","96-column format used by Chase Manhattan; incompatible with IBM 80-column cards; required field explosion during migration.","adl-commercial-engagements-kastner-1972-1979-b8b001; volume-1-ch03-physics-of-consulting-1972-1979"
"96-column-card","96-Column Card Format","platform","Univac","1950s-1970s","declining","legacy-end-of-life","Alias for Univac 96-column punch card; 16 extra columns vs. IBM 80-column caused field boundary explosion in Chase migration.","management-skills-learned-1969-3e75d0; volume-1-ch03-physics-of-consulting-1972-1979"
"ibm-4300","IBM 4300 Mainframe","platform","IBM","1970s-1980s","mature","legacy-end-of-life","Source platform for United Shoe Machinery migration; violated architectural physics when ported to Data General Eclipse.","10ibmiss-f66945; management-skills-learned-1969-3e75d0; volume-1-ch03-physics-of-consulting-1972-1979; volume-1-ch05-stratus-fault-tolerant-wars-1981-1987"
"data-general-eclipse","Data General Eclipse Minicomputer","platform","Data General","1970s-1980s","growing","legacy-end-of-life","Target platform for United Shoe Machinery migration; architectural mismatch with IBM 4300 caused thrashing at CPU, application, disk, and management layers.","adl-public-safety-911-cad-systems-1973-1979-b8a001; volume-1-ch03-physics-of-consulting-1972-1979"
"magnetic-tape","Magnetic Tape (800 bpi)","platform","industry-standard","1960s-1980s","mature","legacy-end-of-life","Rio customs inspector unspooled tape reel searching for forbidden images; recorded at 800 bits per inch.","maxtor-flash-demo-2003; mid-line-storage-white-paper-06-13-03-3-7a2c62; midline-storage-white-paper-jun2003; volume-1-ch03-physics-of-consulting-1972-1979; volume-1-introduction-physics-of-the-machine"
"honeywell-2000","Honeywell Computer System","platform","Honeywell","1970s","mature","legacy-end-of-life","Platform at Houghton Mifflin; incompatible with Kastner’s IBM-era tools and habits.","adl-commercial-engagements-kastner-1972-1979-b8b001; volume-1-ch03-physics-of-consulting-1972-1979"
"prime-50-series","Prime 50-Series","platform","Prime Computer","1977-1987","growing","legacy-end-of-life","Prime’s minicomputer platform family; sold as solutions (banking, engineering) rather than raw MIPS; ran PRIMOS operating system and INFORMATION database environment.","prime-industry-product-5-year-plan-1981-0a3546; volume-1-ch04-prime-computer-1979-1981"
"prime-750","Prime 750","platform","Prime Computer","1979-1985","growing","legacy-end-of-life","Specific Prime minicomputer model; the Prime Office system delivered to the White House ran on a Model 750; also used as base for Prime INFORMATION deployments.","translating-early-skills-and-experiences-15bb2d; volume-1-ch04-prime-computer-1979-1981"
