"run_id","source_location","source_path","row_count","obs_count_distinct","studies_covered","prompt_file_path","prompt_file_sha256","prompt_matches_v2_canonical","prompt_scale","prompt_mid_run_edits","model_tag","model_family","temperature","num_predict","think_false_set","top_p","top_k","driver_script_path","driver_script_sha256","driver_version","driver_pre_v2_scale","driver_mid_run_modified","input_manifest_path","input_manifest_sha256","input_payload_shape","input_field_used","run_started_at","run_finished_at","run_duration_sec","run_completed_cleanly","run_abandoned","run_abandon_reason","run_restarted_from_checkpoint","parse_ok_rate","score_dist_neg1","score_dist_0","score_dist_1_to_5","abstention_rate","score_mean","score_out_of_range","confidence_out_of_range","accepted_at_time","commit_sha","pete_review_notes","trust_verdict","dropped_gates","salvage_action","notes"
"mac_working_dir_1996-electronic-commerce-06b0b5_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1996-electronic-commerce-06b0b5/working","3","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1996-electronic-commerce-06b0b5/working/skipped_obs_v3.csv","c443e57aa4ba726dc58468b3e053c6990e080bfea4537d30cffcaca287510a12","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1998-software-ag-insurance-74c710_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1998-software-ag-insurance-74c710/working","5","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1998-software-ag-insurance-74c710/working/observation_candidates.csv","87c35812fc947a93fb499fd24176d352b2c471e932ec8e37d6cfa5dd078f2f4d","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-dtp-best-practices-telecom012705a-0e3ad6_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-dtp-best-practices-telecom012705a-0e3ad6/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-dtp-best-practices-telecom012705a-0e3ad6/working/entity_candidates.csv","aa1ce5e9cc720d1a2dcd5de9109c7b092a498edfaa4bf555ca153eebea77160b","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-dtp-ondemandsupplymgmt-012705b-fd896d_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-dtp-ondemandsupplymgmt-012705b-fd896d/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-dtp-ondemandsupplymgmt-012705b-fd896d/working/entity_candidates.csv","6e6bb01f4cdf92329e944eecfafd160c83df2ddf83d87de24ebe844c9b670acc","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-dtp-pe-card-012805a-9f8ea1_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-dtp-pe-card-012805a-9f8ea1/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-dtp-pe-card-012805a-9f8ea1/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-ee-enterprisetalentmgmt-012705a-737075_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-ee-enterprisetalentmgmt-012705a-737075/working","1","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-ee-enterprisetalentmgmt-012705a-737075/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-ee-sox-compliance-automation-012705a-60ff9d_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-ee-sox-compliance-automation-012705a-60ff9d/working","2","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-ee-sox-compliance-automation-012705a-60ff9d/working/entity_candidates.csv","89fe5256e4b3ebe96c6a5038777607f76f07e82bdfba30fc1df78e95d714e91c","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-ee-storagegrowth-012805b-b446ce_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-ee-storagegrowth-012805b-b446ce/working","2","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-ee-storagegrowth-012805b-b446ce/working/observation_candidates.csv","d7ea368e31c8d1ee571f5d4dcb26bace336712b5108970f7b2a0692e5f33ee1e","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q05-pss-fieldservices-020305a-fa2797_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q05-pss-fieldservices-020305a-fa2797/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q05-pss-fieldservices-020305a-fa2797/working/entity_candidates.csv","f9c69fa120d3f607f6e23250c6dfa31b4857f6c8e0d90f949af956e616fd1baf","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-asset-20management-e1ca0f_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-asset-20management-e1ca0f/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-asset-20management-e1ca0f/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-ee-beyondpayforperformance-b12c3f_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-ee-beyondpayforperformance-b12c3f/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-ee-beyondpayforperformance-b12c3f/working/entity_candidates.csv","e91234400828815eb723473645e972f63bcd1c537d87ae7181ad4bfe72797239","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-ff-bp-retail-transportation-081905a-192432_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-ff-bp-retail-transportation-081905a-192432/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-ff-bp-retail-transportation-081905a-192432/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-gsm-senblmtbm1q06-collateral-8c7e6c_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-gsm-senblmtbm1q06-collateral-8c7e6c/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-gsm-senblmtbm1q06-collateral-8c7e6c/working/entity_candidates.csv","9929c4d91c17d323fec1e3ec3ce9213ed11f2f0ed2ad636ac6c3a94059f713e0","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-gsm-ttcmwireless1q06-collateral-beabeb_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-gsm-ttcmwireless1q06-collateral-beabeb/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-gsm-ttcmwireless1q06-collateral-beabeb/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-industrialcontrolplatform-f59746_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-industrialcontrolplatform-f59746/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-industrialcontrolplatform-f59746/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-leanbenchmarkslick-8e7b1e_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-leanbenchmarkslick-8e7b1e/working","3","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-leanbenchmarkslick-8e7b1e/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-mfg-networksbestpractices-041505a-70ad3a_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-mfg-networksbestpractices-041505a-70ad3a/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-mfg-networksbestpractices-041505a-70ad3a/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-mfg-ss-20lean-jbjf-spf071805b-fa3a8c_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-mfg-ss-20lean-jbjf-spf071805b-fa3a8c/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-mfg-ss-20lean-jbjf-spf071805b-fa3a8c/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-on-demandsupplychain-148b1d_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-on-demandsupplychain-148b1d/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-on-demandsupplychain-148b1d/working/entity_candidates.csv","bc8ccad98099380c4f1f960572f29acb6a0f3681a4eb357bb5900c65ef959b2f","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_1q06-tresury-cashmngt-jp-3dc92d_2026-05-23","mac_working_dir","/Users/scott/Desktop/Archive/prepared/1q06-tresury-cashmngt-jp-3dc92d/working","","","","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/1q06-tresury-cashmngt-jp-3dc92d/working/entity_candidates.csv","100757832aa39cfedbef8ed553373fcd4c98e6d9714cc3ca4917c521e3da9aaa","unknown","","","","","true","false","","","","","","","","","","","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2000-e-learning-in-the-enterprise-psk-5caf5b_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2000-e-learning-in-the-enterprise-psk-5caf5b/working","11","11","1","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2000-e-learning-in-the-enterprise-psk-5caf5b/working/entity_candidates.csv","a1c6ad0f2433171c33614d0461195a1e2cd1db8fd1e521e5e42fc05bcc551dd2","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2000-the-new-hp-stands-up-to-be-counted-psk-726ee3_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2000-the-new-hp-stands-up-to-be-counted-psk-726ee3/working","8","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2000-the-new-hp-stands-up-to-be-counted-psk-726ee3/working/skipped_obs_v3.csv","679576b08d41ff80275b242c645f0d5ebbd17dec6456544c313e2d25a4f458bd","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2003-compaqsnapshot-5924f7_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2003-compaqsnapshot-5924f7/working","8","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2003-compaqsnapshot-5924f7/working/skipped_obs_v3.csv","fa4b29d6af1f5995f90b7b579e2c34415d841bedbc5437b34c66438c99c2230b","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2003-ibmsnapshot-a00f7c_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2003-ibmsnapshot-a00f7c/working","3","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2003-ibmsnapshot-a00f7c/working/skipped_obs_v3.csv","20a2731e3df8295ce7661a3bb3c6dc8daaff4c7e3296d6c956c33c37d4a81748","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2004-09010005-f58946_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2004-09010005-f58946/working","11","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2004-09010005-f58946/working/observation_candidates.csv","25476c4744cc50399fb1a9ecc4d59d80caef59da99d0fb9438e6247d02ccbdec","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2004-10991290-87c05d_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2004-10991290-87c05d/working","9","9","1","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2004-10991290-87c05d/working/entity_candidates.csv","9ac37bbb3716fc79710f7ea93809770ba58caa4c8054a71ecfbd039ac13ce645","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2004-agile-9a7a61_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2004-agile-9a7a61/working","5","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2004-agile-9a7a61/working/skipped_obs_v3.csv","f9d70921a83aca2766457441e762cf18864a03dfcdef2b62ba292e45c01265ce","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2004-aimsnapshot-6c49f0_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2004-aimsnapshot-6c49f0/working","10","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2004-aimsnapshot-6c49f0/working/skipped_obs_v3.csv","fde4fac7a7a0bfc302f3502f695b65f711ad33fd4c6a0100eccc069cf8f97d93","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
"mac_working_dir_2004-azeritysnapshot-4c1c8d_2026-05-29","mac_working_dir","/Users/scott/Desktop/Archive/prepared/2004-azeritysnapshot-4c1c8d/working","8","0","0","/Users/scott/Desktop/Archive/prescience_score_prompt_v2.md","f8c1e07469d8fce3148ad7c53f3ebb7f02fa312d8e0b724f6912808923385d29","true","0-5","","","","","","","","","","","","","","/Users/scott/Desktop/Archive/prepared/2004-azeritysnapshot-4c1c8d/working/skipped_obs_v3.csv","6dbad9a6d39f7e508e4476d3a6a5f10fa216909e4eecc1b0befea7894ecea09c","unknown","","","","","true","false","","","","0","0","0","0.0000","","0","0","yes_lives_in_working_dir_only","","","DROP","T2,T4,T6","discard",""
