"collection","study_id","title","date","author","n_entities","n_technologies","n_observations","n_codes","importance","relevance","prescience"
"Project Examples","01-difranco-report-on-aberdeen-group-res-444a19","Report on Aberdeen Group Research into New Category for MaXLine","2003-06-01","Stephen DiFranco","14","6","30","29","high","high","high"
"Project Examples","02-sow-final-62f56d","Statement of Work: Aberdeen-Maxtor MaXLine Marketing Program","2003-03-17","Aberdeen Group / Peter Kastner","7","4","22","26","high","medium","not-applicable"
"Project Examples","03-contract-pools-of-storage-phase2-a47fd3","Pools of Storage Executive Evangelism Program — Phase 2 Contract","2003-11-13","Aberdeen Group / Peter Kastner","9","8","30","26","high","high","medium"
"Project Examples","04-mid-line-storage-v2-whitepaper-7db9bc","Mid-Line Disk Storage Emerging As Significant Cost-Saving Opportunity","2003-08-01","Aberdeen Group","2","10","34","29","high","high","high"
"Project Examples","05-idc-sata-report-0872b8","Tired Storage and Capacity-Oriented Disk Drives (SATA) — Another Small Step Toward Data and Information Consolidation","2003-11-01","Robert C. Gray, Dave Reinsel (IDC)","11","10","35","29","high","high","high"
"Project Examples","06-aberdeen-after-action-showandtell-95c6d9","Maxtor Pools of Storage — After-Action Review (Show and Tell)","2004-01-01","John Boyne, Peter Kastner (Aberdeen Group)","9","4","30","25","high","high","medium"
"Project Examples","07-pools-of-storage-functional-spec-597fa5","Pools of Storage Decision Tool — Functional Specification (Aberdeen Internal)","2003-11-26","Peter Kastner (executive sponsor); Jay Erikson (primary author)","11","6","20","24","high","high","not-applicable"
"Project Examples","08-phase2-project-kickoff-2ea711","Aberdeen-Maxtor Phase 2: Pools of Storage Market Development","2003-11-25","Peter Kastner, Aberdeen Group","11","6","25","33","high","high","high"
"Project Examples","09-maxtor-workshop-prep-guide-a218dc","Midline Messaging Workshop Prep Guide","2004-02-06","Peter Kastner, David Hill, John Boyne","12","6","20","34","high","high","medium"
"Project Examples","10-maxtor-workshop-02-09-eod-53f22b","Maxtor Messaging Workshop: Creating the Midline Market Category","2004-02-13","Aberdeen Group (Peter Kastner, David Hill, John Boyne)","22","9","34","42","high","high","high"
"Project Examples","11-storage-hierarchy-presentation-e84d53","How Aberdeen Sees the Storage Pyramid Evolving","2002-10-01","David Hill, Aberdeen Group","4","6","22","33","high","high","high"
"Project Examples","12-steps-to-category-creation-0abd5a","Steps to Category Creation","2003-01-01","Aberdeen Group","4","2","15","34","high","high","medium"
"Project Examples","13-hh-time-compression-downtime-strategy-4e50c9","Time Compression - Downtime Strategy: Formulas and Business Case","2003-01-01","David Hill (HH), Aberdeen Group","4","5","18","31","high","high","high"
"Project Examples","14-formulas-disaster-scenario-c2f0b4","Formulas for Disaster Recovery Scenario","2003-01-01","Aberdeen Group","5","5","20","32","high","high","high"
"Project Examples","15-classification-key-applications-55b6be","Classification of Key Applications by Storage Category","2003-01-01","Aberdeen Group (David Hill)","4","10","15","26","high","high","high"
"Project Examples","16-maxtor-survey-meeting-agenda-4fe65d","Maxtor PoSEE Phase 3 Survey Organizational Meeting Agenda","2003-12-10","Peter Kastner, David Hill, John Boyne, Beth Conant","7","3","17","25","medium","medium","not-applicable"
"Project Examples","17-maxtor-tool-decision-components-d9c2fb","ILM/Pools of Storage Tool Decision Components and IP Framework","2003-01-01","Aberdeen Group (Peter Kastner)","12","5","16","29","high","medium","high"
"Project Examples","18-maxtor-strategy-event-template-faeb40","Maxtor ILM Pools of Storage Strategy Event Data Collection Template","2003-01-01","Aberdeen Group","2","8","16","25","high","medium","high"
"Project Examples","19-maxline-data-timeline-slide-6e6572","MaXLine in the Data Center Spectrum: Data Value vs. Duration Positioning Slide","2003-01-01","Maxtor Corporation","2","8","15","26","high","high","high"
"Project Examples","20-maxline-mtbf-analysis-4d9111","MaXLine vs. Fibre Channel Drive System-Level MTBF Analysis","2003-01-01","Aberdeen Group","2","5","25","26","high","high","high"
"Project Examples","aberdeen-group-disk-storage-usage-questi-c8ffe9","Aberdeen Group Disk Storage Usage Questionnaire (v1)","2003-02-01","Peter S. Kastner; David Hill (Aberdeen Group)","6","12","27","26","high","medium","high"
"Project Examples","applied-materials-ramp-interview-for-max-fd966d","RAMP Interview: Applied Materials (Maxtor Midline Storage Study)","2003-04-01","Peter S. Kastner, David Hill","10","13","33","35","medium","high","medium"
"Project Examples","inovant-ramp-interview-for-maxtor-projec-e7f75d","RAMP Interview: Inovant / Visa (Maxtor Midline Storage Study)","2003-04-01","Peter S. Kastner, David Hill","12","12","34","35","high","high","high"
"Project Examples","kaiser-permanente-ramp-interview-for-max-8e4033","RAMP Interview: Kaiser Permanente (Maxtor Midline Storage Study)","2003-04-01","Peter S. Kastner, David Hill","10","10","33","34","high","high","high"
"Project Examples","maxtor-ramp-interview-guide-first-draft-c68ebd","Maxtor RAMP Interview Guide: First Draft","2003-03-01","Peter S. Kastner; David Hill (Aberdeen Group)","6","18","30","26","high","medium","high"
"Project Examples","maxtor-survey-report-5-20c-0f458e","Maxtor Survey Report (RAMP Results Presentation)","2003-05-20","Peter S. Kastner; David Hill","30","17","52","45","high","high","high"
"Project Examples","maxtor-survey.v.2-d5b538","Maxtor RAMP Disk Storage Usage Questionnaire v2","2003-03-01","Peter S. Kastner; David Hill (Aberdeen Group)","6","10","30","26","high","high","high"
"Project Examples","state-street-ramp-interview-for-maxtor-p-fa94f8","State Street RAMP Interview for Maxtor Project","2003-04-01","Peter S. Kastner; David Hill","8","10","35","42","high","high","high"
"Project Examples","timex-ramp-interview-for-maxtor-project-8c1b71","Timex RAMP Interview for Maxtor Project","2003-04-16","Peter S. Kastner; David Hill","12","13","35","45","high","high","high"
"Project Examples","computerworld-ilm-waiting-2004","Waiting for ILM?","2004-07-29","Peter S. Kastner","6","10","32","37","high","high","high"
"Project Examples","dell-storage-profile-2004","Dell: Applying Its Business Value Model to Storage","2004-05-01","David Hill; Peter S. Kastner","17","18","36","40","high","high","high"
"Project Examples","infiniband-data-center-wp-2002","InfiniBand Architecture: Planning the Next-Generation Data Center","2002-05-01","Peter S. Kastner","20","14","32","31","high","medium","high"
"Project Examples","linuxcare-profile-1999","Linuxcare, Inc. -- Enterprise Service and Support for All Things Linux","1999-11-01","Peter S. Kastner","18","8","28","31","high","high","high"
"Project Examples","maxtor-engagement-letter-nov2003","Aberdeen Group Engagement Letter — Maxtor Pools of Storage Executive Evangelism Program","2003-11-13","Peter S. Kastner; Sandra Tubbs / Aberdeen Group","11","10","35","31","high","medium","high"
"Project Examples","maxtor-flash-demo-2003","Maxtor Midline Storage Interactive Demo (Adobe Flash)","2003-01-01","Aberdeen Group / Maxtor Corporation","6","7","12","31","medium","low","medium"
"Project Examples","maxtor-midline-evaluation-a8d823","The Maxtor Midline Storage Project: A Historical Evaluation","2026-04-12","Perplexity Computer (AI-generated for Peter S. Kastner)","4","3","15","30","high","high","not-applicable"
"Project Examples","midline-storage-white-paper-jun2003","Mid-Line Disk Storage Emerging as Significant Cost-Saving Opportunity","2003-06-13","Peter Kastner; David Hill / Aberdeen Group","8","10","40","33","high","high","high"
"Project Examples","snap-appliance-snapshot-2003","AberdeenGroup SnapShot: Snap Appliance Inc.","2003-10-15","Peter S. Kastner","19","13","27","44","high","medium","medium"
"Project Examples","technology-themes-2003-04","IT Technology Themes and Trends","2003-10-01","Peter S. Kastner","7","9","32","28","high","high","high"
"Project Examples","sun-as400-main-report-2002-c37e2a","Competing for the IBM AS/400 Market: A Report to the Management of Sun Microsystems","2002-04-20","Peter Kastner","19","14","42","30","high","medium","low"
"Project Examples","sun-as400-market-data-2002-5faa8f","Sun AS/400 RAMP Supporting Data: IBM Revenue, iSeries Pricing Benchmarks, Installed Base, and US Business Size Statistics","2002-04-20","Peter Kastner","5","13","45","31","high","medium","medium"
"Project Examples","sun-as400-presentation-2002-9d925e","Sun's AS/400 Market Opportunity — Aberdeen Presentation to Sun Microsystems","2002-04-20","Peter Kastner","5","8","18","29","medium","medium","low"
"Project Examples","top-iseries-isvs-2002-2e8695","Top iSeries ISVs — IBM Business Partner Directory Appendix","2002-04-20","Peter Kastner (compiler)","10","6","19","26","medium","low","not-applicable"
"Project Examples","world-it-spending-2002-2005-2265a2","World IT Spending 2002-2005: Timing the Recovery","2002-04-01","Aberdeen Group","2","0","27","25","medium","low","medium"
"Project Examples","kastner-technology-breadth-memoir-2026","Kastner Technology Breadth Memoir: Forty-Seven Years Across the Computing Stack","2026-05-05","Peter S. Kastner","17","15","74","24","high","high","not-applicable"
"aberdeen-group-inc","1999pr~1-c5516b","Aberdeen's IT Professional Services Practice — Coverage Areas","1999-01-01","Aberdeen Group","69","20","25","26","medium","medium","medium"
"aberdeen-group-inc","1999pr~2-cd0049","Internal Memo: Template for Next Round of Practice Summaries","1999-04-11","Wayne Kernochan","16","17","25","26","medium","high","medium"
"aberdeen-group-inc","cispra~1-23a333","Customer Interaction Software: 1998 Practice Summary","1998-05-01","Aberdeen Group","33","15","29","26","medium","high","high"
"aberdeen-group-inc","data-know-69ab04","Expanding the Data Knowledge Practice","2000-01-01","Bob Moran","8","13","21","26","medium","high","high"
"aberdeen-group-inc","dbmspr~1-7c854e","Data Management: 1998 Practice Summary","1998-05-01","Aberdeen Group","23","22","30","25","medium","high","high"
"aberdeen-group-inc","develo~1-d25652","Development Tools: 1998 Practice Summary","1998-05-01","Aberdeen Group","19","20","30","26","medium","medium","medium"
"aberdeen-group-inc","dssune~1-cbf6e3","Data Knowledge: 1998 Practice Summary","1998-07-01","Aberdeen Group","28","20","30","26","medium","high","high"
"aberdeen-group-inc","ecprac~1-a7d0e4","Electronic Commerce: 1998 Practice Summary","1998-05-01","Aberdeen Group","53","22","30","25","medium","high","high"
"aberdeen-group-inc","ecpspr~1-4968bf","Electronic Commerce Professional Services: 1998 Practice Summary","1998-05-01","Aberdeen Group","29","14","30","25","medium","high","high"
"aberdeen-group-inc","erppsp~1-31f088","ERP Professional Services: 1998 Practice Summary","1998-05-01","Aberdeen Group","30","16","30","25","medium","medium","high"
"aberdeen-group-inc","erpv2p~1-b15573","Enterprise Resource Planning: 1998 Practice Summary","1998-05-01","Aberdeen Group","29","29","32","25","medium","high","high"
"aberdeen-group-inc","fixups~1-a1d68b","Practice Summary Production Editing Notes","1998-01-01","Aberdeen Group","2","1","5","23","low","low","not-applicable"
"aberdeen-group-inc","health~1-056358","Healthcare: 1998 Industry Practice Summary","1998-05-01","Aberdeen Group","24","14","25","25","medium","medium","high"
"aberdeen-group-inc","intern~1-45df51","Internet Infrastructures: 1998 Practice Summary","1998-05-01","Aberdeen Group","17","18","25","25","medium","high","high"
"aberdeen-group-inc","manage~1-b299e4","Managed Carrier Services: 1998 Practice Summary","1998-05-01","Aberdeen Group","17","10","23","31","medium","medium","high"
"aberdeen-group-inc","middle~1-a64fa0","Middleware Technology: 1998 Practice Summary","1998-05-01","Aberdeen Group","17","14","23","30","medium","high","high"
"aberdeen-group-inc","mockup~1-ca8fde","Network Operating Systems: 1998 Practice Summary — Mockup/Template","1998-05-01","Aberdeen Group","6","5","10","27","low","medium","high"
"aberdeen-group-inc","networ~1-96462b","Networking: 1998 Practice Summary","1998-05-01","Aberdeen Group","16","13","23","25","medium","medium","high"
"aberdeen-group-inc","nospra~1-bd7d6a","Network Operating Systems: 1998 Practice Summary","1998-05-01","Aberdeen Group","8","14","20","26","medium","low","high"
"aberdeen-group-inc","ntpspr~1-728dc3","NT Professional Services: 1998 Practice Summary","1998-05-01","Aberdeen Group","23","12","22","27","medium","medium","medium"
"aberdeen-group-inc","ntserv~1-56bd94","Windows NT Server: 1998 Practice Summary","1998-05-01","Aberdeen Group","17","14","23","27","medium","medium","high"
"aberdeen-group-inc","retail~1-d5de79","Retail: 1998 Industry Practice Summary","1998-05-01","Aberdeen Group","22","13","25","25","medium","high","high"
"aberdeen-group-inc","securi~1-3e7ced","Information Security: 1998 Practice Summary","1998-05-01","Aberdeen Group","15","10","24","25","medium","high","high"
"aberdeen-group-inc","standr~1-e09ed6","Fax Cover Sheet — Kastner to Michael Lindgren","2026-04-11","Peter S. Kastner","3","2","2","23","low","low","not-applicable"
"aberdeen-group-inc","storag~1-262bc7","Storage & Storage Management: 1998 Practice Summary","1998-05-01","Aberdeen Group","22","13","22","25","medium","high","high"
"aberdeen-group-inc","system~1-36ba8c","Systems and Network Management: 1998 Practice Summary","1998-05-01","Aberdeen Group","12","10","24","25","medium","high","high"
"aberdeen-group-inc","teleco~1-c01702","Telecommunications: 1998 Practice Summary","1998-11-01","Aberdeen Group","30","18","25","26","medium","high","high"
"aberdeen-group-inc","utilit~1-0596b5","Utilities: 1998 Industry Practice Summary","1998-05-01","Aberdeen Group","20","12","20","25","medium","high","high"
"aberdeen-group-inc","workst~1-d22401","Technical Workstations: 1998 Practice Summary","1998-05-01","Aberdeen Group","18","15","20","26","medium","low","high"
"kastner-author","10ibmiss-f66945","Ten Issues for IBM Mainframe MIS Executives","1991-01-01","Peter S. Kastner","8","17","30","23","high","medium","high"
"kastner-author","1988-encore-oltp-market-tps-needs-deee45","OLTP Market Transaction Processing Needs: A Vertical Market Analysis for Encore Computer","1988-01-01","Peter S. Kastner / Aberdeen Group","12","8","20","26","high","medium","medium"
"kastner-author","1989-vidmar-as400-hp3000-and-metadata-a32d04","IBM AS/400 vs. HP 3000 Marketplace Analysis for Stanley-Vidmar","1989-01-01","Peter S. Kastner / Aberdeen Group","10","10","20","25","high","medium","high"
"kastner-author","1990-bull-rdbms-1990-and-2024-metadata-fe61bf","Ingres/Sybase Customer Satisfaction Survey for Bull Corporate Strategy & Marketing","1990-03-28","Peter S. Kastner / Aberdeen Group","15","8","20","24","high","medium","high"
"kastner-author","1991-apple-c-s-e9ffd7","Front-Ends and Apple Computer in the 1990s","1991-01-09","Peter S. Kastner / Aberdeen Group","20","15","25","26","high","high","high"
"kastner-author","1991-encore-and-metadata-47f414","Encore Computer Series 91 & 93: Proposed 1991-1993 Market Strategy for Financial and Information Services Industries","1991-01-01","Peter S. Kastner / Aberdeen Group","15","13","35","19","high","medium","low"
"kastner-author","1992-sapiens-and-metadata-0608b6","Sapiens International Corporation Technology Review","1992-02-24","Peter S. Kastner / Aberdeen Group","7","12","25","18","high","high","high"
"kastner-author","1992-tpc-benchmarks-vp-745fa1","Better Performance and Lower Prices Through TPC Benchmarks","1992-03-15","Aberdeen Group","11","16","40","15","high","medium","high"
"kastner-author","1992-tpc-benchmarks-vp-ed0e0d","Better Performance and Lower Prices Through TPC Benchmarks","1992-03","Peter S. Kastner / Aberdeen Group","8","9","32","31","high","medium","high"
"kastner-author","1993-hercules-sap-28344a","Aberdeen Group Recommendation: HP 9000 Series 800 for SAP R3 Implementation at Hercules, Inc.","1993-06-16","Peter S. Kastner / Aberdeen Group (signed by John R. Logan, VP)","12","12","28","18","high","high","high"
"kastner-author","1996-electronic-commerce-25d31b","Electronic Commerce: Virtual Corporations Selling to a Virtual Marketplace","1996","Peter S. Kastner; Christopher Stevens","3","10","18","29","high","high","high"
"kastner-author","1996-sequent-38f0b1","Emerging Technologies: Assessing Strategic Benefits","1996-05-01","Peter S. Kastner","7","10","35","43","high","medium","high"
"kastner-author","1997-ca-s-unicenter-tng-framework-pk-apr-50d15f","CA's Unicenter TNG Framework: Entry-Level for the Industry's Best Enterprise Management Software Solution","1997-07-14","Peter S. Kastner","8","8","25","25","high","medium","medium"
"kastner-author","1997-dynaflo-systems----e-mail-for-the-b-854582","DynaFlo Systems: E-Mail For The Business Masses","1997-07-01","Peter Kastner and Dan Taylor","5","4","16","11","low","medium","medium"
"kastner-author","1997-marathon's-endurance-4000--imp-psk-f83368","Marathon's Endurance 4000: Bringing Fault Tolerance to NT Servers & Clusters","1997-02-07","Peter S. Kastner","10","6","21","21","high","medium","high"
"kastner-author","1997-microsoft-nt-scalability-day--the-e-6460e2","Microsoft NT Scalability Day: The Emperor Has No Clothes","1997-05-21","Peter S. Kastner","9","8","22","21","high","medium","high"
"kastner-author","1997-oracle8-the-database-for-network-computing-674c9d","Oracle8: The Database For Network Computing","1997-12-10","Peter S. Kastner","5","9","22","20","high","high","high"
"kastner-author","1998-enterprise-application-integration-advanced-techno-71496c","Enterprise Application Integration: Advanced Technologies and a Sense of Process","1998-12-01","Peter S. Kastner, Ed Black, Jeanine Fournier","14","7","18","18","high","high","high"
"kastner-author","1998-hp-high-availability-and-metadata-7d1276","Aberdeen Group Flash Report: High Availability Marketing Messages","1998-10-28","Peter Kastner; Thomas Willmott; John Logan","17","11","35","33","low","low","low"
"kastner-author","1998-pc-impact-and-metadata-e2a169","Don't Fall for the Siren-Song Price of Under-powered Desktop PCs","1998-09-10","Peter S. Kastner","5","17","41","38","low","low","low"
"kastner-author","1998as400-1-146289","Aberdeen Group's Analysis of The AS/400e in 1998: Changing The Game — Striving To Change Perceptions","1998-02-24","Peter S. Kastner (with John Logan)","13","24","33","25","high","high","high"
"kastner-author","1999-e-learning-in-the-enterprise-psk-d0fc8a","e-Learning in the Enterprise","1999-11-01","Peter S. Kastner","13","9","30","19","high","high","high"
"kastner-author","1999-uit15p-ca-unicenter-infrastructure-psk-d88ad8","What's So Important About Infrastructure? (Session UIT15P, CA Unicenter Conference 1999)","1999-01-01","Peter S. Kastner","10","12","21","24","medium","medium","medium"
"kastner-author","2001-aberdeen-group-recent-publications-psk-2be54d","Aberdeen Group Recent Publications — Peter S. Kastner Edition (2001)","2001-12-01","Peter S. Kastner (compiler); multiple Aberdeen Group analysts","35","15","44","18","high","medium","high"
"kastner-author","2001-hp-camera-lab-journal-prod-d90f3f","Caveat Emptor: HP's Consumer IT Leadership Needs New Focus on Consumers","2001-12-05","Peter Kastner","4","7","20","15","medium","low","medium"
"kastner-author","2001-hp-compaq-kastner-insight1-d6dc38","The HP-Compaq Merger: If There's the Will, There's a Way","2001-09-06","Peter S. Kastner","12","5","18","29","high","high","high"
"kastner-author","2001-hp-cpq-merger-collection-edbca1","HP's Acquisition of Compaq: Beyond the Naysayers, the Promise and the Opportunity","2001-09-01","Peter Kastner; Robert Dorin; Bill Claybrook; Aberdeen Group Research Team","10","9","30","24","high","medium","medium"
"kastner-author","2001-living-with-windows-xp-media-player-and-wireless-s-02f8a8","Living with Windows XP Media Player and Wireless Support","2001-11-01","Peter S. Kastner","3","5","11","24","medium","low","high"
"kastner-author","2001-upgrading-to-windows-xp-a-long-and-winding-road-ps-81e090","Upgrading to Windows XP: A Long and Winding Road","2001-11-01","Peter S. Kastner","10","5","12","18","high","medium","high"
"kastner-author","2002-amd-s-gigahertz-equiva-nexperienced-buyers-accept--6f6050","AMD's Gigahertz Equivalency: Inexperienced Buyers Accept Bad Science","2002-03-01","Peter S. Kastner","4","3","13","25","high","high","high"
"kastner-author","2002-beyond-windows-8-way-servers-why-businesses-are-de-6828b2","Beyond Windows 8-Way Servers: Why Businesses Are Deploying the Unisys ES7000","2002-07-01","Peter Kastner","5","4","14","25","medium","medium","high"
"kastner-author","2002-cable-and-telco-companies-battle-for-home-internet-2baa0b","Cable and Telco Companies Battle for Home Internet Gateway and Network","2002-06-13","Russ Craig, Peter Kastner","5","6","14","18","high","high","high"
"kastner-author","2002-does-intel-s-decision-not-to-manufactur-iniband-si-0bd64b","Does Intel's Decision Not To Manufacture InfiniBand Silicon Damage the Initiative?","2002-08-01","Russ Craig, Peter S. Kastner","5","3","13","19","high","high","high"
"kastner-author","2002-hp-s-consumer-pc-business-will-shrink-psk-ef3cd5","HP's Consumer PC Business Will Shrink","2002-03-29","Peter S. Kastner","6","3","13","18","high","medium","medium"
"kastner-author","2002-it-purchasing-the-view-from-the-end-of-the-tunnel--f63cde","IT Purchasing: The View From the End of the Tunnel","2002-08-01","Peter S. Kastner","4","4","13","18","high","medium","high"
"kastner-author","2002-the-new-hp-stands-up-to-be-counted-psk-35453a","The New HP Stands Up to be Counted","2002-11-15","Peter S. Kastner","8","6","16","26","high","medium","medium"
"kastner-author","2002-undercutting-and-upselling-dell-s-foray-into-the-h-3d70b1","Undercutting and Upselling: Dell's Foray into the Handheld Market","2002-08-01","Isaac Ro, Peter Kastner","6","5","17","18","medium","low","medium"
"kastner-author","2002-webex--taking-conferencing-to-the-summit-05f195","WebEx: Taking Conferencing to the Business Communications Summit","2002-04-01","Aberdeen Group","5","15","36","39","high","medium","high"
"kastner-author","2002-webex-taking-conferencing-to-the-business-communic-85e330","WebEx: Taking Conferencing to the Business Communications Summit","2002-04-01","Peter S. Kastner","5","8","17","19","high","high","high"
"kastner-author","2002-wi-fi-s-new-standard-802-11a-will-offer-the-best-b-795f0c","Wi-Fi's New Standard: 802.11a Will Offer the Best Bandwidth for the Buck","2002-01-01","Isaac Ro, Peter Kastner","3","5","13","19","medium","low","low"
"kastner-author","2003-dell-ars-white-paper-53d13d","Dell Asset Recovery Services: An Effective Solution to a Very Real Problem","2003-07-01","Aberdeen Group","10","9","40","18","high","medium","high"
"kastner-author","2003-dell-asset-recovery-services-white--142827","Dell Asset Recovery Services: a Trustworthy Partner for Eliminating Aging IT Assets","2003-07-01","Peter S. Kastner / Aberdeen Group","2","4","18","16","medium","high","high"
"kastner-author","2003-dell-dives-deeper-d35985","Aberdeen: Dell dives deeper, wider into enterprise","2003-04-16","Peter S. Kastner","10","7","13","27","medium","medium","not-applicable"
"kastner-author","2003-intel-consumer-lt-10-5-8c346e","LaGrande Technology: A Proposal for Consumer Market Research","2003-10-05","Peter S. Kastner","8","5","28","13","medium","high","high"
"kastner-author","2003-sars-electronics-supply-chain-ec0375","Asian Virus Casts Shadow Over Supply Chain: SARS Impact on Asia/Pacific Semiconductor and Electronics Manufacturing","2003-04-16","Russ Craig; Peter S. Kastner","21","7","20","31","high","high","high"
"kastner-author","2004-03-intelitaniummfewp11.doc-618d4a","Intel's Itanium: Ready and Desirable for Mainframe-Class Workloads","2004-03-01","Aberdeen Group","15","10","45","18","high","medium","low"
"kastner-author","2004-05dell-storage-profile-editpk-05170-3c00b1","Dell: Applying Its Business Value Model to Storage","2004-05","David Hill; Peter S. Kastner","15","15","20","32","high","high","medium"
"kastner-author","2004-aberdeentelelogicagrfinal-5-8fd44a","Aberdeen Group Consulting Agreement — Telelogic (February 2004)","2004-02-26","Aberdeen Group","5","2","15","28","medium","low","not-applicable"
"kastner-author","2005-fall-idf-schedule-b5e6c4","Industry Analyst Relations at Fall IDF 2005 — Peter Kastner Personalized Schedule","2005-08-18","Liz Ryon (Intel SAS-Industry Analyst Relations Group)","18","7","10","24","medium","low","not-applicable"
"kastner-author","2006-amd-ati-acquisition-cf19ff","AMD's Acquisition of ATI: Upsetting the Equilibrium","2006-07-27","Peter S. Kastner","8","7","16","25","medium","medium","not-applicable"
"kastner-author","2006-unisyswipro-rs-3747-a7e31e","Can Unisys-Wipro Alliance Cover All Outsourcing Bases?","2006-11-01","Aberdeen Group","4","9","30","38","medium","medium","medium"
"kastner-author","2010-intel-ia-continuum-wp-1-2-fc5653","Intel's IA Continuum Strategy Anticipates a Much Broader Computing Market","2010","Peter S. Kastner","14","15","28","29","high","high","high"
"kastner-author","2010-intel-vpro-daily-globe-6f615e","2010 Business Computers Leave the Starting Gate","2010-02-04","Peter S. Kastner","11","9","40","38","medium","medium","high"
"kastner-author","2026-kastner-core-arguments-framework-0b0c6b","Kastner's Core Arguments and Framework: A Wiki-Driven Synthesis from the Aberdeen-Group-Archive","2026-05-16","Peter S. Kastner (assembled with Perplexity Computer using archival-ingest v18)","21","18","148","28","high","high","not-applicable"
"kastner-author","2026-kastner-intel-longitudinal-776f7e","Intel Corporation Across Five Decades of the Kastner Archive: Technology Emergence, Decline, and the x86 Market Calls","2026-05-17","Peter S. Kastner (assembled with Perplexity Computer using archival-ingest v18)","18","26","98","34","high","high","high"
"kastner-author","2026-kastner-prescience-methodology-demo-0cdf48","A Worked Example: Quantifying Analyst Prescience Using the Kastner IT Research Archive","2026-05-16","Peter S. Kastner (subject/reviewer) and Perplexity Computer (methodology architect)","15","18","98","33","high","high","not-applicable"
"kastner-author","2026-kastner-top-100-economic-calls-2a98a7","Top 100 Kastner Economic Calls: Ranked by Per-Study Share-of-Prescience Net Attributed Value","2026-05-16","Peter S. Kastner (subject/reviewer) and Perplexity Computer (methodology architect)","26","4","109","25","high","high","not-applicable"
"kastner-author","aberdeen-1995-universal-servers-rdbms-technology-next-decade","Universal Servers: RDBMS Technology for the Next Decade","1995-06-03","Peter S. Kastner, Wayne Kernochan (Aberdeen Group)","9","9","28","12","high","high","high"
