# Source: access PC Deals 2002-2003.xls

## Sheet: Consumer (2160 rows x 12 cols)
[r0] PricingDate | PCmaker | SKU | ListPrice | CPUclass | CPUspeed | Memory | HDD | Opticals | Monitor | Printer | Merchant
[r84] 2002-10-20 | Compaq | Presario 6000Z | 923 | Athlon 1800+ | 1.67 | 256 DDR | 60 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
[r85] 2002-10-13 | Compaq | Presario 6000Z | 903 | Athlon 1800+ | 1.67 | 256 DDR | 60 | CD-RW | 17" Compaq CV7500 |  | www.athome.compaq.com
[r86] 2002-08-11 | Compaq | Presario 6000Z | 1199 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW | 17" Compaq CV7500 |  | Staples Stores
[r87] 2002-09-29 | Compaq | Presario 6016US | 969.91 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 15" Compaq MV5500 |  | CompUSA Stores
[r88] 2002-09-22 | Compaq | Presario 6016US | 740.25 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | none |  | www.pcrush.com
[r89] 2002-09-15 | Compaq | Presario 6016US | 869.99 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 15" Compaq MV5500 |  | Circuit City Stores
[r90] 2002-09-07 | Compaq | Presario 6016US | 799.99 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | none |  | www.bestbuy.com
[r91] 2002-08-31 | Compaq | Presario 6016US | 819.91 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 15" Compaq MV5500 |  | CompUSA Stores
[r92] 2002-08-24 | Compaq | Presario 6016US | 869.99 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 15" Compaq MV5500 |  | Circuit City Stores
[r93] 2002-08-18 | Compaq | Presario 6016US | 819.99 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 15" Compaq MV5500 |  | Circuit City Stores
[r94] 2002-08-11 | Compaq | Presario 6016US | 999.97 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 17" Compaq FS7550 |  | BestBuy Stores
[r95] 2002-07-29 | Compaq | Presario 6016US | 1049.97 | Athlon 1800+ | 1.53 | 512 DDR | 60 | CD-RW; DVD-ROM | 17" Compaq FS7550 |  | BestBuy Stores
[r96] 2002-09-29 | Compaq | Presario 6027US | 899.99 | Pentium 4 | 2.0A | 512 DDR | 80 | CD-RW; DVD-ROM | none |  | www.circuitcity.com
[r97] 2002-09-22 | Compaq | Presario 6027US | 1149.99 | Pentium 4 | 2.0A | 512 DDR | 80 | CD-RW; DVD-ROM | 17" Compaq FS7550 |  | Circuit City Stores
[r98] 2002-09-07 | Compaq | Presario 6027US | 1149.99 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 |  | BestBuy Stores
[r99] 2002-08-31 | Compaq | Presario 6027US | 1099.91 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 |  | CompUSA Stores
[r100] 2002-08-24 | Compaq | Presario 6027US | 1049.97 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | none |  | Best Buy stores
[r101] 2002-08-18 | Compaq | Presario 6027US | 1007.89 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | none |  | www.circuitcity.com
[r102] 2002-08-11 | Compaq | Presario 6027US | 1249.99 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 |  | Circuit City Stores
[r103] 2002-07-29 | Compaq | Presario 6027US | 1099.99 | Pentium 4 | 2.0A | 512 DDR | 80 | DVD-ROM; CD-RW | none |  | www.bestbuy.com
[r104] 2002-10-06 | Compaq | Presario 6029US | 1049.88 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | none |  | Circuit City Stores
[r105] 2002-09-29 | Compaq | Presario 6029US | 899.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | none |  | Circuit City Stores
[r106] 2002-09-22 | Compaq | Presario 6029US | 1299.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | 17" Compaq FS7550 |  | Circuit City Stores
[r107] 2002-09-15 | Compaq | Presario 6029US | 1349.94 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | 17" Compaq FS7550 |  | CompUSA Stores
[r108] 2002-09-07 | Compaq | Presario 6029US | 1149.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | none |  | www.bestbuy.com
[r109] 2002-08-31 | Compaq | Presario 6029US | 1149.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | none |  | www.bestbuy.com
[r110] 2002-08-24 | Compaq | Presario 6029US | 1249.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | 17" Compaq FS7500 |  | Circuit City Stores
[r111] 2002-08-18 | Compaq | Presario 6029US | 1249.99 | Athlon 2100+ | 1.73 | 512 DDR | 80 | DVD-RW/CD-RW Combo Drive | 17" Compaq FS7500 |  | Circuit City Stores
[r112] 2002-10-06 | Compaq | Presario 6310US | 599.99 | Athlon 1800+ | 1.53 | 128 DDR | 40 | DVD-ROM | 17" Compaq MV7500 |  | Circuit City stores
[r113] 2002-10-20 | Compaq | Presario 6310US | 599.99 | Athlon 1800+ | 1.67 | 128 SDRAM | 40 | CD-RW | Compaq 17" MV7500 | HP 3820 | Circuit City stores
[r114] 2002-11-17 | Compaq | Presario 6330US | 1049.99 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | Circuit City Stores
[r115] 2002-11-03 | Compaq | Presario 6330US | 799.99 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | www.bestbuy.com
[r116] 2002-10-27 | Compaq | Presario 6330US | 899.99 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | www.bestbuy.com or www.circuitcity.com
[r117] 2002-10-20 | Compaq | Presario 6330US | 749.99 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq CV7500 | HP 3820 | www.bestbuy.com or www.circuitcity.com
[r118] 2002-10-13 | Compaq | Presario 6330US | 899.99 | Pentium 4 | 2.0A | 256 DDR | 60 | DVD-ROM; CD-RW | 17" Compaq CV7500 | HP 3820 | BestBuy & Circuit City Stores
[r119] 2002-11-17 | Compaq | Presario 6350US | 1149.97 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | Office Depot Stores
[r120] 2002-11-10 | Compaq | Presario 6350US | 1149.99 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | Circuit City or CompUSA Stores
[r121] 2002-11-03 | Compaq | Presario 6350US | 1099.97 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | Office Depot Stores
[r122] 2002-10-27 | Compaq | Presario 6350US | 899.91 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | CompUSA Stores
[r123] 2002-10-20 | Compaq | Presario 6350US | 999.99 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq CV7550 |  | www.circuitcity.com
[r124] 2002-10-13 | Compaq | Presario 6350US | 999.99 | Pentium 4 | 2.4 | 512 DDR | 80 | DVD-ROM; CD-RW | 17" Compaq CV7550 | HP 3820 | Circuit City stores
[r125] 2002-11-10 | Compaq | Presario 6370US | 1099.99 | Pentium 4 | 2.53 | 512DDR | 120 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r126] 2002-11-03 | Compaq | Presario 6370US | 1049.99 | Pentium 4 | 2.53 | 512DDR | 120 | DVD-ROM; CD-RW |  |  | www.circuitcity.com
[r127] 2002-10-27 | Compaq | Presario 6370US | 1149.99 | Pentium 4 | 2.53 | 512DDR | 120 | DVD-ROM; CD-RW | 17" Compaq FS7550 | HP 3820 | Circuit City stores
[r128] 2002-08-24 | Compaq | Presario 8000T | 1155 | Pentium 4 | 2.26 | 512 DDR | 80 | CD-RW | 17" Compaq CV7550 |  | athome.compaq.com
[r129] 2002-08-18 | Compaq | Presario 8000T | 1264 | Pentium 4 | 2.26 | 512 DDR | 80 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
[r130] 2002-08-11 | Compaq | Presario 8000T | 1264 | Pentium 4 | 2.26 | 512 DDR | 80 | CD-RW | 17" Compaq CV7500 |  | www.athome.compaq.com
[r131] 2002-07-29 | Compaq | Presario 8000T | 1264 | Pentium 4 | 2.26 | 512 DDR | 80 | CD-RW | 17" Compaq CV7500 |  | www.athome.compaq.com
[r132] 2002-10-20 | Compaq | Presario 8000T | 1322 | Pentium 4 | 2.4 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7500 |  | www.athome.compaq.com
[r133] 2002-10-13 | Compaq | Presario 8000T | 1302 | Pentium 4 | 2.4 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7500 |  | www.athome.compaq.com
[r134] 2002-10-06 | Compaq | Presario 8000T | 1302 | Pentium 4 | 2.4 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7500 |  | www.athome.compaq.com
[r135] 2002-09-29 | Compaq | Presario 8000T | 1293 | Pentium 4 | 2.4 | 512 DDR | 120 | DVD-ROM | 17" Compaq CV7500 |  | www.athome.compaq.com
[r136] 2002-09-22 | Compaq | Presario 8000T | 1159 | Pentium 4 | 2.4 | 512 DDR | 80 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
[r137] 2002-09-22 | Compaq | Presario 8000T | 1677 | Pentium 4 | 2.4 | 1 GB DDR | 80 | DVD+RW/+R | 17" Compaq CV7550 |  | www.athome.compaq.com
[r138] 2002-09-15 | Compaq | Presario 8000T | 1159 | Pentium 4 | 2.4 | 512 DDR | 80 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
[r139] 2002-09-15 | Compaq | Presario 8000T | 1677 | Pentium 4 | 2.4 | 1 GB DDR | 80 | DVD+RW/+R | 17" Compaq CV7550 |  | www.athome.compaq.com
[r140] 2002-09-07 | Compaq | Presario 8000T | 1139 | Pentium 4 | 2.4 | 256 DDR | 80 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
[r141] 2002-08-31 | Compaq | Presario 8000T | 1164 | Pentium 4 | 2.4 | 256 DDR | 80 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
[r142] 2002-10-20 | Compaq | Presario 8000T | 1692 | Pentium 4 | 2.8 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r143] 2002-10-13 | Compaq | Presario 8000T | 1692 | Pentium 4 | 2.8 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r144] 2002-10-06 | Compaq | Presario 8000T | 1692 | Pentium 4 | 2.8 | 512 DDR | 120 | DVD-ROM; CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r145] 2002-09-29 | Compaq | Presario 8000T | 1683 | Pentium 4 | 2.8 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r146] 2002-09-22 | Compaq | Presario 8000T | 1599 | Pentium 4 | 2.8 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r147] 2002-09-15 | Compaq | Presario 8000T | 1599 | Pentium 4 | 2.8 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r148] 2002-09-07 | Compaq | Presario 8000T | 1659 | Pentium 4 | 2.8 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r149] 2002-08-31 | Compaq | Presario 8000T | 1684 | Pentium 4 | 2.8 | 512 DDR | 120 | CD-RW | 17" Compaq CV7550 Flat Screen  |  | www.athome.compaq.com
[r150] 2002-09-22 | Compaq | Presario 8000T | 989 | Pentium 4 | 2.0A | 256 DDR | 40 | CD-RW | 17" Compaq CV7550 |  | www.athome.compaq.com
