"row_id","article_seq","date","headline","publication","author","content_type","kastner_quotation","immediate_context","is_predictive","prescience_score","prescience_rationale","forecast_horizon_years","theme","decade","accuracy_outcome","verdict_rationale","verdict_sources","pipeline_route_reason"
"174","96","1999-04-23","CA Division Eyes Business-Process Management","VARBusiness","Timothy Long","press-article","This is totally new and different. No one else is working in this space.","Computer Associates created a new InterBiz Solutions division to deliver turnkey e-commerce solutions. Kastner commented on CA's move into business-process management technology.","yes","low","Kastner claimed no one else was working in the business-process management space in 1999. In reality the BPM software market was already forming with multiple vendors (Pegasystems, Staffware, FileNet, etc.); this assessment proved incorrect.","3","e-commerce-and-internet","1990s","","","","pdf_format_mismatch"
"175","97","2001-09-17","Hi-Tech Execs: Fed Rate Cut Was a Necessary Move","VARBusiness","Joy D. Russell","press-article","It will take the world markets some days to adjust to last Tuesday's tragedies, and any other military events yet to occur, but the economic underpinning for a classic fiscal turnaround is now in place.","Kastner was among hi-tech industry executives commenting on the Fed rate cut. He noted the missing ingredient would be consumer confidence.","yes","medium","Kastner predicted the economic underpinning for a fiscal turnaround was in place within days of 9/11. The US did enter recovery in late 2001/early 2002 after a brief recession, though military actions (Afghanistan, then Iraq) created ongoing uncertainty; the basic direction was correct.","1","vendor-strategy-and-ma","2000s","","","","pdf_format_mismatch"
"176","98","2001-09-19","Biz Travel Flies at Net Speed","Wired.com","","press-article","Since you can't guarantee that you can catch the red-eye and be in California tomorrow, you need a backup plan.","Aberdeen planned to hold more teleconferences and organize more internet-based meetings as a result of post-September 11 travel uncertainty. Companies were turning to remote communications technologies.","no","not-applicable","Observational — current-state analysis.","0","storage","2000s","","","","pdf_format_mismatch"
"177","99","2001-11-19","E-Commerce Getting Ready for a Lean, Mean 2002","E-Commerce Times","Lou Hirsh","online-article","It's going to stay tight for the short term, and companies need to brace for continued weakness in the market for at least the first two quarters of 2002,","spending priorities to security and customer retention programs. Brace Yourself ""It's going to stay tight for the short term, and companies need to brace for continued weakness in the market for at least the first two quarters of 2002,"" said Peter Kastner, chief research officer for Aberdeen Group. Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and companies can no longer build their futures on spending-fueled buzz and marketing hy","yes","medium","Kastner predicted tech spending would stay tight through at least the first two quarters of 2002; the IT recession did persist through most of 2002 though recovery signs appeared in late 2002 to early 2003 making this roughly accurate but slightly pessimistic.","1","security","2000s","","","","pdf_format_mismatch"
"178","99","2001-11-19","E-Commerce Getting Ready for a Lean, Mean 2002","E-Commerce Times","Lou Hirsh","online-article","The Internet gold rush is over,","up. Now more than ever, said Kastner, basic business principles are coming into play for e-commerce, and companies can no longer build their futures on spending-fueled buzz and marketing hype. ""The Internet gold rush is over,"" said Kastner. ""Businesses are putting their dreams more in line with reality. They're using a much sharper pencil when making their plans and decisions."" Preparing for 2002, companies need more stringent, focused planning than they might have settled for in","yes","high","Kastner declared the Internet gold rush was over; this was an accurate assessment — the dot-com boom had definitively ended and the era of speculative internet investment did not return in the same form.","2","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"179","99","2001-11-19","E-Commerce Getting Ready for a Lean, Mean 2002","E-Commerce Times","Lou Hirsh","online-article","Businesses are putting IT and other elements of their organizations on a much shorter leash,","ing shorter timetables and smaller budgets to get results from projects, and looking to get more value out of the dollars they have already committed. ""Businesses are putting IT and other elements of their organizations on a much shorter leash,"" Kastner said. As a result, Kastner projects only high-single-digit growth in information technology purchases by e-commerce companies in the coming year -- perhaps 7 to 9 percent -- marking a sharp drop from previous yearly increases. In the current atmo","yes","medium","Kastner observed businesses putting IT on a shorter leash; this was directionally correct as IT budget scrutiny increased post-dot-com and companies focused on ROI-driven spending throughout 2002-2004.","3","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"180","99","2001-11-19","E-Commerce Getting Ready for a Lean, Mean 2002","E-Commerce Times","Lou Hirsh","online-article","Aberdeen Group chief research officer Peter Kastner noted that other improvements, which are likely to play out for the rest of the decade, will transform e-commerce in even more ways.","will be able to handle transactions faster, but also could save significant dollars by avoiding merchandise returns that might have resulted from incorrect assembly or use of products. Aberdeen Group chief research officer Peter Kastner noted that other improvements, which are likely to play out for the rest of the decade, will transform e-commerce in even more ways. As wireless devices become more Web-compatible, and as server size continues to shrink, e-businesses will be able to pro","yes","medium","Kastner noted that improvements would transform e-commerce for the rest of the decade; e-commerce did transform significantly through 2010 though the specific improvements he cited (not fully captured in this fragment) make precise scoring difficult.","8","mobile-and-wireless","2000s","","","","pdf_format_mismatch"
"181","100","2002-02-20","States Claim Microsoft Abusing Settlement Terms","NewsFactor Network","Lisa Gill","press-article","So let me get this straight. IBM, Dell, HP and Compaq aren't big enough, and they need the states' attorneys general to back them up?","The nine non-settling states claimed Microsoft had abused terms of its proposed settlement. Kastner argued PC makers were taking the path of least resistance by fighting through state attorneys general.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"182","100","2002-02-20","States Claim Microsoft Abusing Settlement Terms","NewsFactor Network","Lisa Gill","press-article","And it seems they chose the least attractive alternative, which is to go fight their battles through third-party surrogates in the court. It may be legal, but it's not very efficient.","Kastner said PC makers had several options including avoiding Microsoft products or raising prices but chose to fight through the states instead.","no","not-applicable","Observational — current-state analysis.","0","pcs-and-clients","2000s","","","","not_in_pdf"
"183","100","2002-02-20","States Claim Microsoft Abusing Settlement Terms","NewsFactor Network","Lisa Gill","press-article","The basic issues haven't changed in five years.","Kastner commented on Be Inc. filing suit against Microsoft, saying Microsoft was expecting the big guys like Sun Microsystems to file suit. He also said he expected Microsoft would try to settle the Be case.","no","not-applicable","Observational — current-state analysis.","0","vendor-strategy-and-ma","2000s","","","","not_in_pdf"
"184","101","2002-03-05","Ballmer: Future of Windows at Stake in Settlement","NewsFactor Network","Robyn Weisman","press-article","Obviously, they know nothing about how software is designed, written, tested and profitably marketed. This is not some clean-sheet academic exercise in microeconomics but real-world messing with the business and leisure lives of a hundred million citizens.","Kastner warned that meddling by state attorneys general could cause immeasurable damage to consumers if Microsoft were forced to dismember Windows. Ballmer had released a 143-page deposition arguing the proposed remedies would doom Windows.","no","not-applicable","Observational — current-state analysis.","0","os-and-platforms","2000s","","","","not_in_pdf"
"185","101","2002-03-05","Ballmer: Future of Windows at Stake in Settlement","NewsFactor Network","Robyn Weisman","press-article","The courts rule that because automobile dealers bundle too much together, you are henceforth only allowed to buy the chassis from the car dealer. You'll have to choose, buy and install seats, motor, wheels and tires from other sources.","Kastner offered an analogy explaining why requiring modular Windows would be impractical and harmful to consumers. He agreed with Ballmer's argument about the unworkability of the proposed remedies.","no","not-applicable","Observational — current-state analysis.","0","os-and-platforms","2000s","","","","not_in_pdf"
"186","102","2002-03-20","HP-Compaq Merger Likely to Benefit Business Customers","Kiplinger Washington Editors","Matthew Turosz","press-article","[Computer and electronics outlets] will likely turn to their own private-label machines to plug the gaps on their shelves from the merged firm's product lines.","Kastner predicted that best Buy, Circuit City, and other retailers would offer built-to-order machines following the Dell model to fill shelf space left by the HP-Compaq merger.","yes","high","Kastner predicted retailers would turn to private-label machines to fill gaps left by the HP/Compaq merger's product line rationalization. This proved directionally correct — private-label and white-box PC sales grew at retail, and retailers did use the merger disruption as an opportunity to diversify.","3","pcs-and-clients","2000s","","","","not_in_pdf"
"187","102","2002-03-20","HP-Compaq Merger Likely to Benefit Business Customers","Kiplinger Washington Editors","Matthew Turosz","press-article","Firms can benefit from the changeover, renegotiating more-favorable terms with the temporarily malleable account representatives of the new company.","Kastner advised businesses to review their current contracts with Compaq, which would be subject to new HP contract terms. Companies could use the merger transition to negotiate better deals.","yes","medium","Kastner predicted business customers could benefit by renegotiating favorable terms during the HP/Compaq merger transition. This was a reasonable and broadly correct prediction — account representatives from the newly merged entity were under pressure and many customers did negotiate better terms during the integration period.","2","pcs-and-clients","2000s","","","","not_in_pdf"
"188","103","2002-05-03","Retailers Market Own-Label PCs as Brand Names Begin to Dwindle","Wall Street Journal","Gary McWilliams","press-article","Retailers won't let H-P keep all that valuable shelf space if it completes the purchase of Compaq.","The article covered retailers including Best Buy and RadioShack Canada launching house-brand PCs. Kastner said second- and third-time PC buyers knew enough to accept house brands, especially if built from well-known components like Intel chips.","yes","high","Kastner predicted retailers would not let HP keep all valuable shelf space after the Compaq acquisition and would shift to private-label machines. This proved correct — retailers did reduce HP/Compaq shelf presence, expand private-label and alternative brands, and the merged company lost retail prominence over the following years.","3","pcs-and-clients","2000s","","","","not_in_pdf"
"189","104","2002-05-06","HP Shares Rise After Merger, But Challenges Loom","E-Commerce Times","Teri Robinson","online-article","are largely exclusive","cture in the months to come. In addition, Aberdeen Group chief research officer Peter Kastner told the E-Commerce Times that he expects a ""major upheaval in the company's sales force"" will put a different team of people in front of customers. Kastner noted that the two companies' top accounts ""are largely exclusive"" and that some accounts that once were ranked as Tier 1 ""will be dropped down to Tier 2."" Such a move could anger affected customers. The merger also will open the door for Compaq cus","no","not-applicable","Fragment — too incomplete to evaluate as a standalone quote.","0","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"190","104","2002-05-06","HP Shares Rise After Merger, But Challenges Loom","E-Commerce Times","Teri Robinson","online-article","Such a move could anger affected customers. The merger also will open the door for Compaq customers, if they are big enough, to renegotiate the legal terms of their relationships. Customers will get","wn to Tier 2."" Such a move could anger affected customers. The merger also will open the door for Compaq customers, if they are big enough, to renegotiate the legal terms of their relationships. Customers will get ""new master contracts from HP,"" according to Kastner. Clouds on Horizon Moreover, HP executives are likely to be plagued by a cloud of legal and regulatory review following the public beating they took over the merger vote. ""Enough stuff came out in court to certainly color [HP's actio","yes","medium","Kastner predicted the HP-Compaq merger would give Compaq customers the ability to renegotiate contract terms; this was a reasonable near-term prediction and did occur for some large customers though the scale of customer disruption was broadly mixed.","2","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"191","104","2002-05-06","HP Shares Rise After Merger, But Challenges Loom","E-Commerce Times","Teri Robinson","online-article","potentially the most troubling","the SEC said late last week that it is dropping its investigation. Enderle noted that the federal prosecutors will have more time than Walter Hewlett did to investigate how HP executives might have used their influence in the voting process. And Kastner pointed out that the U.S. attorney's investigation is ""potentially the most troubling"" because it is ""potentially criminal."". ""Anything that distracts management will take away from the end result,"" he said. The newly merged company must find its","no","not-applicable","Fragment — too incomplete to evaluate.","0","vendor-strategy-and-ma","2000s","","","","pdf_format_mismatch"
"192","600","2002-05-16","Microsoft Judge Stakes Out Scope of Settlement","E-Commerce Times","Staff Writer","online-article","Who benefits and why is a reasonable question for the judge to answer,","s' argument before rendering a final decision. The judge would want all the ammunition the states have to offer in order to determine the impact such a remedy would have on the market and on consumers, whom the states are in effect representing, Kastner said. ""Who benefits and why is a reasonable question for the judge to answer,"" he noted. Company Pressure Kastner added that the pressure to impose the modular version of Windows is coming mostly from Microsoft's competitors, not from the consu","no","not-applicable","Observational — a rhetorical question about the HP-Compaq merger legal proceedings rather than a forward-looking prediction.","0","os-and-platforms","2000s","","","","pdf_format_mismatch"
"193","600","2002-05-16","Microsoft Judge Stakes Out Scope of Settlement","E-Commerce Times","Staff Writer","online-article","It's not like there are thousands of consumers picketing, 'We want justice!'","n of Windows is coming mostly from Microsoft's competitors, not from the consumers that the states' attorneys supposedly are representing. ""It's not like there are thousands of consumers picketing, 'We want justice!'"" he said. Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher political office, and that the Microsoft case offers high visibility to the attorneys general involved. ""Draw your own conclusions,"" Kastner said. Microso","no","not-applicable","Observational — a sarcastic comment about the lack of consumer opposition to the HP-Compaq merger.","0","os-and-platforms","2000s","","","","pdf_format_mismatch"
"194","600","2002-05-16","Microsoft Judge Stakes Out Scope of Settlement","E-Commerce Times","Staff Writer","online-article","Draw your own conclusions,","7--- Kastner pointed out that the elected position of state attorney general is often a stepping-stone to higher political office, and that the Microsoft case offers high visibility to the attorneys general involved. ""Draw your own conclusions,"" Kastner said. Microsoft Patches IE Security Flaws By Helen Gallagher, E-Commerce Times 02/03/04 7:28 AM PT Users, especially home workers, small businesses and individuals, could lower their risk of attack immediately by using the Mozilla or Netscape bro","no","not-applicable","Observational — a rhetorical prompt to the reader rather than a prediction.","0","security","2000s","","","","pdf_format_mismatch"
"195","184","2004-02-03","Microsoft Patches IE Security Flaws","E-Commerce Times","Helen Gallagher","online-article","The depressing aspect of all this is exactly a year after Microsoft shut down the company to root out security problems, they continue to crop up with enough frequency to concern both individual and enterprise users, according to our research.","ith too many updates and not getting critical patches out to the people who need them in time to meet the next 'BIG' one. ""By sending this latest IE patch, Microsoft is tacitly admitting they've found problems that need to be fixed right away,"" Kastner said. ""The depressing aspect of all this is exactly a year after Microsoft shut down the company to root out security problems, they continue to crop up with enough frequency to concern both individual and enterprise users, according to our resear","no","not-applicable","Observational — current-state observation about Microsoft's continued security vulnerabilities one year after a major security initiative.","0","security","2000s","","","","pdf_format_mismatch"
"196","601","2002-05-03","New Broadband Legislation Revives Old Debate","E-Commerce Times","Jennifer LeClaire","online-article","It looks like we're heading towards putting Humpty Dumpty back together again, but instead of one big AT&T, we'll end up with four or five regional companies that will end up going national,","ch officer Peter Kastner told the E-Commerce Times. ""It looks like we're heading towards putting Humpty Dumpty back together again, but instead of one big AT&T, we'll end up with four or five regional companies that will end up going national,"" said Kastner. ""And those companies need to be regulated very carefully."" Kastner said Congress should consider the original intentions of the 1996 Telecommunications Act, which was supposed to make DSL ""quite unregulated."" Instead, he said, the RBOCs (reg","yes","medium","Kastner predicted telecom consolidation would result in four or five regional companies going national; partial consolidation did occur (AT&T reconstituted through SBC/Cingular mergers) but the outcome was fewer dominant players than predicted and the structure differed from a simple regional-to-national pattern.","7","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"197","601","2002-05-03","New Broadband Legislation Revives Old Debate","E-Commerce Times","Jennifer LeClaire","online-article","And those companies need to be regulated very carefully.","Kastner predicted the post-1996 broadband market would consolidate into ""four or five regional companies that will end up going national,"" warning that robust regulation of the resulting entities would be essential.","yes","high","The RBOCs did consolidate into a handful of national carriers (Verizon, AT&T, CenturyLink) by the late 2000s — matching Kastner's ""four or five regional companies ending up national"" prediction almost exactly.","8","networking-and-comms","2000s","","","","pdf_format_mismatch"
"198","601","2002-05-03","New Broadband Legislation Revives Old Debate","E-Commerce Times","Jennifer LeClaire","online-article","Legislation is the only answer. It lets the political cooks into the kitchen, but I believe it is going to take a political approach to even out the competitive situation.","egulated."" Instead, he said, the RBOCs (regional Bell operating companies) tromped all over DSL companies and effectively raised barriers to their economic success. ""The 1996 Telecommunications Act set the rules for the catastrophe we have now,"" Kastner said. ""Legislation is the only answer. It lets the political cooks into the kitchen, but I believe it is going to take a political approach to even out the competitive situation."" Revised Dell Q2 Outlook Boosts Market By Jennifer LeClaire E-Comme","yes","low","Kastner predicted legislation was the only answer to competitive imbalance in the telecom/tech market; major legislative remedies did not materialize — instead market forces and regulatory enforcement rather than new legislation shaped the competitive landscape.","5","networking-and-comms","2000s","","","","pdf_format_mismatch"
"200","105","2002-07-12","Revised Dell Q2 Outlook Boosts Market","E-Commerce Times","Jennifer LeClaire","online-article","Kastner agreed that Dell has been increasing its market share in the consumer segment at the expense of Hewlett-Packard (NYSE: HPQ Price War Coming?","ket share from competitors in a climate of weak overall demand. Kastner agreed that Dell has been increasing its market share in the consumer segment at the expense of Hewlett-Packard (NYSE: HPQ Price War Coming? Despite Dell's good news, Kastner noted that the PC market is ripe for a new wave of price wars spurred by increasing inventories and the critical back-to-school buying season. With a slow season leaving many machines in the warehouse, and with an even faster Intel (Nasdaq: INTC) More","no","not-applicable","Observational — current-state observation that Dell was gaining market share at HP's expense in consumer PCs.","0","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"201","105","2002-07-12","Revised Dell Q2 Outlook Boosts Market","E-Commerce Times","Jennifer LeClaire","online-article","We are tracking pricing, and so far there are no major indications of a massive breakdown in established pricing normalcy,","entium processor rumored to be waiting in the wings, PC players are champing at the bit to unload existing inventories. ""We are tracking pricing, and so far there are no major indications of a massive breakdown in established pricing normalcy,"" Kastner said. ""But it could happen at any minute."" Continued Struggles Meanwhile, the PC market continues to suffer from the ""I don't need it now"" syndrome, according to analysts. Corporate upgrade cycles continue to drag, and rapid change in the laptop a","no","not-applicable","Observational — current-state monitoring report noting no major pricing breakdown at the time of the quote.","0","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"202","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times","Teri Robinson","online-article","""The imminent arrival of 64-bit computing has been wildly exaggerated,"" Peter Kastner, executive vice president at Aberdeen Group, told the E-Commerce Times.","as been wildly exaggerated,"" Peter Kastner, executive vice president at Aberdeen Group, told the E-Commerce Times. Not Even Close Delays, technological snags and lack of demand have kept what was once viewed as a promising technology at bay. Kastner noted that in 2000, Hewlett-Packard (NYSE: HPQ) forecast that sales of 64-bit Itanium processors would surpass unit sales of 32-bit chips by the end of 2002. Obviously, that has not come to pass. And a long time will probably elapse before 64-bit bec","yes","high","Kastner warned that the imminent arrival of 64-bit computing had been wildly exaggerated; this proved correct — mainstream 64-bit desktop adoption took until 2005-2007 with Windows Vista/XP x64 and Intel's adoption of AMD64 architecture.","5","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"203","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times","Teri Robinson","online-article","Could a 64-bit microprocessor compatible with 32-bit become [a success] and lead AMD to new riches?","s -- a particularly vital feature for the consumer market. The chip uses the same x86 specification as currently available PC microprocessors. ""Could a 64-bit microprocessor compatible with 32-bit become [a success] and lead AMD to new riches?"" Kastner asked. ""That's what Wall Street is salivating over."" Personally, Kastner said he takes a more conservative view, noting that ""for those of us in the business world trenches, it won't do us a bit of good. We have a more sober forecast for 64-bit go","yes","medium","Kastner raised a skeptical question about whether AMD's 64-bit microprocessor could achieve success; AMD64 did eventually succeed and was adopted by Intel as x86-64 but AMD's financial gains were temporary and it never achieved the lasting dominant riches the question implied.","5","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"204","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times","Teri Robinson","online-article","That's what Wall Street is salivating over.","e same x86 specification as currently available PC microprocessors. ""Could a 64-bit microprocessor compatible with 32-bit become [a success] and lead AMD to new riches?"" Kastner asked. ""That's what Wall Street is salivating over."" Personally, Kastner said he takes a more conservative view, noting that ""for those of us in the business world trenches, it won't do us a bit of good. We have a more sober forecast for 64-bit going forward."" Getting a Leg Up? Still, offering a microprocessor that is","no","not-applicable","Observational — a characterization of investor sentiment toward AMD's 64-bit prospects rather than Kastner's own prediction.","0","pcs-and-clients","2000s","","","","pdf_format_mismatch"
"205","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times","Teri Robinson","online-article","Those that crunch huge numbers or need a lot of memory","Commerce Times. ""They're forcing developers to rewrite all their code. We don't believe they have a technology that addresses the market's needs."" Where Are the Apps? But although AMD and Intel seem to be preparing for battle, Kastner noted that very few applications currently could benefit from the power of 64-bit computing. ""Those that crunch huge numbers or need a lot of memory"" could use the technology, he said. ""Some middleware, particularly databases, can take advantage of the","no","not-applicable","Fragment — too incomplete to evaluate; appears to describe a segment of 64-bit computing users.","0","databases-and-middleware","2000s","","","","pdf_format_mismatch"
"206","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times","Teri Robinson","online-article","rapidly junk Unix units that work and are already paid for.","re simply not likely to ""rapidly junk Unix units that work and are already paid for."" Fly in the Ointment Another fly in the ointment for 64-bit microprocessors is Linux. The marketplace in part depends on how rapidly Linux will be accepted, said Kastner. AMD is positioning itself to exploit the Linux market. The company recently demonstrated a four-way server built around its Opteron chips and used a 64-bit version of the Linux operating system to demonstrate Opteron's ability to work in mid-r","no","not-applicable","Observational — a characterization of the irrationality of rapidly discarding paid-for Unix equipment.","0","os-and-platforms","2000s","","","","pdf_format_mismatch"
"207","608","2003-04-09","What To Expect When You're Expanding - Again","E-Commerce Times","Keith Regan","online-article","Until it's clear there's definitely a recovery under way, the impulse among vendors will be to grab business as a hedge of sorts,","s in other ways too. Analysts say there will be deals aplenty on the way up -- even more so than during the dip. ""Until it's clear there's definitely a recovery under way, the impulse among vendors will be to grab business as a hedge of sorts,"" Kastner said. That may leave room for deal-making, particularly if a company is willing to sign a relatively long-term deal with a vendor, which may lower prices in exchange for the comfort of a multiyear contract. There also may be a pinch in some areas,","yes","medium","Observational — Kastner's commentary on vendor behavior during the early-2000s recovery, captured in Expanding Again feature.","1","vendor-strategy-and-ma","2000s","","","","pdf_format_mismatch"
"208","609","2002-06-25","Whatever Happened to Interactive TV?","E-Commerce Times","Lou Hirsh","online-article","For example, Aberdeen Group chief research officer Peter Kastner told the E-Commerce Times that consumers' time and dollars have become invested in technologies like high-speed broadband Internet, which makes TV unnecessary for services like interactive shopping.","f research officer Peter Kastner told the E-Commerce Times that consumers' time and dollars have become invested in technologies like high-speed broadband Internet, which makes TV unnecessary for services like interactive shopping. In addition, Kastner said, companies like Microsoft (Nasdaq: MSFT) More about Microsoft and Sony (NYSE: SNE) More about Sony are rolling out interactive gaming technologies that will not require a TV set. Early Blunders Overhyped possibilities are not the only obs","yes","high","Highly prescient — Kastner correctly identified that consumer investment in broadband internet would displace TV as the interactive-commerce channel. By 2010s streaming and second-screen behavior on PCs/phones proved this out.","5-10","e-commerce-and-internet","2000s","","","","pdf_format_mismatch"
"209","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times (via Yahoo News)","Teri Robinson","press-article","For those of us in the business world trenches, it won't do us a bit of good. We have a more sober forecast for 64-bit going forward.","Kastner tempered the Wall Street enthusiasm for 64-bit processors by noting limited near-term business application.","yes","high","Kastner's sober forecast for 64-bit computing in enterprise proved correct — widespread 64-bit adoption in mainstream business computing was slow through the mid-2000s, with meaningful enterprise penetration only arriving around 2007–2010 as Windows Vista/7 and server workloads drove it.","7","os-and-platforms","2000s","","","","pdf_format_mismatch"
"210","106","2002-10-03","The Future Microchip Marketplace","E-Commerce Times (via Yahoo News)","Teri Robinson","press-article","Those that crunch huge numbers or need a lot of memory could use the technology. Some middleware, particularly databases, can take advantage of the [memory offered by] 64-bit, and so can some scientific and knowledge management applications.","Kastner identified specific enterprise workloads that would benefit from 64-bit processors in the near term.","yes","high","Databases, scientific computing, and knowledge-management applications did lead 64-bit adoption, exactly as predicted. Oracle, SQL Server, and HPC workloads were the primary early adopters of 64-bit computing.","5","databases-and-middleware","2000s","","","","pdf_format_mismatch"
