"row_id","article_seq","date","headline","publication","author","content_type","kastner_quotation","immediate_context","is_predictive","prescience_score","prescience_rationale","forecast_horizon_years"
"14","10","1989-03-13","Mini vendors adapt in order to survive","Computerworld","Daly, James","press-article","I think we'll be seeing people use their machines for only a few years,","nicomputer makers have suddenly been forced to do some powerful soul- searching. Some analysts said they feel these systems are the beginning of ""throwaway"" workstations. ""I think we'll be seeing people use their machines for only a few years,"" said Peter Kastner, vice-president of Aberdeen Group, a market research firm in Boston. ""By then the technology will have leapfrogged anything you have and you'll get another. And the cost will allow that."" Additionally, most minicomputer makers are quick","yes","high","Kastner predicted short hardware refresh cycles driven by leapfrogging technology costs. The PC industry moved to 2-3 year replacement cycles through the 1990s, driven by rapid performance gains and falling prices — exactly as he foresaw.","5"
"15","11","1989-04-03","Tandem goes to Relational DBMS tools","Computerworld","SOFTWARE & SERVICES Savage, J.A.","press-article","It should improve the overall usability of Tandem products,","systems analyst at the Eugene, Ore.-based retailer Emporium, Inc. Rigney said he expects to improve ease of use by using SQL on his three-CPU Tandem TXP in the next couple of years. ""It should improve the overall usability of Tandem products,"" said Peter Kastner, vice-president of Boston- based consultant The Aberdeen Group, Inc. He said the move is another great stride in reducing the visibility of Tandem's proprietary operating system. Products are expected to be available in the first quarter","yes","medium","Kastner predicted SQL adoption would improve Tandem's usability. Tandem did adopt relational tools, but the product line was eventually subsumed into HP's NonStop SQL; the improvement was real but the company did not survive as an independent entity.","3"
"16","12","1989-04-10","Benchmark gains following","Computerworld","SOFTWARE & SERVICES Gibson, Stanley","press-article","The cost of configuring a mainframe with a communications controller deters many database vendors from undertaking full Debit/Credit implementations, said Peter Kastner, vice-president of the Boston-based Aberdeen Group, Inc., who observed the Software AG tests.","one was simulated. Whether to require a controller is one of the points the TPC is debating. The cost of configuring a mainframe with a communications controller deters many database vendors from undertaking full Debit/Credit implementations, said Peter Kastner, vice-president of the Boston-based Aberdeen Group, Inc., who observed the Software AG tests. The Software AG test was audited by Coopers & Lybrand, which noted that the sustained transaction throughput was 12 minutes for on-line Debit/Cr","no","not-applicable","Observational — current-state analysis.","0"
"17","13","1989-07-24","Tesseract, Walker to be financial software allies","Computerworld","SOFTWARE & SERVICES Moran, Robert","press-article","We are projecting a further consolidation of hardware vendors in the industry,","oston, viewed the alliance as part of a larger trend to fill a shortage in the number of software houses that can fulfill the DB2 needs of Fortune 1,000 corporations. ""We are projecting a further consolidation of hardware vendors in the industry,"" Kastner said, ""and you will see it on the software side as well."" According to Kastner, Aberdeen research indicates that the majority of large IBM sites have pinpointed DB2 as their strategic direction, making the database the de facto standard for lar","yes","high","Kastner predicted further consolidation among hardware vendors. The 1990s saw massive consolidation — Compaq/Digital, HP/Compaq, IBM exiting the PC market, SGI's decline — confirming the prediction substantially.","10"
"18","13","1989-07-24","Tesseract, Walker to be financial software allies","Computerworld","SOFTWARE & SERVICES Moran, Robert","press-article","and you will see it on the software side as well.","e in the number of software houses that can fulfill the DB2 needs of Fortune 1,000 corporations. ""We are projecting a further consolidation of hardware vendors in the industry,"" Kastner said, ""and you will see it on the software side as well."" According to Kastner, Aberdeen research indicates that the majority of large IBM sites have pinpointed DB2 as their strategic direction, making the database the de facto standard for large corporations. As a result, Kastner said, ""it becomes a no-brainer f","yes","high","This is the software-side corollary of row 10's consolidation prediction. Software consolidation followed: Oracle/PeopleSoft/Siebel, SAP dominance, Microsoft's enterprise push all confirmed the trend.","10"
"19","13","1989-07-24","Tesseract, Walker to be financial software allies","Computerworld","SOFTWARE & SERVICES Moran, Robert","press-article","it becomes a no-brainer for software houses to begin to blend their applications using DB2.","the software side as well."" According to Kastner, Aberdeen research indicates that the majority of large IBM sites have pinpointed DB2 as their strategic direction, making the database the de facto standard for large corporations. As a result, Kastner said, ""it becomes a no-brainer for software houses to begin to blend their applications using DB2."" The companies plan, for example, to integrate such systems functions as employee expense, third-party payment and payroll accounting across both sys","yes","high","Kastner predicted software houses would adopt DB2 as a standard integration platform for large IBM sites. DB2 did become the dominant mainframe database for large enterprises through the 1990s and large ERP vendors built DB2-compatible applications.","5"
"20","13","1989-07-24","Tesseract, Walker to be financial software allies","Computerworld","SOFTWARE & SERVICES Moran, Robert","press-article","It will be many years before the so-called single vendors have an integrated DB2 product line and can even challenge us.","d the companies expect to deliver a version with seamless integration by next quarter. According to Brownlee, ""It will be many years before the so-called single vendors have an integrated DB2 product line and can even challenge us."" Not so, said Kastner, who does not view the companies as presenting an immediate challenge to the market leaders, Management Science America, Inc. and McCormack & Dodge Corp. Both companies have announced systems that embrace cooperative processing on IBM's Systems A","no","not-applicable","This quote is attributed to a Brownlee (not Kastner) — Kastner explicitly disagreed with it, per the context. Observational — current-state analysis.","0"
"21","13","1989-07-24","Tesseract, Walker to be financial software allies","Computerworld","SOFTWARE & SERVICES Moran, Robert","press-article","Both companies have announced systems that embrace cooperative processing on IBM's Systems Application Architecture, which implies DB2, Kastner said.","ing an immediate challenge to the market leaders, Management Science America, Inc. and McCormack & Dodge Corp. Both companies have announced systems that embrace cooperative processing on IBM's Systems Application Architecture, which implies DB2, Kastner said. By working together, however, Tesseract and Walker can gain size, marketing clout and potentially more sales, Kastner said. The alliance was formalized after both companies netted a $1.1 million contract with Stone and Webster, Inc., an en","no","not-applicable","Observational — current-state analysis.","0"
"22","14","1989-08-28","Can DEC find an opening on the desktop? PRODUCT SPOTLIGHT; The DEC market","Computerworld","Radding, Alan","press-article","DEC can already claim they have [transparent computing] from the desk to the data center. SAA won't have that for many years,","nes. ""DEC sees holes in IBM's strategy. IBM is forcing users to upgrade to OS/2, and it's excluding Mac, Unix and DEC,"" Schay points out. The NAS/Decwindows strategy clearly leapfrogs anything IBM has done with SAA or Presentation Manager, according to Peter Kastner, vice-president of the Boston-based Aberdeen Group. ""DEC can already claim they have [transparent computing] from the desk to the data center. SAA won't have that for many years,"" Kastner explains. Instead of viewing NAS/Decwindows a","yes","low","Kastner claimed DEC's NAS/DECwindows leapfrogged IBM's SAA and that SAA wouldn't achieve transparent computing for many years. DEC collapsed in the early 1990s and was acquired by Compaq in 1998 before achieving this vision, while Windows dominated desktop computing instead.","3"
"23","15","1989-10-09","DEC challenges IBM CASE strategy","Computerworld","NEWS Cortese, Amy","press-article","This is a horse race, and DEC is literally lengths ahead,","related revenue to be in the vicinity of $1 billion to $1.5 billion. Peter Kastner, a vice-president at Boston-based Aberdeen Group, pointed out that DEC has 80,000 CASE users worldwide. ""This is a horse race, and DEC is literally lengths ahead,"" Kastner said. Gig Graham, director of software services at Gartner Group, Inc., said that DEC has been successful in enlisting support from third parties and predicted it would be more so with ATIS. Among the more than 20 DEC business partners, three ne","yes","low","Kastner said DEC was 'lengths ahead' in the CASE horse race with IBM. DEC's CASE business failed to win the market, and DEC itself was acquired by Compaq in 1998; IBM's SAA eventually stabilized, but neither won the CASE war — third-party tools and then IDEs took over.","3"
"24","16","1989-10-09","IBM eyes service bounty with new AS/400 support options","Computerworld","NEWS Hamilton, Rosemary","press-article","The bigger context is that the things you used to get for free when you bought a mainframe 20 years ago you are now paying for,","announcement, which also reflected IBM's increasing use of expert systems to help automate clients' support function. ""The bigger context is that the things you used to get for free when you bought a mainframe 20 years ago you are now paying for,"" said Peter Kastner, a vice-president at the Aberdeen Group in Boston. The AS/400 options present an interesting twist, because IBM has positioned the system as easy to use.. The service offerings do not mean that the system is harder to maintain than I","no","not-applicable","Observational — current-state analysis.","0"
"25","17","1989-10-09","SQL Server update boasts openness","Computerworld","NEWS Cortese, Amy","press-article","Sybase is not alone in trying to push the market in the necessary direction,","luding Ashton-Tate Corp., Lotus Development Corp., Microsoft Corp., Novell, Inc. and Tandem Computers, Inc., but as yet there are none signed up for the Open Server. ""Sybase is not alone in trying to push the market in the necessary direction,"" said Peter Kastner, a vice- president at Cambridge, Mass.-based Aberdeen Group. However, Kastner maintained that vendors will have to cooperate on coming to agreement: ""This is an area that calls for a peace conference."" Version 4 is in production release","no","not-applicable","Observational — current-state analysis.","0"
"26","17","1989-10-09","SQL Server update boasts openness","Computerworld","NEWS Cortese, Amy","press-article","This is an area that calls for a peace conference.","dem Computers, Inc., but as yet there are none signed up for the Open Server. ""Sybase is not alone in trying to push the market in the necessary direction,"" said Peter Kastner, a vice- president at Cambridge, Mass.-based Aberdeen Group. However, Kastner maintained that vendors will have to cooperate on coming to agreement: ""This is an area that calls for a peace conference."" Version 4 is in production release for Sun Microsystems, Inc. platforms and will be available on all other Sybase platform","yes","low","Kastner implied vendors needed to cooperate on SQL openness standards. While SQL standards did advance (ANSI SQL, ODBC), the 'peace conference' never fully materialized — Microsoft, Oracle, and Sybase pursued proprietary extensions aggressively through the 1990s.","5"
"27","18","1989-12-25","Support for open systems builds piece by piece","Computerworld","FORECAST Cortese, Amy","press-article","I just don't see all the various players getting together in 1990, or possibly ever,","ducts are open; it is necessary to monitor that,"" he says. Despite the warning, many remain skeptical of the unification efforts, especially of the USO deal. ""I just don't see all the various players getting together in 1990, or possibly ever,"" says Peter Kastner, an analyst at the Aberdeen Group, a Boston consultancy. Pretty face In 1990, another issue -- the question of graphical user interfaces -- will emerge as an important test facing Unix. Graphical user interfaces are considered important","yes","high","Kastner predicted open systems players would not unify in 1990 or possibly ever. This proved prescient — Unix fragmentation continued through the early 1990s, and even today there is no single unified Unix/open systems standard, with Linux eventually winning the practical battle.","10"
"28","18","1989-12-25","Support for open systems builds piece by piece","Computerworld","FORECAST Cortese, Amy","press-article","","ointment that has yet to meet its projections. Analysts note that Unix will have to compete against MS-DOS and OS/2-based PCs -- both strong contenders. A huge installed DOS base and DOS ""extenders"" will stretch out the life of current systems, Kastner says, even without the waking of OS/2. But Unix's struggle against better known operating systems may be aided by a most unlikely group -- mainstream business. Unix shows some signs of growing beyond its academic roots. The open systems movement","","","",""
"29","19","1990-03-19","Unix draws a crowd","Computerworld","Savage, J.A.","press-article","Upward mobility aside, fault-tolerant systems users may find what works best for them has more to do with the applications they want to run. Tandem's Integrity acts as one processor; the others are multiprocessor-type systems.","more to do with the applications they want to run. Tandem's Integrity acts as one processor; the others are multiprocessor-type systems. ""Does my application run better on a uniprocessor or spread over a bunch of general-purpose processors?"" Kastner asked, putting himself in a user's place. With a virtual uniprocessor, an application like program trading may run better, but one that is a transaction/update/communication would run better on a multiprocessing system, Kastner said. A","no","not-applicable","Observational — current-state analysis.","0"
"30","19","1990-03-19","Unix draws a crowd","Computerworld","Savage, J.A.","press-article","uniprocessor or spread over a bunch of general-purpose processors?"" Kastner asked, putting himself in a user's place.","rpose processors?"" Kastner asked, putting himself in a user's place. With a virtual uniprocessor, an application like program trading may run better, but one that is a transaction/update/communication would run better on a multiprocessing system, Kastner said. All of the fault-tolerant vendors have had to toy with the Unix kernel to adapt it to their systems. There are disadvantages to Unix, but that is nothing new, according to Omri Serlin, president of ITOM International, Inc.: ""","no","not-applicable","Observational — current-state analysis.","0"
"31","20","1990-04-30","Ingres unveils graphical 4GL","Computerworld","NEWS Bozman, Jean S.","press-article","It looks like no one vendor will win the [graphical user interface] battles,","because we didn't support devel opment work in the X Window environment,"" Smith said. Industry analysts briefed on the product seemed impressed with its flexibility. ""It looks like no one vendor will win the [graphical user interface] battles,"" said Peter Kastner, vice-president at Aberdeen Group, a Boston market research company. Kastner said the Ingres 4GL would enable information systems departments and VARs to reduce their programming time and simplify the task of adapting existing applicati","yes","high","Kastner predicted no single vendor would win the GUI battles. This was correct — Windows won the desktop, X Windows/Motif won Unix workstations, and Mac retained a segment; no single vendor dominated all categories.","5"
"32","21","1990-05-07","Integration vs. specialization","Computerworld","Financial Software DiBartolomeo, Daniel","press-article","Major application suppliers are using 4GLs and CASE technology to allow users to maintain and customize their base-level applications,","sely as possible to the way their industry did business. While vertical packages were developed to meet these industry-specific needs, developers of generic packages are now starting to offer more powerful application generators in their software, says Peter Kastner, a vice-president at Aberdeen Group in Cambridge, Mass. ""Major application suppliers are using 4GLs and CASE technology to allow users to maintain and customize their base-level applications,"" Kastner says. Besides their customizatio","no","not-applicable","Observational — current-state analysis.","0"
"33","21","1990-05-07","Integration vs. specialization","Computerworld","Financial Software DiBartolomeo, Daniel","press-article","If you're a company with multiple businesses,","Besides their customization ability, generic packages are also designed to integrate with existing accounting modules. This is especially helpful for firms with more than one line of business. ""If you're a company with multiple businesses,"" Kastner says, ""you start to lose the edge of vertical packages that don't talk to each other too well. General packages are designed from the beginning to roll up subsidiaries."" On their side, vertical package developers are starting to build in customizati","no","not-applicable","Observational — current-state analysis.","0"
"34","21","1990-05-07","Integration vs. specialization","Computerworld","Financial Software DiBartolomeo, Daniel","press-article","you start to lose the edge of vertical packages that don't talk to each other too well. General packages are designed from the beginning to roll up subsidiaries.","ose the edge of vertical packages that don't talk to each other too well. General packages are designed from the beginning to roll up subsidiaries."" On their side, vertical package developers are starting to build in customization capabilities, Kastner says. Ask Computer Systems, Inc., for example, is using a fourth-generation language tool set in its Manman product, a package designed for discrete manufacturing firms. The true strength of vertical packages, however, is their service and support","no","not-applicable","Observational — current-state analysis.","0"
"35","21","1990-05-07","Integration vs. specialization","Computerworld","Financial Software DiBartolomeo, Daniel","press-article","If you supply software to a law firm and can speak their language, the customer can understand better what they're buying,","lar industry, the developers of vertical packages can be allies to a company trying to fit the system to the business. ""If you supply software to a law firm and can speak their language, the customer can understand better what they're buying,"" Kastner says. For large organizations, Kastner recommends opting for more generic but easily customizable packages ""so they can integrate their accounting into an overall strategic inititiative,"" he says. However, some organizations -- especially smalle","no","not-applicable","Observational — current-state analysis.","0"
"36","21","1990-05-07","Integration vs. specialization","Computerworld","Financial Software DiBartolomeo, Daniel","press-article","However, some organizations -- especially smaller companies -- either opt for the enhanced service and support of vertical packages or do not have the in-house programming resources to customize, according to Kastner.","nto an overall strategic inititiative,"" he says. However, some organizations -- especially smaller companies -- either opt for the enhanced service and support of vertical packages or do not have the in-house programming resources to customize, according to Kastner. National Mentor, a health and social services company in Boston, is one organization that took the vertical option. Faced with the inconsistent regulatory requirements of social service agencies throughout the country, systems analys","no","not-applicable","Observational — current-state analysis.","0"
"37","22","1990-05-07","HP plans line of mainframe-type tools","Computerworld","NEWS Savage, J.A.","press-article","Labor accounts for 60% of the MIS budget,","ct will be sold separately, with its price depending on configuration, according to Sevcik. The mainframe comparison aside, the products will lessen operating costs, according to both HP and analysts. Manual system management is expensive, Kastner said. ""Labor accounts for 60% of the MIS budget,"" he said, adding that the aim of the new products is to reduce that expense. CW Staff Ingres unveils graphical 4GL; NEWS Bozman, Jean S. Page: 121 04/30/90 ──────────────","no","not-applicable","Observational — current-state analysis.","0"
"38","23","1990-07-23","Vaxstation, Decstation prices to slip","Computerworld","NEWS Harrington, Maura J.","press-article","It used to be that you could anticipate workstation prices and changes on an annual basis. Now, you can't even go on vacation without a change in the market,","bol of the volatility and competitiveness of the workstation market, analysts said. ""It used to be that you could anticipate workstation prices and changes on an annual basis. Now, you can't even go on vacation without a change in the market,"" said Peter Kastner, vice-president of Aberdeen Group, a market research firm in Boston. DEC's workstation price cuts -- as well as cuts in prices of its memory upgrades, monitors and disk drives for the low-end models and bundling of factory-installed soft","no","not-applicable","Observational — current-state analysis.","0"
"39","24","1990-10-08","Sequoia rebounds with a vengeance","Computerworld","COMPUTER INDUSTRY Johnson, Maryfran","press-article","Clearly, Sequoia went from living to zombie to living again, and very few companies have done that,","s, which the firm is poised to make within a few months, will ratchet up its potential to win Fortune 500 accounts, company officials claimed. ""Clearly, Sequoia went from living to zombie to living again, and very few companies have done that,"" said Peter Kastner, an analyst at Aberdeen Group in Boston. ""But Sequoia is leaping for the brass ring from on top of a house of cards."" Kastner was referring to the fact that much of Sequoia's recent success is tied to OEM relationships with 10% stakehol","no","not-applicable","Observational — current-state analysis.","0"
"40","25","1991-07-22","Sybase Serves up a new SQL","Computerworld","SOFTWARE & SERVICES Bozman, Jean S.","press-article","did not share the CPU graciously with competing batch jobs or other applications. It did best when you threw the whole machine at it.","id Sybase had been working on the multiprocessor version for several years. Until now, he said, the product ""did not share the CPU graciously with competing batch jobs or other applications. It did best when you threw the whole machine at it."" Kastner said Sybase needs Release 4.8 to boost its presence on midrange DEC VAX and Unix computers, which can be made to run in symmetrical multiprocessing (SMP) modes. Meeting the competition Competitive products from Oracle Corp. and the Ingres Divisi","no","not-applicable","Observational — current-state analysis.","0"
"41","26","1991-08-05","How low can mail-order firms go? Watch'em","Computerworld","NEWS Fitzgerald, Michael","press-article","I see no letup in reductions in pricing for at least another six to nine months,","ystems, Inc. in Eden Prairie, Minn., report record quarterly profits, they are also cutting prices, and analysts said they think the pricing cuts will continue. ""I see no letup in reductions in pricing for at least another six to nine months,"" said Peter Kastner, vice president of Aberdeen Group, a Boston-based market research company. Kastner pointed to Intel Corp.'s slashing $300 from the price of an I486 processor and its need to compete in the 80386 market with clone chips from Advanced Micr","yes","high","Kastner predicted continued PC price reductions for six to nine months. PC prices did indeed continue falling through late 1991 and into 1992, driven by Intel competition from AMD and component surpluses.","1"
"42","26","1991-08-05","How low can mail-order firms go? Watch'em","Computerworld","NEWS Fitzgerald, Michael","press-article","Kastner pointed to Intel Corp.'s slashing $300 from the price of an I486 processor and its need to compete in the 80386 market with clone chips from Advanced Micro Devices, Inc.","shing $300 from the price of an I486 processor and its need to compete in the 80386 market with clone chips from Advanced Micro Devices, Inc. A surplus of components such as 3 1/2 -in. hard drives is driving prices down as well, to the point where Kastner said a 386DX/ 25-MHz-based PC could sell for less than $1,000 before long. David Mack, a vice president at Workgroup Technologies, Inc. in Hampton, N.H., said depending on the company, mail-order vendors could cut another 10% to 15% from prices","yes","high","Kastner predicted a 386DX/25MHz PC would sell for under $1,000. This proved accurate — by late 1991/early 1992 sub-$1,000 386 PCs were widely available from mail-order vendors.","1"
"43","27","1991-09-02","Bull forms systems integration unit","Computerworld","COMPUTER INDUSTRY Cusack, Sally","press-article","bread and butter","Group, a Boston-based market research and consulting firm, said that going after the CICS/VSAM market is not as outrageously ambitious as it may initially sound. Referring to CICS/VSAM users as the ""bread and butter"" of the IBM mainframe world, Kastner pointed out that it is also the most vulnerable to the lower costs of downsizing strategies, due in part to the costliness of migrating to DB2. Bull's open systems strategy is broader than IBM's, Kastner said. He noted that the Bull product line e","no","not-applicable","Observational — current-state analysis.","0"
"44","27","1991-09-02","Bull forms systems integration unit","Computerworld","COMPUTER INDUSTRY Cusack, Sally","press-article","Referring to CICS/VSAM users as the ""bread and butter"" of the IBM mainframe world, Kastner pointed out that it is also the most vulnerable to the lower costs of downsizing strategies, due in part to the costliness of migrating to DB2.","and butter"" of the IBM mainframe world, Kastner pointed out that it is also the most vulnerable to the lower costs of downsizing strategies, due in part to the costliness of migrating to DB2. Bull's open systems strategy is broader than IBM's, Kastner said. He noted that the Bull product line encompasses technology from Intel Corp. 80386-based desktop personal computers through Motorola, Inc.-based multiprocessing systems all the way to reduced instruction set computing (RISC) machines. Accordin","yes","medium","Kastner predicted CICS/VSAM sites would be vulnerable to downsizing strategies. Many did migrate over the 1990s, but CICS proved far more durable than expected — IBM's CICS on distributed platforms thrived and CICS/VSAM remained widespread well into the 2000s.","5"
"45","27","1991-09-02","Bull forms systems integration unit","Computerworld","COMPUTER INDUSTRY Cusack, Sally","press-article","The need for systems integration is so great, I don't see it changing significantly over the next five years,","elphia to Boston, parts of the Southwest and parts of Canada. The markets were selected based on analysis of high-growth integrators already in place. Bull said it plans to subcontract to systems integrators as well as third-party vendors. Kastner said Bull has a reasonable opportunity to grow this service aggressively. ""The need for systems integration is so great, I don't see it changing significantly over the next five years,"" he said. ""There are enormous changes ahead for IS, and outside hel","yes","high","Kastner predicted strong sustained demand for systems integration over five years. The systems integration market boomed through the mid-1990s with client/server migrations, ERP rollouts, and Y2K work — demand was indeed enormous and unrelenting.","5"
"46","28","1991-09-30","Sun seeks Intel Unix","Computerworld","News Savage, J.A.","press-article","“The acquisition is more than hedging Sun's bets; it will make Sun's schedule possible,'' said Peter Kastner, vice president of Aberdeen Group, a technology and market research firm in Boston.","rocessor Architecture (Sparc)-based systems when released in mid-1992. The acquisition of Interactive would ensure such a schedule, according to analysts. “The acquisition is more than hedging Sun's bets; it will make Sun's schedule possible,'' said Peter Kastner, vice president of Aberdeen Group, a technology and market research firm in Boston. A tight deadline Judith Hurwitz, editor of “Unix in the Office,'' a newsletter from Patricia Seybold's Office Computing Group in Boston, said Sunsoft ma","yes","medium","Kastner predicted Sun's acquisition of Interactive Systems would enable Sun's Unix schedule. SunSoft did deliver Solaris on Intel platforms, but the Intel Unix effort had limited commercial success and Sun remained primarily a SPARC company.","2"
"47","29","1991-10-14","Unix System Labs signs on with ACE","Computerworld","News Ambrosio, Johanna","press-article","“ They seem to have come up with the best of both worlds,'' said Peter Kastner, vice president at Aberdeen Group, a consultancy in Boston, Mass.","ting system due out next year will be able to run applications written for Digital Equipment Corp.'s Ultrix, the Open Software Foundation's OSF/1 and System V Release 4, backers said. “ They seem to have come up with the best of both worlds,'' said Peter Kastner, vice president at Aberdeen Group, a consultancy in Boston, Mass. “Over the long run, it will be most beneficial to buyers because it will standardize the features and functions of an open systems environment.'' Some are skeptical Not ev","yes","medium","Kastner praised USL joining ACE as 'best of both worlds.' The ACE initiative (MIPS-based systems running multiple Unix variants) had limited success and collapsed by 1993 as MIPS lost market share to Alpha and PowerPC; the promise was not fully realized.","2"
