"article_id","headline_norm","horizon_label","horizon_int","row_id"
"pdf-343","as a nation we have to innovate faster than the rest of the world he said clearly this technology will have an","SH-3y","3","1135"
"pdf-344","as the microsoft appeal goes forward it will be interesting to note which companies emerge as allies to the","SH-3y","3","1136"
"pdf-344","as the microsoft appeal goes forward it will be interesting to note which companies emerge as allies to the","SH-3y","3","1137"
"pdf-344","as the microsoft appeal goes forward it will be interesting to note which companies emerge as allies to the","SH-3y","3","1138"
"pdf-345","bigger notebooks buck the size trend","prefilter_skip","0","371"
"pdf-356","kastner pointed out that the elected position of state attorney general is often a stepping stone to higher","SH-3y","3","1140"
"pdf-356","kastner pointed out that the elected position of state attorney general is often a stepping stone to higher","SH-3y","3","1141"
"pdf-36","software ag forms client server team with ncr apple","SH-3y","3","966"
"pdf-36","software ag forms client server team with ncr apple","prefilter_skip","0","136"
"pdf-365","gartner s smith concurred that the platform s basic security features are paramount he rated the partitioning feature","SH-3y","3","1145"
"pdf-37","ncr eyes software growth with new unit","SH-3y","3","741"
"pdf-37","ncr eyes software growth with new unit","SH-3y","3","964"
"pdf-37","ncr eyes software growth with new unit","prefilter_skip","0","132"
"pdf-37","ncr eyes software growth with new unit","prefilter_skip","0","133"
"pdf-37","ncr eyes software growth with new unit","prefilter_skip","0","740"
"pdf-370","microsoft has said it is investigating the file name spoofing vulnerability but the company has not disclosed whether","SH-3y","3","1146"
"pdf-372","this build to order model has worked not only with pcs but in other segments where dell has been capturing market","SH-3y","3","1147"
"pdf-374","now more than ever said kastner basic business principles are coming into play for e commerce and","SH-3y","3","1148"
"pdf-374","now more than ever said kastner basic business principles are coming into play for e commerce and","SH-3y","3","1149"
"pdf-377","aberdeen group chief research officer peter kastner noted that other improvements which are likely to play","SH-3y","3","1150"
"pdf-378","and aberdeen group chief research officer peter kastner has said users are waiting with bated breath for","SH-3y","3","1151"
"pdf-380","betting on the lazy","SH-3y","3","1152"
"pdf-381","the much talked about 64 bit microprocessors coming down the pike from intel nasdaq intc and advanced","SH-3y","3","1153"
"pdf-382","but although amd and intel seem to be preparing for battle kastner noted that very few applications currently","SH-3y","3","1154"
"pdf-389","they never had a really strong case to begin with particularly from the consumer s standpoint peter kastner chief","SH-3y","3","1155"
"pdf-39","ncr taps pentium for mainframe class servers","SH-3y","3","953"
"pdf-39","ncr taps pentium for mainframe class servers","SH-3y","3","954"
"pdf-39","ncr taps pentium for mainframe class servers","SH-3y","3","955"
"pdf-39","ncr taps pentium for mainframe class servers","SH-3y","3","956"
"pdf-39","ncr taps pentium for mainframe class servers","prefilter_skip","0","123"
"pdf-39","ncr taps pentium for mainframe class servers","prefilter_skip","0","124"
"pdf-391","there are applications in the military in medical research in all fields of science kastner said this is an","SH-3y","3","1156"
"pdf-392","becky replogle wilkes director of collaborative applications marketing for sprint agrees you decide that you no","SH-3y","3","1157"
"pdf-394","kollar kotelly has played her own cards close to the vest only hinting here and there about how the case might play","SH-3y","3","1158"
"pdf-395","sixty four bit architectures can theoretically address millions of terabytes worth of memory which translates directly","SH-3y","3","1159"
"pdf-396","the technology can also save money on software licenses thanks to server consolidation in some cases a two","SH-3y","3","1160"
"pdf-4","users finding esa alternatives","SH-3y","3","861"
"pdf-4","users finding esa alternatives","SH-3y","3","862"
"pdf-4","users finding esa alternatives","prefilter_skip","0","7"
"pdf-40","dec moves to vax alpha mixed clusters","SH-3y","3","731"
"pdf-40","dec moves to vax alpha mixed clusters","SH-3y","3","1002"
"pdf-40","dec moves to vax alpha mixed clusters","prefilter_skip","0","114"
"pdf-400","apple s supercomputing scientists","SH-3y","2","412"
"pdf-400","apple s supercomputing scientists","SH-3y","3","812"
"pdf-404","in addition to supporting current versions of microsoft windows 1 the","SH-3y","3","1161"
"pdf-408","they ve been boxed in by dell in online sales and by h p in the big box retail market kastner said this","SH-3y","3","1162"
"pdf-409","so far gateway has put out 45 new digital devices this year and plans on releases a total of 50 products by the end of","SH-3y","3","1163"
"pdf-41","ca s unicenter outlines plans to go distributed","SH-3y","3","939"
"pdf-41","ca s unicenter outlines plans to go distributed","SH-5y","5","729"
"pdf-41","ca s unicenter outlines plans to go distributed","prefilter_skip","0","112"
"pdf-410","gateway s chances that last week he started his coverage of gateway with an outperform rating and a 12 month","SH-3y","3","1164"
"pdf-410","gateway s chances that last week he started his coverage of gateway with an outperform rating and a 12 month","SH-3y","3","1165"
"pdf-415","sandisk sndk 14 89 0 08 0 54 shares climbed 19 cents to 52 80 after the company introduced new","SH-3y","3","1166"
"pdf-415","sandisk sndk 14 89 0 08 0 54 shares climbed 19 cents to 52 80 after the company introduced new","SH-3y","3","1167"
"pdf-423","with this announcement hp has clearly demonstrated a commitment to the it community that is arguably","SH-3y","3","1169"
"pdf-43","ross moves ahead with flexible product strategy","prefilter_skip","0","728"
"pdf-430","peter kastner chief research officer of boston based aberdeen group inc said the company faces formidable","SH-3y","3","1170"
"pdf-430","peter kastner chief research officer of boston based aberdeen group inc said the company faces formidable","SH-3y","3","1171"
"pdf-437","isv application support across its linux based eserver platforms the aberdeen group says but there is little if any","SH-3y","3","1172"
"pdf-44","middleware speeds client connection","SH-3y","3","934"
"pdf-44","middleware speeds client connection","SH-3y","3","935"
"pdf-44","middleware speeds client connection","SH-3y","3","936"
"pdf-44","middleware speeds client connection","SH-3y","3","937"
"pdf-44","middleware speeds client connection","prefilter_skip","0","109"
"pdf-44","middleware speeds client connection","prefilter_skip","0","110"
"pdf-44","middleware speeds client connection","prefilter_skip","0","727"
"pdf-440","ibm ibm 107 35 0 03 0 03 shares fell more than 2 percent to 84 55 in after hours trading the stock had","SH-3y","3","1173"
"pdf-443","ibm s itanium server goes on sale","SH-3y","1","679"
"pdf-443","ibm s itanium server goes on sale","SH-5y","5","290"
"pdf-443","ibm s itanium server goes on sale","SH-5y","5","680"
"pdf-445","unix applications the rest of us waited until windows xp was launched in october 2000 to end the legacy ties to 16","SH-3y","3","1174"
"pdf-446","hp reinvented","SH-5y","6","239"
"pdf-45","dbms tool meets demand","SH-3y","1","171"
"pdf-45","dbms tool meets demand","SH-3y","3","766"
"pdf-45","dbms tool meets demand","SH-3y","3","996"
"pdf-45","dbms tool meets demand","SH-3y","3","997"
"pdf-456","you won t see a heck of a lot of difference in word but software like adobe systems photoshop or video","SH-3y","3","1175"
"pdf-458","five years ago major service companies told kastner that the tco outcomes they saw were in the range of","SH-3y","3","1176"
"pdf-458","five years ago major service companies told kastner that the tco outcomes they saw were in the range of","SH-3y","3","1177"
"pdf-458","five years ago major service companies told kastner that the tco outcomes they saw were in the range of","SH-3y","3","1178"
"pdf-46","developers extend user support with powerbuilder","SH-3y","3","991"
"pdf-46","developers extend user support with powerbuilder","SH-3y","3","992"
"pdf-46","developers extend user support with powerbuilder","SH-5y","5","163"
"pdf-46","developers extend user support with powerbuilder","SH-5y","5","753"
"pdf-46","developers extend user support with powerbuilder","prefilter_skip","0","162"
"pdf-46","developers extend user support with powerbuilder","prefilter_skip","0","164"
"pdf-462","the chip giant has funded a new report from aberdeen amd s gigahertz equivalency inexperienced buyers accept","SH-3y","3","1179"
"pdf-467","peter s kastner blogging at oncomputerstips blogspot com","SH-3y","3","1180"
"pdf-477","you must be careful when making any changes or modifications to the firmware of your gps because there is a risk","SH-3y","3","1183"
"pdf-48","high end tools gain steam","SH-3y","3","986"
"pdf-48","high end tools gain steam","SH-5y","4","159"
"pdf-48","high end tools gain steam","prefilter_skip","0","158"
"pdf-485","peter s kastner","SH-3y","3","1186"
"pdf-489","microsoft grants indonesian pirates amnsety","SH-3y","3","582"
"pdf-493","monday may 30 2005","SH-3y","3","598"
"pdf-494","what is controversial about this site is shooting live game over the internet you will be hearing more about this web","SH-3y","3","1187"
"pdf-498","these tests also show that normal users will see a considerably better user experience with a dual core","SH-3y","3","1188"
"pdf-504","expect to see these drives in servers for midline storage and in high end consumer desktops is the end of the scsi","SH-3y","3","1190"
"pdf-508","that makes the introduction of dual core processors for personal computing this spring not just another product","SH-3y","3","1193"
"pdf-509","the price as low as 722 qty 1 000 makes the cranford value chips attractive for a new generation of low cost 4","SH-3y","3","1194"
"pdf-513","couch surfers too lazy to even type a url","SH-3y","3","535"
"pdf-517","in this case the electronic bank robber was caught however this writer can assure our dear readers that electronic","SH-3y","3","1199"
"pdf-518","caveat be sure to have your user manual so that you can get back to factory settings if you really mess up you also","SH-3y","3","1200"
"pdf-521","look for mac os x 10 4 tiger","SH-3y","3","579"
"pdf-523","note the new model numbers amd has chosen which identify the feature class and relative speed looks like amd","SH-3y","3","1202"
"pdf-532","software patents create havoc in eurpoe","SH-3y","3","616"
"pdf-544","all the major microprocessor manufacturers are drooling over the next generation of digital lifestyle electronics","SH-3y","3","1208"
"pdf-7","microsoft lays out tiered dbms plan comdex","SH-3y","3","725"
"pdf-7","microsoft lays out tiered dbms plan comdex","SH-3y","3","930"
"pdf-7","microsoft lays out tiered dbms plan comdex","SH-3y","3","931"
"pdf-7","microsoft lays out tiered dbms plan comdex","prefilter_skip","0","107"
"pdf-72","start ups bring heavyweight tools","SH-3y","3","967"
"pdf-72","start ups bring heavyweight tools","SH-3y","3","968"
"pdf-72","start ups bring heavyweight tools","prefilter_skip","0","137"
"pdf-72","start ups bring heavyweight tools","prefilter_skip","0","138"
"pdf-72","start ups bring heavyweight tools","prefilter_skip","0","139"
"pdf-9","ibm lotus iron out agreement","LH","10","168"
"pdf-9","ibm lotus iron out agreement","SH-3y","3","759"
"pdf-9","ibm lotus iron out agreement","SH-3y","3","993"
"pdf-9","ibm lotus iron out agreement","SH-3y","3","994"
"pdf-9","ibm lotus iron out agreement","prefilter_skip","0","166"
"pdf-9","ibm lotus iron out agreement","prefilter_skip","0","167"
"rtf-0","windows to dos tools get boost","SH-3y","2","131"
"rtf-0","windows to dos tools get boost","SH-3y","2","739"
"rtf-0","windows to dos tools get boost","SH-3y","3","963"
"rtf-1","stratus still rock solid as it moves cisc users to risc","LH","8","104"
"rtf-1","stratus still rock solid as it moves cisc users to risc","SH-3y","3","926"
"rtf-1","stratus still rock solid as it moves cisc users to risc","SH-3y","3","927"
"rtf-1","stratus still rock solid as it moves cisc users to risc","SH-3y","3","928"
"rtf-1","stratus still rock solid as it moves cisc users to risc","prefilter_skip","0","103"
"rtf-10","ca slashes ingres prices","SH-3y","3","985"
"rtf-10","ca slashes ingres prices","prefilter_skip","0","160"
"rtf-10","ca slashes ingres prices","prefilter_skip","0","749"
"rtf-11","compaq ti to team on fast ethernet","SH-5y","5","155"
"rtf-12","reaction split on ca s plan for ask products","SH-3y","3","984"
"rtf-12","reaction split on ca s plan for ask products","SH-5y","5","748"
"rtf-12","reaction split on ca s plan for ask products","prefilter_skip","0","156"
"rtf-13","unix nt links to ship in 1995","SH-3y","3","983"
"rtf-13","unix nt links to ship in 1995","prefilter_skip","0","154"
"rtf-14","ibm adds eisa server to ps 2 family","SH-3y","3","979"
"rtf-14","ibm adds eisa server to ps 2 family","SH-3y","3","980"
"rtf-14","ibm adds eisa server to ps 2 family","SH-5y","4","151"
"rtf-14","ibm adds eisa server to ps 2 family","prefilter_skip","0","744"
"rtf-15","pc servers join pricing free fall","SH-3y","3","981"
"rtf-15","pc servers join pricing free fall","prefilter_skip","0","152"
"rtf-15","pc servers join pricing free fall","prefilter_skip","0","745"
"rtf-16","software vendors converge on database market","SH-3y","3","969"
"rtf-16","software vendors converge on database market","SH-3y","3","970"
"rtf-16","software vendors converge on database market","SH-5y","7","140"
"rtf-16","software vendors converge on database market","prefilter_skip","0","141"
"rtf-17","usl makes microkernel move","SH-3y","2","125"
"rtf-17","usl makes microkernel move","SH-3y","2","738"
"rtf-17","usl makes microkernel move","SH-3y","3","957"
"rtf-17","usl makes microkernel move","SH-3y","3","958"
"rtf-17","usl makes microkernel move","prefilter_skip","0","126"
"rtf-18","ncr adds 3270 features to oltp monitor","SH-3y","3","952"
"rtf-18","ncr adds 3270 features to oltp monitor","prefilter_skip","0","122"
"rtf-18","ncr adds 3270 features to oltp monitor","prefilter_skip","0","737"
"rtf-19","microsoft d b sign on nt applications","SH-3y","3","947"
"rtf-19","microsoft d b sign on nt applications","SH-3y","3","948"
"rtf-19","microsoft d b sign on nt applications","SH-3y","3","949"
"rtf-19","microsoft d b sign on nt applications","prefilter_skip","0","121"
"rtf-2","alpha ready vax line expected in july","SH-3y","2","93"
"rtf-2","alpha ready vax line expected in july","SH-3y","3","914"
"rtf-20","dec closes in on profitability","SH-3y","3","945"
"rtf-20","dec closes in on profitability","prefilter_skip","0","117"
"rtf-20","dec closes in on profitability","prefilter_skip","0","734"
"rtf-21","ca gets on microsoft bandwagon","SH-3y","3","118"
"rtf-21","ca gets on microsoft bandwagon","SH-3y","3","733"
"rtf-21","ca gets on microsoft bandwagon","SH-3y","3","943"
"rtf-21","ca gets on microsoft bandwagon","SH-3y","3","944"
"rtf-21","ca gets on microsoft bandwagon","prefilter_skip","0","119"
"rtf-22","powerbuilder may add intersolv tools","SH-3y","3","115"
"rtf-22","powerbuilder may add intersolv tools","SH-3y","3","732"
"rtf-22","powerbuilder may add intersolv tools","SH-3y","3","942"
"rtf-23","software ag extends unix tools strategy","SH-3y","3","940"
"rtf-23","software ag extends unix tools strategy","SH-3y","3","941"
"rtf-23","software ag extends unix tools strategy","prefilter_skip","0","113"
"rtf-23","software ag extends unix tools strategy","prefilter_skip","0","730"
"rtf-24","apple exec jumps to microsoft","SH-3y","3","938"
"rtf-24","apple exec jumps to microsoft","prefilter_skip","0","111"
"rtf-25","page exits software ag news","SH-3y","3","932"
"rtf-25","page exits software ag news","SH-3y","3","933"
"rtf-25","page exits software ag news","prefilter_skip","0","108"
"rtf-26","dec restructuring plan includes separate pc unit","SH-3y","3","929"
"rtf-26","dec restructuring plan includes separate pc unit","prefilter_skip","0","106"
"rtf-27","legent increases options flexibility in desktop line","SH-3y","3","924"
"rtf-27","legent increases options flexibility in desktop line","SH-3y","3","925"
"rtf-27","legent increases options flexibility in desktop line","prefilter_skip","0","105"
"rtf-27","legent increases options flexibility in desktop line","prefilter_skip","0","724"
"rtf-28","dec to give pc modular upgrades","SH-3y","3","102"
"rtf-28","dec to give pc modular upgrades","SH-3y","3","923"
"rtf-29","dec starts revamp delays cuts","SH-3y","3","919"
"rtf-29","dec starts revamp delays cuts","SH-3y","3","920"
"rtf-29","dec starts revamp delays cuts","prefilter_skip","0","100"
"rtf-29","dec starts revamp delays cuts","prefilter_skip","0","101"
"rtf-30","ask bypasses ingres to build unix based program suite","prefilter_skip","0","97"
"rtf-31","price war to hurt pc industry","SH-3y","1","94"
"rtf-31","price war to hurt pc industry","SH-3y","1","95"
"rtf-31","price war to hurt pc industry","SH-3y","3","917"
"rtf-31","price war to hurt pc industry","SH-3y","3","918"
"rtf-32","intel to unleash dx2 claims strongest chip yet","SH-3y","1","96"
"rtf-32","intel to unleash dx2 claims strongest chip yet","SH-3y","1","722"
"rtf-32","intel to unleash dx2 claims strongest chip yet","SH-3y","3","915"
"rtf-32","intel to unleash dx2 claims strongest chip yet","SH-3y","3","916"
"rtf-33","oracle hires consultant to steer sales","LH","8","720"
"rtf-33","oracle hires consultant to steer sales","LH","8","721"
"rtf-33","oracle hires consultant to steer sales","SH-3y","3","913"
"rtf-33","oracle hires consultant to steer sales","SH-5y","5","92"
"rtf-34","users leery of multiprocessing","SH-3y","3","909"
"rtf-34","users leery of multiprocessing","SH-5y","5","88"
"rtf-35","dec energizes unix oltp line","SH-3y","3","89"
"rtf-35","dec energizes unix oltp line","SH-3y","3","908"
"rtf-36","sun will soon detail multimedia strategy","SH-3y","3","50"
"rtf-36","sun will soon detail multimedia strategy","SH-3y","3","902"
"rtf-36","sun will soon detail multimedia strategy","prefilter_skip","0","716"
"rtf-37","sybase comes through with customer support","SH-3y","3","901"
"rtf-37","sybase comes through with customer support","prefilter_skip","0","48"
"rtf-38","unix system labs signs on with ace","SH-3y","2","47"
"rtf-38","unix system labs signs on with ace","SH-3y","3","899"
"rtf-38","unix system labs signs on with ace","SH-3y","3","900"
"rtf-39","sun seeks intel unix","SH-3y","2","46"
"rtf-39","sun seeks intel unix","SH-3y","3","898"
"rtf-40","how low can mail order firms go watch em","SH-3y","1","41"
"rtf-40","how low can mail order firms go watch em","SH-3y","1","42"
"rtf-40","how low can mail order firms go watch em","SH-3y","1","713"
"rtf-40","how low can mail order firms go watch em","SH-3y","3","897"
"rtf-42","vaxstation decstation prices to slip","SH-3y","3","892"
"rtf-42","vaxstation decstation prices to slip","prefilter_skip","0","38"
"rtf-43","hp plans line of mainframe type tools","SH-3y","3","886"
"rtf-43","hp plans line of mainframe type tools","SH-3y","3","887"
"rtf-43","hp plans line of mainframe type tools","prefilter_skip","0","37"
"rtf-44","ingres unveils graphical 4gl","SH-3y","3","885"
"rtf-44","ingres unveils graphical 4gl","SH-5y","5","31"
"rtf-44","ingres unveils graphical 4gl","prefilter_skip","0","711"
"rtf-45","dec challenges ibm case strategy","SH-3y","3","23"
"rtf-45","dec challenges ibm case strategy","SH-3y","3","877"
"rtf-46","ibm eyes service bounty with new as 400 support options","SH-3y","3","878"
"rtf-46","ibm eyes service bounty with new as 400 support options","prefilter_skip","0","24"
"rtf-47","sql server update boasts openness","SH-3y","3","879"
"rtf-47","sql server update boasts openness","SH-3y","3","880"
"rtf-47","sql server update boasts openness","SH-5y","5","26"
"rtf-47","sql server update boasts openness","prefilter_skip","0","25"
"rtf-48","msa announces eis starter kit at a smart price","SH-3y","3","870"
"rtf-49","unisys u series casts shadow in unix arena","SH-3y","3","865"
"rtf-49","unisys u series casts shadow in unix arena","SH-3y","3","866"
"rtf-49","unisys u series casts shadow in unix arena","prefilter_skip","0","10"
"rtf-5","dec brings database tool to midsize boxes","SH-3y","3","998"
"rtf-5","dec brings database tool to midsize boxes","SH-3y","3","999"
"rtf-5","dec brings database tool to midsize boxes","prefilter_skip","0","172"
"rtf-5","dec brings database tool to midsize boxes","prefilter_skip","0","768"
"rtf-50","ibm seen rushing out high end as 400 cpu","SH-3y","3","859"
"rtf-50","ibm seen rushing out high end as 400 cpu","SH-3y","3","860"
"rtf-50","ibm seen rushing out high end as 400 cpu","prefilter_skip","0","8"
"rtf-50","ibm seen rushing out high end as 400 cpu","prefilter_skip","0","9"
"rtf-50","ibm seen rushing out high end as 400 cpu","prefilter_skip","0","709"
"rtf-52","ibm intel dell announce benchmark group formation","SH-3y","3","895"
"rtf-53","product spotlight the dec market","SH-3y","3","874"
