reject,row_id,article_seq,date,headline,publication,author,content_type,kastner_quotation,immediate_context,is_predictive,prescience_score,prescience_rationale,forecast_horizon_years,theme,decade,accuracy_outcome,verdict_rationale,verdict_sources,source_segment_idx,classification,discovery_rule,discovery_confidence,detector_headline_attempted
,,,,"""We haven't discovered anything we don't really like. It's a definite improvement over System 10.""",AP,,,"ything we don't really like. It's a definite improvement over System 10."" System 11's release, says Dan Kusnetzky, research manager at International Data Corp, ""will put the performance issue to bed for Sybase."" ""Absolutely, without a doubt,"" says Kastner about System 11's improvements. ""Not only in the importance of performance, which they absolutely had to have, but it appears that the quality is much better as well. It's a solid product."" But providing good product might not be Sybase's only savi","""We haven't discovered anything we don't really like. It's a definite improvement over System 10."" System 11's release, says Dan Kusnetzky, research manager at International Data Corp, ""will put the performance issue to bed for Sybase."" ""Absolutely, without a doubt,"" says Kastner about System 11's improvements. ""Not only in the importance of performance, which they absolutely had to have, but it appears that the quality is much better as well. It's a solid product."" But providing good product might not be Sybase's only savior. According to Kastner, Sybase needs to make some marked improveme",,,,,,,,,,189,ARTICLE_HEAD,R1,medium,"""We haven't discovered anything we don't really like. It's a definite improvement over System 10."""
,,,,"""We haven't discovered anything we don't really like. It's a definite improvement over System 10.""",AP,,,"s improvements. ""Not only in the importance of performance, which they absolutely had to have, but it appears that the quality is much better as well. It's a solid product."" But providing good product might not be Sybase's only savior. According to Kastner, Sybase needs to make some marked improveme","ike. It's a definite improvement over System 10."" System 11's release, says Dan Kusnetzky, research manager at International Data Corp, ""will put the performance issue to bed for Sybase."" ""Absolutely, without a doubt,"" says Kastner about System 11's improvements. ""Not only in the importance of performance, which they absolutely had to have, but it appears that the quality is much better as well. It's a solid product."" But providing good product might not be Sybase's only savior. According to Kastner, Sybase needs to make some marked improveme",,,,,,,,,,189,ARTICLE_HEAD,R1,medium,"""We haven't discovered anything we don't really like. It's a definite improvement over System 10."""
,,,,"""VARs are a very key part of the pie ultimately,"" says Mark Marron, senior vice president of sales and the person VARs",Inc.,,,"will have to increase. Our goal is to have 50 percent of revenue growing through the channel."" Analysts affirm this direction. ""They don't mess with their VARs. They understand that channel very, very well and it's significant for them,"" says Peter Kastner, analyst for the Aberdeen Group Inc.","ark Marron, senior vice president of sales and the person VARs and analysts credit for a successful transition from direct sales to mixed distribution. ""To grow our business from nearly $3 billion to $4 billion, the portion to go through the channel will have to increase. Our goal is to have 50 percent of revenue growing through the channel."" Analysts affirm this direction. ""They don't mess with their VARs. They understand that channel very, very well and it's significant for them,"" says Peter Kastner, analyst for the Aberdeen Group Inc.",,,,,,,,,,194,ARTICLE_HEAD,R1,medium,"""VARs are a very key part of the pie ultimately,"" says Mark Marron, senior vice president of sales and the person VARs"
,,,,Peter S Kastner Media Quotations,AP,,,Peter S Kastner Media Quotations IDC STUDY SAYS WINDOWS COULD BE CHEAPER THAN LINUX A study funded by Microsoft and conducted by IDC shows that the total cost of ownership for Windows 2000 could be lower for many businesses than for Linux over a five-year period.,"Peter S Kastner Media Quotations IDC STUDY SAYS WINDOWS COULD BE CHEAPER THAN LINUX A study funded by Microsoft and conducted by IDC shows that the total cost of ownership for Windows 2000 could be lower for many businesses than for Linux over a five-year period. The study says that staffing costs to support a system of servers represent the largest overall expense. Because staffing costs are 30 percent higher for Linux, the open-source software could end up costing more than Windows for a five-year period. D",,,,,,,,,,205,ARTICLE_HEAD,R1,medium,Peter S Kastner Media Quotations
,,,,"""Certainly no single operating system can be completely secure from",,,,"more than Microsoft,"" Bereskin said. BSD Unix -- Berkeley Software Distribution -- is a version of Unix developed in the 1970s. Designed from the outset as a network operating system, it has widely tested, refined and patched over 30 years. Peter Kastner, chief research officer at Aberdeen Group, said the storm in the Mac com","operating system can be completely secure from all threats, but most people we talk to, most of the security experts we work with closely, agree that because Mac OS X has a Unix BSD core, it lands up being more secure than other platforms, certainly more than Microsoft,"" Bereskin said. BSD Unix -- Berkeley Software Distribution -- is a version of Unix developed in the 1970s. Designed from the outset as a network operating system, it has widely tested, refined and patched over 30 years. Peter Kastner, chief research officer at Aberdeen Group, said the storm in the Mac com",,,,,,,,,,207,ARTICLE_HEAD,R1+R3,high,"""Certainly no single operating system can be completely secure from"
,,,,PC Advisor: 3GHz P4 launch date set for 14 November,PC Advisor,,,"ssor to include hyperthreading, the performance enhancing technology already found in Xeon server processors, that allows multiple software threads to run more efficiently on a single processor. Thanks to the inclusion of this new technology, Peter Kastner, chief research officer for A","ses big performance boost, but do PC Advisor's tests back this up? Martyn Williams, Tom Krazit & Ursula Seymour Intel's Pentium 4 processor is set to reach 3GHz on 14 November. The chip, which will run at 3.06GHz, will also be the first desktop processor to include hyperthreading, the performance enhancing technology already found in Xeon server processors, that allows multiple software threads to run more efficiently on a single processor. Thanks to the inclusion of this new technology, Peter Kastner, chief research officer for A",,,,,,,,,,208,ARTICLE_HEAD,R1,medium,PC Advisor: 3GHz P4 launch date set for 14 November
,,,,"He carefully filled out a card with all the details needed for the rebate, sent in the packaging code and the original",Inc.,,,"a small amount. His experience is fairly typical: according to research by Vericours Inc., a consulting company, about 40 percent of rebate offers are never redeemed. ""People either don't turn them in or don't fill them out correctly,"" said Peter S. Kastner, a director of Vericours. Mr. Kastner estimate","tails needed for the rebate, sent in the packaging code and the original receipt, and after a few months forgot all about it. He has never received the money or a notice explaining why he didn't get it — and he is less than eager to chase after such a small amount. His experience is fairly typical: according to research by Vericours Inc., a consulting company, about 40 percent of rebate offers are never redeemed. ""People either don't turn them in or don't fill them out correctly,"" said Peter S. Kastner, a director of Vericours. Mr. Kastner estimate",,,,,,,,,,217,ARTICLE_HEAD,R1,medium,"He carefully filled out a card with all the details needed for the rebate, sent in the packaging code and the original"
,,,,"He carefully filled out a card with all the details needed for the rebate, sent in the packaging code and the original",Inc.,,,"ly typical: according to research by Vericours Inc., a consulting company, about 40 percent of rebate offers are never redeemed. ""People either don't turn them in or don't fill them out correctly,"" said Peter S. Kastner, a director of Vericours. Mr. Kastner estimate","he packaging code and the original receipt, and after a few months forgot all about it. He has never received the money or a notice explaining why he didn't get it — and he is less than eager to chase after such a small amount. His experience is fairly typical: according to research by Vericours Inc., a consulting company, about 40 percent of rebate offers are never redeemed. ""People either don't turn them in or don't fill them out correctly,"" said Peter S. Kastner, a director of Vericours. Mr. Kastner estimate",,,,,,,,,,217,ARTICLE_HEAD,R1,medium,"He carefully filled out a card with all the details needed for the rebate, sent in the packaging code and the original"
,,,,"AMD has no plans for selling off business units, Denton said. The company really only has three main businesses, its",AP,,,"to deliver its Hammer processors for servers and desktops in the first half of next year, and will introduce a new Athlon XP with its higher-cache Barton core in the first quarter of 2003. The reasons behind AMD's struggles are apparent, said Peter Kastner","ee main businesses, its Athlon and Duron microprocessors, its flash memory business, and its Alchemy wireless chips division. The company's road map for future products will be unaffected by the expense cuts, Denton said. AMD still remains on track to deliver its Hammer processors for servers and desktops in the first half of next year, and will introduce a new Athlon XP with its higher-cache Barton core in the first quarter of 2003. The reasons behind AMD's struggles are apparent, said Peter Kastner",,,,,,,,,,239,ARTICLE_HEAD,R1,medium,"AMD has no plans for selling off business units, Denton said. The company really only has three main businesses, its"
,,,,"The most recent processor to appear in retail from AMD is the Athlon XP 2400+, Kastner said. That processor was",AP,,,"The most recent processor to appear in retail from AMD is the Athlon XP 2400+, Kastner said. That processor was announced back in August (see story). ""AMD needs a retail presence outside of the white-box market in order to regain and extend the market share gains it made last year,"" he said. July 27, 2006 AMD’s Acquisition of ATI: Up","The most recent processor to appear in retail from AMD is the Athlon XP 2400+, Kastner said. That processor was announced back in August (see story). ""AMD needs a retail presence outside of the white-box market in order to regain and extend the market share gains it made last year,"" he said. July 27, 2006 AMD’s Acquisition of ATI: Upsetting the Equilibrium Aberdeen Analysis Introducing the Players AMD AMD is the upstart microprocessor manufacturer that used to compete on price with larger rival Intel. But in the past two years, it has grown market share in volume x86 servers to",,,,,,,,,,240,ARTICLE_HEAD,R1,medium,"The most recent processor to appear in retail from AMD is the Athlon XP 2400+, Kastner said. That processor was"
,,,,"""I don't see any loss of momentum for Apple,"" Kastner said. ""Our research shows that people are coming into",AP,,,"""I don't see any loss of momentum for Apple,"" Kastner said. ""Our research shows that people are coming into stores and asking for the iPod by name, not just any music player."" One possible negative for Apple this holiday season is price. For example, the 10 gigabyte (GB) version of the iPod (which hold","""I don't see any loss of momentum for Apple,"" Kastner said. ""Our research shows that people are coming into stores and asking for the iPod by name, not just any music player."" One possible negative for Apple this holiday season is price. For example, the 10 gigabyte (GB) version of the iPod (which holds about 2,500 songs) costs $299, according to Apple's Web site while the 20 GB version sells for $399. Dell, however, has a 15 GB version of its DJ that costs $249 and its 20 GB version sells for $299. And Creative's 30 GB Nomad Zen NX sells for $299",,,,,,,,,,248,ARTICLE_HEAD,R1,medium,"""I don't see any loss of momentum for Apple,"" Kastner said. ""Our research shows that people are coming into"
,,,,"With PC sales making up the overwhelming majority of Apple revenue, the company's worldwide PC shipments also",AP,,,"ear-ago period, and the 743,000 shipments it recorded in its 2002 first quarter. Research firm IDC said that during the first calendar quarter of this year, Apple held a 2.1 percent stake in the worldwide PC market, down from 2.4 percent a year ago. Kastner, of the Aberdeen Group, said such figures can't be ignored when looking at Apple from a l","h PC sales making up the overwhelming majority of Apple revenue, the company's worldwide PC shipments also continue to drop. In the second quarter, Apple said it shipped 711,000 units, but that number was down from the 813,000 PCs it shipped in the year-ago period, and the 743,000 shipments it recorded in its 2002 first quarter. Research firm IDC said that during the first calendar quarter of this year, Apple held a 2.1 percent stake in the worldwide PC market, down from 2.4 percent a year ago. Kastner, of the Aberdeen Group, said such figures can't be ignored when looking at Apple from a l",,,,,,,,,,251,ARTICLE_HEAD,R1+R3,high,"With PC sales making up the overwhelming majority of Apple revenue, the company's worldwide PC shipments also"
,,,,"""It is a little higher than expected,"" said Roger Kay, computer analyst with IDC. ""There's not that much of a gap in price",AP,,,"ap in price since the 15-gigabyte iPod is only $50 more. Still, it's a very good product."" Kay said he would expect Apple to do some price adjustments in the coming months, especially if the company sees sales of its 15-gigabyte iPod stagnate. Peter Kastner, computer analyst with the Aberdeen Group, said Apple is trying to make sure it maintains its lead in a market that is close to becoming flooded with low-priced competitors. ""Apple has always been a Porsche in a sea of Toyotas,"" Ka","""It is a little higher than expected,"" said Roger Kay, computer analyst with IDC. ""There's not that much of a gap in price since the 15-gigabyte iPod is only $50 more. Still, it's a very good product."" Kay said he would expect Apple to do some price adjustments in the coming months, especially if the company sees sales of its 15-gigabyte iPod stagnate. Peter Kastner, computer analyst with the Aberdeen Group, said Apple is trying to make sure it maintains its lead in a market that is close to becoming flooded with low-priced competitors. ""Apple has always been a Porsche in a sea of Toyotas,"" Ka",,,,,,,,,,252,ARTICLE_HEAD,R1+R3,high,"""It is a little higher than expected,"" said Roger Kay, computer analyst with IDC. ""There's not that much of a gap in price"
,,,,"Aberdeen's Kastner, who said the G5 will benefit from the faster processors, new cache and massive memory",AP,,,"Aberdeen's Kastner, who said the G5 will benefit from the faster processors, new cache and massive memory support, added that graphics designers and image manipulators will see vast improvements in their ability to apply filters, for example, because the code has been","Aberdeen's Kastner, who said the G5 will benefit from the faster processors, new cache and massive memory support, added that graphics designers and image manipulators will see vast improvements in their ability to apply filters, for example, because the code has been optimized for 64-bit computation. Tech Takes Its Time Promisel said the G5 is a needed shot in the arm for Apple's Power Mac, which has experienced sagging sales and few architectural upgrades in the last several quarters. ""Something definitely need",,,,,,,,,,255,ARTICLE_HEAD,R1+R3,high,"Aberdeen's Kastner, who said the G5 will benefit from the faster processors, new cache and massive memory"
,,,,NCR Becomes AT&T GIS,Inc.,,,"marketing and sales,"" says Peter Kastner, a VP with the Aberdeen Group Inc., a consulting firm in Boston. ""GIS has been nowhere near aggressive enough to succeed in today's cut-throat business."" Despite continued revenue growth, GIS has struggled to remain profitable. The unit eked out $2","marketing and sales,"" says Peter Kastner, a VP with the Aberdeen Group Inc., a consulting firm in Boston. ""GIS has been nowhere near aggressive enough to succeed in today's cut-throat business."" Despite continued revenue growth, GIS has struggled to remain profitable. The unit eked out $2 million in operating income in 1994 on revenue of $8.46 billion. But on July 20, it announced an operating loss of $189 million for the second quarter of '95. Aggressive pricing of PCs and low-end servers over the past 12 months has paid off in marke",,,,,,,,,,257,ARTICLE_CONTINUATION,R1,medium,
,,,,"Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology",,,,"Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology analyst Peter Kastner predicts an ""urban WiFi crash"" in 2004. ""The coming urban WiFi crash of 2004 is not in anyone's predictions, nor is the solution neat,"" Kastner says. For about $400, anyone can buy an 802.11b access point and wireless PCMCIA card and, with a broadba","Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology analyst Peter Kastner predicts an ""urban WiFi crash"" in 2004. ""The coming urban WiFi crash of 2004 is not in anyone's predictions, nor is the solution neat,"" Kastner says. For about $400, anyone can buy an 802.11b access point and wireless PCMCIA card and, with a broadband connection, can hook up their own wireless network. Unfortunately, both 802.11b/g technologies share three RF channels in the 2.4GHz band alongside cordless phones and microwaves with a line-of-sight range up to 100",,,,,,,,,,259,ARTICLE_HEAD,R1,medium,"Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology"
,,,,"Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology",,,,"ntial growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology analyst Peter Kastner predicts an ""urban WiFi crash"" in 2004. ""The coming urban WiFi crash of 2004 is not in anyone's predictions, nor is the solution neat,"" Kastner says. For about $400, anyone can buy an 802.11b access point and wireless PCMCIA card and, with a broadband connection, can hook up their own wireless network. Unfortunately, both 802.11b/g technologies share three RF channels in the 2.4GHz band alo","Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology analyst Peter Kastner predicts an ""urban WiFi crash"" in 2004. ""The coming urban WiFi crash of 2004 is not in anyone's predictions, nor is the solution neat,"" Kastner says. For about $400, anyone can buy an 802.11b access point and wireless PCMCIA card and, with a broadband connection, can hook up their own wireless network. Unfortunately, both 802.11b/g technologies share three RF channels in the 2.4GHz band alongside cordless phones and microwaves with a line-of-sight range up to 100",,,,,,,,,,259,ARTICLE_HEAD,R1,medium,"Far from the exponential growth curves and hype, analyst firm The Aberdeen Group's digital consumer technology"
,,,,Microsoft Anti-Trust Trial: Ballmer Testifies,NewsFactor,,,"ting system (OS) from the marketplace altogether. ""It guarantees that the only way to comply effectively is to remove the product from the market,"" Ballmer said. ""If you can't ship Windows, the whole game's kind of over."" Consumer Justice? But Peter Kastner, chief research officer at research firm Aberdeen Group, told NewsFactor that meddling by the state attorneys general could cause immeasurable damage to consum","In the deposition, Ballmer argued that sanctions sought by the nine remaining plaintiff states would force Microsoft to remove its Windows operating system (OS) from the marketplace altogether. ""It guarantees that the only way to comply effectively is to remove the product from the market,"" Ballmer said. ""If you can't ship Windows, the whole game's kind of over."" Consumer Justice? But Peter Kastner, chief research officer at research firm Aberdeen Group, told NewsFactor that meddling by the state attorneys general could cause immeasurable damage to consum",,,,,,,,,,260,ARTICLE_HEAD,R1+R3,high,Top of Form
,,,,Koo says AOL expects to deploy a considerable number of blade servers during the next few years and will likely test,AP,,,"expects to deploy a considerable number of blade servers during the next few years and will likely test blades running other data center applications, such as data warehousing, as well. Melding Servers While standards are sorely needed, Aberdeen's Kastner says it's becoming increasingly clear that ""what once could be done with an expensive eight-way or larger Intel or Unix server can now be done with a handful of powerful blades."" However, it's still unclear how data centers will monitor and manage","Koo says AOL expects to deploy a considerable number of blade servers during the next few years and will likely test blades running other data center applications, such as data warehousing, as well. Melding Servers While standards are sorely needed, Aberdeen's Kastner says it's becoming increasingly clear that ""what once could be done with an expensive eight-way or larger Intel or Unix server can now be done with a handful of powerful blades."" However, it's still unclear how data centers will monitor and manage superdense server farms that include both blades and traditional hardware, says G",,,,,,,,,,264,ARTICLE_HEAD,R1,medium,Koo says AOL expects to deploy a considerable number of blade servers during the next few years and will likely test
,,,,"Peter Kastner, Vice President at Aberdeen Group, stated, ""The partnership between Informix and Blyth is a win-",AP,,,"Peter Kastner, Vice President at Aberdeen Group, stated, ""The partnership between Informix and Blyth is a win- win, combining great database technology with superb development tools. Blyth's web tools integrated into the INFORMIX-ONLINE DYNAMIC Server should prov","Peter Kastner, Vice President at Aberdeen Group, stated, ""The partnership between Informix and Blyth is a win- win, combining great database technology with superb development tools. Blyth's web tools integrated into the INFORMIX-ONLINE DYNAMIC Server should provide state of the art intranet and Internet products. Informix's marketing programs should also enhance Blyth's visibility in the corporate arena."" Blyth Software is a premier provider of application tools and components for electronic commerce. Blyth",,,,,,,,,,266,ARTICLE_HEAD,R1,medium,"Peter Kastner, Vice President at Aberdeen Group, stated, ""The partnership between Informix and Blyth is a win-"
,,,,Harte-Hanks Acquires Aberdeen Group,AP,,,"e Harte-Hanks brings to the market. For additional information, visit Aberdeen http://www.aberdeen.com or call +1-617-723-7890, or to learn more about Harte-Hanks, call +1-800- 456-9748 or go to http://www.harte-hanks.com. Media Contact: Peter S. Kastner, Aberdeen Harte-Hanks Businesses Merge Old with New in Their Information Systems, According to New Aberdeen Report BOSTON, October 6 /PRNewswire/ -- - Most Companies Represented in Benchmark Survey Choose to Pull 'Legacy' Applications into Newer S","strategic role Harte-Hanks brings to the market. For additional information, visit Aberdeen http://www.aberdeen.com or call +1-617-723-7890, or to learn more about Harte-Hanks, call +1-800- 456-9748 or go to http://www.harte-hanks.com. Media Contact: Peter S. Kastner, Aberdeen Harte-Hanks Businesses Merge Old with New in Their Information Systems, According to New Aberdeen Report BOSTON, October 6 /PRNewswire/ -- - Most Companies Represented in Benchmark Survey Choose to Pull 'Legacy' Applications into Newer Service- Oriented Architectures As businesses wade into a world of service-orient",,,,,,,,,,268,ARTICLE_CONTINUATION,R1,medium,
,,,,"The underlying technologies of InterBiz solutions, including Unicenter TNG, Jasmine, 3-D visualizations and Neugents",eWEEK,,,"rBiz solutions, including Unicenter TNG, Jasmine, 3-D visualizations and Neugents neural network pattern recognition, provide realtime and information-rich reporting on business processes, Battat said. ""This is totally new and different,"" said Peter Kastner, executive vice president and chief research officer of the Aberdeen Group, Boston. ""No one else is working in this space."" The new division is ""not a traditional enterprise management play,"" said Colin Mahony, an analyst with Yankee Group, also bas","The underlying technologies of InterBiz solutions, including Unicenter TNG, Jasmine, 3-D visualizations and Neugents neural network pattern recognition, provide realtime and information-rich reporting on business processes, Battat said. ""This is totally new and different,"" said Peter Kastner, executive vice president and chief research officer of the Aberdeen Group, Boston. ""No one else is working in this space."" The new division is ""not a traditional enterprise management play,"" said Colin Mahony, an analyst with Yankee Group, also based in Boston. CA Team Victorious By: Stan Gibson, eWeek.",,,,,,,,,,278,ARTICLE_HEAD,R1+R3,high,"The underlying technologies of InterBiz solutions, including Unicenter TNG, Jasmine, 3-D visualizations and Neugents"
