"row_id","horizon_label","horizon_int","headline","publication","date","kastner_quotation","analyst_prescience_score","analyst_accuracy_outcome","score_p1","bucket_p1","confidence_p1","rationale_p1","score_p2","bucket_p2","confidence_p2","rationale_p2","buckets_agree","p1_minus_p2"
"903","SH-3y","3","For start-up, $2 million is Serius money","Computerworld","1992-01-27","But Objectvision comes with 25 pounds of documentation,","not-applicable","not-predictive","0","low","3","Kastner’s remark about ObjectVision coming with “25 pounds of documentation” is a colorful contemporaneous characterization of the product’s complexity and packaging, not a forward-looking prediction about its future or the market. While Borland ObjectVision did ship in the early 1990s as a forms-based Windows development tool with substantial printed manuals typical of the era, this statement does not assert anything to be validated over the 3‑year horizon. Because there is no concrete forecast about adoption, technology direction, or competitive outcomes embedded in the quote, it cannot meaningfully be scored for prescience.","0","low","3","The quoted remark is a contemporaneous characterization of ObjectVision’s documentation size and perceived complexity, not a forward-looking prediction about its future adoption or impact. While Borland ObjectVision remained a short-lived, niche forms-based Windows tool and was effectively sidelined by mid‑1990s shifts toward products like Visual Basic and later Delphi, this outcome cannot be causally or clearly tied to the specific claim about “25 pounds of documentation,” so the statement cannot be meaningfully scored for prescience against a three‑year horizon.","true","0"
"867","SH-3y","3","Mini vendors adapt in order to survive","Computerworld","1989-03-13","I think we'll be seeing people use their machines for only a few years,","high","validated","4","high","3","By the early 1990s, enterprise buyers of Unix workstations and PCs had in fact moved toward relatively short hardware lifecycles, with three- to four-year refresh cycles becoming common as prices fell and price/performance improved rapidly. Successive CPU and system generations such as 386→486→Pentium on the PC side and SPARCstation, HP 9000/PA-RISC, and IBM RS/6000 on the workstation side made machines bought even a few years earlier look comparatively underpowered, encouraging outright replacement rather than long-term use or major upgrades. Kastner’s timing and direction on a “few years” of use and then replacement were broadly correct, though actual refresh cycles in many organizations tended to be closer to 3–5 years than aggressively shorter, so the claim was slightly overstated rather than spot on.","4","high","3","By the early 1990s, enterprise desktop PCs and Unix workstations were on roughly three- to four-year refresh cycles as rapid gains in x86 and RISC performance, memory, and storage made machines bought only a few years earlier unattractive for new workloads. This stood in sharp contrast to the longer lifetimes of 1970s–early-1980s minicomputers, and foreshadowed the 1990s–2000s norm of treating client systems as relatively inexpensive, regularly replaced commodities, even though many organizations still stretched some hardware beyond three years. Overall, the direction toward short-lived, frequently replaced “throwaway” workstations was largely realized within the three-year horizon and then entrenched in enterprise IT practice thereafter.","true","0"
"868","SH-3y","3","Mini vendors adapt in order to survive","Computerworld","1989-03-13","By then the technology will have leapfrogged anything you have and you'll get another. And the cost will allow that.","high","validated","4","high","3","Within three years of 1989, workstation and PC performance was leapfrogging every product cycle, with rapid RISC and 386/486 advances making machines bought only a few years earlier look markedly underpowered. Enterprises increasingly adopted roughly three-year refresh cycles for desktops and technical workstations as price/performance improved, effectively treating front-line systems as replaceable rather than upgraded in place. However, many organizations continued to run minicomputers and even older workstations for five years or more and repurposed older machines, so the “throwaway” framing overstated how universal and rapid this replacement behavior became in the early 1990s.","4","high","3","Between 1989 and the early 1990s, workstation and PC performance and price/performance advanced extremely quickly (e.g., rapid transitions from 286/386 to 486 and from early SPARCstations to much faster models), making 3–4-year-old client systems feel markedly obsolete. Enterprises increasingly adopted short replacement cycles for PCs and technical workstations in the early 1990s as unit prices fell and capabilities jumped, effectively treating them as relatively disposable capital assets compared with 1980s minicomputers, even if not literally ‘throwaway’ in every case.","true","0"
"717","SH-3y","3","Compaq cleans up its act in battery disposal","Computerworld","1992-02-17","Compaq's release was . . . great PR, but eventually, it's quite possible that corporations will have to sort out their own toxic waste from ordinary office trash.","high","validated","3","medium","2","By the mid-1990s, regulations under RCRA and the 1995 U.S. Universal Waste Rule did begin pushing organizations to segregate items like batteries from ordinary trash, and many larger enterprises introduced internal collection programs for NiCd batteries, toner cartridges, and other hazardous office waste streams. However, this sorting was uneven, often outsourced to specialized waste handlers, and major responsibility for battery and toner take-back shifted toward manufacturers and collective schemes such as the Rechargeable Battery Recycling Corporation rather than making most corporations directly manage their own toxic waste. Over a three‑year horizon from 1992, Kastner’s suggestion that corporations would broadly “have to” sort their own toxic waste was only partially realized and more fully materialized much later as part of broader corporate sustainability and ISO 14001-style environmental management efforts.","3","medium","3","By the mid‑1990s, regulators and many large enterprises were indeed separating hazardous items such as nickel‑cadmium batteries and fluorescent lamps from general trash under existing hazardous‑waste rules and emerging ""universal waste"" classifications, and OEM take‑back programs for toner cartridges and batteries were expanding. However, within the 3‑year horizon the main policy and industry trajectory was toward manufacturer and retailer take‑back and specialized recyclers (e.g., the formation of RBRC in 1994 and, just beyond the horizon, the 1996 Mercury‑Containing and Rechargeable Battery Management Act), rather than a universal mandate that all corporations sort their own toxic waste from ordinary office trash, so the claim was directionally right but only partially realized in scope and timing.","true","0"
"904","SH-3y","3","Compaq cleans up its act in battery disposal","Computerworld","1992-02-17","Compaq's release was . . . great PR, but eventually, it's quite possible that corporations will have to sort out their own toxic waste from ordinary office trash,","medium","partially-validated","4","high","3","Within a few years of 1992, regulations and corporate environmental policies increasingly required businesses to segregate hazardous materials like nickel-cadmium batteries and other toxic waste from ordinary office trash, rather than simply discarding them in general refuse. The U.S. EPA’s mid-1990s Universal Waste Rule and similar state and international measures pushed companies to implement separate collection, labeling, and recycling streams for batteries and other toxics, and many enterprises set up internal programs and bins to keep these materials out of regular trash, even though specialized vendors handled final disposal. Kastner’s direction—that corporations would become responsible for separating their own toxic waste from everyday office garbage—proved largely accurate, although the full effect played out over a slightly longer horizon than three years and was implemented through structured programs rather than ad hoc sorting by end users.","3","medium","2","By the mid‑1990s, some U.S. states had begun mandating recycling or special handling of nickel‑cadmium batteries and other hazardous materials, and large organizations were increasingly required under RCRA and state rules to segregate regulated hazardous waste streams from ordinary trash. However, within the 3‑year horizon this was not yet a universal or rigorously enforced requirement for typical office battery waste, and over the longer term much of the operational burden shifted to producer/retailer take‑back and specialized recyclers rather than routine, comprehensive sorting of all office toxic waste by corporations themselves.","false","1"
"905","SH-3y","3","Compaq cleans up its act in battery disposal","Computerworld","1992-02-17","is not just hype. There is a need, and I believe over time, corporations will mandate that they recycle","high","validated","2","medium","2","Between 1992 and the 1995 forecast horizon, only a minority of large firms had formal internal mandates requiring employees to recycle items like nickel-cadmium batteries or toner cartridges; most activity was ad hoc or driven by regulatory compliance for hazardous waste, not broad corporate policy. More systematic corporate recycling mandates and takeback programs for batteries and electronic waste became common only later, aided by measures such as the mid- to late-1990s battery regulations and 2000s–2010s e‑waste and ESG initiatives, so the direction was eventually borne out but the timing and implied ubiquity were off for the stated 3‑year window.","3","medium","2","By the 3-year horizon around 1995, vendor take-back programs for toner cartridges and nickel-cadmium batteries (such as HP’s and Compaq’s) existed, and some large enterprises participated, but explicit corporate-wide mandates that employees or business units recycle these specific products were not yet widespread. Broader regulatory drivers like the U.S. Mercury-Containing and Rechargeable Battery Management Act (1996) and later e-waste and corporate ESG policies in the 2000s–2010s eventually pushed many corporations to formalize battery and consumables recycling, so the direction of Kastner’s claim proved correct over a longer timeframe than the 3-year window used for scoring. Thus, the prediction was directionally right but early for the specified horizon, meriting a mid-level score.","true","-1"
"1001","SH-3y","3","Compaq cleans up its act in battery disposal","Computerworld","1992-02-17","is not just hype. There is a need, and I believe over time, corporations will mandate that they recycle these products.","medium","partially-validated","3","medium","2","Kastner correctly anticipated that recycling of toxic rechargeable batteries would become a real operational and compliance need, and that organized recovery programs would emerge, as seen in the mid-1990s creation of industry take-back schemes for NiCd batteries and later regulatory frameworks like the EU Battery Directive and U.S. state landfill bans. However, within roughly three years of 1992, widespread company-level mandates for employees or business units to recycle portable-computer batteries were still the exception rather than the norm; most activity was vendor- or regulator-driven and broader corporate e-waste and battery-recycling policies only became common in large enterprises in the 2000s. Thus the direction was right but the strength and timing of “corporations will mandate” recycling were overstated for the stated horizon.","3","medium","2","The claim that there was a genuine need to recycle nickel–cadmium batteries was accurate and quickly validated by early- to mid‑1990s environmental regulations and industry initiatives focused on hazardous battery waste. However, by roughly three years out (around 1995), only a minority of large enterprises and vendors had formal internal mandates or take‑back schemes for battery recycling, with broader, explicit corporate recycling mandates and ESG policies emerging more substantially in the late 1990s and 2000s rather than within the stated short horizon. Over the longer term the directional prediction proved right, but within the 3‑year window corporate mandates were limited and uneven, so the forecast is only partially borne out.","true","0"
"961","SH-3y","3","Stratus' Unix systems to act as SNA hosts","Computerworld","1993-08-16","Whether justified or not, FTX is regarded as less reliable,","not-applicable","not-predictive","0","low","2","The quoted sentence is a contemporaneous characterization of customer perception in 1993, not a clear prediction about how FTX reliability or its perception would evolve over the following three years. Historical sources on Stratus focus on FTX’s role as a niche fault-tolerant Unix and its eventual stagnation, but do not clearly document whether it continued to be regarded as less reliable than VOS or competing Unix platforms in the 1993–1996 period. Because the claim is about moment-in-time sentiment and later evidence on that specific perception is sparse, its prescience over a three‑year horizon cannot be reliably assessed.","0","low","2","The quotation characterizes a contemporaneous perception of Stratus’ FTX Unix as “less reliable” relative to expectations for fault‑tolerant systems, rather than making a clear forward-looking prediction. While Stratus’ proprietary VOS systems and later Intel-based ftServer platforms running Windows and Linux became its defining high-availability offerings and FTX Unix never achieved broad market traction, there is insufficient objective evidence about 1993–1996 customer perceptions to judge how accurate this specific reputational claim was over the stated horizon. Because the claim is narrow, subjective, and not clearly predictive, its prescience cannot be reliably assessed.","true","0"
"962","SH-3y","3","Stratus' Unix systems to act as SNA hosts","Computerworld","1993-08-16","And if FTX is not perceived as rock-solid, that kind of blows away the whole marketing rationale","not-applicable","not-predictive","4","high","2","Stratus’ FTX fault-tolerant Unix never became a major SNA downsizing host platform in the mid‑1990s, and Stratus remained a niche vendor while most SNA and OLTP workloads stayed on IBM mainframes or moved toward more standard Unix and later TCP/IP-centric architectures. Perceptions that FTX did not match the proven reliability of VOS, combined with rising competition from commodity Unix systems and Stratus’ eventual pivot toward other operating systems (HP‑UX, then Windows and Linux on ftServer and successors), meant the original marketing rationale for FTX as a rock‑solid SNA host was effectively undermined within a few years of the claim.","4","high","2","Stratus’ FTX fault-tolerant Unix line never achieved widespread adoption as an SNA host in the mid‑1990s, and conservative banking and financial users largely stayed on established VOS systems or IBM mainframes rather than migrating wholesale to FTX. The company’s differentiation in the market continued to be tied to perceptions of near‑mainframe reliability, and FTX was not viewed as clearly superior to other Unix platforms on that dimension, undercutting its marketing pitch for mission‑critical SNA workloads. By the late 1990s and 2000s Stratus’ strategic emphasis shifted toward newer fault‑tolerant platforms such as ftServer running Windows and later Linux, confirming that FTX had not fulfilled its original marketing rationale as a dominant SNA host platform.","true","0"
"789","SH-3y","1","A move to build PCs without Windows","The Christian Science Monitor","2002-10-21","I have been out on a limb saying 5 percent of the market could be on Linux a year from now.","low","contradicted","1","low","3","By late 2003, desktop Linux market share was still well under a few percent globally, with most usage-share measurements keeping it around 1% and Windows continuing to dominate above 90%. Even through the mid‑2000s the Linux desktop never came close to 5% of the overall PC market, and as of the 2010s–2020s it only gradually climbed into the low single digits in most global estimates. Kastner’s forecast of 5% desktop market share within a year was therefore badly off in both timing and magnitude, despite being directionally aligned with modest long‑term growth in Linux adoption.","1","low","3","Within a year of the 2002 quote, Linux desktop share was widely estimated around 1–2%, far below the forecast 5%, and it did not approach that level in the mid‑2000s. Even by the mid‑2020s, global desktop Linux (excluding ChromeOS) is only around 3–4% according to StatCounter-based summaries and aggregated OS usage data, meaning the predicted rapid shift to 5% desktop share was both mistimed and overstated[1][3][4]. Longer-term history shows Linux remained a niche desktop OS while Windows and then macOS retained the overwhelming majority of the desktop market.","true","0"
"888","SH-3y","3","Integration vs. specialization","Computerworld","1990-05-07","Major application suppliers are using 4GLs and CASE technology to allow users to maintain and customize their base-level applications,","not-applicable","not-predictive","4","high","3","Between 1990 and roughly 1993, leading enterprise application vendors such as SAP (via ABAP/4GL), Oracle (via Designer/Developer and Oracle CASE), and PeopleSoft (via PeopleTools) did in fact rely on 4GL-style environments and code generators to let customer IT staff maintain and tailor packaged financial and ERP applications. CASE tools ultimately failed to achieve their grand long‑term ambitions and broad end‑user penetration, but in the early 1990s major suppliers were actively embedding 4GL/CASE-based customization frameworks in their offerings, so Kastner’s short‑horizon characterization largely held true.","4","high","3","By the early 1990s, major enterprise application vendors such as SAP (ABAP/4 in R/3), Oracle Applications (Oracle Forms plus PL/SQL), and PeopleSoft (PeopleTools/PeopleCode) did indeed use 4GL-style environments so customers could modify screens, reports, and business logic around base packages. Several vendors also wrapped these in repository- and model-based tools influenced by CASE (e.g., TI IEF and similar generators) to regenerate application components from higher-level specifications, supporting maintainability and some customer-driven tailoring. However, much of this power was exercised by IT staff and integrators rather than true end users, and CASE never became as central or pervasive as the phrasing implies, so the statement is directionally right but somewhat overstated.","true","0"
"889","SH-3y","3","Integration vs. specialization","Computerworld","1990-05-07","If you're a company with multiple businesses,","not-applicable","not-predictive","4","high","3","Between 1990 and roughly 1993, large multi-division companies increasingly standardized on broad, integrable general-ledger and financial suites (e.g., SAP R/2 and early R/3, Oracle Financials, and emerging client/server ERPs) specifically because they could consolidate results across subsidiaries better than a patchwork of vertical packages. Conglomerates and multinationals prioritized common charts of accounts, cross-subsidiary roll-up, and shared reporting over niche industry features, validating the idea that integration outweighed the edge of non-interoperable verticals in multi-business settings. Vertical and industry-specific systems certainly persisted, but for diversified firms Kastner’s characterization of the trade-off and the relative advantage of generic, integration-focused packages was directionally accurate over this short horizon.","4","high","3","By the early 1990s, diversified enterprises were indeed standardizing on general-purpose financial and ERP suites like SAP (R/2 then R/3), Oracle Financials, and later PeopleSoft precisely because they could consolidate multiple subsidiaries and business units more easily than disparate vertical packages. In multi-business firms, industry-specific systems often survived only with custom interfaces feeding a central general ledger or consolidation system, reflecting that their standalone edge diminished when cross-entity roll-up and integration became the dominant requirement. Over the longer term, vertical software remained strong and even resurged in SaaS form, but usually in tandem with horizontal suites or integration platforms rather than as isolated, non-integrated systems, which aligns with Kastner’s emphasis on the integration disadvantage of unconnected verticals.","true","0"
"890","SH-3y","3","Integration vs. specialization","Computerworld","1990-05-07","you start to lose the edge of vertical packages that don't talk to each other too well. General packages are designed from the beginning to roll up subsidiaries.","not-applicable","not-predictive","4","high","3","From 1990–1993, large multi-division enterprises increasingly standardized on general-purpose financial and emerging ERP suites such as SAP (R/2 moving toward R/3), Oracle Financials, J.D. Edwards, and Lawson to gain integrated general ledger, consolidation, and multi-subsidiary rollup capabilities, validating the idea that cross-subsidiary integration was a core advantage of general packages for multi-business firms. At the same time, organizations running multiple disconnected vertical packages often faced complex, brittle custom interfaces for intercompany consolidation, which did erode the appeal of standalone vertical systems in diversified enterprises even in the early 1990s. However, vertical financial and industry-specific packages remained strong throughout the 1990s in single-line or highly regulated industries, so Kastner’s integration thesis was directionally right but the displacement of vertical solutions was slower and less complete than implied.","4","high","3","From 1990 to roughly 1993, large and mid-sized firms increasingly standardized on integrated general-purpose financial suites such as SAP R/2 and early R/3, Oracle Financials, and others specifically to consolidate multi-entity accounting and roll up subsidiary ledgers, validating the idea that general packages were designed for multi-subsidiary roll-up. At the same time, many industry-specific vertical packages in manufacturing, distribution, and services remained competitive but were pressured to add customization and interfaces or be wrapped with integration and reporting tools, so their edge eroded for multi-line enterprises even though they did not disappear. The prediction slightly overstates how quickly vertical packages lost their advantage but is directionally accurate for the 3-year horizon and strongly aligned with the longer-term dominance of integrated ERP suites for core financials.","true","0"
"891","SH-3y","3","Integration vs. specialization","Computerworld","1990-05-07","If you supply software to a law firm and can speak their language, the customer can understand better what they're buying,","not-applicable","not-predictive","0","low","3","The quotation is a general sales and requirements-gathering truism—that domain-specific understanding helps buyers grasp software value—rather than a concrete forecast about how the legal or vertical-software market would evolve over the following three years. While the early 1990s did see continued growth of vertical legal software vendors whose staff often had legal backgrounds and whose products reflected law-firm workflows, this pattern was already well established in the 1980s and the statement does not stake out a specific, time-bound prediction that could be confirmed or refuted. Because it functions as evergreen advice rather than a falsifiable three-year forecast, it cannot meaningfully be scored for prescience against the stated horizon.","0","low","3","The quoted sentence is a general, almost tautological observation that industry-specific language helps customers understand software purchases, rather than a concrete, time-bounded prediction about technology or market evolution. It does not specify an adoption trend, technology shift, or measurable outcome that could be judged as right or wrong over the 3-year horizon, so its prescience relative to historical developments cannot be meaningfully assessed.","true","0"
