obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,verification_method,methodology_code,source_page,notes,collection,thread_tag,section,legacy_obs_id,_study_type,_study_prescience,_bucket
09-maxtor-workshop-prep-guide-a218dc-OBS-001,09-maxtor-workshop-prep-guide-a218dc,maxtor,,strategic-objective,2004,Workshop goal,Create corporate agreement about midline category value and messaging to support Maxtor's aggressive foundation of the category to ensure continued profitability,high,ingest-extraction,document-review,Workshop Goal section,Primary stated purpose of the workshop,,,,,employer-record,medium,employer-internal
ra-soa-2007-97c147-obs-005,ra-soa-2007-97c147,,,kpi,2007,Industry Average - reduction in defects discovered in production,46%,high,ingest-extraction,survey,7,Table 1,,,,,employer-record,medium,employer-internal
soa-in-it-e5b373-obs-019,soa-in-it-e5b373,aberdeen-group,,survey-finding,2005,Large companies with less than 12 months of SOA experience,29%,high,ingest-extraction,survey,2,Large companies,,,,,employer-record,medium,employer-internal
outsourcing-adm-864c88-obs-050,outsourcing-adm-864c88,,,market-data,2006,Share of application maintenance outsourced to US,27%,high,ingest-extraction,survey,9,Figure 6 text: US captures less than half of India's maintenance share,,,,,employer-record,medium,employer-internal
aberdeen-productization-pricing-and-survey-research-program-2000-b7b001-OBS-014,aberdeen-productization-pricing-and-survey-research-program-2000-b7b001,eti-content,aberdeen-mas,relationship,2001,ETI/David Wright partnership scope,Methodology + Quantitative Model + Macroeconomic Data + Qualitative Data Model + Structured Interview development + Outbound Marketing + Telesales team + Field sales training + On-site sales calls,high,ingest-extraction,primary-doc,Market-Analysis-Service-Internal-7 slides 19-22,Comprehensive ETI contribution covering Product Development Project Execution Sales/Marketing and Contract Fulfillment,,,,aberdeen-productization-pricing-and-survey-research-program-2000-b7b001-014,employer-record,high,employer-internal
teamquest-8-ec015b-OBS-003,teamquest-8-ec015b,,server-consolidation,actual-outcome,2012,VMware-era consolidation realized,"VMware ESX/vSphere drove 5-10x physical-server consolidation in typical enterprise data centers by 2012 — directly validating Kastner's 2004 'millions of dollars in savings' framing, though the mechanism (virtualization) shifted from simple physical recentralization to virtualization-based consolidation.",verified,web-source,industry-consensus,backfill,Backfill — consolidation lifecycle,,,,,vendor-whitepaper,medium,white-paper
real-time-billing-for-internet-protocol--5ef746-OBS-007,real-time-billing-for-internet-protocol--5ef746,,cmb-system,actual-outcome,2020,Convergent charging ubiquitous,"By 2020, real-time convergent charging is standard in telco (Ericsson CC, Amdocs), SaaS (Stripe, Recurly), and cloud pay-as-you-go across all major hyperscalers — validating Kastner prediction.",verified,web-source,industry-consensus,backfill,Backfill,,,,,white-paper,high,white-paper
teamquest-8-ec015b-OBS-002,teamquest-8-ec015b,,it-capacity-planning,market-data,2004,Three planning approaches,"TeamQuest whitepaper distinguishes three capacity-planning approaches: capacity benchmarking (expensive load testing), capacity trending (quick linear/statistical), and capacity modeling (both simulation and analytic queueing). Modeling is positioned as the only approach permitting evaluation of alternative solutions before implementation.",high,ingest-extraction,vendor-whitepaper,p5,TeamQuest taxonomy,,,,,vendor-whitepaper,medium,white-paper
real-time-billing-for-internet-protocol--5ef746-OBS-002,real-time-billing-for-internet-protocol--5ef746,peter-s-kastner,ip-real-time-billing,viability-prediction,1998,Customer agility thesis,"We need to allow customers to turn on a dime, try new services right away.",verified,outcome-linkage,expert-opinion,p1,Kastner core thesis; prescient re: SaaS and cloud,,,,,white-paper,high,white-paper
2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-004,2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24,,,framework-factor,2000,e-Business challenge 3: First-mover sustainability,Early dot-com winners face commoditization as followers copy business models,medium,ingest-extraction,expert-opinion,Abstract,First-mover advantage erosion concern,,,,,white-paper,low,white-paper
oracle-wp-prod-6-a42b4b-OBS-019,oracle-wp-prod-6-a42b4b,,erp,viability-prediction,2001,integrated-suite-long-run-winners,Traditional ERP vendors of the 1990s (who lost marketing cachet to upstart best-of-breed) are likely the winners in the long run with packaged integrated cross-enterprise solutions.,partially-verified,outcome-linkage,expert-opinion,conclusion,,,,,,white-paper,high,white-paper
2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef-OBS-013,2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef,ariba,,actual-outcome,2012,e-Procurement competitor Ariba outcome,Ariba acquired by SAP for $4.3 billion in 2012; became SAP Ariba — major supply chain platform,verified,web-source,document-review,N/A — post-study verification,"Ariba, implied competitor in study, thrived rather than failing; market consolidated",,,,,white-paper,medium,white-paper
1992-tpc-benchmarks-vp-ed0e0d-OBS-032,1992-tpc-benchmarks-vp-ed0e0d,aberdeen-group,tpc-benchmark,market-analysis,1992,Unix/RDBMS hot boxes TPC-A participation change,Missing from 1991 TPC-A price-performance leadership; entered in Q1 1992,high,ingest-extraction,analyst-assessment,2,Sufficient software efficiencies achieved to support terminal user counts for high-end TPC-A.,,,,1992-tpc-vp-032,white-paper,high,white-paper
intelitaniummfewp1[1]-773ea2-OBS-007,intelitaniummfewp1[1]-773ea2,intel,itanium-2,viability-prediction,2004,Xeon-Itanium cost parity,Intel aims to achieve cost parity,refuted,outcome-linkage,vendor-claim,p2,Intel aims to achieve cost parity between Xeon and Itanium lines,,,,,white-paper,medium,white-paper
aberdeen-1995-commercial-messaging-OBS-018,aberdeen-1995-commercial-messaging,,commercial-messaging,expert-opinion,1995,Legacy application retrofit risk from delayed adoption,growing mass of networking-limited legacy applications; costly retrofit or early rearchitecting required,high,ingest-extraction,industry-analysis,p.1,Delay adds to legacy debt; new client-server applications without Commercial Messaging may fail to scale in distributed enterprise and require early costly rearchitecting,,,,,white-paper,high,white-paper
1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35-OBS-008,1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35,compaq-computer,,actual-outcome,2002,HP acquisition of Compaq,HP acquired Compaq for approximately $19-25 billion in May 2002,verified,web-source,document-review,post-publication,Compaq dissolved as independent entity; ProLiant server brand retained under HP/HPE,,,,,strategy-profile,high,profile-case
1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35-OBS-002,1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35,siebel-systems,siebel-enterprise-applications,technology-assessment,1997,CIS market positioning,Enterprise-grade sales force automation and customer service/support,high,ingest-extraction,industry-analysis,Abstract,Siebel Enterprise Applications positioned at large-scale enterprise market segment,,,,,strategy-profile,high,profile-case
1997-crm-siebel-systems-pr-569e52-OBS-001,1997-crm-siebel-systems-pr-569e52,ent-sb-001,,market-data,1997,employee_count,Siebel Systems has over 214 employees,high,ingest-extraction,vendor-data,1,Company size in 1997,,,,OBS-SB-001,Vendor Strategy Profile,high,profile-case
1997-dynasoft's-boks-family--a-pragmatic-e6df7d-OBS-019,1997-dynasoft's-boks-family--a-pragmatic-e6df7d,,TECH-DYS-002,viability-prediction,1997,SSO market adoption,SSO will become essential enterprise infrastructure,high,ingest-extraction,pr,1,Aberdeen frames SSO as critical for managing geographically dispersed enterprises with multiple platforms,,,,OBS-DYS-019,Profile,medium,profile-case
1997-insession---accessing-and-leveragin-cb2e40-OBS-007,1997-insession---accessing-and-leveragin-cb2e40,,TECH-INS-002,viability-prediction,1997,Enterprise transaction system longevity,Organizations will need to leverage existing host-based ETS for extended period,high,ingest-extraction,analyst-judgment,Abstract,Implicit prediction: ETS systems are long-lived and integration solutions have durable market,,,,OBS-INS-007,Product Profile,medium,profile-case
webex--taking-conferencing-to-the-busine-5b8109-OBS-018,webex--taking-conferencing-to-the-busine-5b8109,,voip,technology-adoption,2002,VoIP security/QoS limitations,Internet VoIP suffers all security and privacy flaws of Internet; biggest Web conferencing drawback,high,ingest-extraction,analyst-assessment,2,VoIP over Internet: inability to ensure consistent response times and service levels; WebEx private WAN resolves this.,,,,,case-analysis,high,profile-case
aberdeen-1995-hp-customer-interaction-software-OBS-031,aberdeen-1995-hp-customer-interaction-software,ent-hp,tech-smart-contact,market-data,1995,smart_contact_benefit_users,eliminates need for users to track down point-product suppliers,high,ingest-extraction,industry-analysis,3,HP coordinates all components needed to build solution eliminating user search,,,,,product-profile,medium,profile-case
aberdeen-1995-ibm-as400-sap-r3-OBS-072,aberdeen-1995-ibm-as400-sap-r3,ibm-as400-division,as400-advanced-series,technology-assessment,1995,disk_max_model_530,520 GB,high,ingest-extraction,document-review,2,,,,,,product-profile,high,profile-case
dell-storage-profile-2004-OBS-010,dell-storage-profile-2004,dell,dell-emc-cx-family,product-profile,2004,Dell|EMC CX third generation — performance improvements,CX300: 70% faster than CX200; CX500: 100% faster than CX400; CX700: 25% faster than CX600 — at same price,high,ingest-extraction,document-fact,A New Generation Takes Center Stage,Performance improvement while holding price constant = improved price/performance denominator. Core Dell model.,,,,,case-analysis,high,profile-case
aberdeen-megatrends-mfa-cs-mis-1993-05-98fc87-OBS-001,aberdeen-megatrends-mfa-cs-mis-1993-05-98fc87,aberdeen-group,,framework-headline,1993,fifty-pct-capex-it,Up to 50% of capital expenditure is now for IT,high,ingest-extraction,primary,Enterprise Infrastructure slide,Aberdeen 1993 capex headline,,,,,consulting-presentation-deck,high,consulting-advisory
testahur95-330c0c-OBS-005,testahur95-330c0c,aberdeen-group,fault-tolerant-computers,strategic-assessment,1995,High-availability industry characterization,"Sophisticated industry of hardware, software, and service companies; all thrive on pain and paranoia surrounding computer application failures",high,ingest-extraction,expert-commentary,1,Range: fault-tolerant computers to network backup to virus-checking,,,,,consulting-report,medium,consulting-advisory
intel-centrino-pk-8ecf9a-OBS-003,intel-centrino-pk-8ecf9a,intel,centrino,product-evaluation,2003,Centrino battery life,Over 5 hours,high,ingest-extraction,primary-source,p1,Built from ground up for long battery life; better than Pentium 3/4 mobile.,,,,,expert-report,high,consulting-advisory
computerworld-ilm-waiting-2004-OBS-024,computerworld-ilm-waiting-2004,,ilm-software,actual-outcome,2010,Storage admin productivity improvement — actual outcome,Automated tiering reduced manual storage intervention significantly; 80% reduction in storage-related production hours broadly achieved per prescience context.,verified,web-source,industry-outcome,n/a,Prescience rating HIGH 8/10. The efficiency prediction proved directionally and quantitatively correct.,,,,,expert-report,high,consulting-advisory
ncr-3000-cabinet-engineering-diagram-199-fa564f-OBS-004,ncr-3000-cabinet-engineering-diagram-199-fa564f,ncr-corporation,qic-tape-525mb,hardware-spec,1992,Standard tape backup,525MB QIC tape standard,high,ingest-extraction,primary-source,1,Standard Devices Include: One 525 MB QIC Tape; One 1.44 MB Flex Disk,,,,,engineering-diagram,low,engineering-tech
ncr-3000-cabinet-engineering-diagram-199-fa564f-OBS-002,ncr-3000-cabinet-engineering-diagram-199-fa564f,ncr-corporation,micro-channel-architecture,hardware-spec,1992,Slot count,8 primary + 8 optional Micro Channel slots,high,ingest-extraction,primary-source,1,Primary Micro Channel Slots (8) plus Optional Side Optional Micro Channel Slots (8),,,,,engineering-diagram,low,engineering-tech
2001-hp-camera-lab-journal-prod-d90f3f-OBS-018,2001-hp-camera-lab-journal-prod-d90f3f,digital-equipment-corporation,data-mining,technology-assessment,2001,rom_upgrade_failure,ROM upgrade failed due to XP disk formatting process corrupting camera digital media,high,ingest-extraction,product-testing,2,Camera software detected available ROM update during reinstall; update failed because Windows XP formatting attempt had changed camera digital media state,,,,2001-hp-camera-lab-journal-prod-d90f3f.018,lab-journal,medium,engineering-tech
review-gateway-notebook-with-intel-centr-985a73-OBS-002,review-gateway-notebook-with-intel-centr-985a73,peter-s-kastner,gateway-450-notebook,expert-opinion,2003,Gateway 450 verdict,"High marks for the Gateway 450: excels at performance, battery life, screen visibility, and ability to pull in distant Wi-Fi signals.",high,ingest-extraction,hands-on-review,p1,Kastner 2-month travel review,,,,,topic-analysis,high,topic-viewpoint
otellini-preview-on-the-impact-2013-a50192-OBS-007,otellini-preview-on-the-impact-2013-a50192,intel-corp,,market-data,2004,process-node,90nm,verified,ingest-extraction,dr,p.2,,,,,,topic-analysis,medium,topic-viewpoint
review-gateway-notebook-with-intel-centr-985a73-OBS-002,review-gateway-notebook-with-intel-centr-985a73,peter-s-kastner,gateway-450-notebook,expert-opinion,2003,Gateway 450 verdict,"High marks for the Gateway 450: excels at performance, battery life, screen visibility, and ability to pull in distant Wi-Fi signals.",high,ingest-extraction,hands-on-review,p1,Kastner 2-month travel review,,,,,topic-analysis,high,topic-viewpoint
2002-04-oracle-appsworld-insight-jones-fb0f43-OBS-012,2002-04-oracle-appsworld-insight-jones-fb0f43,,,expert-opinion,2002,Oracle 11i upgrade value proposition,Newest version = basic platform for extended functionality; upgrade unlocks additional revenue opportunities within installed base,high,ingest-extraction,expert-opinion,Aberdeen Conclusions,Classic installed-base monetization framing for enterprise software,,,,,industry-insight,medium,topic-viewpoint
sars2-hot-topic-cf91d4-OBS-012,sars2-hot-topic-cf91d4,,,risk-assessment,2003,Hong Kong daily SARS case growth rate,~100 cases/day,medium,ingest-extraction,secondary-data,p2,Hong Kong case load growing at about 100 cases per day at time of writing,,,,,topic-analysis,high,topic-viewpoint
2003-06-sarbanes-oxley-insight-pt2-veytsel-3950f2-OBS-001,2003-06-sarbanes-oxley-insight-pt2-veytsel-3950f2,,,expert-opinion,2003,SOX core thesis: FVCM-analytics convergence,Sarbanes-Oxley Act is accelerating convergence between financial value chain management (FVCM) and financial analytics software,high,ingest-extraction,industry-analysis,p.1,Central predictive thesis of this insight,,,,,industry-insight,high,topic-viewpoint
2026-kastner-intel-longitudinal-776f7e-OBS-098,2026-kastner-intel-longitudinal-776f7e,peter-s-kastner,,framework-factor,2026,Recommended citation,"Kastner, P. S. (2026). Intel Corporation Across Five Decades of the Kastner Archive: Technology Emergence, Decline, and the x86 Market Calls. Aberdeen Group Archive. CC-BY-4.0.",verified,ingest-extraction,longitudinal-single-entity,§13,Stable citation for the longitudinal study,,,,,topic-analysis,high,topic-viewpoint
2026-kastner-ibm-longitudinal-OBS-051,2026-kastner-ibm-longitudinal,ibm,ibm-global-services,framework-factor,2026,THREAD-5: Services Transformation — Claim,"IBM would pivot from hardware firm to services-led company, with services becoming majority of revenue",verified,ingest-extraction,thematic-thread-decomposition,§4 THREAD-5,Strongest single verified prediction cluster in IBM archive; Gerstner pivot 1993-2002 fully documented,,,,,topic-analysis,high,topic-viewpoint
2026-kastner-oracle-longitudinal-OBS-071,2026-kastner-oracle-longitudinal,oracle-corporation,oracle-oci,strategy-classification,2016,oci-differentiation-thesis,Oracle OCI Gen 2 differentiated on security architecture (no shared tenancy for control plane) and price parity with AWS,high,ingest-extraction,archive-mining,,Oracle OCI Gen 2 claimed architectural superiority over AWS/Azure on isolation and security; aggressive pricing — 1/3 AWS price on comparable compute; designed to capture Oracle Database cloud migration,kastner-longitudinal,,,,topic-analysis,high,topic-viewpoint
aberdeen-retail-bi-benchmark-survey-2006-aa440e-OBS-004,aberdeen-retail-bi-benchmark-survey-2006-aa440e,aberdeen-group,retail-business-intelligence,market-data,2006,Planned publication date,"May 30, 2006 planned publication for the resulting Retail BI Benchmark Report",high,ingest-extraction,primary-source,slide-6,,,,,,research-design-deck,medium,presentation
aberdeen-multitrak-headlines-context-kas-f941d1-OBS-005,aberdeen-multitrak-headlines-context-kas-f941d1,,downsizing-it-strategy,manufacturing_case_history,1991,outcome,three-year-migration-with-SI-taking-dev-risk,high,ingest-extraction,deck-case-history,Case-2,Manufacturing case: 4381 → plant rings via systems integrator,,,,,conference-presentation,high,presentation
soa-aon-webinar-022206a-125e6b-OBS-026,soa-aon-webinar-022206a-125e6b,,data-mining,benchmark-result,2006,innovation_spend_gap_best_vs_avg,+11%,high,ingest-extraction,mc-bench,16,Best-in-Class companies spend 11 percentage points more on innovation than average,,,,,webinar-presentation,high,presentation
research-resources-the-william-davidson--7de658-OBS-001,research-resources-the-william-davidson--7de658,peter-s-kastner,it-outsourcing,expert-opinion,2006,Outsourcing strategic-skills framing,Companies are banking on the outsourcing of some of their application-related work to help boost the skills of their internal IT professionals and let them plunge their hands into more strategic initiatives — not all about the money.,high,ingest-extraction,industry-analysis,p1,Saia & Kastner Aberdeen Group 2006-11-28 report,,,,,news-article,medium,press-trade
supreme-court-orders-intel-documents-rel-e6e110-OBS-001,supreme-court-orders-intel-documents-rel-e6e110,peter-s-kastner,us-code-1782-discovery,expert-opinion,2004,Oddball legal situation,"This is an oddball legal situation where the EU has not requested documents from a sealed Alabama litigation, but AMD wants a California court to force their disclosure anyway. The Supreme Court now says California gets to decide what is disclosed to Europe.",high,ingest-extraction,analyst-commentary,p1,Kastner quote per Michael Singer InternetNews.com,,,,,news-article,high,press-trade
samsung-unveils-fastest-mobile-cpu-on-th-c34fad-OBS-005,samsung-unveils-fastest-mobile-cpu-on-th-c34fad,,arm-embedded-cpu,actual-outcome,2020,ARM dominance in mobile and PC,"By 2020, ARM-based SoCs dominated 99%+ of smartphones globally; Apple M1 (2020) extended ARM dominance into PC/Mac; Arm Ltd. went public on Nasdaq in September 2023 at a $54.5B valuation.",verified,web-source,industry-consensus,backfill,Backfill — ARM dominance thesis fully validated,,,,,news-article,high,press-trade
processor-editorial-article-much-in-stor-660f27-OBS-002,processor-editorial-article-much-in-stor-660f27,peter-s-kastner,linux-os,expert-opinion,2004,Microsoft will not open-source Windows,You'd be asking Microsoft to lose a lot of money in helping a competitor operating system. No sane business person would make this decision. There is no proven mass market for Linux.,high,ingest-extraction,expert-opinion,p1,Kastner contra Chad Robinson,,,,,news-article,high,press-trade
stratus-newcomers-tandem-eet-1982-24ae59-OBS-001,stratus-newcomers-tandem-eet-1982-24ae59,,,market-data,1981,FT market 1981 size,~$100M industry sales (CPU hardware + peripherals specifically packaged with FT systems) per Strategic Business Services Nov 1981 survey 'Survivable Systems: Pitfalls and Opportunities',verified,ingest-extraction,third-party-forecast,p.1,,,,,,press-article,medium,press-trade
wsj-digital-challenges-ibm-tests-bulkele-e2e227-OBS-009,wsj-digital-challenges-ibm-tests-bulkele-e2e227,ibm,,ibm_audit_refusal,1988,behavior,refused-RAMP-C-source-and-independent-audit,high,ingest-extraction,wsj-feature,p.32,IBM declined to release RAMP-C software or allow independent auditors to verify,,,,,newspaper-feature,high,press-trade
2001-aberdeen-group-recent-publications-psk-2be54d-OBS-029b,2001-aberdeen-group-recent-publications-psk-2be54d,microsoft,erp-software,actual-outcome,2010,Microsoft Dynamics evolution,Great Plains became Microsoft Dynamics GP; Microsoft Dynamics became multi-billion dollar ERP/CRM business,verified,web-source,document-review,Microsoft annual reports,Aberdeen's prediction of Great Plains as major Microsoft vehicle proved accurate,,,,,publication-catalog,high,press-trade
2010-intel-vpro-daily-globe-6f615e-OBS-018,2010-intel-vpro-daily-globe-6f615e,intel,vpro,actual-outcome,2025,platform_status,active-mainstream,high,ingest-extraction,document-review,1,"vPro remains Intel's flagship business platform in 2025 as Intel vPro Enterprise/Essentials, validating the long-term strategy",,,,2010-intel-vpro-daily-globe-6f615e.018,article,high,press-trade
2003-aberdeen-group-free-research-aberdeen-insights-1-968e18-OBS-032,2003-aberdeen-group-free-research-aberdeen-insights-1-968e18,,,expert-opinion,2001,Post-9/11 IT Spending Impact,Q4 2001 technology spending assessed for impact of September 11 events on the global IT economy,medium,ingest-extraction,expert-opinion,Assessing The Damage (Sep 2001),David Wright InSight; immediate post-9/11 analysis,,,,968e18-OBS-032,publication-catalog,medium,press-trade
watchit-psk-aberdeen-cro-presenter-2002--5843bc-OBS-001,watchit-psk-aberdeen-cro-presenter-2002--5843bc,peter-s-kastner,,kastner-title,2002,psk-aberdeen-cro-2002-04,Chief Research Officer,high,ingest-extraction,primary,Microsoft's Future Paths panel,PSK CRO title at Aberdeen April 2002,,,,,e-learning-program-lineup,medium,other
aberdeen-rb-testing-soa-web-apps-2007-e2096f-OBS-004,aberdeen-rb-testing-soa-web-apps-2007-e2096f,aberdeen-group,versioning-testing,market-data,2007,Versioning testing criticality,"Performance and versioning testing add to the mix, creating ingredients for significant QA-department change",high,ingest-extraction,primary-source,executive-summary,,,,,,research-brief,high,other
psa-category-created-hofferberth-57edb8-OBS-013,psa-category-created-hofferberth-57edb8,,,market-data,2002,Microsoft ships PSA,Microsoft ships Professional Services Automation product in 2002,high,ingest-extraction,market-tracking,Fig.2,Mass-market validation of PSA as established software category,,,,,category-creation-record,high,other
1999pr~1-c5516b-OBS-020,1999pr~1-c5516b,,erp,market-assessment,1999,Worldwide skilled IT labor shortage,Commoditization created worldwide shortage of qualified IS professionals for deployment and lifecycle management,high,ingest-extraction,expert-opinion,p.15,Cited as major market driver for IBM Global Services growth,,,,,other-research,medium,other
erpv2p~1-b15573-OBS-002,erpv2p~1-b15573,,erp,market-assessment,1996,Worldwide ERP market size 1996,$13.8 billion,high,ingest-extraction,industry-analysis,p.3,Year-over-year growth from 1996 to 1997,,,,,other-research,high,other
datamation-informix-dsa-ad-aberdeen-cite-a9f18d-OBS-004,datamation-informix-dsa-ad-aberdeen-cite-a9f18d,gordon-kerr-hyatt,informix-dsa,commentary,1994,Hyatt SMP-to-MPP scaling rationale,Hyatt deploying SMP across organization,high,ingest-extraction,customer-quote,1,Hyatt VP IS,,,,,vendor-advertisement,medium,vendor-marketing
