obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,verification_method,methodology_code,source_page,notes,collection,thread_tag,section,legacy_obs_id,_study_type,_study_prescience,_bucket
1999-digitalcash-the-dash-to-digital-cash-enabling-inte-23732b-OBS-031,1999-digitalcash-the-dash-to-digital-cash-enabling-inte-23732b,,credit-card-aggregation,framework-factor,1999,Digital cash market inhibitor — underfunding,Underfunded digital cash providers will find scaling difficult,high,ingest-extraction,industry-analysis,Bottom Line,Aberdeen correctly predicted most underfunded vendors would fail,,,,,market-study,medium,market-research
encore-b7c40d-OBS-014,encore-b7c40d,ibm,ibm-mainframe-zarch,,,,,high,ingest-extraction,,,IBM lock-in in transportation vertical,,,,encore-b7c40d.014,market-study,medium,market-research
2002-microsoft-business-solutions-the-new-wave-at-stamp-532ae4-OBS-014,2002-microsoft-business-solutions-the-new-wave-at-stamp-532ae4,salomon,ms-small-business-manager,actual-outcome,2008,Small Business Manager outcome,discontinued 2008; users migrated to GP,verified,web-source,document-review,1,Microsoft discontinued Small Business Financials (formerly Small Business Manager) in October 2008,,,,,market-study,high,market-research
aberdeen-1996-as400-year-2000-ibm-leading-users-OBS-030,aberdeen-1996-as400-year-2000-ibm-leading-users,IBM-AS400-DIV,as400,actual-outcome,2000,migration_impact,y2k_did_accelerate_some_platform_consolidation,medium,ingest-extraction,web-research,1,Y2K remediation costs did motivate some platform consolidation; AS/400 maintained strong base through transition,,,,,market-viewpoint,high,market-research
1997-unify-vision-8fcfc3-OBS-006,1997-unify-vision-8fcfc3,unify-corporation,unify-vision,benchmark-result,1997,Deployment cost reduction,Reduced deployment costs vs. traditional methods,medium,ingest-extraction,expert-opinion,Executive Summary,Qualitative claim; no specific percentage cited,,,,,market-study,medium,market-research
aberdeen-1996-dec-manageworks-22-OBS-009,aberdeen-1996-dec-manageworks-22,intel,intel-landesk,technology-assessment,1996,LANDesk capabilities integrated with ManageWORKS,"Configuration management, hardware/software inventory, software distribution, metering, remote control, virus protection",high,ingest-extraction,document-review,Partnerships,LANDesk later became standalone product; now Ivanti Endpoint Manager,,,,,market-study,medium,market-research
aberdeen-1996-lawson-software-desktop-workflow-OBS-012,aberdeen-1996-lawson-software-desktop-workflow,lawson-software,lawson-workflow,framework-factor,1996,Workflow evaluation criterion: Scalability,Three deployment levels (personal/departmental/enterprise) matching diverse computing environments,high,ingest-extraction,industry-analysis,Aberdeen's Key Evaluation Criteria,Aberdeen framework factor 2 of 3.,,,,,market-study,medium,market-research
aberdeen-1996-ciscos-access-business-unit-crystallizes-vision-OBS-009,aberdeen-1996-ciscos-access-business-unit-crystallizes-vision,cisco-systems,cisco-ciscoproch,strategy-classification,1995,CiscoPro channel strategy,"Exclusively two-tiered distribution for SMB; premier channel partners (Tech Data, Ingram Micro) responsible for VAR/integrator sales",high,ingest-extraction,document-review,Building Channel Momentum,Fulfillment-neutral strategy separating direct and indirect channels,,,,,market-study,high,market-research
aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-003,aberdeen-1996-blyths-ren-architecture-prescription-it-success,blyth-software,ren-architecture,framework-factor,1996,REN architecture component 2,Database tools (traditional + Net),high,ingest-extraction,document-review,Executive Summary,Component 2 of 4 in REN architecture,,,,,market-study,low,market-research
tpcbench92-139998-OBS-006,tpcbench92-139998,hewlett-packard,digital-vax,benchmark-result,1990,HP TPC-A price/performance (January 1990),38.2 TPS at $36.50/TPS-A; $1.39M system,high,ingest-extraction,benchmark-data,1,Figure 1 data point,,,,,market-study,medium,market-research
kaiser-permanente-ramp-interview-for-max-8e4033-OBS-012,kaiser-permanente-ramp-interview-for-max-8e4033,kaiser-permanente,,expert-opinion,2003,applications-drive-storage-thesis,Applications are the tail that wags the storage dog,high,ingest-extraction,ramp-interview,p3,Foundational insight: storage purchases will follow application decisions at Kaiser; no top-down storage strategy,,,,,market-study,high,market-research
encore-b7c40d-OBS-011,encore-b7c40d,,oltp-systems,,,,,high,ingest-extraction,,,Financial clearing house OLTP volumes,,,,encore-b7c40d.011,market-study,medium,market-research
ibm-messaging-workshop-report-final-9-ef7fbc-OBS-025,ibm-messaging-workshop-report-final-9-ef7fbc,ibm,ibm-eliza,expert-opinion,2001,developer-message-mask-complexity,eLiza message to developers should emphasize masking of complexity — eLiza is not about mastering a thousand more APIs; it acts as a 'super operating system' providing a reliable foundation.,high,ingest-extraction,expert-opinion,recommendations,,,,,,market-study,high,market-research
timex-ramp-interview-for-maxtor-project-8c1b71-OBS-028,timex-ramp-interview-for-maxtor-project-8c1b71,timex,tape-library-robotic,pain-point,2003,Backup/restore pain points,Cannot guarantee all critical data can be restored; backup is operational burden; restore time too long,high,ingest-extraction,face-to-face-interview,p.2,Contrast with State Street: Timex has more severe backup problems yet still rejects tiered disk due to management overhead.,,,,,market-study,high,market-research
sun-launch-best-practices-report-draft-8-9741fb-OBS-001,sun-launch-best-practices-report-draft-8-9741fb,aberdeen-group,,market-data,2002,interview-response-rate,"Aberdeen approached 28 companies; 5 agreed to participate (Dell, IBM, Unisys, Computer Associates, Xerox). Most companies treat launch process as strategic and confidential.",high,ingest-extraction,industry-analysis,preface,,,,,,benchmark,not-applicable,market-research
linuxsme99-574d39-OBS-007,linuxsme99-574d39,aberdeen-group,,benchmark-result,1999,Quantitative research sample size,400 telephone interviews planned,high,ingest-extraction,quantitative-survey,Research Outline,Statistically significant sample for current/planned Linux use,,,,,market-study,high,market-research
nti-5-development-toolsets-0e71c5-OBS-003,nti-5-development-toolsets-0e71c5,,object-oriented,viability-prediction,1993,Object-oriented mainstream production timeline,3-5 years out for production systems from 1993,verified,outcome-linkage,expert-opinion,5,Still early for mainstream MIS; watch OMG developments; 1993 too early to standardize on any OO supplier,,,,,market-study,high,market-research
1998-enterprise-application-integration-advanced-techno-71496c-OBS-011,1998-enterprise-application-integration-advanced-techno-71496c,tibco-software,eai,strategy-classification,1998,TIBCO Software market position,Profiled EAI/middleware supplier based on information bus architecture,high,ingest-extraction,competitive-profiling,Profiled Vendors,TIBCO was Reuters subsidiary at time; still private in 1998,,,,71496c-OBS-011,market-study,high,market-research
1997-data-mining-buying-guide-71e463-OBS-026,1997-data-mining-buying-guide-71e463,,corba-common-object-request-broker-architecture,actual-outcome,2023,neural_networks_outcome,deep_learning_llms_dominant,high,outcome-linkage,secondary,,"Neural networks became deep learning; transformers and LLMs (GPT-4, etc.) became dominant AI paradigm 2017-2023+",,,,1997-data-mining-buying-guide-71e463.026,Market Research Report,medium,market-research
2001-unisys-benchmark-gorilla-sets-new-sap-and-intel-ba-19cf5a-OBS-007,2001-unisys-benchmark-gorilla-sets-new-sap-and-intel-ba-19cf5a,unisys,,viability-prediction,2001,Unisys Windows server appeal for high-end applications,ES7000 positioned as attractive option for high-end applications given performance and reliability,medium,ingest-extraction,industry-analysis,abstract,Aberdeen prediction based on benchmark leadership and HA features,,,,19cf5a-OBS-007,market-study,medium,market-research
aberdeen-1996-digitals-personal-workstation-new-markets-channels-OBS-010,aberdeen-1996-digitals-personal-workstation-new-markets-channels,digital-equipment-corporation,digital-alpha-xl,framework-factor,1996,Personal Workstation target market 2: GIS,"Geographical Information Systems (GIS): 70+ software packages including ESRI, Bentley MicroStation Mapper, Cadcorp, ESC CEM, Small World GIS",high,ingest-extraction,document-review,"Ultimately, People Buy Solutions",Market 2 of 5; 70+ GIS packages was strong application depth for this market,,,,,market-study,high,market-research
sun-as400-main-report-2002-c37e2a-OBS-037,sun-as400-main-report-2002-c37e2a,sun-microsystems,iseries,strategic-recommendation,2002,partner-led,Sun must match IBM partner program; any non-partner-led program will fail,high,ingest-extraction,eo,p.5,,,,,,market-study,low,market-research
1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08-OBS-011,1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08,microsoft,kerberos,framework-factor,1998,Planning dimension — Security,Kerberos; PKI; and SSO added to NT 5.0; but Microsoft has not shown signs of resolving heterogeneous interoperability — Aberdeen recommends other suppliers for mixed environments,high,ingest-extraction,expert-opinion,Security section,Mixed-environment security cited as real problem area for NT users in 1998,,,,cd9d08-OBS-011,market-study,high,market-research
nti-12-client-server-goals-1993-15a519-OBS-026,nti-12-client-server-goals-1993-15a519,,client-server,expert-opinion,1993,Custom development as only alternative for production C-S today,Custom development of production systems is only alternative today,high,ingest-extraction,expert-opinion,19,Wrap-up finding #3; packaged C-S production software not yet mature,,,,,market-study,high,market-research
maxtor-survey-report-5-20c-0f458e-OBS-029,maxtor-survey-report-5-20c-0f458e,,ata-disk,willingness-to-adopt,2003,Willingness to accept higher capacity + 50% cost reduction (complementary/MaXLine model),High willingness: ~55%; moderate: ~25%; little/no: ~20%,high,ingest-extraction,quantitative-survey,Slide 24-25,Higher capacity + big discount draws strong acceptance. 'Complementary online storage' model validated.,,,,,market-study,high,market-research
sun-as400-market-data-2002-5faa8f-OBS-041,sun-as400-market-data-2002-5faa8f,,,market-forecast,2002,world-it-spending,"$1,239.7B",high,ingest-extraction,ia,installed-base,Category + regional decomposition,,,,,benchmark,medium,market-research
aberdeen-1996-ibm-aix-4-not-your-fathers-325-OBS-007,aberdeen-1996-ibm-aix-4-not-your-fathers-325,ibm,hacmp,technology-assessment,1996,HACMP clustering with AIX 4,HACMP clustering now thrives with AIX 4; significant improvement over AIX 3 compatibility,high,ingest-extraction,industry-analysis,HACMP section,AIX 4 enabling clustering as a production workload,,,,,market-study,high,market-research
1997-unify-vision-8fcfc3-OBS-016,1997-unify-vision-8fcfc3,unify-corporation,unify-vision,framework-factor,1997,Evaluation criterion 2 — Java integration,Java embedding on product roadmap; not yet fully delivered,medium,ingest-extraction,benchmarking,Evaluation Framework,Second criterion; partial credit only at time of study,,,,,market-study,medium,market-research
aberdeen-1996-hp-vectra-xw-personal-workstation-OBS-010,aberdeen-1996-hp-vectra-xw-personal-workstation,hewlett-packard,hp-visualize,technology-assessment,1996,VISUALIZE vs Vectra XW performance gap,"HP VISUALIZE Unix workstations outperform Vectra XW in compute-intensive tasks: CFD, FEA, crash/stress analysis",high,ingest-extraction,benchmarking,Product Positioning,HP internal testing confirmed; clear performance segmentation between product lines,,,,,market-study,high,market-research
dell-sap-v6-d08820-OBS-010,dell-sap-v6-d08820,,,framework-factor,2004,cluster-architecture-attributes,2-way to 4-way Intel Xeon building blocks; Oracle RAC spreads work; minimum 2 nodes for failover; 2-way front-ends for client dialog; Dell|EMC SAN.,high,ingest-extraction,technology-assessment,body,,,,,,market-study,high,market-research
nti-4-nextgen-os-timing-1993-a45049-OBS-029,nti-4-nextgen-os-timing-1993-a45049,,windows-nt,expert-opinion,1993,Next-gen commercial workstation OS landscape,Confused and overpopulated; test and prototype multiple options in 1993,high,ingest-extraction,expert-opinion,20,Well-informed standards decision possible in 12-14 months after testing,,,,,market-study,high,market-research
2001-living-with-windows-xp-media-player-and-wireless-s-02f8a8-OBS-008,2001-living-with-windows-xp-media-player-and-wireless-s-02f8a8,microsoft-corporation,windows-xp,actual-outcome,2010,Windows XP long-term adoption - actual,XP became most-used Windows version; maintained 35%+ share a decade after launch; still 1.44%+ of devices in 2022,verified,web-source,document-review,web-research,Long-term: Kastner's positive assessment was fully validated by XP's extraordinary longevity,,,,02f8a8-OBS-008,market-study,high,market-research
world-it-spending-2002-2005-2265a2-OBS-009,world-it-spending-2002-2005-2265a2,,,market-forecast,2005,na-spending,$578.2B,high,ingest-extraction,ia,data-geo,,,,,,market-study,medium,market-research
2001-unisys-benchmark-gorilla-sets-new-sap-and-intel-ba-19cf5a-OBS-004,2001-unisys-benchmark-gorilla-sets-new-sap-and-intel-ba-19cf5a,unisys,windows-datacenter-2000,technology-assessment,2001,Windows Datacenter 2000 high-availability,Running on Datacenter 2000 and SQL Server 2000 for mission-critical configurations,high,ingest-extraction,benchmarking,abstract,Unisys working closely with Microsoft on HA configurations,,,,19cf5a-OBS-004,market-study,medium,market-research
aberdeen-1996-digital-leading-nt-across-enterprise-charge-OBS-018,aberdeen-1996-digital-leading-nt-across-enterprise-charge,microsoft,windows-nt,expert-opinion,1996,64-bit Windows NT development partnership,Microsoft to work with Digital on 64-bit NT addressing for next major post-4.0 NT release,high,ingest-extraction,document-review,The Digital/Microsoft Inter-relationship,"64-bit Windows eventually arrived as Windows XP x64 (2005) and Windows Server 2003 x64, but not directly from this partnership",,,,,market-study,medium,market-research
1997-unify-vision-8fcfc3-OBS-022,1997-unify-vision-8fcfc3,,internet-intranet,market-data,1997,Internet application development market opportunity,Described as large-scale and rapidly growing; no specific TAM figure cited,medium,ingest-extraction,industry-analysis,Market Context,Aberdeen characterizes internet application development as a critical new frontier,,,,,market-study,medium,market-research
aberdeen-1996-hp-vectra-xw-personal-workstation-OBS-017,aberdeen-1996-hp-vectra-xw-personal-workstation,silicon-graphics,sgi-indigo2,viability-prediction,1996,SGI low-end Unix workstation vulnerability,Aberdeen: Vectra XW poses a legitimate price/performance threat to low-end Unix workstations; SGI/Sun Unix-only stance is a risk,verified,outcome-linkage,expert-opinion,Product Positioning/Summary,Pairs with OBS-018,,,,,market-study,high,market-research
nti-9-mainframe-role-1993-77fc40-OBS-025,nti-9-mainframe-role-1993-77fc40,ibm,es9000,expert-opinion,1993,Aberdeen conclusion on IBM mainframe role,Traditional IBM-defined mainframe role is merely maintenance in short term and irrelevant in long term,high,ingest-extraction,expert-opinion,16,Unless IBM makes major changes in same manner as Unisys,,,,,market-study,high,market-research
aberdeen-1996-hp-praesidium-family-OBS-007,aberdeen-1996-hp-praesidium-family,,hp-praesidium,actual-outcome,2005,Integrated Security Framework vs Point Solutions Outcome,"Prediction verified: enterprise security market consolidated around integrated frameworks; HP Praesidium products were discontinued but the framework concept prevailed — IAM platforms (RSA, IBM Tivoli, Microsoft IAM) and unified security suites became the industry standard by 2005",verified,web-source,document-review,,HP VirtualVault replaced by HP-UX 11i trusted computing; broader framework concept confirmed,,,,,market-study,high,market-research
nti-6-rdbms-technology-48f4aa-OBS-008,nti-6-rdbms-technology-48f4aa,ingres,,competitive-position,1993,Ingres client-server leadership potential,Aggressive MS-Windows client support; best-in-class client-server dev tools,medium,ingest-extraction,vendor-profiling,7,New management team; history of poor marketing communications,,,,,market-study,high,market-research
decision-maker-erp-services-805ce8-OBS-020,decision-maker-erp-services-805ce8,baan,erp-1998,actual-outcome,2000,Baan company viability outcome,Baan collapsed after 1998 revenue manipulation scandal; sold to Invensys for $700M in 2000,verified,web-source,document-review,N/A,Baan's ERP market position collapsed shortly after this report was published,,,,,market-study,medium,market-research
1997-oracle-designer-2000-3201a7-OBS-008,1997-oracle-designer-2000-3201a7,oracle-corporation,oracle-designer-2000,framework-factor,1997,evaluation-criteria-2-cade-technology,"VPE/GUI support, business modeling, application partitioning, integrated repository, BPR capabilities",high,ingest-extraction,expert-opinion,Technology Overview,Second of three main IS evaluation areas,,,,,market-study,medium,market-research
aberdeen-1996-enterprise-data-knowledge-integrated-data-marts-OBS-010,aberdeen-1996-enterprise-data-knowledge-integrated-data-marts,,rdbms,strategy-classification,1996,RDBMS vs multidimensional DB strategic choice,Aberdeen advocates RDBMS-based architecture over proprietary multidimensional databases for enterprise data marts; RDBMS provides flexibility and integration path,high,ingest-extraction,expert-opinion,Technology Foundation,Clear architectural recommendation against MDDB silos,,,,,market-study,high,market-research
platinum-riskadvisor-ec30de-OBS-010,platinum-riskadvisor-ec30de,large-insurer-customer,,benchmark-result,1997,Early adopter historical data depth,Managed nearly 25 years of historical risk management data in RiskAdvisor,medium,ingest-extraction,field-research,What Early Users Tell Aberdeen,Evidence of data depth handled,,,,,market-study,medium,market-research
1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08-OBS-008,1998-microsoft-windows-nt-5-0-a-planning-guide-cd9d08,microsoft,windows-nt-5,framework-factor,1998,Planning dimension — Reliability,NT 5.0 improvements will make it comparable to some midrange environments; but will not fully arrive until 1 year (best case) or 2 years (Aberdeen worst-case) post-FCS,high,ingest-extraction,expert-opinion,Reliability section,Aberdeen's worst-case of 2 years implied full reliability only by 2001 — consistent with actual adoption patterns,,,,cd9d08-OBS-008,market-study,high,market-research
2001-aberdeen-group-blades-an-evolution-in-server-densi-b56557-OBS-005,2001-aberdeen-group-blades-an-evolution-in-server-densi-b56557,rlx-technologies,blade-server,actual-outcome,2005,RLX Technologies fate,Acquired by HP in October 2005 for undisclosed sum,verified,web-source,document-review,verified via The Register 2005-10-03,Pioneer blade server company ultimately acquired by HP,,,,,market-study,high,market-research
1999-managing-customers-with-next-generation-software-a-a5adc4-OBS-030,1999-managing-customers-with-next-generation-software-a-a5adc4,,crm-software,actual-outcome,2010,CRM as sustained enterprise priority outcome,CRM remained dominant enterprise priority; Salesforce CRM grew to $10B+ annual revenues by 2020s,verified,web-source,document-review,n/a,Aberdeen's prediction of sustained CRM dominance proved correct and enduring well beyond 2004,,,,a5adc4-OBS-030,market-study,high,market-research
casale-evp-3-b2b933-OBS-001,casale-evp-3-b2b933,,,expert-opinion,1983,Hockey stick definition,"Bookings, billings, and shipping curves skewed toward end of operating period; shape resembles a hockey stick. Pattern exists across industries including commuters, fast food, agriculture, and investment management.",high,ingest-extraction,expert-opinion,p.1,Casale coins or popularizes the term 'hockey stick' for end-period concentration in tech company quarterly operations; notes the origin of the term is 'lost in industrial folklore'.,,,,,market-study,high,market-research
aberdeen-1996-risc-unix-market-OBS-001,aberdeen-1996-risc-unix-market,,risc-unix,market-data,1995,Total RISC/Unix market revenue,$14.3 billion,high,ingest-extraction,revenue-benchmark,p.1,Worldwide commercial multiuser RISC/Unix systems,,,,,market-study,medium,market-research
sun-as400-market-data-2002-5faa8f-OBS-022,sun-as400-market-data-2002-5faa8f,ibm,iseries,market-data,2001,iseries-total,$10.268B,high,ingest-extraction,dr,revenue-sheet,Sum of 5 models,,,,,benchmark,medium,market-research
stratus-fault-tolerant-revolution-ad-198-797e0e-OBS-007,stratus-fault-tolerant-revolution-ad-198-797e0e,stratus-computer,hardware-fault-tolerance,framework-component,1981,Stratus hardware checking logic benefits,"3 benefits: (1) prevent fault contamination, (2) eliminate complex recovery software, (3) reduce repair time via failed-component pinpointing",high,ingest-extraction,marketing-claim,p.1,,,,,,marketing-material,high,market-research
2002-the-new-hp-stands-up-to-be-counted-psk-35453a-OBS-006,2002-the-new-hp-stands-up-to-be-counted-psk-35453a,hewlett-packard,itanium,technology-assessment,2002,Itanium strategic role for HP,Itanium identified as key strategic pillar for HP enterprise server differentiation,high,ingest-extraction,expert-opinion,Keywords/body,Itanium was central to HP server roadmap in 2002; ultimately a commercial failure,,,,,market-study,medium,market-research
1998-y2k-report-f512fb-OBS-025,1998-y2k-report-f512fb,aberdeen-group,,expert-opinion,1998,Aberdeen Y2K BA&A service experience,Based on hundreds of supplier interviews and BA&A services,high,ingest-extraction,field-research,Executive Summary,Aberdeen's credibility derived from hands-on BA&A (Business Assessment and Advisement) services,,,,,market-study,medium,market-research
decision-maker-erp-services-805ce8-OBS-018,decision-maker-erp-services-805ce8,microsoft,windows-nt,actual-outcome,2003,Windows NT ERP impact outcome,Windows NT/2000/Server enabled mid-market ERP growth but Microsoft never dominated enterprise ERP; Dynamics acquired from Great Plains/Navision served SMB not SAP tier,verified,web-source,industry-analysis,N/A,Partially correct: NT enabled mid-market expansion but did not displace Unix/mainframe for SAP/Oracle tier,,,,,market-study,medium,market-research
sun-as400-market-data-2002-5faa8f-OBS-018,sun-as400-market-data-2002-5faa8f,sun-microsystems,sun-220r,competitive-mapping,2002,iseries-equivalent,"iSeries 270 (1-2 way, $12-33K base, $3.5B revenue) ↔ Sun 220R",high,ingest-extraction,eo,revenue-sheet,,,,,,benchmark,medium,market-research
aberdeen-1996-lawson-software-desktop-workflow-OBS-008,aberdeen-1996-lawson-software-desktop-workflow,lawson-software,lawson-workflow,technology-assessment,1996,Lawson Workflow scalability levels,"Three levels: Personal (OED agents), Departmental/Workgroup (OED + Departmental Workflow Engine), Enterprise (OED + Process Suites)",high,ingest-extraction,industry-analysis,Lawson Workflow,Distinct competitive advantage vs. one-size-fits-all competitors per Aberdeen.,,,,,market-study,medium,market-research
1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4-OBS-012,1998-microsoft-nt-windows-2000-multi-user-computing-5f91e4,,windows-2000,framework-factor,1998,Evaluation criterion — backward compatibility,IS managers must assess systems integration and backward compatibility issues for multi-user deployment,medium,ingest-extraction,industry-analysis,Evaluation Framework,Integration with existing infrastructure flagged as key risk,,,,5f91e4-OBS-012,market-study,high,market-research
aberdeen-1996-bulls-sagister-datacenterdisciplined-unix-businesscritical-applications-OBS-010,aberdeen-1996-bulls-sagister-datacenterdisciplined-unix-businesscritical-applications,groupe-bull,sap-r3,technology-assessment,1996,SAP R/3 Function Set integration,"First major Sagister application Function Set; adds security, automated ops, HA, backup, event management to SAP R/3",high,ingest-extraction,document-review,Function Sets - Integrated Applications,SAP R/3 general availability planned Q3 1996,,,,,market-study,medium,market-research
goremote-profile-5-2a-8fa814-OBS-009,goremote-profile-5-2a-8fa814,goremote-communications,,competitive-position,2003,Aberdeen assessment of GoRemote position,First unified solution for cost-effective management of fixed and mobile outworkers,medium,ingest-extraction,qualitative,1,Aberdeen's key thesis in the profile.,,,,,market-study,high,market-research
2002-it-spending-shows-encouraging-signs-0d61cd-OBS-011,2002-it-spending-shows-encouraging-signs-0d61cd,,,actual-outcome,2003,IT spending recovery verification,IT spending grew through 2003-2004 as predicted,verified,web-source,document-review,1,Gartner and IDC data confirm IT spending resumed growth in 2003; Aberdeen's cautious optimism validated,,,,,market-study,high,market-research
1998-y2k-report-f512fb-OBS-014,1998-y2k-report-f512fb,,testing-tools,framework-factor,1998,Y2K remediation challenge — Testing breadth,Lack of testing tool breadth,medium,ingest-extraction,industry-analysis,Chapter 5,Testing tools narrow in coverage of all date contexts,,,,,market-study,medium,market-research
utilities-transformed-it-696ffb-OBS-006,utilities-transformed-it-696ffb,,oasis-transmission,framework-factor,1998,OASIS operational challenge,Operational challenges for OASIS systems identified,medium,ingest-extraction,industry-analysis,Ch6,Implementation difficulties noted,,,,,market-study,high,market-research
dollars-and-sense-b2b-ec-eb8c9d-OBS-012,dollars-and-sense-b2b-ec-eb8c9d,,erp-ec-integration,framework-factor,1998,Trading partner integration,Trading partner full systems integration as advanced EC capability,high,ingest-extraction,industry-analysis,Fig 9,Full integration vs. point-to-point as framework dimension,,,,,market-study,high,market-research
aberdeen-1996-web-warehouses-dss-for-masses-OBS-004,aberdeen-1996-web-warehouses-dss-for-masses,,web-browser,technology-assessment,1996,Browser vs Windows client for power users,"Browsers lack OLE, cut-and-paste ease, formatting inheritance compared to Windows front ends; power users will initially need coexistence of client-server and web ROLAP",high,ingest-extraction,expert-opinion,Fat Benefits of Thin Client,Aberdeen's nuanced assessment; browser adequate for most users but not power users,,,,,market-study,high,market-research
sequent-592620-OBS-028,sequent-592620,data-general,oracle-parallel-server,product-evaluation,1994,Oracle Parallel Server clustering on Aviion,2-4 system clustering supported,high,ingest-extraction,document-review,Data General Server Products,SCSI-2 RAID arrays; DG/UX SVR4,,,,,market-study,high,market-research
1998-industry-dynamics-in-u-s-it-usage-and-spending-199-26aed6-OBS-027,1998-industry-dynamics-in-u-s-it-usage-and-spending-199-26aed6,aberdeen-group,,market-data,1998,Short-term IT spending growth potential by vertical,Identified verticals with highest near-term (1999-2000) IT spending growth potential,medium,ingest-extraction,statistical-analysis,Overview,Y2K and ERP adoption were key drivers of near-term growth predictions,,,,1998-indust-26aed6-OBS-027,market-study,high,market-research
2003-the-top-10-security-suppliers-fc2b1b-OBS-007,2003-the-top-10-security-suppliers-fc2b1b,,,expert-opinion,2003,Future growth driver model for security suppliers,Multi-dimensional: solutions + geographies + channels + industries + channels-to-market,high,ingest-extraction,expert-opinion,abstract,Hurley's forward-looking growth framework for security vendors,,,,fc2b1b-OBS-007,market-study,medium,market-research
