"obs_id","study_id","batch","existing_score","existing_confidence","existing_model","claim_text","observation_type","year_observed"
"aberdeen-companyprofile-50a990-OBS-001","aberdeen-companyprofile-50a990","2","2","2","claude-sonnet-4.6","Research is used by more than 90% of the Fortune 1000","market-metric",""
"ra-indbpinrevlog-rg-3865-b61078-OBS-022","ra-indbpinrevlog-rg-3865-b61078","2","3","2","claude-sonnet-4.6","Nearly half of polled companies in this vertical sector capture and analyze customer- and product-specific return and repair data and systematically share this information with value-chain counterparts (Figure 4).","market-metric",""
"ra-web-site-search-3910-5f9297-OBS-012","ra-web-site-search-3910-5f9297","2","2","2","claude-sonnet-4.6","Year over year improvement (typically between 1 and 25%) across the KPI’s listed above demonstrate the variances between Best-in-Class, Industry Average and Laggards.","market-metric",""
"ma-e2open-be-2484-31191f-OBS-001","ma-e2open-be-2484-31191f","2","3","2","claude-sonnet-4.6","Discrete manufacturers under $750 million in revenue should also consider alternative vendors, as E2open is currently targeting large hub companies for its solutions.","market-metric","2005"
"ra-indbpinrevlog-rg-3865-b61078-OBS-041","ra-indbpinrevlog-rg-3865-b61078","2","3","2","claude-sonnet-4.6","Field engineers and managers receive bonuses for managing their inventory to one month on hand and maintaining an average of 15 days outstanding for parts in the reverse logistics loop.","market-metric",""
"grandopening092004f-a944eb-OBS-001","grandopening092004f-a944eb","2","3","2","claude-sonnet-4.6","Why pay $10,000’s for access to research which is often times of limited value and suspect quality?","market-metric","2004"
"f-4q05-bp-intl-logistics-081905a-31c05c-OBS-001","f-4q05-bp-intl-logistics-081905a-31c05c","2","2","2","claude-sonnet-4.6","Aberdeen’s _Best Practices in International Logistics Report_ will look in-depth at the success strategies and technologies of best-in-class companies, using a case study format.","viability-prediction","1905"
"dec-mgmt-memo-v7n5-state-of-company-1988-6a9954-OBS-022","dec-mgmt-memo-v7n5-state-of-company-1988-6a9954","3","","","none","VMS Services for MS-DOS is the leading integration product in the market; won numerous awards","market-claim","1988"
"1997-digital-&-oracle-s-nci--partners-in-2d680c-OBS-027","1997-digital-&-oracle-s-nci--partners-in-2d680c","3","","","none","Dumb terminals and Intel 286/386/486 PCs unable to run Windows 95","framework-factor","1997"
"1997-desktop-and-systems-management-the--169a9b-OBS-010","1997-desktop-and-systems-management-the--169a9b","3","","","none","HP will position its DMI-based desktop management environment as a major differentiator to surpass Compaq in enterprise PC sales","viability-prediction","1997"
"1997-object-databases-such-as-o2-odmg--t-c98c72-OBS-003","1997-object-databases-such-as-o2-odmg--t-c98c72","3","","","none","IDC 1999: OODBMS $211M vs RDBMS/ORDBMS $11.1B; OODBMS never achieved mainstream status","actual-outcome","2001"
"1998-industry-dynamics-in-u-s-it-usage-and-spending-199-26aed6-OBS-012","1998-industry-dynamics-in-u-s-it-usage-and-spending-199-26aed6","3","","","none","Analyzed by internal vs. external and hardware vs. software/services","market-data","1998"
"aberdeen-1997-picks-right-tools-year-2000-OBS-001","aberdeen-1997-picks-right-tools-year-2000","3","","","none","Minimum 100 billion lines of code to check worldwide","market-data","1997"
"volume-1-ch07-founding-aberdeen-1988-1997-OBS-079","volume-1-ch07-founding-aberdeen-1988-1997","3","","","none","S-N-R championed by Aberdeen in early 1990s as both a systems integration roadmap and a business planning tool to overcome integration problem acceleration.","personal-recollection","1992"
"sars2-hot-topic-cf91d4-OBS-012","sars2-hot-topic-cf91d4","3","","","none","~100 cases/day","risk-assessment","2003"
"dec-notes-tp1-debit-credit-thread-1987-1-5815dc-OBS-011","dec-notes-tp1-debit-credit-thread-1987-1-5815dc","3","","","none","physical-IOs-per-transaction","io_per_transaction","1987"
"1998-hp-high-availability-and-metadata-7d1276-OBS-035","1998-hp-high-availability-and-metadata-7d1276","3","","","none","nt-and-unix","market-data","1998"
