"study_id","old_prescience","new_prescience","n_total_obs","n_prefilter","n_used","mean","distribution","new_rationale"
"1q05-dtp-ondemandsupplymgmt-012705b-fd896d","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q05-dtp-pe-card-012805a-9f8ea1","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q05-ee-enterprisetalentmgmt-012705a-737075","[DEFERRED]","high","2","1","1","4.0000","1x4","Pass C cloud rollup (rule A, mean=4.00 over 1 obs; distribution: 1x4). 1 additional obs were prefiltered as non-forward-looking."
"1q05-ee-sox-compliance-automation-012705a-60ff9d","[DEFERRED]","high","3","1","2","4.0000","2x4","Pass C cloud rollup (rule A, mean=4.00 over 2 obs; distribution: 2x4). 1 additional obs were prefiltered as non-forward-looking."
"1q05-ee-storagegrowth-012805b-b446ce","[DEFERRED]","low","2","1","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 1 additional obs were prefiltered as non-forward-looking."
"1q05-pss-fieldservices-020305a-fa2797","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-asset-20management-e1ca0f","[DEFERRED]","high","2","1","1","5.0000","1x5","Pass C cloud rollup (rule A, mean=5.00 over 1 obs; distribution: 1x5). 1 additional obs were prefiltered as non-forward-looking."
"1q06-ee-beyondpayforperformance-b12c3f","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-ff-bp-retail-transportation-081905a-192432","[DEFERRED]","medium","2","1","1","3.0000","1x3","Pass C cloud rollup (rule A, mean=3.00 over 1 obs; distribution: 1x3). 1 additional obs were prefiltered as non-forward-looking."
"1q06-gsm-senblmtbm1q06-collateral-8c7e6c","[DEFERRED]","low","2","1","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 1 additional obs were prefiltered as non-forward-looking."
"1q06-gsm-ttcmwireless1q06-collateral-beabeb","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-industrialcontrolplatform-f59746","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-leanbenchmarkslick-8e7b1e","[DEFERRED]","low","3","0","3","1.3333","2x0, 1x4","Pass C cloud rollup (rule A, mean=1.33 over 3 obs; distribution: 2x0, 1x4). 0 additional obs were prefiltered as non-forward-looking."
"1q06-mfg-networksbestpractices-041505a-70ad3a","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-mfg-ss-20lean-jbjf-spf071805b-fa3a8c","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-on-demandsupplychain-148b1d","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"1q06-tresury-cashmngt-jp-3dc92d","[DEFERRED]","medium","2","1","1","3.0000","1x3","Pass C cloud rollup (rule A, mean=3.00 over 1 obs; distribution: 1x3). 1 additional obs were prefiltered as non-forward-looking."
"2000-e-learning-in-the-enterprise-psk-5caf5b","[DEFERRED]","medium","12","2","10","2.5000","3x0, 3x3, 4x4","Pass C cloud rollup (rule A, mean=2.50 over 10 obs; distribution: 3x0, 3x3, 4x4). 2 additional obs were prefiltered as non-forward-looking."
"2000-the-new-hp-stands-up-to-be-counted-psk-726ee3","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-09010005-f58946","[DEFERRED]","low","4","1","3","1.3333","2x0, 1x4","Pass C cloud rollup (rule A, mean=1.33 over 3 obs; distribution: 2x0, 1x4). 1 additional obs were prefiltered as non-forward-looking."
"2004-10991290-87c05d","[DEFERRED]","medium","9","3","6","2.3333","3x0, 1x4, 2x5","Pass C cloud rollup (rule A, mean=2.33 over 6 obs; distribution: 3x0, 1x4, 2x5). 3 additional obs were prefiltered as non-forward-looking."
"2004-agile-9a7a61","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-cpc-update-toc-815618","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-crmeuropetoc-c6f15e","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-crmspending2003toc-1f27ce","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-eai-toc-e6ff9f","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-examensnapshot-171cca","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2004-firstwavesnapshot-92dd2e","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2004-fsmwebtoc-85b5dc","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-fvcmwebtoc-53b01f","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-intelitanium-toc-76e2be","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-netmarket-toc-eab5b1","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-procuri-ee38ef","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2004-psa2001surveyreporttoc-9a9928","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2004-salesforce-5a1170","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2004-spotlightteldata-67a55f","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2004-voiptoc-472d11","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"2005-ee-aberdeen-research-calendar-082405-2b2250","[DEFERRED]","medium","12","0","12","3.1667","2x0, 2x3, 8x4","Pass C cloud rollup (rule A, mean=3.17 over 12 obs; distribution: 2x0, 2x3, 8x4). 0 additional obs were prefiltered as non-forward-looking."
"2005-ee-hcm-research-agenda-012605a-9126d5","[DEFERRED]","medium","3","0","3","2.6667","1x0, 2x4","Pass C cloud rollup (rule A, mean=2.67 over 3 obs; distribution: 1x0, 2x4). 0 additional obs were prefiltered as non-forward-looking."
"2005-ee-security-research-agenda-121305a-9dc835","[DEFERRED]","low","2","1","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 1 additional obs were prefiltered as non-forward-looking."
"2006-2006-aberdeen-research-calendar-ecb45e","[DEFERRED]","low","25","0","25","1.5200","15x0, 1x2, 9x4","Pass C cloud rollup (rule A, mean=1.52 over 25 obs; distribution: 15x0, 1x2, 9x4). 0 additional obs were prefiltered as non-forward-looking."
"2006-aberdeen-research-calendar-123ac2","[DEFERRED]","medium","25","0","25","2.0400","12x0, 2x3, 10x4, 1x5","Pass C cloud rollup (rule A, mean=2.04 over 25 obs; distribution: 12x0, 2x3, 10x4, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"2006-data-mangement-fba303","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2006-enterprise-integration-researchagenda-d977d6","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2006-gsm-agenda-d56dc5","[DEFERRED]","low","17","0","17","1.3529","11x0, 1x3, 5x4","Pass C cloud rollup (rule A, mean=1.35 over 17 obs; distribution: 11x0, 1x3, 5x4). 0 additional obs were prefiltered as non-forward-looking."
"2006-hr-aberdeen-research-calendar-hcm-aa035b","[DEFERRED]","medium","3","0","3","2.6667","1x0, 1x3, 1x5","Pass C cloud rollup (rule A, mean=2.67 over 3 obs; distribution: 1x0, 1x3, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"2006-manufacturingagenda-9a368f","[DEFERRED]","medium","3","1","2","2.5000","1x0, 1x5","Pass C cloud rollup (rule A, mean=2.50 over 2 obs; distribution: 1x0, 1x5). 1 additional obs were prefiltered as non-forward-looking."
"2006-pie-research-calendar-e04026","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2006-researchpreviewci-f551f1","[DEFERRED]","low","4","0","4","1.0000","3x0, 1x4","Pass C cloud rollup (rule A, mean=1.00 over 4 obs; distribution: 3x0, 1x4). 0 additional obs were prefiltered as non-forward-looking."
"2006-supplychainagenda-63abe1","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2007-aberdeen-research-calendar-082906a-145713","[DEFERRED]","low","53","0","53","1.8302","27x0, 1x1, 5x3, 19x4, 1x5","Pass C cloud rollup (rule A, mean=1.83 over 53 obs; distribution: 27x0, 1x1, 5x3, 19x4, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"2007-aberdeen-research-calendar-3b834a","[DEFERRED]","medium","56","0","56","2.0179","28x0, 1x2, 3x3, 18x4, 6x5","Pass C cloud rollup (rule A, mean=2.02 over 56 obs; distribution: 28x0, 1x2, 3x3, 18x4, 6x5). 0 additional obs were prefiltered as non-forward-looking."
"2007-aberdeen-research-calendar-629972","[DEFERRED]","low","65","0","65","1.6769","36x0, 1x2, 7x3, 19x4, 2x5","Pass C cloud rollup (rule A, mean=1.68 over 65 obs; distribution: 36x0, 1x2, 7x3, 19x4, 2x5). 0 additional obs were prefiltered as non-forward-looking."
"2007-information-management-agenda-40e141","[DEFERRED]","low","10","0","10","0.8000","8x0, 1x3, 1x5","Pass C cloud rollup (rule A, mean=0.80 over 10 obs; distribution: 8x0, 1x3, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"2007-manufacturing-erp-agenda-e53f13","[DEFERRED]","low","2","1","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 1 additional obs were prefiltered as non-forward-looking."
"2007-ra-clicks-jl-3710-37b7a4","[DEFERRED]","low","63","4","59","1.7627","30x0, 1x1, 11x3, 15x4, 2x5","Pass C cloud rollup (rule A, mean=1.76 over 59 obs; distribution: 30x0, 1x1, 11x3, 15x4, 2x5). 4 additional obs were prefiltered as non-forward-looking."
"2007-ra-cmo-smemme-la-3607-eff289","[DEFERRED]","low","80","21","59","1.6102","33x0, 1x1, 8x3, 15x4, 2x5","Pass C cloud rollup (rule A, mean=1.61 over 59 obs; distribution: 33x0, 1x1, 8x3, 15x4, 2x5). 21 additional obs were prefiltered as non-forward-looking."
"2q05-ee-appinbusop-020205-wm-be4436","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"2q05-ee-security-best-practices-041105a-a3dd34","[DEFERRED]","medium","2","1","1","3.0000","1x3","Pass C cloud rollup (rule A, mean=3.00 over 1 obs; distribution: 1x3). 1 additional obs were prefiltered as non-forward-looking."
"2q05-ee-workforceoptimization-030105b-3988e6","[DEFERRED]","medium","3","1","2","2.0000","1x0, 1x4","Pass C cloud rollup (rule A, mean=2.00 over 2 obs; distribution: 1x0, 1x4). 1 additional obs were prefiltered as non-forward-looking."
"4q05-20role-20of-20quality-20in-20manufacturing-20jb-jb-2004oct05-2120d2","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"4q05-greatit-wm-d4022a","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"4q05-mto-mktingperfmgmt-080105a-053084","[DEFERRED]","medium","3","0","3","2.6667","1x0, 2x4","Pass C cloud rollup (rule A, mean=2.67 over 3 obs; distribution: 1x0, 2x4). 0 additional obs were prefiltered as non-forward-looking."
"aberdeen-preso-for-emc-final-storage-ead7c2","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"aberdeen-report-2007-1st-edition-6e3b0d","[DEFERRED]","low","114","26","88","1.2386","58x0, 1x2, 9x3, 20x4","Pass C cloud rollup (rule A, mean=1.24 over 88 obs; distribution: 58x0, 1x2, 9x3, 20x4). 26 additional obs were prefiltered as non-forward-looking."
"aberdeenaccess-699575","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"aberdeenadvisoryaccessservice-b99846","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"aberdeene-businesscollateral-788c61","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"aberdeenfulfillmentresearchagenda-788e79","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"aberdeenmascollateral-2c5815","[DEFERRED]","low","2","1","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 1 additional obs were prefiltered as non-forward-looking."
"aberdeenmto-retailresearchagenda-9b596e","[DEFERRED]","medium","3","1","2","2.0000","1x0, 1x4","Pass C cloud rollup (rule A, mean=2.00 over 2 obs; distribution: 1x0, 1x4). 1 additional obs were prefiltered as non-forward-looking."
"aberdeenmto-sellsideresearchagenda-0c8b87","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"aberdeensmiscollateral-ed3f69","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"about-aberdeen-access-d00a7c","[DEFERRED]","low","3","0","3","0.0000","3x0","Pass C cloud rollup (rule A, mean=0.00 over 3 obs; distribution: 3x0). 0 additional obs were prefiltered as non-forward-looking."
"abra-design-to-procure-090204-fc3e6d","[DEFERRED]","medium","4","0","4","2.0000","2x0, 2x4","Pass C cloud rollup (rule A, mean=2.00 over 4 obs; distribution: 2x0, 2x4). 0 additional obs were prefiltered as non-forward-looking."
"abra-fulfillment-090204-47775d","[DEFERRED]","high","2","1","1","4.0000","1x4","Pass C cloud rollup (rule A, mean=4.00 over 1 obs; distribution: 1x4). 1 additional obs were prefiltered as non-forward-looking."
"abra-market-to-order-retail-090204-5ba5a7","[DEFERRED]","high","3","1","2","4.0000","1x3, 1x5","Pass C cloud rollup (rule A, mean=4.00 over 2 obs; distribution: 1x3, 1x5). 1 additional obs were prefiltered as non-forward-looking."
"abra-market-to-order-sellside-090204-acd407","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"adls-911-systems-90e771","[DEFERRED]","low","4","0","4","0.0000","4x0","Pass C cloud rollup (rule A, mean=0.00 over 4 obs; distribution: 4x0). 0 additional obs were prefiltered as non-forward-looking."
"agile-8ecf32","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"ariba-e7dfd0","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"aspreport-toc-0c4a40","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"asptop10toc-216854","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"ba-mobilemessaging-apw-bs-3703-2a96a0","[DEFERRED]","low","63","10","53","1.6981","28x0, 11x3, 13x4, 1x5","Pass C cloud rollup (rule A, mean=1.70 over 53 obs; distribution: 28x0, 11x3, 13x4, 1x5). 10 additional obs were prefiltered as non-forward-looking."
"ba-uc-pb-3704-82afab","[DEFERRED]","low","80","15","65","1.8308","31x0, 1x2, 16x3, 16x4, 1x5","Pass C cloud rollup (rule A, mean=1.83 over 65 obs; distribution: 31x0, 1x2, 16x3, 16x4, 1x5). 15 additional obs were prefiltered as non-forward-looking."
"bm-compliance-clues-3590-ac2adb","[DEFERRED]","low","38","14","24","1.0000","17x0, 4x3, 3x4","Pass C cloud rollup (rule A, mean=1.00 over 24 obs; distribution: 17x0, 4x3, 3x4). 14 additional obs were prefiltered as non-forward-looking."
"bm-compliance-traceability-3702-c02e4b","[DEFERRED]","medium","37","12","25","2.5200","8x0, 5x3, 12x4","Pass C cloud rollup (rule A, mean=2.52 over 25 obs; distribution: 8x0, 5x3, 12x4). 12 additional obs were prefiltered as non-forward-looking."
"bm-manufacturing-intelligence-3594-578435","[DEFERRED]","medium","61","7","54","2.0741","25x0, 5x3, 23x4, 1x5","Pass C cloud rollup (rule A, mean=2.07 over 54 obs; distribution: 25x0, 5x3, 23x4, 1x5). 7 additional obs were prefiltered as non-forward-looking."
"bpmwebtoc-065bc6","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"bvr-spendcompmgmt-121704b-e31821","[DEFERRED]","medium","19","4","15","2.2000","7x0, 7x4, 1x5","Pass C cloud rollup (rule A, mean=2.20 over 15 obs; distribution: 7x0, 7x4, 1x5). 4 additional obs were prefiltered as non-forward-looking."
"callcenteroptimization-researchreport-rk-3503-0ea8b5","[DEFERRED]","medium","52","14","38","2.1316","16x0, 2x2, 3x3, 17x4","Pass C cloud rollup (rule A, mean=2.13 over 38 obs; distribution: 16x0, 2x2, 3x3, 17x4). 14 additional obs were prefiltered as non-forward-looking."
"callcenterstoc-46e10a","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"ci-factoids-188ee5","[DEFERRED]","medium","9","0","9","2.7778","3x0, 5x4, 1x5","Pass C cloud rollup (rule A, mean=2.78 over 9 obs; distribution: 3x0, 5x4, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"clm-q2c-rb-vp-3879-bc4f62","[DEFERRED]","low","7","0","7","1.2857","4x0, 1x2, 1x3, 1x4","Pass C cloud rollup (rule A, mean=1.29 over 7 obs; distribution: 4x0, 1x2, 1x3, 1x4). 0 additional obs were prefiltered as non-forward-looking."
"clpbenchmark-3708-63ff3f","[DEFERRED]","low","60","7","53","1.1132","36x0, 1x2, 7x3, 9x4","Pass C cloud rollup (rule A, mean=1.11 over 53 obs; distribution: 36x0, 1x2, 7x3, 9x4). 7 additional obs were prefiltered as non-forward-looking."
"cm-q2c-vp-3715-aa1364","[DEFERRED]","low","48","10","38","1.1316","26x0, 5x3, 7x4","Pass C cloud rollup (rule A, mean=1.13 over 38 obs; distribution: 26x0, 5x3, 7x4). 10 additional obs were prefiltered as non-forward-looking."
"cpc-update-toc-07238f","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"cposummit-techservices-cd-vc-3816-690612","[DEFERRED]","low","32","13","19","1.5263","11x0, 3x3, 5x4","Pass C cloud rollup (rule A, mean=1.53 over 19 obs; distribution: 11x0, 3x3, 5x4). 13 additional obs were prefiltered as non-forward-looking."
"crmeuropetoc-8d72da","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"crmreportwebtoc-fedb33","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"crmspending2002toc-8be8e9","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"crmspending2003toc-bc94b2","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"crmspendingtoc-114504","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"dbbuyingguidetoc-1a0a0e","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"dcd-dbb402","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"dctcollateral-30d25c","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"dell-sap-v6-79226d","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"devwsreporttoc-60f6e8","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"digital-20cash-toc-fd1ab4","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"digitalcash-595cbc","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"dtp-2005-research-agenda-012705a-8d9c59","[DEFERRED]","medium","5","0","5","2.6000","2x0, 2x4, 1x5","Pass C cloud rollup (rule A, mean=2.60 over 5 obs; distribution: 2x0, 2x4, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"dtp-204q04-20-20e-procurement-20success-20102804a-3cf03d","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
"dtp-204q04-20-20mro-20102804a-dcaad2","[DEFERRED]","not-applicable","1","1","0","","","Pass C found no scorable forward-looking observations after prefilter (1 of 1 obs marked non-forward-looking; 0 sent to scorer)."
