LAYER A failures (by study)
  obs[o90-013] observation_type='actual-outcome' not in codes.csv
  obs[o90-014] observation_type='technology-assessment' not in codes.csv
  obs[o90-015] observation_type='technology-assessment' not in codes.csv
  obs[o90-016] observation_type='actual-outcome' not in codes.csv
  obs[o90-017] observation_type='actual-outcome' not in codes.csv
  obs[o90-018] observation_type='technology-assessment' not in codes.csv
  obs[o90-019] observation_type='technology-assessment' not in codes.csv
  obs[o90-020] observation_type='expert-opinion' not in codes.csv

kastner-author/1991-apple-c-s-e9ffd7
  obs[o91-001] observation_type='market-data' not in codes.csv
  obs[o91-002] observation_type='viability-prediction' not in codes.csv
  obs[o91-003] observation_type='actual-outcome' not in codes.csv
  obs[o91-004] observation_type='market-data' not in codes.csv
  obs[o91-005] observation_type='strategy-classification' not in codes.csv
  obs[o91-006] observation_type='actual-outcome' not in codes.csv
  obs[o91-007] observation_type='benchmark-result' not in codes.csv
  obs[o91-008] observation_type='market-data' not in codes.csv
  obs[o91-009] observation_type='technology-assessment' not in codes.csv
  obs[o91-010] observation_type='technology-assessment' not in codes.csv
  obs[o91-011] observation_type='benchmark-result' not in codes.csv
  obs[o91-012] observation_type='technology-assessment' not in codes.csv
  obs[o91-013] observation_type='strategy-classification' not in codes.csv
  obs[o91-014] observation_type='strategy-classification' not in codes.csv
  obs[o91-015] observation_type='expert-opinion' not in codes.csv
  obs[o91-016] observation_type='expert-opinion' not in codes.csv
  obs[o91-017] observation_type='expert-opinion' not in codes.csv
  obs[o91-018] observation_type='strategy-classification' not in codes.csv
  obs[o91-019] observation_type='strategy-classification' not in codes.csv
  obs[o91-020] observation_type='strategy-classification' not in codes.csv
  obs[o91-021] observation_type='technology-assessment' not in codes.csv
  obs[o91-022] observation_type='technology-assessment' not in codes.csv
  obs[o91-023] observation_type='expert-opinion' not in codes.csv
  obs[o91-024] observation_type='technology-assessment' not in codes.csv
  obs[o91-025] observation_type='actual-outcome' not in codes.csv

kastner-author/1997-dynaflo-systems----e-mail-for-the-b-854582
  obs[OBS-DYF-001] observation_type='market-data' not in codes.csv
  obs[OBS-DYF-002] observation_type='market-data' not in codes.csv
  obs[OBS-DYF-003] observation_type='expert-opinion' not in codes.csv
  obs[OBS-DYF-004] observation_type='framework-factor' not in codes.csv
  obs[OBS-DYF-005] observation_type='framework-factor' not in codes.csv
  obs[OBS-DYF-006] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DYF-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DYF-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DYF-009] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-010] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DYF-011] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DYF-013] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-014] observation_type='actual-outcome' not in codes.csv
  obs[OBS-DYF-015] observation_type='viability-prediction' not in codes.csv
  obs[OBS-DYF-016] observation_type='actual-outcome' not in codes.csv

kastner-author/1998-hp-high-availability-and-metadata-7d1276
  obs[OBS-001] observation_type='market-data' not in codes.csv
  obs[OBS-002] observation_type='strategy-classification' not in codes.csv
  obs[OBS-004] observation_type='strategy-classification' not in codes.csv
  obs[OBS-005] observation_type='strategy-classification' not in codes.csv
  obs[OBS-006] observation_type='expert-opinion' not in codes.csv
  obs[OBS-007] observation_type='framework-factor' not in codes.csv
  obs[OBS-008] observation_type='expert-opinion' not in codes.csv
  obs[OBS-010] observation_type='expert-opinion' not in codes.csv
  obs[OBS-011] observation_type='market-data' not in codes.csv
  obs[OBS-012] observation_type='strategy-classification' not in codes.csv
  obs[OBS-013] observation_type='strategy-classification' not in codes.csv
  obs[OBS-014] observation_type='strategy-classification' not in codes.csv
  obs[OBS-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-016] observation_type='strategy-classification' not in codes.csv
  obs[OBS-017] observation_type='strategy-classification' not in codes.csv
  obs[OBS-018] observation_type='expert-opinion' not in codes.csv
  obs[OBS-021] observation_type='strategy-classification' not in codes.csv
  obs[OBS-022] observation_type='strategy-classification' not in codes.csv
  obs[OBS-023] observation_type='market-data' not in codes.csv
  obs[OBS-024] observation_type='market-data' not in codes.csv
  obs[OBS-026] observation_type='strategy-classification' not in codes.csv
  obs[OBS-027] observation_type='strategy-classification' not in codes.csv
  obs[OBS-034] observation_type='expert-opinion' not in codes.csv
  obs[OBS-035] observation_type='market-data' not in codes.csv

kastner-author/1998-pc-impact-and-metadata-e2a169
  obs[OBS-001] observation_type='market-data' not in codes.csv
  obs[OBS-002] observation_type='market-data' not in codes.csv
  obs[OBS-003] observation_type='market-data' not in codes.csv
  obs[OBS-004] observation_type='benchmark-result' not in codes.csv
  obs[OBS-005] observation_type='benchmark-result' not in codes.csv
  obs[OBS-006] observation_type='market-data' not in codes.csv
  obs[OBS-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-009] observation_type='benchmark-result' not in codes.csv
  obs[OBS-010] observation_type='technology-assessment' not in codes.csv
  obs[OBS-011] observation_type='expert-opinion' not in codes.csv
  obs[OBS-012] observation_type='viability-prediction' not in codes.csv
  obs[OBS-013] observation_type='viability-prediction' not in codes.csv
  obs[OBS-014] observation_type='viability-prediction' not in codes.csv
  obs[OBS-015] observation_type='expert-opinion' not in codes.csv
  obs[OBS-016] observation_type='expert-opinion' not in codes.csv
  obs[OBS-017] observation_type='expert-opinion' not in codes.csv
  obs[OBS-018] observation_type='market-data' not in codes.csv
  obs[OBS-019] observation_type='market-data' not in codes.csv
  obs[OBS-020] observation_type='technology-assessment' not in codes.csv
  obs[OBS-021] observation_type='technology-assessment' not in codes.csv
  obs[OBS-022] observation_type='market-data' not in codes.csv
  obs[OBS-023] observation_type='benchmark-result' not in codes.csv
  obs[OBS-024] observation_type='benchmark-result' not in codes.csv
  obs[OBS-025] observation_type='benchmark-result' not in codes.csv
  obs[OBS-026] observation_type='benchmark-result' not in codes.csv
  obs[OBS-027] observation_type='benchmark-result' not in codes.csv
  obs[OBS-028] observation_type='viability-prediction' not in codes.csv
  obs[OBS-029] observation_type='actual-outcome' not in codes.csv
  obs[OBS-030] observation_type='actual-outcome' not in codes.csv
  obs[OBS-031] observation_type='actual-outcome' not in codes.csv
  obs[OBS-032] observation_type='actual-outcome' not in codes.csv
  obs[OBS-033] observation_type='actual-outcome' not in codes.csv
  obs[OBS-034] observation_type='viability-prediction' not in codes.csv
  obs[OBS-035] observation_type='actual-outcome' not in codes.csv
  obs[OBS-036] observation_type='actual-outcome' not in codes.csv
  obs[OBS-037] observation_type='viability-prediction' not in codes.csv
  obs[OBS-038] observation_type='actual-outcome' not in codes.csv
  obs[OBS-039] observation_type='technology-assessment' not in codes.csv
  obs[OBS-040] observation_type='market-data' not in codes.csv
  obs[OBS-041] observation_type='market-data' not in codes.csv

kastner-author/2002-webex--taking-conferencing-to-the-summit-05f195
  obs[obs-001] observation_type='market-data' not in codes.csv
  obs[obs-002] observation_type='market-data' not in codes.csv
  obs[obs-003] observation_type='market-data' not in codes.csv
  obs[obs-004] observation_type='technology-assessment' not in codes.csv
  obs[obs-005] observation_type='technology-assessment' not in codes.csv
  obs[obs-006] observation_type='framework-factor' not in codes.csv
  obs[obs-007] observation_type='framework-factor' not in codes.csv
  obs[obs-008] observation_type='framework-factor' not in codes.csv
  obs[obs-009] observation_type='framework-factor' not in codes.csv
  obs[obs-010] observation_type='framework-factor' not in codes.csv
  obs[obs-011] observation_type='market-data' not in codes.csv
  obs[obs-012] observation_type='market-data' not in codes.csv
  obs[obs-013] observation_type='strategy-classification' not in codes.csv
  obs[obs-014] observation_type='market-data' not in codes.csv
  obs[obs-015] observation_type='expert-opinion' not in codes.csv
  obs[obs-016] observation_type='expert-opinion' not in codes.csv
  obs[obs-017] observation_type='technology-assessment' not in codes.csv
  obs[obs-018] observation_type='technology-assessment' not in codes.csv
  obs[obs-019] observation_type='technology-assessment' not in codes.csv
  obs[obs-020] observation_type='technology-assessment' not in codes.csv
  obs[obs-021] observation_type='technology-assessment' not in codes.csv
  obs[obs-022] observation_type='technology-assessment' not in codes.csv
  obs[obs-023] observation_type='technology-assessment' not in codes.csv
  obs[obs-024] observation_type='technology-assessment' not in codes.csv
  obs[obs-025] observation_type='market-data' not in codes.csv
  obs[obs-026] observation_type='viability-prediction' not in codes.csv
  obs[obs-027] observation_type='viability-prediction' not in codes.csv
  obs[obs-028] observation_type='actual-outcome' not in codes.csv
  obs[obs-029] observation_type='actual-outcome' not in codes.csv
  obs[obs-030] observation_type='actual-outcome' not in codes.csv
  obs[obs-031] observation_type='actual-outcome' not in codes.csv
  obs[obs-032] observation_type='actual-outcome' not in codes.csv
  obs[obs-033] observation_type='actual-outcome' not in codes.csv
  obs[obs-034] observation_type='actual-outcome' not in codes.csv
  obs[obs-035] observation_type='actual-outcome' not in codes.csv
  obs[obs-036] observation_type='actual-outcome' not in codes.csv

kastner-author/2003-intel-consumer-lt-10-5-8c346e
  obs[OBS-028] observation_type='prescience-vindication' not in codes.csv

kastner-author/aberdeen-1995-universal-servers-rdbms-technology-next-decade
  obs[aberdeen-1995-universal-servers-rdbms-technology-next-decade-OBS-018] observation_type='framework-factor' not in codes.csv

kastner-author/aberdeenmaxtortooldemo-03-2-5a8f38
  obs[aberdeenmaxtortooldemo-03-2-5a8f38-004] entity_id='adobe-flash-swf' not in entities.csv

kastner-author/inforx95-3-9a45fe
  obs[inforx95-3-9a45fe-015] entity_id='computer-associates' not in entities.csv
  obs[inforx95-3-9a45fe-016] entity_id='computer-associates' not in entities.csv

kastner-author/otellini-intel-techpinions-2013-917213
  obs[otellini-intel-techpinions-2013-917213-OBS-012] tech_id='wind-river' not in technologies.csv
  obs[otellini-intel-techpinions-2013-917213-OBS-013] tech_id='mcafee' not in technologies.csv
  obs[otellini-intel-techpinions-2013-917213-OBS-014] tech_id='infineon' not in technologies.csv

kastner-author/soa-aon-webinar-022206a-125e6b
  obs[soa-aon-webinar-022206a-125e6b-OBS-001] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-002] observation_type='viability-prediction' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-003] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-004] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-005] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-006] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-007] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-008] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-009] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-010] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-011] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-012] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-013] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-014] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-015] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-016] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-017] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-018] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-019] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-020] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-021] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-022] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-023] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-024] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-025] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-026] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-027] observation_type='benchmark-result' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-028] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-029] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-030] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-031] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-032] observation_type='expert-opinion' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-033] observation_type='expert-opinion' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-034] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-035] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-036] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-037] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-038] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-039] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-040] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-041] observation_type='technology-assessment' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-042] observation_type='framework-factor' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-043] observation_type='framework-factor' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-044] observation_type='framework-factor' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-045] observation_type='technology-assessment' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-046] observation_type='expert-opinion' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-047] observation_type='technology-assessment' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-048] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-049] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-050] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-051] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-052] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-053] observation_type='market-data' not in codes.csv
  obs[soa-aon-webinar-022206a-125e6b-OBS-054] observation_type='market-data' not in codes.csv

other-authors/1997-commercial-risc-unix-1996-mvp-711569
  obs[OBS-001] observation_type='market-data' not in codes.csv
  obs[OBS-002] observation_type='market-data' not in codes.csv
  obs[OBS-003] observation_type='market-data' not in codes.csv
  obs[OBS-004] observation_type='market-data' not in codes.csv
  obs[OBS-005] observation_type='market-data' not in codes.csv
  obs[OBS-006] observation_type='benchmark-result' not in codes.csv
  obs[OBS-007] observation_type='benchmark-result' not in codes.csv
  obs[OBS-008] observation_type='benchmark-result' not in codes.csv
  obs[OBS-009] observation_type='benchmark-result' not in codes.csv
  obs[OBS-010] observation_type='benchmark-result' not in codes.csv
  obs[OBS-011] observation_type='strategy-classification' not in codes.csv
  obs[OBS-012] observation_type='strategy-classification' not in codes.csv
  obs[OBS-013] observation_type='strategy-classification' not in codes.csv
  obs[OBS-014] observation_type='strategy-classification' not in codes.csv
  obs[OBS-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-016] observation_type='technology-assessment' not in codes.csv
  obs[OBS-017] observation_type='technology-assessment' not in codes.csv
  obs[OBS-018] observation_type='technology-assessment' not in codes.csv
  obs[OBS-019] observation_type='viability-prediction' not in codes.csv
  obs[OBS-020] observation_type='viability-prediction' not in codes.csv
  obs[OBS-021] observation_type='viability-prediction' not in codes.csv
  obs[OBS-022] observation_type='viability-prediction' not in codes.csv
  obs[OBS-023] observation_type='viability-prediction' not in codes.csv
  obs[OBS-024] observation_type='viability-prediction' not in codes.csv
  obs[OBS-025] observation_type='viability-prediction' not in codes.csv
  obs[OBS-026] observation_type='actual-outcome' not in codes.csv
  obs[OBS-027] observation_type='actual-outcome' not in codes.csv
  obs[OBS-028] observation_type='actual-outcome' not in codes.csv
  obs[OBS-029] observation_type='actual-outcome' not in codes.csv
  obs[OBS-030] observation_type='actual-outcome' not in codes.csv
  obs[OBS-031] observation_type='actual-outcome' not in codes.csv
  obs[OBS-032] observation_type='actual-outcome' not in codes.csv
  obs[OBS-033] observation_type='expert-opinion' not in codes.csv
  obs[OBS-034] observation_type='expert-opinion' not in codes.csv
  obs[OBS-035] observation_type='expert-opinion' not in codes.csv

other-authors/1997-crm-siebel-systems-pr-569e52
  obs[OBS-SB-001] observation_type='market-data' not in codes.csv
  obs[OBS-SB-002] observation_type='strategy-classification' not in codes.csv
  obs[OBS-SB-003] observation_type='viability-prediction' not in codes.csv
  obs[OBS-SB-004] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-005] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-006] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-007] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-009] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-010] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-011] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-012] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-013] observation_type='strategy-classification' not in codes.csv
  obs[OBS-SB-014] observation_type='market-data' not in codes.csv
  obs[OBS-SB-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-SB-016] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-017] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-018] observation_type='market-data' not in codes.csv
  obs[OBS-SB-019] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-020] observation_type='viability-prediction' not in codes.csv
  obs[OBS-SB-021] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-022] observation_type='technology-assessment' not in codes.csv
  obs[OBS-SB-023] observation_type='viability-prediction' not in codes.csv
  obs[OBS-SB-024] observation_type='actual-outcome' not in codes.csv
  obs[OBS-SB-025] observation_type='market-data' not in codes.csv

other-authors/1997-data-integration-management-in-hete-de2429
  obs[OBS-001] observation_type='market-data' not in codes.csv
  obs[OBS-002] observation_type='market-data' not in codes.csv
  obs[OBS-003] observation_type='market-data' not in codes.csv
  obs[OBS-004] observation_type='market-data' not in codes.csv
  obs[OBS-005] observation_type='technology-assessment' not in codes.csv
  obs[OBS-006] observation_type='technology-assessment' not in codes.csv
  obs[OBS-007] observation_type='technology-assessment' not in codes.csv
  obs[OBS-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-009] observation_type='technology-assessment' not in codes.csv
  obs[OBS-010] observation_type='framework-factor' not in codes.csv
  obs[OBS-011] observation_type='framework-factor' not in codes.csv
  obs[OBS-012] observation_type='framework-factor' not in codes.csv
  obs[OBS-013] observation_type='framework-factor' not in codes.csv
  obs[OBS-014] observation_type='strategy-classification' not in codes.csv
  obs[OBS-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-016] observation_type='strategy-classification' not in codes.csv
  obs[OBS-017] observation_type='viability-prediction' not in codes.csv
  obs[OBS-018] observation_type='viability-prediction' not in codes.csv
  obs[OBS-019] observation_type='viability-prediction' not in codes.csv
  obs[OBS-020] observation_type='actual-outcome' not in codes.csv
  obs[OBS-021] observation_type='actual-outcome' not in codes.csv
  obs[OBS-022] observation_type='actual-outcome' not in codes.csv
  obs[OBS-023] observation_type='actual-outcome' not in codes.csv
  obs[OBS-024] observation_type='actual-outcome' not in codes.csv
  obs[OBS-025] observation_type='actual-outcome' not in codes.csv
  obs[OBS-026] observation_type='expert-opinion' not in codes.csv
  obs[OBS-027] observation_type='expert-opinion' not in codes.csv
  obs[OBS-028] observation_type='expert-opinion' not in codes.csv

other-authors/1997-data-mining-buying-guide-71e463
  obs[OBS-001] observation_type='framework-factor' not in codes.csv
  obs[OBS-002] observation_type='framework-factor' not in codes.csv
  obs[OBS-003] observation_type='framework-factor' not in codes.csv
  obs[OBS-004] observation_type='framework-factor' not in codes.csv
  obs[OBS-005] observation_type='framework-factor' not in codes.csv
  obs[OBS-006] observation_type='framework-factor' not in codes.csv
  obs[OBS-007] observation_type='framework-factor' not in codes.csv
  obs[OBS-008] observation_type='technology-assessment' not in codes.csv
  obs[OBS-009] observation_type='technology-assessment' not in codes.csv
  obs[OBS-010] observation_type='technology-assessment' not in codes.csv
  obs[OBS-011] observation_type='technology-assessment' not in codes.csv
  obs[OBS-012] observation_type='technology-assessment' not in codes.csv
  obs[OBS-013] observation_type='strategy-classification' not in codes.csv
  obs[OBS-014] observation_type='strategy-classification' not in codes.csv
  obs[OBS-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-016] observation_type='strategy-classification' not in codes.csv
  obs[OBS-017] observation_type='viability-prediction' not in codes.csv
  obs[OBS-018] observation_type='viability-prediction' not in codes.csv
  obs[OBS-019] observation_type='viability-prediction' not in codes.csv
  obs[OBS-020] observation_type='viability-prediction' not in codes.csv
  obs[OBS-021] observation_type='actual-outcome' not in codes.csv
  obs[OBS-022] observation_type='actual-outcome' not in codes.csv
  obs[OBS-023] observation_type='actual-outcome' not in codes.csv
  obs[OBS-024] observation_type='actual-outcome' not in codes.csv
  obs[OBS-025] observation_type='actual-outcome' not in codes.csv
  obs[OBS-026] observation_type='actual-outcome' not in codes.csv
  obs[OBS-027] observation_type='actual-outcome' not in codes.csv
  obs[OBS-028] observation_type='expert-opinion' not in codes.csv
  obs[OBS-029] observation_type='expert-opinion' not in codes.csv
  obs[OBS-030] observation_type='expert-opinion' not in codes.csv

other-authors/1997-datafocus'-nutcracker--enterprise-c-bfc11e
  obs[OBS-001] observation_type='market-data' not in codes.csv
  obs[OBS-002] observation_type='market-data' not in codes.csv
  obs[OBS-003] observation_type='market-data' not in codes.csv
  obs[OBS-004] observation_type='benchmark-result' not in codes.csv
  obs[OBS-005] observation_type='benchmark-result' not in codes.csv
  obs[OBS-006] observation_type='benchmark-result' not in codes.csv
  obs[OBS-007] observation_type='benchmark-result' not in codes.csv
  obs[OBS-008] observation_type='benchmark-result' not in codes.csv
  obs[OBS-009] observation_type='benchmark-result' not in codes.csv
  obs[OBS-010] observation_type='benchmark-result' not in codes.csv
  obs[OBS-011] observation_type='benchmark-result' not in codes.csv
  obs[OBS-012] observation_type='benchmark-result' not in codes.csv
  obs[OBS-013] observation_type='strategy-classification' not in codes.csv
  obs[OBS-014] observation_type='strategy-classification' not in codes.csv
  obs[OBS-015] observation_type='strategy-classification' not in codes.csv
  obs[OBS-016] observation_type='strategy-classification' not in codes.csv
  obs[OBS-017] observation_type='viability-prediction' not in codes.csv
  obs[OBS-018] observation_type='viability-prediction' not in codes.csv
  obs[OBS-019] observation_type='viability-prediction' not in codes.csv
  obs[OBS-020] observation_type='viability-prediction' not in codes.csv
  obs[OBS-021] observation_type='viability-prediction' not in codes.csv
  obs[OBS-022] observation_type='actual-outcome' not in codes.csv
  obs[OBS-023] observation_type='actual-outcome' not in codes.csv
  obs[OBS-024] observation_type='actual-outcome' not in codes.csv
  obs[OBS-025] observation_type='actual-outcome' not in codes.csv
  obs[OBS-026] observation_type='actual-outcome' not in codes.csv
  obs[OBS-027] observation_type='actual-outcome' not in codes.csv
  obs[OBS-028] observation_type='expert-opinion' not in codes.csv
  obs[OBS-029] observation_type='expert-opinion' not in codes.csv
  obs[OBS-030] observation_type='expert-opinion' not in codes.csv

other-authors/1997-datareach--finding-business-value-i-34f0a6
  obs[OBS-DR-001] observation_type='expert-opinion' not in codes.csv
  obs[OBS-DR-002] observation_type='technology-assessment' not in codes.csv
  obs[OBS-DR-003] observation_type='market-data' not in codes.csv
  obs[OBS-DR-004] observation_type='technology-assessment' not in codes.csv
