"entity_id","study_id"
"ent-g2000-001","1997-network-storage--obtaining-the-payo-3bdc3d"
"ENT-HP-001","1997-desktop-and-systems-management-the--169a9b"
"ENT-HP-002","1997-desktop-and-systems-management-the--169a9b"
"ENT-HP-003","1997-desktop-and-systems-management-the--169a9b"
"ENT-HP-006","1997-desktop-and-systems-management-the--169a9b"
"ENT-I2O-001","1997-intelligent-i-o-initiative--scaling-aae222"
"ENT-I2O-005","1997-intelligent-i-o-initiative--scaling-aae222"
"ENT-I2O-006","1997-intelligent-i-o-initiative--scaling-aae222"
"ENT-IBM-001","1997-nt-case-41-56aa2e"
"ent-ibm-db2","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"ENT-IMI-001","1997-object-technology-meets-demand-mana-551c84"
"ENT-IMI-002","1997-object-technology-meets-demand-mana-551c84"
"ENT-INF-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"ENT-INFORMIX","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"ENT-INS-001","1997-insession---accessing-and-leveragin-cb2e40"
"ENT-KD1-001","1997-knowledge-discovery-one's-retail-di-f6b834"
"ent-kod-001","1997-kodak-completes-wang-software-acqui-e78bb4"
"ENT-KOD-002","1997-kodak-completes-wang-software-acqui-e78bb4"
"ent-kod-003","1997-kodak-completes-wang-software-acqui-e78bb4"
"ENT-KOD-005","1997-kodak-completes-wang-software-acqui-e78bb4"
"ENT-LAP-001","1997-laplink-solutions-offer-telecommuti-292aa8"
"ENT-LOTUS","aberdeen-1995-novell-predicament"
"ENT-LUC-001","1997-lucent-delivers-internet-telephony--888598"
"ENT-LUC-002","1997-lucent-delivers-internet-telephony--888598"
"ENT-LUC-003","1997-lucent-delivers-internet-telephony--888598"
"ENT-MC-001","1997-informix-metacube-4.0--relational-o-23491d"
"ENT-MSFT-001","1997-nt-case-41-56aa2e"
"ENT-MSFT-NT","aberdeen-1995-novell-predicament"
"ENT-MSFT-WIN95","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"ENT-NOR-001","1997-nortel--transforming-business-by-po-3edae6"
"ENT-NOV-001","1997-novell-directory-to-the-network-str-048b05"
"ENT-NOV-002","1997-novell-directory-to-the-network-str-048b05"
"ENT-NOV-005","1997-novell-directory-to-the-network-str-048b05"
"ENT-NOV-006","1997-novell-directory-to-the-network-str-048b05"
"ENT-NOV-007","1997-novell-directory-to-the-network-str-048b05"
"ENT-NOV-010","1997-novell-directory-to-the-network-str-048b05"
"ENT-NOVELL","aberdeen-1995-novell-predicament"
"ENT-O2-001","1997-object-databases-such-as-o2-odmg--t-c98c72"
"ENT-OBJ-001","1997-objective-communications--vidmodem--f3351f"
"ENT-OBJ-002","1997-objective-communications--vidmodem--f3351f"
"ENT-ORACLE-DB4","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"ent-progress","aberdeen-1995-progress-software-profile"
"ENT-PS-001","1997-dw-competitive-advantage-through-pr-b307c7"
"ENT-PS-005","1997-dw-competitive-advantage-through-pr-b307c7"
"ENT-PS-006","1997-dw-competitive-advantage-through-pr-b307c7"
"ENT-PS-014","1997-dw-competitive-advantage-through-pr-b307c7"
"ENT-S1-002","1997-ibm-s-enterprise-communications-fam-14559a"
"ENT-S1-003","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"ENT-S1-004","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"ENT-S2-001","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"ENT-S2-001","1997-ibm-s-solution-centric-global-healt-7a073f"
"ENT-S2-002","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"ENT-S2-002","1997-ibm-s-solution-centric-global-healt-7a073f"
"ENT-S2-004","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"ENT-S2-004","1997-ibm-s-solution-centric-global-healt-7a073f"
"ENT-S2-005","1997-ibm-s-solution-centric-global-healt-7a073f"
"ENT-S2-006","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"ENT-S2-006","1997-ibm-s-solution-centric-global-healt-7a073f"
"ENT-S2-008","1997-digital-&-oracle-s-nci--partners-in-2d680c"
"ENT-S3-001","1997-digital-equipment-corporation-pr-c375a8"
"ENT-S3-001","1997-ibm’s-nt-strategy-strat-pr-b93817"
"ENT-S3-002","1997-digital-equipment-corporation-pr-c375a8"
"ENT-S3-003","1997-digital-equipment-corporation-pr-c375a8"
"ENT-S3-003","1997-ibm’s-nt-strategy-strat-pr-b93817"
"ENT-S3-006","1997-digital-equipment-corporation-pr-c375a8"
"ENT-S3-008","1997-digital-equipment-corporation-pr-c375a8"
"ENT-S4-001","1997-digital-ramps-up-for-the-leadership-fb5854"
"ENT-S4-001","1997-ibm’s-network-computing-solution----e74e8a"
"ENT-S4-002","1997-digital-ramps-up-for-the-leadership-fb5854"
"ENT-S4-004","1997-digital-ramps-up-for-the-leadership-fb5854"
"ENT-S5-001","1997-digital-s-terabyte-hour-nonstop-vld-ce92ca"
"ENT-S5-001","1997-industry-matematik-international-co-c398bc"
"ENT-S5-002","1997-industry-matematik-international-co-c398bc"
"ENT-S5-003","1997-digital-s-terabyte-hour-nonstop-vld-ce92ca"
"ENT-S5-005","1997-industry-matematik-international-co-c398bc"
"ENT-SAP","aberdeen-1995-sun-microsystems-computer-company"
"ent-sb-001","1997-crm-siebel-systems-pr-569e52"
"ENT-SB-003","1997-crm-siebel-systems-pr-569e52"
"ENT-SB-007","1997-crm-siebel-systems-pr-569e52"
"ENT-SB-008","1997-crm-siebel-systems-pr-569e52"
"ENT-SGI-001","1997-informix-and-silicon-graphics-reach-98e6ea"
"ENT-SGI-002","1997-informix-and-silicon-graphics-reach-98e6ea"
"ENT-SGI-003","1997-informix-and-silicon-graphics-reach-98e6ea"
"ENT-SGI-004","1997-informix-and-silicon-graphics-reach-98e6ea"
"ENT-SGI-005","1997-informix-and-silicon-graphics-reach-98e6ea"
"ENT-SUN","aberdeen-1995-sun-microsystems-computer-company"
"ent-sun-001","1997-nortel--transforming-business-by-po-3edae6"
"ENT-SYB-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"ENT-SYBASE","aberdeen-1995-progress-software-profile"
"ENT-SYBASE-DB","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"ENT-TIV-001","1997-migrating-from-sybase-sql-server-4.-d7b1d0"
"ENT-XED-001","1997-managing-corporate-internet-access--ae26d9"
"ENT-XED-002","1997-managing-corporate-internet-access--ae26d9"
"FACT-INC","aberdeen-1996-advanced-planning-engines-white-paper"
"fasb","aberdeen-1996-as400-year-2000-ibm-leading-users"
"GEAC","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"i2-technologies","aberdeen-1996-advanced-planning-engines-white-paper"
"ibm","aberdeen-1996-as400-year-2000-ibm-leading-users"
"IBM-AS400-DIV","aberdeen-1996-as400-year-2000-ibm-leading-users"
"IBM-SP2","aberdeen-1995-rdbms-cray-research-inc"
"manugistics","aberdeen-1996-advanced-planning-engines-white-paper"
"ncube","aberdeen-1995-rdbms-cray-research-inc"
"NUMETRIX","aberdeen-1996-advanced-planning-engines-white-paper"
"ORACLE-APPS","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"RED-PEPPER","aberdeen-1996-advanced-planning-engines-white-paper"
"sap","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"sun-microsystems","aberdeen-1995-rdbms-cray-research-inc"
"a-moissis","aberdeen-open-online-transaction-process-ea272f"
"abb-systems-control","utilit~1-0596b5"
"aberdeen-dct-practice","dct-webinar-announcement-2002-11"
"aberdeen-dct-practice","dct-why-aberdeen-follows-pc-deals-2002"
"aberdeen-group","01-difranco-report-on-aberdeen-group-res-444a19"
"aberdeen-group","02-sow-final-62f56d"
"aberdeen-group","03-contract-pools-of-storage-phase2-a47fd3"
"aberdeen-group","06-aberdeen-after-action-showandtell-95c6d9"
"aberdeen-group","07-pools-of-storage-functional-spec-597fa5"
"aberdeen-group","08-phase2-project-kickoff-2ea711"
"aberdeen-group","09-maxtor-workshop-prep-guide-a218dc"
"aberdeen-group","10-maxtor-workshop-02-09-eod-53f22b"
"aberdeen-group","12-steps-to-category-creation-0abd5a"
"aberdeen-group","15-classification-key-applications-55b6be"
"aberdeen-group","16-maxtor-survey-meeting-agenda-4fe65d"
"aberdeen-group","17-maxtor-tool-decision-components-d9c2fb"
"aberdeen-group","18-maxtor-strategy-event-template-faeb40"
"aberdeen-group","1992-tpc-benchmarks-vp-ed0e0d"
"aberdeen-group","1996-electronic-commerce-25d31b"
"aberdeen-group","1997-dialogic-ct-media-sets-the-pace-for-440d5e"
"aberdeen-group","1997-microsoft--the-joker-of-enterprise--158636"
"aberdeen-group","1997-microsoft-nt-scalability-day--the-e-6460e2"
"aberdeen-group","1998-advertising-on-the-internet-leveraging-the-virtual-3972d6"
"aberdeen-group","1998-cis-report-customer-interaction-software-631068"
"aberdeen-group","1998-communicating-business-intelligence-through-comput-0290b1"
"aberdeen-group","1998-enterprise-application-integration-advanced-techno-71496c"
"aberdeen-group","1998-industry-dynamics-in-u-s-it-usage-and-spending-199-26aed6"
"aberdeen-group","1998-information-technology-in-the-retail-sector-the-in-33dc54"
"aberdeen-group","1998-internet-procurement-cdc4a6"
"aberdeen-group","1998-internet-sales-report-4cde3f"
"aberdeen-group","1998-y2k-report-f512fb"
"aberdeen-group","1999-aberdeengroup-newsletter-april-1999-d157ec"
"aberdeen-group","1999-retainer-contract-d3a385"
"aberdeen-group","1999pr~1-c5516b"
"aberdeen-group","1999pr~2-cd0049"
"aberdeen-group","20-maxline-mtbf-analysis-4d9111"
"aberdeen-group","2000-is-windows-nt-windows-2000-enterprise-ready-91f2cb"
"aberdeen-group","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24"
"aberdeen-group","2000-linux-multi-client-study-29e6cf"
"aberdeen-group","2001-aberdeen-group-blades-an-evolution-in-server-densi-b56557"
"aberdeen-group","2001-aberdeen-group-recent-publications-psk-2be54d"
"aberdeen-group","2001-ca-s-etrust-directory-a-cornerstone-of-e-business--194413"
"aberdeen-group","2001-ca-s-it-resource-management-solutions-p-ing-it-ope-0855b8"
"aberdeen-group","2001-fletcher-spaght-3bb872"
"aberdeen-group","2001-kickoff---research-099232"
"aberdeen-group","2001-kickoff-content-1db48b"
"aberdeen-group","2002-webex--taking-conferencing-to-the-summit-05f195"
"aberdeen-group","2003-aberdeen-group-free-research-aberdeen-insights-1-968e18"
"aberdeen-group","2003-crm-redux-we-told-you-so-b4b0c1"
"aberdeen-group","2003-sars-electronics-supply-chain-ec0375"
"aberdeen-group","2004-03-intelitaniummfewp11.doc-618d4a"
"aberdeen-group","2004-aberdeentelelogicagrfinal-5-8fd44a"
"aberdeen-group","2006-unisyswipro-rs-3747-a7e31e"
"aberdeen-group","2026-kastner-core-arguments-framework-0b0c6b"
"aberdeen-group","2026-kastner-dec-longitudinal-22d177"
"aberdeen-group","2026-kastner-prescience-methodology-demo-0cdf48"
"aberdeen-group","aas-launch-package-aug-2001-b4a001"
"aberdeen-group","aas-operational-playbooks-aug-2001-b5a001"
"aberdeen-group","aas-sales-tools-pricing-aug-2001-b5b001"
"aberdeen-group","aberdeen-1995-data-warehouse-olap"
"aberdeen-group","aberdeen-1995-digital-linkworks"
"aberdeen-group","aberdeen-1996-enterprise-executives-year-2000-solution"
"aberdeen-group","aberdeen-1996-hp-3000-increasing-customers-successes"
"aberdeen-group","aberdeen-1996-hp-9000-enterprise-server-64bit-pa8000"
"aberdeen-group","aberdeen-1996-hp-networking-vision-workgroups"
"aberdeen-group","aberdeen-1996-ibm-transformation-business-machines-information-service"
"aberdeen-group","aberdeen-1996-managing-customers-next-gen-helpdesk"
"aberdeen-group","aberdeen-1996-year-2000-transition-opportunity-reconstruction"
"aberdeen-group","aberdeen-1997-aberdeen-group-impacts"
"aberdeen-group","aberdeen-1997-acceleratedsap-strategy"
"aberdeen-group","aberdeen-1997-actra-commercexpert-internet-commerce"
"aberdeen-group","aberdeen-1997-hp-andover-working-group"
"aberdeen-group","aberdeen-1997-lawson-insight-process-orientation-business-management"
"aberdeen-group","aberdeen-1997-picks-right-tools-year-2000"
"aberdeen-group","aberdeen-1997-silknet-software"
"aberdeen-group","aberdeen-aas-retainer-sales-doc-f40a25"
"aberdeen-group","aberdeen-company-profile-post-kastner-b01a12"
"aberdeen-group","aberdeen-corporate-background-deck-f70fe9"
"aberdeen-group","aberdeen-corporate-collateral-2001-v2-b4b001"
"aberdeen-group","aberdeen-corporate-collateral-combined-1-9674e4"
"aberdeen-group","aberdeen-corporate-presentation-98680d"
"aberdeen-group","aberdeen-cp-100-builds-274224"
"aberdeen-group","aberdeen-customer-driven-info-systems-at-2f9724"
"aberdeen-group","aberdeen-dops-tpc-1992-deck-bbe78e"
"aberdeen-group","aberdeen-dors-buying-guide-1996-web-5ee808"
"aberdeen-group","aberdeen-eii-2003-ea3f1a"
"aberdeen-group","aberdeen-group-disk-storage-usage-questi-c8ffe9"
"aberdeen-group","aberdeen-group-intro-slides-7673aa"
"aberdeen-group","aberdeen-impact-desktop-pc-sirens-1998-14b40c"
"aberdeen-group","aberdeen-megatrends-mfa-cs-mis-1993-05-98fc87"
"aberdeen-group","aberdeen-open-oltp-enterprise-managers-k-3fc536"
"aberdeen-group","aberdeen-overview-presentation-v10-29-a665b8"
"aberdeen-group","aberdeen-practice-definitions-compendium-2000-b7a001"
"aberdeen-group","aberdeen-preso-for-emc-final-storage-5-d855b8"
"aberdeen-group","aberdeen-press-advisory-kastner-appointm-efd58c"
"aberdeen-group","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001"
"aberdeen-group","aberdeen-proposal-templates-and-retainer-strategy-2001-b6b001"
"aberdeen-group","aberdeen-ra-modernizing-legacy-2007-52a27a"
"aberdeen-group","aberdeen-ra-secure-soa-benchmark-2006-605d67"
"aberdeen-group","aberdeen-ra-soa-management-governance-20-ff6a2c"
"aberdeen-group","aberdeen-ra-soa-middleware-2007-68f39b"
"aberdeen-group","aberdeen-rb-testing-soa-web-apps-2007-e2096f"
"aberdeen-group","aberdeen-retail-bi-benchmark-survey-2006-aa440e"
"aberdeen-group","aberdeen-snr-architecture-three-tier-sli-abaaa5"
"aberdeen-group","aberdeen-training-book-day-3-03cfc1"
"aberdeen-group","aberdeen-training-day-1-522863"
"aberdeen-group","aberdeen-training-day-2-representing-abe-38ef4b"
"aberdeen-group","aberdeen-training-day-4-marketing-busine-601526"
"aberdeen-group","aberdeen-trends-90s-logan-1991-648c68"
"aberdeen-group","aberdeen-workshop-qualifying-questions-and-success-stories-2001-b6a001"
"aberdeen-group","aberdeenmaxtortooldemo-03-2-5a8f38"
"aberdeen-group","att-worldmark-wsj-ad-aberdeen-quote-1995-ec56fb"
"aberdeen-group","bio-webfocus-bef516"
"aberdeen-group","bpm-align-business-f76616"
"aberdeen-group","bull1990-d-c-benchmarks-8b5d9c"
"aberdeen-group","business-value-outsourcing-57ce57"
"aberdeen-group","ca-customer-focused-selling-curriculum-38c507"
"aberdeen-group","caprop1-98-5d69fd"
"aberdeen-group","caprop99-86144f"
"aberdeen-group","carepo-kastner-unicenter-jasmine-1996-1d5ffe"
"aberdeen-group","charles-t-casale-influence-cdfb3f"
"aberdeen-group","charlotte-observer-shain-back-to-school--4ec261"
"aberdeen-group","computerworld-ilm-waiting-2004"
"aberdeen-group","contract-aberdeen-engaglementltr-rev1-02-d5e80a"
"aberdeen-group","dct-about-weekly-pc-deals-2002"
"aberdeen-group","dct-cmp-pc-replacement-survey"
"aberdeen-group","dct-dceit-practice-v6-2002"
"aberdeen-group","dct-hp-camera-lab-report-2001-09"
"aberdeen-group","dct-intel-processor-prices-2003-01"
"aberdeen-group","dct-kastner-wish-list-2002-12"
"aberdeen-group","dct-memoir-athlon-64-prescience-2003"
"aberdeen-group","dct-memoir-ramp-vs-dct-prescience-2026"
"aberdeen-group","dct-pc-replacement-insight1-2003-04"
"aberdeen-group","dct-personal-it-practice-launch-2001"
"aberdeen-group","dct-pitas-agreement-template-2002"
"aberdeen-group","dct-pubs-2002"
"aberdeen-group","dct-segment-priorities-matrix-2003"
"aberdeen-group","dct-sony-personal-electronic-vision-2002"
"aberdeen-group","dct-supplier-list-2002"
"aberdeen-group","dct-traveling-with-centrino-2003-05"
"aberdeen-group","dct-video-market-segmentation-2002"
"aberdeen-group","dct-webinar-announcement-2002-11"
"aberdeen-group","dct-webinar-nov-2002"
"aberdeen-group","debit-credit-ibm-dec-1988-2-2fc147"
"aberdeen-group","dectp-genspark-research2-4-a09a82"
"aberdeen-group","dell-storage-profile-2004"
"aberdeen-group","desktop-virtualization-roi---aberdeen-8fa168"
"aberdeen-group","docucorp-3c562a"
"aberdeen-group","dubtech-1996-29d4f9"
"aberdeen-group","enterprise-integration-perspective-2-cb6165"
"aberdeen-group","enterprise-integration-perspective-d21c1b"
"aberdeen-group","esb-0617-5cc5fa"
"aberdeen-group","esb-in-soa-e002b7"
"aberdeen-group","fixups~1-a1d68b"
"aberdeen-group","health~1-056358"
"aberdeen-group","hp-compaq-blackmore-7-7f30a3"
"aberdeen-group","hp-mercury-soa-2006-pdf-80785e"
"aberdeen-group","ibm-+-webify-=-industry-soa-application--97733a"
"aberdeen-group","ibm-aberdeen-wip-deck-2-704ff9"
"aberdeen-group","ibm-major-account-plan-8-cc6400"
"aberdeen-group","ibm-messaging-workshop-report-final-9-ef7fbc"
"aberdeen-group","ibm-scm-murray2-tm-4a0fbf"
"aberdeen-group","ibmfinal1-3-720230"
"aberdeen-group","ibmramp95-9ffc12"
"aberdeen-group","ibmrs6k-05561e"
"aberdeen-group","iha-full-report---draft-jul-28-41de81"
"aberdeen-group","infiniband-and-beyond-computerworld-supp-200261"
"aberdeen-group","informationweek-windows-2000-high-end-am-4ccdae"
"aberdeen-group","informdsa-9f8bcf"
"aberdeen-group","informix-dsa-presentation-2-8d5fa3"
"aberdeen-group","inforx95-3-9a45fe"
"aberdeen-group","intel-centrino-pk-8ecf9a"
"aberdeen-group","intel-consumer-lt-10-5-03-580af7"
"aberdeen-group","intel-dss99-42b2bc"
"aberdeen-group","intel-ia2004-pk4-kc-edits-de9c37"
"aberdeen-group","intel-infiband-wp--edit-psk-5-22f-a2c551"
"aberdeen-group","intel-renewal1017-9-0d4419"
"aberdeen-group","internetnews-will-sars-infect-high-tech--8569ea"
"aberdeen-group","intern~1-45df51"
"aberdeen-group","it-budget-realities-benchmark-1b1313"
"aberdeen-group","it-outsourcing-584848"
"aberdeen-group","itthar-1-4-32f824"
"aberdeen-group","jungle-1-5-675c58"
"aberdeen-group","jungle-6-7af8b7"
"aberdeen-group","kastner-ie-v-andersen-expert-report-3de98a"
"aberdeen-group","kastner-technology-breadth-memoir-2026"
"aberdeen-group","linuxsme99-574d39"
"aberdeen-group","ma-ibm-webify-5e0d4b"
"aberdeen-group","manufacturers-that-don-t-honor-their-reb-24e62e"
"aberdeen-group","maxtor-engagement-letter-nov2003"
"aberdeen-group","maxtor-flash-demo-2003"
"aberdeen-group","maxtor-midline-evaluation-a8d823"
"aberdeen-group","maxtor-ramp-interview-guide-first-draft-c68ebd"
"aberdeen-group","maxtor-survey.v.2-d5b538"
"aberdeen-group","meetings-conventions-virtual-meetings-ps-c1b097"
"aberdeen-group","microsoft-split-will-hit-users-pockets-0-edc1ed"
"aberdeen-group","mid-line-storage-white-paper-06-13-03-3-7a2c62"
"aberdeen-group","midline-storage-white-paper-jun2003"
"aberdeen-group","ncr-att-wsj-massively-parallel-processin-f1f0a8"
"aberdeen-group","ncr-norge-open-oltp-rdbms-seminar-1992-0-7f5414"
"aberdeen-group","ndatemplate-3b4753"
"aberdeen-group","next-steps-soa-2006-0fdea1"
"aberdeen-group","ntscaling-07177f"
"aberdeen-group","nvidia-personal-cinema-lab-report-2002"
"aberdeen-group","oracle-att-ncr-customer-driven-seminar-t-b9f539"
"aberdeen-group","oracle-middleware-fragment-5-d3d774"
"aberdeen-group","oracle-wp-prod-6-a42b4b"
"aberdeen-group","oracleroiwhitepaperprod-7-bcf73f"
"aberdeen-group","pc-refresh-or-refurb-smb-computing-6-37f090"
"aberdeen-group","planningforemergingindustry-6-40decb"
"aberdeen-group","psk-bio2004-939357"
"aberdeen-group","psk-bio97-475934"
"aberdeen-group","psk-litigate98-72601c"
"aberdeen-group","psk-litigation-b452e6"
"aberdeen-group","psk-niopubs-3d103b"
"aberdeen-group","ra-bpm-2006-f5a558"
"aberdeen-group","ra-composite-apps-289c2f"
"aberdeen-group","ra-enterprise-apps-312ba4"
"aberdeen-group","remarks-of-peter-kastner-to-the-massachu-96335b"
"aberdeen-group","sd-memory-cards-to-drive-market-for-digi-71a434"
"aberdeen-group","si-soa-in-it-1bd5c3"
"aberdeen-group","snap-appliance-snapshot-2003"
"aberdeen-group","soa-aon-webinar-31973c"
"aberdeen-group","soa-governance-626545"
"aberdeen-group","soa-in-it-e5b373"
"aberdeen-group","soa-lifecycle-perspective-1ff953"
"aberdeen-group","soa-web-services-2007-c3297b"
"aberdeen-group","software-market-safegu~1-ea7453"
"aberdeen-group","sun-launch-best-practices-report-draft-8-9741fb"
"aberdeen-group","sun-launch-questionnaire-9-a2c35d"
"aberdeen-group","sun-master-contract-10-129daa"
"aberdeen-group","testahur95-330c0c"
"aberdeen-group","the-business-value-in-it-outsourcing-7d5f23"
"aberdeen-group","tpc2-92-c2a45c"
"aberdeen-group","tpcbench92-139998"
"aberdeen-group","translating-early-skills-and-experiences-15bb2d"
"aberdeen-group","trends00-6a553a"
"aberdeen-group","trends99-18726b"
"aberdeen-group","unisys-florida-hrs-expert-witness-tallah-5b4524"
"aberdeen-group","upgrades-boost-database-market-iweek-fol-f19804"
"aberdeen-group","urban-wifi-gridlock-eweek-2003-kastner-r-2e0114"
"aberdeen-group","volume-1-about-the-author"
"aberdeen-group","volume-1-appendix-career-timeline"
"aberdeen-group","volume-1-ch04-prime-computer-1979-1981"
"aberdeen-group","volume-1-ch06-dec-mainframes-last-stand-1987-1988"
"aberdeen-group","volume-1-ch07-founding-aberdeen-1988-1997"
"aberdeen-group","volume-1-ch08-aberdeen-go-go-years-1998-2006"
"aberdeen-group","volume-1-ch09-expert-witness-technology-on-trial-1992-2015"
"aberdeen-group","volume-1-ch10-the-long-view-1966-2026"
"aberdeen-group","volume-1-epilogue-argument-with-reality"
"aberdeen-group","volume-1-introduction-physics-of-the-machine"
"aberdeen-group","vulnerability-assessment-empowering-is-754d9a"
"aberdeen-group","warranty-week-dell-warranty-policies-kas-0c084d"
"aberdeen-group","why-you-need-to-replace-those-windows-98-and-nt-ma-9b9622"
"aberdeen-group","wsj-digital-challenges-ibm-tests-bulkele-e2e227"
"aberdeen-group","wsj-tech-watching-analyst-industry-1998-002531"
"aberdeen-group","y2k-computerworld-aberdeen-psk-irving-19-5bcd20"
"aberdeen-pit-practice","dct-pit-service-offering-2002"
"aberdeen-pit-practice","dct-pitas-agreement-template-2002"
"aberdeen-semi-practice","topic-semiconductor-practice-definition-2002"
"aberdeen-transaction-services","aberdeen-press-advisory-kastner-appointm-efd58c"
"aberdeen-transaction-services","volume-1-ch06-dec-mainframes-last-stand-1987-1988"
"accessdtv","dct-video-market-segmentation-2002"
"accipiter","ecprac~1-a7d0e4"
"active-software","1998-enterprise-application-integration-advanced-techno-71496c"
"actra-corp","aberdeen-1997-actra-commercexpert-internet-commerce"
"acxiom","data-know-69ab04"
"adl-public-safety-group","adl-public-safety-911-cad-systems-1973-1979-b8a001"
"adobe","dct-apple-powermac-g5-2003-06"
"adobe-flash-swf","aberdeenmaxtortooldemo-03-2-5a8f38"
"adobe-inc","dct-adobe-company-snapshot-2002"
"adobe-inc","dct-video-market-segmentation-2002"
"adobe-macromedia","maxtor-flash-demo-2003"
"adoptex-ai","volume-1-appendix-career-timeline"
"adoptex-llc","kastner-technology-breadth-memoir-2026"
"advanced-micro-devices","2002-amd-s-gigahertz-equiva-nexperienced-buyers-accept--6f6050"
"advanced-micro-devices","2006-amd-ati-acquisition-cf19ff"
"advanced-micro-devices","amd-profile01-64e43b"
"aicpa","topic-iia-pc-management-best-practices-2003-10"
"aicpa","volume-1-ch06-dec-mainframes-last-stand-1987-1988"
"airdefense-inc","2002-wireless-lan-security-an-adolescent-market-88de03"
"alex-slawsby-idc","technology-news-boardroom-former-sun-exe-bc336f"
"ali-kamali","dubtech-1996-29d4f9"
"alienware","dct-access-pc-deals-2002-2003"
"alienware","dct-weekly-2002-10-06"
"allegro-networks","svbi-apple-xserve-kastner-2002-05-17-1398db"
"alltel-info-services","top-iseries-isvs-2002-2e8695"
"alteon-networks","networ~1-96462b"
"altos-computer","stratus-sales-support-competitive-news-1-2aac8d"
"altra-energy-technologies","utilities-transformed-it-696ffb"
"amazon","14-formulas-disaster-scenario-c2f0b4"
"amazon","1998-information-technology-in-the-retail-sector-the-in-33dc54"
"amazon","1998-internet-sales-report-4cde3f"
"amazon","intel-pulse-check-ia-continuum-2013-3a693f"
"amd","2004-03-intelitaniummfewp11.doc-618d4a"
"amd","amd-fusion-outlook-newsfactor-garrett-5859d3"
"amd","amd-industry-analyst-visionaries-64bit-2-7a191f"
"amd","bapco-sysmark-2012-benchmark-post-a40084"
"amd","dct-amd-athlon-weekly-prices-2002-03"
"amd","dct-dceit-observations-2002-06"
"amd","dct-memoir-athlon-64-prescience-2003"
"amd","dell-precision-workstations-3-581e89"
