"query","candidate_slug","surfaced_by","max_sim","relevant"
"Which vendors were expected to lose share to open-source software?","netware-4x","incumbent","",""
"Which vendors were expected to lose share to open-source software?","study-tool-vendors-neglect-intranet-computing-97bde3","incumbent","",""
"Which vendors were expected to lose share to open-source software?","linux-server","incumbent","",""
"Which vendors were expected to lose share to open-source software?","quote-128","incumbent","",""
"Which vendors were expected to lose share to open-source software?","quote-173","incumbent","",""
"Which vendors were expected to lose share to open-source software?","red-flag-linux","candidate","",""
"Which vendors were expected to lose share to open-source software?","it-suppliers","candidate","",""
"Which vendors were expected to lose share to open-source software?","code-vendor-weakness","candidate","",""
"Which vendors were expected to lose share to open-source software?","code-vendor-claim","candidate","",""
"Which vendors were expected to lose share to open-source software?","ent-ibm-os2","candidate","",""
"Which vendors were expected to lose share to open-source software?","apache-software-foundation","candidate","",""
"What was the outlook for object-oriented databases?","object-oriented","both","",""
"What was the outlook for object-oriented databases?","tech-o2-003","both","",""
"What was the outlook for object-oriented databases?","t88-08","both","",""
"What was the outlook for object-oriented databases?","object-relational-db","incumbent","",""
"What was the outlook for object-oriented databases?","tech-oodbms","both","",""
"What was the outlook for object-oriented databases?","tech-28","incumbent","",""
"What was the outlook for object-oriented databases?","study-1997-object-databases-such-as-o2-odmg-t-c98c72","candidate","",""
"What was the outlook for object-oriented databases?","tech-o2-001","candidate","",""
"How was Microsoft's entry into enterprise software assessed?","e3-03","incumbent","",""
"How was Microsoft's entry into enterprise software assessed?","ent-msft-001","both","",""
"How was Microsoft's entry into enterprise software assessed?","microsoft","both","",""
"How was Microsoft's entry into enterprise software assessed?","nt-server-enterprise","incumbent","",""
"How was Microsoft's entry into enterprise software assessed?","ent-nov-002","incumbent","",""
"How was Microsoft's entry into enterprise software assessed?","backoffice-suite","both","",""
"How was Microsoft's entry into enterprise software assessed?","study-1997-microsoft-the-joker-of-enterprise-158636","candidate","",""
"How was Microsoft's entry into enterprise software assessed?","microsoft-erp-pre-dynamics","candidate","",""
"How was Microsoft's entry into enterprise software assessed?","microsoft-great-plains","candidate","",""
"What did research say about ERP adoption drivers?","erp-systems","incumbent","",""
"What did research say about ERP adoption drivers?","erp-suite","incumbent","",""
"What did research say about ERP adoption drivers?","erp-software","incumbent","",""
"What did research say about ERP adoption drivers?","study-decision-maker-erp-services-805ce8","incumbent","",""
"What did research say about ERP adoption drivers?","soa-erp-approach","incumbent","",""
"What did research say about ERP adoption drivers?","soa-erp","incumbent","",""
"What did research say about ERP adoption drivers?","study-ee-2005-cio-research-agenda-091505a-4c85cf","candidate","",""
"What did research say about ERP adoption drivers?","study-enterprise-introduction-0fadce","candidate","",""
"What did research say about ERP adoption drivers?","study-enterprise-introduction-wb060305b-fc9e4f","candidate","",""
"What did research say about ERP adoption drivers?","study-enterprise-aligning-for-action-wb060305b-e14454","candidate","",""
"What did research say about ERP adoption drivers?","study-2006-enterprise-integration-researchagenda-d977d6","candidate","",""
"What did research say about ERP adoption drivers?","study-2004-dellsnapshot-953527","candidate","",""
"Which prescient observations concerned the rise of the internet as a business platform?","internet","both","",""
"Which prescient observations concerned the rise of the internet as a business platform?","tech-irp-002","incumbent","",""
"Which prescient observations concerned the rise of the internet as a business platform?","internet-technology","both","",""
"Which prescient observations concerned the rise of the internet as a business platform?","study-1998-internet-sales-report-4cde3f","incumbent","",""
"Which prescient observations concerned the rise of the internet as a business platform?","internet-commerce-platform","incumbent","",""
"Which prescient observations concerned the rise of the internet as a business platform?","study-psk-misc-speech-agendas-5965a3","both","",""
"Which prescient observations concerned the rise of the internet as a business platform?","internet-retail","candidate","",""
"Which prescient observations concerned the rise of the internet as a business platform?","quote-1148","candidate","",""
"Which prescient observations concerned the rise of the internet as a business platform?","web-platform","candidate","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","1990s","incumbent","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","quote-893","incumbent","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","study-1991-apple-c-s-e9ffd7","incumbent","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","quote-14","incumbent","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","quote-867","incumbent","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","machine-learning-statistical","incumbent","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","_prescient","candidate","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","2030s","candidate","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","code-pre-001","candidate","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","code-pre-002","candidate","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","1900s","candidate","",""
"What were the short-horizon prescience verdicts for late-1990s studies?","code-pre-003","candidate","",""
"How did Aberdeen characterize the total cost of ownership debate?","tco-model","both","",""
"How did Aberdeen characterize the total cost of ownership debate?","5-year-tco","both","",""
"How did Aberdeen characterize the total cost of ownership debate?","web-hosting-content-license","incumbent","",""
"How did Aberdeen characterize the total cost of ownership debate?","tco-modeling","both","",""
"How did Aberdeen characterize the total cost of ownership debate?","aberdeen-ttcm","both","",""
"How did Aberdeen characterize the total cost of ownership debate?","aberdeen-pricing-schedule-2000","incumbent","",""
"How did Aberdeen characterize the total cost of ownership debate?","aberdeen-two-day-retainer-17500","candidate","",""
"How did Aberdeen characterize the total cost of ownership debate?","total-cost-of-ownership","candidate","",""
