"rank","study_id","title","date","author","theme","decade","predict_yr","per_study_net_b_usd","theme_net_b_usd","theme_attr_pct","theme_n_studies","prescience_rationale"
"36","dec-primer-comparing-debit-credit-tests--c30cfa","A Primer on Comparing Debit Credit Tests (Kastner, DEC CSG, 1988)","1988-01-01","Peter S. Kastner — DEC Corporate Systems Group, Competitive Marketing Programs","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Kastner's per-vendor critique structure — citing each vendor's specific non-conformance points — directly anticipated TPC-A/TPC-C full-disclosure audit reports. His insistence on apples-to-apples comparison (Style 3 vs. competitors' equivalent setup) prefigures the standardized TPC executive summary"
"37","open-tpc-database-benchmarks-9-058487","Open: TPC Database Benchmarks — Truth and Benchmarks","2005-03-14","Nancy Cohen (Open Magazine)","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Kastner framing held: TPC-E launched 2007, TPC-DS expanded decision-support benchmarks, and TPC remained the gold-standard commercial benchmark organization."
"38","prime-industry-product-5-year-plan-1981-0a3546","Prime Computer — Industry Product Requirements Plan (Five-Year Plan, July 1981, COMPANY CONFIDENTIAL)","1981-07-15","Peter Kastner & Others — Prime Computer Inc., Market Planning and Management Department","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Several major calls verified by subsequent history: (1) the imperative for a $10-30K networked personal computer / 'professional managerial workstation' with integral host access — verified by the Apollo Domain, Sun-1, IBM PC Network and ultimately the workstation/PC LAN era; (2) office automation a"
"39","stratus-corporate-overview-1982-11-a7e367","Stratus Computer Corporate Overview, November 1982","1982-11-01","Stratus Computer, Inc. (corporate marketing — Kastner-era artifact)","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Predicted that 'businesses and institutions of all sizes will put the key functions of their operations on-line via a computer system or network' — pre-Internet, this anticipated the universal connectivity of modern commerce. Forecasted 20-40% growth for terminals, superminis, 32-bit minis in OLTP a"
"40","tandem-tr-85-2-debitcredit-1985-ca207a","A Measure of Transaction Processing Power (Tandem Technical Report 85.2)","1985-02-01","Anon et al (Jim Gray and ~24 TP-industry co-authors; Tandem Computers)","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Predicted that a standard TPS/price-per-tps metric would become essential to system pricing, sales, and purchase — proven correct via TPC council formation (1988) and subsequent universal adoption across DBMS vendors."
"41","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Chapter 5: Stratus Computer — Six Years in the Fault-Tolerant Wars (1981-1987)","2026-05-14","Peter S. Kastner","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Kastner's 1987 ghostwritten report predicted microprocessor-based OLTP price-performance explosion and mainframe displacement — a forecast confirmed by subsequent market history; his telecom pivot insight foreshadowed Stratus's long-term trajectory."
"42","wsj-digital-challenges-ibm-tests-bulkele-e2e227","WSJ — Digital Challenges Tests by IBM Of Firms' Midrange Computers (Bulkeley, 17-Jun-1988)","1988-06-17","William M. Bulkeley — The Wall Street Journal","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Logan's verifiable-benchmark critique (RAMP-C not widely circulated, not audited) directly anticipated the TPC's auditor-disclosure regime adopted in TPC-A August 1989 — barely a year later. The 1% communication-line asymmetry critique anticipated TPC-A/C's mandated standard communications-environme"
"43","14-formulas-disaster-scenario-c2f0b4","Formulas for Disaster Recovery Scenario","2003-01-01","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Predicted parallel recovery always outperforms single-path tape recovery; confirmed by industry adoption of disk-to-disk backup and cloud-based disaster recovery. Minimum recovery time at 1/3 of Old Way proved accurate as disk/disk became standard primary DR mechanism."
"44","15-classification-key-applications-55b6be","Classification of Key Applications by Storage Category","2003-01-01","Aberdeen Group (David Hill)","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Predicted that different workloads require differentiated storage tiers (performance vs. nearline vs. archive); this tiered ILM model became industry standard and is the basis of modern cloud storage classes (hot/warm/cold)."
"45","17-maxtor-tool-decision-components-d9c2fb","ILM/Pools of Storage Tool Decision Components and IP Framework","2003-01-01","Aberdeen Group (Peter Kastner)","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Aberdeen predicted that the HH tool would attract multiple storage component makers (HP, EMC, Intel, etc.) if positioned as neutral COE infrastructure; the COE model for storage management did not materialize as described, but multi-vendor storage analytics frameworks did emerge through cloud and ve"
"46","18-maxtor-strategy-event-template-faeb40","Maxtor ILM Pools of Storage Strategy Event Data Collection Template","2003-01-01","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Predicted that enterprise customers would respond to quantified cost-per-GB and bottom-line-benefit models as the primary ILM adoption driver; this TCO/ROI approach to storage decisions became standard in cloud migration and storage modernization sales by 2010."
"47","19-maxline-data-timeline-slide-6e6572","MaXLine in the Data Center Spectrum: Data Value vs. Duration Positioning Slide","2003-01-01","Maxtor Corporation","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Predicted that a distinct nearline disk tier between high-performance SCSI and tape would capture workloads with data durations of days to months and declining value — this became the ATA nearline and eventually cloud object storage warm tier."
"48","1992-sapiens-and-metadata-0608b6","Sapiens International Corporation Technology Review","1992-02-24","Peter S. Kastner / Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Kastner's 10-year technology life prediction proved correct and then some: Sapiens survived mainframe era, ported to Unix, embraced client-server, evolved to SaaS; reached $542M revenue in 2024 before going private in $2.5B Advent acquisition in Dec 2025."
"49","1997-ibm-information-integration-family--29351c","IBM Information Integration Family","1997-06-04","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Aberdeen accurately predicted: (1) DataPropagator would add further traditional RDBMS scalability technologies (confirmed — evolved into DB2 Replication Services); (2) a Visual Programming Environment for rapid development would be added (partially confirmed via IBM Rational tools); (3) administrati"
"50","11-storage-hierarchy-presentation-e84d53","How Aberdeen Sees the Storage Pyramid Evolving","2002-10-01","David Hill, Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Predicted that ATA cost-effective disk would displace tape for many archival functions; confirmed. Predicted content-based storage tiering would drive enterprise storage decisions; confirmed by ILM movement and cloud tiering. Predicted tape would not die but find its specific niche; tape remains act"
"51","1997-network-storage--obtaining-the-payo-3bdc3d","Network Storage: Obtaining the Payoff for Your Enterprise","1997","David Hill (Aberdeen Group)","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Exceptionally prescient. Every major prediction in this abstract proved accurate: traditional storage architectures did become inadequate; enterprises that failed to adopt network storage did overpay and face management complexity; NAS and SAN became dominant; and the 'storage as a giant network' vi"
"52","1997-oracle-data-mart-suite-for-nt-926845","Oracle Data Mart Suite for NT: Hitting The Mass-Market Sweet Spot","1997-06-04","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","The study's prediction that pre-packaged data marts would dominate over custom-assembled solutions proved correct—modern cloud data warehouses (Snowflake, Redshift, BigQuery) all follow the integrated-suite model Aberdeen endorsed."
"53","2000-linux-multi-client-study-29e6cf","Linux Multi-Client Study","2000-03-01","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","The study implicitly validated Linux's enterprise trajectory — Linux now holds 44.8% of server OS market share (2024), powers 100% of TOP500 supercomputers, and runs 49% of global cloud workloads. Every trend the study documented accelerated dramatically over the following 25 years."
"54","2001-fletcher-spaght-3bb872","Fletcher Spaght Inc. — Growth Strategies for New/Evolving Businesses (Aberdeen Engagement)","2001","Fletcher Spaght Inc.","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","ASP/cloud commerce analysis circa 2001 accurately predicted the dominance of hosted commerce platforms (Shopify etc.); supplier enablement recommendation proved prescient over B2C commerce"
"55","2001-sap-the-once-and-future-king-fe2827","SAP: The Once and Future King","2001-07-01","David Alschuler; Bill Brandel; Chris Fletcher; Tim Minahan","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","SAP did retain ERP hegemony and its component applications (CRM, Portals, SCM) did compete effectively against narrower specialists. SAP S/4HANA is the dominant cloud ERP platform as of 2026, validating the 'lion' metaphor."
"56","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","A Kinder, Gentler Larry Ellison? Oracle Presents New Face to Its User Community","2002-05-01","Katherine Jones","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","The prediction that Oracle would focus on installed-base upgrades as its primary revenue opportunity proved correct; Oracle 11i support extended through 2013+ and the company successfully transitioned to cloud ERP (Oracle Fusion) over the subsequent decade."
"57","2002-beyond-windows-8-way-servers-why-businesses-are-de-6828b2","Beyond Windows 8-Way Servers: Why Businesses Are Deploying the Unisys ES7000","2002-07-01","Peter Kastner","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","The re-centralization thesis proved highly accurate: x86 server consolidation accelerated through the 2000s and culminated in cloud computing; Unisys ES7000 remained a viable platform through the decade and Unisys continues as an active enterprise IT company."
"58","2002-microsoft-business-solutions-the-new-wave-at-stamp-532ae4","Microsoft Business Solutions - The New Wave at Stampede","2002-10-01","Katherine Jones","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Microsoft's surround strategy proved prescient: MBS evolved into Microsoft Dynamics, became a dominant SME ERP player, and the stack ownership challenge was largely resolved by cloud migration to Dynamics 365 by 2016."
"59","1998-communicating-business-intelligence-through-comput-0290b1","Communicating Business Intelligence Through Computer-Telephony Integration","1998-01-01","Bill Hills","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Aberdeen predicted CTI would redefine on-premise telephony and challenge the PBX market — precisely what occurred as VoIP and packet-switched telephony disrupted the traditional PBX from 2000 onwards. The prediction about internet-based CTI platforms proved correct with Cisco CUCM and cloud contact "
"60","1999-managing-customers-with-next-generation-software-a-a5adc4","Managing Customers with Next-Generation Software Applications: 1999 Edition","1999-09-01","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Key predictions proved accurate: Siebel's dominance peaked before Oracle acquisition in 2005; the CRM-e-business convergence materialized fully; mid-market CRM exploded (Salesforce); the ASP/SaaS model became the dominant delivery paradigm."
"61","2000-enterprise-application-integration1-9e1eca","Enterprise Application Integration: Evolving to Meet e-Business Demands","2000-02-01","Tom Dwyer","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Aberdeen correctly identified EAI-eBI convergence as the defining industry dynamic; EAI vendors did consolidate (TIBCO, IBM MQ, WebMethods acquired by Software AG, Vitria acquired by SAP-adjacent); cloud integration (MuleSoft, Boomi, Zapier) fulfilled the eBI vision."
"62","2003-dell-ars-white-paper-53d13d","Dell Asset Recovery Services: An Effective Solution to a Very Real Problem","2003-07-01","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Accurately predicted the rise of e-waste regulation, the consolidation of recycling channels favoring large-scale operators, and the integration of disposal costs into TCO models; the paper's warning about retroactive environmental liability proved particularly prescient"
"63","2003-storage-trends-what-will-be-hot-in-2003-and-beyond-cd0aeb","Storage Trends: What Will Be Hot in 2003 — And Beyond","2002-12-31","David Hill","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Hill's predictions were remarkably prescient: storage automation became central to enterprise IT, SAN and NAS both persisted and converged, iSCSI emerged as a cost-effective SAN alternative, the 'IT utility' model materialized as cloud storage (AWS S3 launched 2006), and tape automation remained rel"
"64","2010-intel-ia-continuum-wp-1-2-fc5653","Intel's IA Continuum Strategy Anticipates a Much Broader Computing Market","2010","Peter S. Kastner","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Correctly identified cloud computing, mobile explosion, SSD adoption, and virtualization as dominant 2010s trends; WiFi investment story proven accurate; ARM competition underestimated."
"65","aberdeen-1996-3com-reconciling-clientserver-development-internet","Reconciling Client/Server Development and the Internet","1996-11-01","Aberdeen Group","Cloud Computing & SaaS","2010s","1998","47.36","3078.5","0.400","65","Aberdeen's core prediction that Web-enabled client/server tools would prevail over dual-tool strategies and Java proved remarkably prescient. The Java limitation prediction proved accurate for the late 1990s. The argument that EDI would move to Internet over 5 years was confirmed. The prediction tha"
