"2026-kastner-top-100-economic-calls-2a98a7-OBS-014","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2001","Rank #5: Integrating HP and Compaq: Success Must Stem from the PC Business","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 5","Source study_id: dct-hp-compaq-pcs-insight-2001-09; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-015","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2002","Rank #6: DCT Segment Priorities Matrix (Home / Work / Mobile)","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 6","Source study_id: dct-segment-priorities-matrix-2003; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-016","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2002","Rank #7: Personal Electronic Technology Vision — Sony Client Presentation","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 7","Source study_id: dct-sony-personal-electronic-vision-2002; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-017","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2002","Rank #8: Digital Consumer Technology: The Revolution Has Started — Aberdeen Webinar","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 8","Source study_id: dct-webinar-announcement-2002-11; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-018","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2002","Rank #9: Whatever Happened to Interactive TV?","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 9","Source study_id: ect-news-whatever-happened-interactive-t-7446fd; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-019","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2004","Rank #10: Apple's Enterprise IT Battle Plan, Part Two","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 10","Source study_id: mac-news-enterprise-systems-apple-s-ente-59fab0; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-020","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2009","Rank #11: The Digital Wallet: Mobile Banking May Render Credit Cards and Cash Obsolete","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 11","Source study_id: mobile-banking-may-render-cash-obsolete--e4b699; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-021","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2003","Rank #12: SD cards overtake Memory Stick","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 12","Source study_id: sd-cards-overtake-memory-stick-12-may-20-81d89c; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-022","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2002","Rank #13: Alternate Consumer Electronics Channels and Suppliers Emerge, Threatening Incumbents","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 13","Source study_id: 2002-alternate-consumer-electronics-channels-ppliers-em-b9052b; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-023","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2004","Rank #14: Win the Rebate Runaround","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 14","Source study_id: cuna-win-rebate-runaround-2004-9da530; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-024","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2002","Rank #15: Digital Consumer Technology: The Revolution Has Started — Aberdeen DCT Webinar Deck","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 15","Source study_id: dct-webinar-nov-2002; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-025","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2006","Rank #16: The Great Rebate Debate","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 16","Source study_id: great-rebate-debate-smartmoney-grant-80650c; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-026","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2005","Rank #17: The Great Rebate Runaround","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 17","Source study_id: great-rebate-runaround-businessweek-grow-00f459; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-027","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #18: Consumer Adoption of Memory Cards: A Qualitative Study","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 18","Source study_id: iha-full-report---draft-jul-28-41de81; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-028","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #19: SD Memory Cards to Drive Market for Digital Content","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 19","Source study_id: palm-boulevard-news-sd-memory-cards-to-d-aca4c9; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-029","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #20: The (rebate) check is in the mail – or is it?","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 20","Source study_id: rebate-check-recordonline-van-vlack-d7d600; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-030","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #21: Respiratory Illness Could Restrict I.T. Supply Lines","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 21","Source study_id: respiratory-illness-could-restrict-i.t.--c3c523; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-031","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #22: Restructure plans weigh on Gateway","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 22","Source study_id: restructure-plans-weigh-on-gateway-marke-c5656c; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-032","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #23: High Tech Monday Update: SARS and the Tech Stock Rally","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 23","Source study_id: sars-high-tech-monday-update-monday-apri-ac0cb5; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-033","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #24: SARS Puts an End to Business as Usual in Asia","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 24","Source study_id: sars-puts-an-end-to-business-as-usual-in-6b0471; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-034","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #25: SARS wirft Schatten über elektronische Beschaffungskette","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 25","Source study_id: sars-wirft-schatten-uber-elektronische-b-bf33b6; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-035","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","viability-prediction","2003","Rank #26: SD Memory Cards to Drive Market for Digital Content","$108.59 billion (per-study allocation)","high","ranked-allocation","§5 row 26","Source study_id: sd-memory-cards-to-drive-market-for-digi-71a434; theme: Digital Consumer Technology / Globalized Supply Chain"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-036","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1996","Rank #27: Emerging Technologies: Assessing Strategic Benefits","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 27","Source study_id: 1996-sequent-38f0b1; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-037","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1997","Rank #28: IBM Ships First 64-bit RS/6000 Server","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 28","Source study_id: 1997-ibm-ships-first-64-bit-rs-6000-serv-961e2c; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-038","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1996","Rank #29: The Mainframe Revival: Short Lived or Long Term?","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 29","Source study_id: aberdeen-1996-mainframe-revival-short-lived-or-long-term; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-039","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1992","Rank #30: Aberdeen Group — DOPS and TPC-A/TPC-B benchmark results (1992 deck)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 30","Source study_id: aberdeen-dops-tpc-1992-deck-bbe78e; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-040","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1988","Rank #31: Aberdeen Group Press Advisory and News Release: Aberdeen Group Picks Industry Veteran Peter S. Kastner to Head New Trans","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 31","Source study_id: aberdeen-press-advisory-kastner-appointm-efd58c; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-041","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1987","Rank #32: Computerworld: Stratus Readies XA2000 Series to Take on Tandem High-End — Pete Kastner on Floating-Point + Yankee Group'","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 32","Source study_id: computerworld-stratus-xa2000-launch-1987-d9d143; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-042","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","2004","Rank #33: Waiting for ILM?","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 33","Source study_id: computerworld-ilm-waiting-2004; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-043","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1991","Rank #34: Digital Technical Journal — Transaction Processing, Databases, and Fault-tolerant Systems (Volume 3, Number 1, Winter 19","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 34","Source study_id: dtj-v03-01-tp-and-fault-tolerant-1991-cf078c; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-044","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1987","Rank #35: DEC Proposed Debit-Credit Benchmark Guidelines (Kohler/Hsu, Dec 1987)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 35","Source study_id: dec-debit-credit-guidelines-kohler-hsu-1-e228b4; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-045","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1988","Rank #36: A Primer on Comparing Debit Credit Tests (Kastner, DEC CSG, 1988)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 36","Source study_id: dec-primer-comparing-debit-credit-tests--c30cfa; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-046","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","2005","Rank #37: Open: TPC Database Benchmarks — Truth and Benchmarks","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 37","Source study_id: open-tpc-database-benchmarks-9-058487; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-047","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1981","Rank #38: Prime Computer — Industry Product Requirements Plan (Five-Year Plan, July 1981, COMPANY CONFIDENTIAL)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 38","Source study_id: prime-industry-product-5-year-plan-1981-0a3546; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-048","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1982","Rank #39: Stratus Computer Corporate Overview, November 1982","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 39","Source study_id: stratus-corporate-overview-1982-11-a7e367; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-049","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1985","Rank #40: A Measure of Transaction Processing Power (Tandem Technical Report 85.2)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 40","Source study_id: tandem-tr-85-2-debitcredit-1985-ca207a; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-050","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","2026","Rank #41: Chapter 5: Stratus Computer — Six Years in the Fault-Tolerant Wars (1981-1987)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 41","Source study_id: volume-1-ch05-stratus-fault-tolerant-wars-1981-1987; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-051","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","viability-prediction","1988","Rank #42: WSJ — Digital Challenges Tests by IBM Of Firms' Midrange Computers (Bulkeley, 17-Jun-1988)","$57.79 billion (per-study allocation)","high","ranked-allocation","§5 row 42","Source study_id: wsj-digital-challenges-ibm-tests-bulkele-e2e227; theme: OLTP / TPC-Benchmarked Transaction Processing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-052","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2003","Rank #43: Formulas for Disaster Recovery Scenario","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 43","Source study_id: 14-formulas-disaster-scenario-c2f0b4; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-053","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2003","Rank #44: Classification of Key Applications by Storage Category","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 44","Source study_id: 15-classification-key-applications-55b6be; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-054","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2003","Rank #45: ILM/Pools of Storage Tool Decision Components and IP Framework","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 45","Source study_id: 17-maxtor-tool-decision-components-d9c2fb; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-055","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2003","Rank #46: Maxtor ILM Pools of Storage Strategy Event Data Collection Template","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 46","Source study_id: 18-maxtor-strategy-event-template-faeb40; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-056","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2003","Rank #47: MaXLine in the Data Center Spectrum: Data Value vs. Duration Positioning Slide","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 47","Source study_id: 19-maxline-data-timeline-slide-6e6572; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-057","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1992","Rank #48: Sapiens International Corporation Technology Review","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 48","Source study_id: 1992-sapiens-and-metadata-0608b6; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-058","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1997","Rank #49: IBM Information Integration Family","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 49","Source study_id: 1997-ibm-information-integration-family--29351c; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-059","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2002","Rank #50: How Aberdeen Sees the Storage Pyramid Evolving","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 50","Source study_id: 11-storage-hierarchy-presentation-e84d53; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-060","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1997","Rank #51: Network Storage: Obtaining the Payoff for Your Enterprise","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 51","Source study_id: 1997-network-storage--obtaining-the-payo-3bdc3d; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-061","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1997","Rank #52: Oracle Data Mart Suite for NT: Hitting The Mass-Market Sweet Spot","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 52","Source study_id: 1997-oracle-data-mart-suite-for-nt-926845; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-062","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2000","Rank #53: Linux Multi-Client Study","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 53","Source study_id: 2000-linux-multi-client-study-29e6cf; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-063","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2001","Rank #54: Fletcher Spaght Inc. — Growth Strategies for New/Evolving Businesses (Aberdeen Engagement)","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 54","Source study_id: 2001-fletcher-spaght-3bb872; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-064","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2001","Rank #55: SAP: The Once and Future King","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 55","Source study_id: 2001-sap-the-once-and-future-king-fe2827; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-065","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2002","Rank #56: A Kinder, Gentler Larry Ellison? Oracle Presents New Face to Its User Community","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 56","Source study_id: 2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-066","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2002","Rank #57: Beyond Windows 8-Way Servers: Why Businesses Are Deploying the Unisys ES7000","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 57","Source study_id: 2002-beyond-windows-8-way-servers-why-businesses-are-de-6828b2; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-067","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2002","Rank #58: Microsoft Business Solutions - The New Wave at Stampede","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 58","Source study_id: 2002-microsoft-business-solutions-the-new-wave-at-stamp-532ae4; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-068","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1998","Rank #59: Communicating Business Intelligence Through Computer-Telephony Integration","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 59","Source study_id: 1998-communicating-business-intelligence-through-comput-0290b1; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-069","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1999","Rank #60: Managing Customers with Next-Generation Software Applications: 1999 Edition","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 60","Source study_id: 1999-managing-customers-with-next-generation-software-a-a5adc4; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-070","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2000","Rank #61: Enterprise Application Integration: Evolving to Meet e-Business Demands","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 61","Source study_id: 2000-enterprise-application-integration1-9e1eca; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-071","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2003","Rank #62: Dell Asset Recovery Services: An Effective Solution to a Very Real Problem","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 62","Source study_id: 2003-dell-ars-white-paper-53d13d; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-072","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2002","Rank #63: Storage Trends: What Will Be Hot in 2003 — And Beyond","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 63","Source study_id: 2003-storage-trends-what-will-be-hot-in-2003-and-beyond-cd0aeb; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-073","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","2010","Rank #64: Intel's IA Continuum Strategy Anticipates a Much Broader Computing Market","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 64","Source study_id: 2010-intel-ia-continuum-wp-1-2-fc5653; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-074","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1996","Rank #65: Reconciling Client/Server Development and the Internet","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 65","Source study_id: aberdeen-1996-3com-reconciling-clientserver-development-internet; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-075","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1996","Rank #66: IBM: The Transformation From Business Machines To Information-Service Solutions","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 66","Source study_id: aberdeen-1996-ibm-transformation-business-machines-information-service; theme: Cloud Computing & SaaS"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-076","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","viability-prediction","1996","Rank #67: Tandem's Vision, Architecture, and First Products For 21st Century Electronic Business","$47.36 billion (per-study allocation)","high","ranked-allocation","§5 row 67","Source study_id: aberdeen-1996-tandem-vision-21st-century-electronic-business; theme: Cloud Computing & SaaS"
