"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"java","Java","programming-language-platform","Sun Microsystems","1.0 (initial release 1995)","active","active","aberdeen-1995-oracle-interoffice","Java released publicly in 1995; remains one of the most widely used programming languages and platforms globally as of 2026 (Java SE 21 LTS current). The study anticipates Oracle integrating InterOffice with Java for distributed object access. | Successor: Java SE 21 / Jakarta EE"
"tech-015","World Wide Web / Web Browser","internet-platform","Various (NCSA / Netscape)","Netscape Navigator 2.0 era","active","active","aberdeen-1995-oracle-interoffice","Web browsers became the universal client interface; browser technology evolved dramatically and is now the dominant computing platform as of 2026. | Successor: Chrome, Firefox, Safari, Edge"
"tech-016","SMTP (Simple Mail Transfer Protocol)","email-protocol","IETF","RFC 821 (1982)","active","active","aberdeen-1995-oracle-interoffice","SMTP remains the foundational Internet email transport protocol as of 2026. The study references SMTP gateways as an early but inadequate Internet integration approach. | Successor: SMTP (RFC 5321, 2008)"
"tech-017","Internet Firewall","network-security","Various","early implementations","active","evolved","aberdeen-1995-oracle-interoffice","Internet firewalls were nascent in 1995; technology evolved into stateful inspection, next-generation firewalls (NGFW), and cloud-based security services as of 2026. | Successor: NGFW, Cloud Security (Palo Alto, Zscaler)"
"windows-nt","Windows NT","operating-system","Microsoft Corporation","Windows NT 3.51","active","obsolete","aberdeen-1995-oracle-interoffice","Windows NT 3.51 mentioned as a supported server and client platform for Oracle InterOffice. NT kernel architecture evolved into Windows 2000, XP, and all modern Windows versions; NT 3.51 itself obsolete. | Successor: Windows Server 2025"
"windows-95","Windows 95","operating-system","Microsoft Corporation","Windows 95","active","obsolete","aberdeen-1995-oracle-interoffice","Oracle InterOffice client supported Windows 95; Windows 95 reached end of mainstream support in 2001 and extended support in 2002. | Successor: Windows 11"
"windows-3-1","Windows 3.1","operating-system","Microsoft Corporation","3.1","active","obsolete","aberdeen-1995-oracle-interoffice","Oracle InterOffice client supported Windows 3.1; end of mainstream support December 2001. | Successor: Windows 11"
"motif-x-window-gui","Motif (X Window GUI)","gui-toolkit","Open Software Foundation","Motif 1.2","active","obsolete","aberdeen-1995-oracle-interoffice","Motif X Window GUI client supported by Oracle InterOffice for Unix workstation users; largely obsolete, superseded by modern GUI toolkits. | Successor: GTK, Qt"
"macintosh-os","Macintosh OS","operating-system","Apple Computer","System 7 / Mac OS 7","active","evolved","aberdeen-1995-oracle-interoffice","Oracle InterOffice Macintosh client supported; Classic Mac OS superseded by Mac OS X (now macOS) in 2001; macOS Sequoia current as of 2026. | Successor: macOS Sequoia"
"supply-chain-management-software","ASCII Terminal Access","terminal-interface","Various","VT100/VT220 era","active","obsolete","aberdeen-1995-oracle-interoffice","Oracle InterOffice supported ASCII terminal access as a minimal-capability client. ASCII terminal use in mainstream IT obsolete; replaced by web and GUI clients. | Successor: Web browsers"
"tech-024","Personal Digital Assistants (PDAs)","mobile-device","Various (Palm, HP, Casio)","early PDA era","active","evolved","aberdeen-1995-oracle-interoffice","Oracle was working with manufacturers on PDA clients for InterOffice; PDA devices evolved into smartphones and tablets as of 2026. | Successor: iOS, Android smartphones and tablets"
"tech-025","HP-9000 (PA-RISC)","server-platform","Hewlett-Packard","HP-UX 9.x/10.x","active","obsolete","aberdeen-1995-oracle-interoffice","HP-9000 PA-RISC server family cited as Oracle InterOffice supported platform. HP-9000/PA-RISC servers reached end of life; HP transitioned enterprise servers to Itanium (Integrity) and then x86. | Successor: HPE ProLiant (x86)"
"tech-026","Sun SPARC / Solaris","server-platform","Sun Microsystems","Solaris 2.4/2.5","active","active-niche","aberdeen-1995-oracle-interoffice","Sun SPARC cited as Oracle InterOffice supported platform. Oracle acquired Sun (2010); Oracle continues SPARC/Solaris development but at reduced investment; Oracle SPARC servers still sold in niche contexts. | Successor: Oracle SPARC M8 / Oracle Solaris 11"
"tech-027","IBM RS/6000 (AIX)","server-platform","IBM Corporation","AIX 4.x","active","active-niche","aberdeen-1995-oracle-interoffice","IBM RS/6000 with AIX cited as Oracle InterOffice supported platform. RS/6000 evolved into IBM Power Systems; AIX remains actively supported for IBM Power as of 2026. | Successor: IBM Power10 / AIX 7.3"
"microsoft-exchange","Microsoft Exchange","messaging-groupware","Microsoft Corporation","Exchange 4.0 (1996, pre-release in late 1995)","active","active","aberdeen-1995-oracle-interoffice","Microsoft Exchange cited as a groupware competitor. Exchange Server remains actively developed and widely deployed as Exchange Server 2019 and Exchange Online (Microsoft 365) as of 2026. | Successor: Microsoft Exchange Online / Microsoft 365"
"lotus-notes","Lotus Notes","groupware-messaging","Lotus Development Corporation","3.x / 4.0","active","evolved","aberdeen-1995-oracle-interoffice","Lotus Notes cited as primary groupware competitor. Acquired by IBM (1995); evolved through IBM Lotus Notes to HCL Notes (2019). HCL Notes still actively used in enterprises as of 2026. | Successor: HCL Notes / HCL Domino"
"sql-structured-query-language","SQL (Structured Query Language)","database-language","ANSI/ISO standard","SQL-92","active","active","aberdeen-1995-oracle-interoffice","SQL remains the standard language for relational databases as of 2026 (SQL:2023 current). The study highlights SQL access to Oracle InterOffice data as a key architectural differentiator. | Successor: SQL:2023"
"tech-031","End-to-End Encryption","network-security","Various","early implementations (DES, RSA)","active","active","aberdeen-1995-oracle-interoffice","End-to-end encryption referenced as a method for securing high-value Internet transactions; the concept is now a foundational security requirement across all communications platforms as of 2026. | Successor: TLS 1.3, Signal Protocol, PGP"
