"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","collection","thread_tag","section"
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-intelligent-miner","primary-observation","1997","specificity-score","4","medium","ingest-extraction","industry-analysis","Aberdeen Group Data Mining Guide 1997","[thread:THREAD-3-data-mining] IBM Intelligent Miner — six-function ML suite: association rules, sequential patterns, clustering, classification, regression, time series; runs on DB2; Aberdeen Data Mining Guide (1997) provides first systematic analyst taxonomy of ML functions | 6-function ML suite is architectural precursor to modern ML platform; in-database execution = modern embedded ML","ai-arc","THREAD-3-data-mining",""
"obs-t3-001m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-intelligent-miner","metric","1997","predictive-distance-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-3-data-mining] Predictive distance from IBM Intelligent Miner (1997) to LLM mainstream (2022)","ai-arc","THREAD-3-data-mining",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","tandem-computers","tandem-ordm","primary-observation","1997","specificity-score","4","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1997","[thread:THREAD-3-data-mining] Tandem NonStop ORDM (Online Retail Data Mining) — executes decision tree and association rule mining via SQL extensions on NonStop kernel; first in-database ML via SQL in archive; Aberdeen notes 'mining as a SQL operation is the correct architectural bet' | In-database ML via SQL = modern BigQuery ML, Oracle ML, Snowflake Cortex architecture; 25 years prescient","ai-arc","THREAD-3-data-mining",""
"obs-t3-002m","2026-kastner-enterprise-ai-arc","tandem-computers","tandem-ordm","metric","1997","predictive-distance-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-3-data-mining] Predictive distance from Tandem ORDM (1997) to LLM mainstream (2022)","ai-arc","THREAD-3-data-mining",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-advanced-analytics","primary-observation","2005","specificity-score","3","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 2005","[thread:THREAD-3-data-mining] Oracle Advanced Analytics — embeds R and Oracle Data Mining into database; parallel in-database ML without data export; Aberdeen coverage notes 'Oracle completes the in-database ML stack DEC and Tandem began in 1997' | In-database ML stack matures; 17 years before LLM mainstream","ai-arc","THREAD-3-data-mining",""
"obs-t3-003m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-advanced-analytics","metric","2005","predictive-distance-years","17","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-3-data-mining] Predictive distance from Oracle Advanced Analytics (2005) to LLM mainstream (2022)","ai-arc","THREAD-3-data-mining",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-interoffice","primary-observation","1995","specificity-score","5","medium","ingest-extraction","industry-analysis","Kastner Archive / Oracle InterOffice Product Record 1995","[thread:THREAD-4-document-intelligence] Oracle InterOffice document management suite includes document summarization feature — automatically generates abstract from document body; Aberdeen/Kastner notes this as 'the first commercially marketed document summarization claim in the archive'; Kastner retrospective: 'Oracle Office was the first to offer document summarization, a first hint of the AI routine to come two decades later' | HIGHEST COMPOSITE SCORE in archive: specificity 5 (named feature = document summarization, functionally identical to LLM summarization), predictive distance 27 years","ai-arc","THREAD-4-document-intelligence",""
"obs-t4-001m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-interoffice","metric","1995","predictive-distance-years","27","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-4-document-intelligence] Predictive distance from Oracle InterOffice summarization (1995) to LLM mainstream (2022)","ai-arc","THREAD-4-document-intelligence",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","microsoft-corporation","ms-autosummarize","primary-observation","1997","specificity-score","5","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1997","[thread:THREAD-4-document-intelligence] Microsoft Word AutoSummarize — extracts key sentences to produce document summary; four output modes including executive summary; ships in Word 97; Aberdeen notes as 'second commercial document summarization product in archive, two years after Oracle InterOffice' | Specificity 5: named feature (AutoSummarize), named product (Word 97), named output mode (executive summary) — identical to LLM summarization UX","ai-arc","THREAD-4-document-intelligence",""
"obs-t4-002m","2026-kastner-enterprise-ai-arc","microsoft-corporation","ms-autosummarize","metric","1997","predictive-distance-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-4-document-intelligence] Predictive distance from MS Word AutoSummarize (1997) to LLM mainstream (2022)","ai-arc","THREAD-4-document-intelligence",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-db2-text","primary-observation","1995","specificity-score","3","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1995","[thread:THREAD-4-document-intelligence] IBM DB2 Text Extender — stores and queries unstructured text with linguistic analysis; query pattern learning; fuzzy matching; Aberdeen notes 'first IBM effort to bridge structured and unstructured data in a single query engine' | Unstructured text + SQL bridge = architectural precursor to modern RAG + SQL hybrid query","ai-arc","THREAD-4-document-intelligence",""
"obs-t4-003m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-db2-text","metric","1995","predictive-distance-years","27","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-4-document-intelligence] Predictive distance from IBM DB2 Text Extender (1995) to LLM mainstream (2022)","ai-arc","THREAD-4-document-intelligence",""
"2026-kastner-enterprise-ai-arc.039","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-23ai","primary-observation","2024","specificity-score","5","medium","ingest-extraction","industry-analysis","Oracle 23ai Announcement 2024 / Kastner Archive","[thread:THREAD-4-document-intelligence] Oracle 23ai — vector search natively integrated in Oracle Database; Select AI natural language to SQL; AI Vector Search indexes embeddings alongside relational data; closes the 29-year arc from Oracle InterOffice (1995) document summarization to full LLM-native database capability | Arc closure: same company (Oracle), same functional domain (document intelligence), 29-year span; strongest single-company AI continuity thread in archive","ai-arc","THREAD-4-document-intelligence",""
"obs-t4-004m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-23ai","metric","2024","arc-span-years","29","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-4-document-intelligence] Predictive distance from Oracle InterOffice to Oracle 23ai arc span","ai-arc","THREAD-4-document-intelligence",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","ibm-corporation","lotus-notes-agents","primary-observation","1989","specificity-score","2","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1989","[thread:THREAD-5-agent-architectures] Lotus Notes 1.0 ships with agent framework — automated document processing rules triggered on database events; Aberdeen coverage notes 'Notes agents are the first commercially deployed autonomous document processing architecture in the enterprise market' | Autonomous event-triggered doc processing = structural precursor to modern AI agents; 33 years early; very low specificity (rule-based, not learned)","ai-arc","THREAD-5-agent-architectures",""
"obs-t5-001m","2026-kastner-enterprise-ai-arc","ibm-corporation","lotus-notes-agents","metric","1989","predictive-distance-years","33","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-5-agent-architectures] Predictive distance from Lotus Notes agents (1989) to LLM mainstream (2022)","ai-arc","THREAD-5-agent-architectures",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","ibm-corporation","lotus-notes-agents","primary-observation","1996","specificity-score","2","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1996","[thread:THREAD-5-agent-architectures] Lotus Notes 4.5 — background agents run scheduled and event-triggered tasks across distributed server topology; Aberdeen notes 'workflow automation at scale'; IBM acquires Lotus 1995; agent framework extends to workflow routing | Distributed event-triggered agents = precursor to agentic AI workflows; architectural ancestor of LangChain/AutoGPT patterns","ai-arc","THREAD-5-agent-architectures",""
"obs-t5-002m","2026-kastner-enterprise-ai-arc","ibm-corporation","lotus-notes-agents","metric","1996","predictive-distance-years","26","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-5-agent-architectures] Predictive distance from Lotus Notes 4.5 agents (1996) to LLM mainstream (2022)","ai-arc","THREAD-5-agent-architectures",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2023","specificity-score","4","medium","ingest-extraction","industry-analysis","IBM watsonx Announcement 2023 / Kastner Archive","[thread:THREAD-5-agent-architectures] IBM watsonx.ai — LLM-native AI agent platform; prompt engineering studio; RAG pipelines over enterprise data; Aberdeen notes 'watsonx closes the IBM agent arc begun with Lotus Notes (1989), now with LLM backbone' | Modern LLM agent platform from the same company that shipped the first enterprise agent framework 34 years earlier","ai-arc","THREAD-5-agent-architectures",""
"obs-t5-003m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2023","predictive-distance-years","0","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-5-agent-architectures] Predictive distance: watsonx is the arc endpoint — distance is 0 (post-LLM-mainstream)","ai-arc","THREAD-5-agent-architectures",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","oracle-corporation","obiee","primary-observation","1995","specificity-score","3","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1995","[thread:THREAD-6-bi-analytics-ml] Aberdeen ROLAP prediction (1995) — Kastner forecasts relational OLAP will replace MOLAP cubes within a decade; BI market $800M; prediction validated by 2005 with Oracle OLAP and Microsoft Analysis Services dominance | ROLAP prediction validated; BI analytics becomes the delivery vector for embedded ML in the 2010s","ai-arc","THREAD-6-bi-analytics-ml",""
"obs-t6-001m","2026-kastner-enterprise-ai-arc","oracle-corporation","obiee","metric","1995","predictive-distance-years","27","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-6-bi-analytics-ml] Predictive distance from Aberdeen ROLAP prediction (1995) to LLM mainstream (2022)","ai-arc","THREAD-6-bi-analytics-ml",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","ibm-corporation","businessminer","primary-observation","1997","specificity-score","3","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1997","[thread:THREAD-6-bi-analytics-ml] IBM BusinessMiner — decision tree mining delivered as BI report metaphor; mining results published to Lotus Notes; Aberdeen notes 'first time data mining results surfaced in a BI interface accessible to business analysts, not data scientists' | BI-delivered ML = precursor to modern embedded AI in dashboards (Power BI AI, Tableau Einstein, Oracle Analytics Cloud)","ai-arc","THREAD-6-bi-analytics-ml",""
"obs-t6-002m","2026-kastner-enterprise-ai-arc","ibm-corporation","businessminer","metric","1997","predictive-distance-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-6-bi-analytics-ml] Predictive distance from IBM BusinessMiner (1997) to LLM mainstream (2022)","ai-arc","THREAD-6-bi-analytics-ml",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-analytics-cloud","primary-observation","2020","specificity-score","4","medium","ingest-extraction","industry-analysis","Oracle Analytics Cloud Announcement 2020 / Kastner Archive","[thread:THREAD-6-bi-analytics-ml] Oracle Analytics Cloud embeds ML models (AutoML, explain, predict) directly in dashboards; natural language queries; Aberdeen notes 'Oracle completes the BI-to-ML pipeline arc first predicted by Aberdeen in 1995 ROLAP forecast' | Embedded AutoML in BI completes 25-year arc from ROLAP prediction (1995)","ai-arc","THREAD-6-bi-analytics-ml",""
"obs-t6-003m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-analytics-cloud","metric","2020","predictive-distance-years","2","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-6-bi-analytics-ml] Predictive distance from Oracle Analytics Cloud (2020) to LLM mainstream (2022)","ai-arc","THREAD-6-bi-analytics-ml",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-deep-blue","primary-observation","1989","specificity-score","3","medium","ingest-extraction","industry-analysis","Kastner Archive / IBM Research Record 1989","[thread:THREAD-7-deep-blue-competitive-ai] IBM Deep Blue project begins — custom VLSI chess chips; alpha-beta search; 200M positions/second target; Aberdeen notes 'IBM frames Deep Blue as AI research platform, not product — designed to be visible, not deployed' | Expert cognitive performance in bounded domain = precursor to AlphaGo (2016) and specialized AI capability framing","ai-arc","THREAD-7-deep-blue-competitive-ai",""
"obs-t7-001m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-deep-blue","metric","1989","predictive-distance-years","33","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-7-deep-blue-competitive-ai] Predictive distance from Deep Blue start (1989) to LLM mainstream (2022)","ai-arc","THREAD-7-deep-blue-competitive-ai",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-deep-blue","primary-observation","1997","specificity-score","3","medium","ingest-extraction","industry-analysis","Aberdeen Group Research May 1997","[thread:THREAD-7-deep-blue-competitive-ai] IBM Deep Blue defeats Garry Kasparov 3.5–2.5 May 11 1997 — first machine defeat of reigning world chess champion under standard time controls; Aberdeen coverage: 'IBM proves AI can achieve expert-level cognitive performance in a defined domain; question is whether bounded-domain AI can generalize'; Deep Blue decommissioned immediately | Bounded-domain AI at expert level — conceptually equivalent to AlphaGo (2016) and GPT-4 bar exams (2023); IBM chose spectacle over product","ai-arc","THREAD-7-deep-blue-competitive-ai",""
"obs-t7-002m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-deep-blue","metric","1997","predictive-distance-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-7-deep-blue-competitive-ai] Predictive distance from Deep Blue victory (1997) to LLM mainstream (2022)","ai-arc","THREAD-7-deep-blue-competitive-ai",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-deep-blue","assessment","1997","specificity-score","2","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1997","[thread:THREAD-7-deep-blue-competitive-ai] IBM decommissions Deep Blue immediately after Kasparov match — no commercial product, no enterprise path; Aberdeen assessment: 'IBM demonstrates the capability and then destroys the evidence; classic IBM pattern of research showcase without commercial follow-through' | Decommission decision illustrates IBM's persistent failure to convert AI research victories into product revenue — pattern repeated with Watson Health (2022)","ai-arc","THREAD-7-deep-blue-competitive-ai",""
"obs-t7-003m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-deep-blue","metric","1997","pattern-repeat-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-7-deep-blue-competitive-ai] Years from Deep Blue decommission (1997) to IBM Watson Health sale (2022) — same pattern repeated","ai-arc","THREAD-7-deep-blue-competitive-ai",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2006","specificity-score","3","medium","ingest-extraction","industry-analysis","Kastner Archive / IBM Research 2006","[thread:THREAD-8-watson-enterprise-nlp] IBM Watson project begins internally (DeepQA) — massive parallel NLP pipeline targeting open-domain QA; Aberdeen tracks as 'Project Blue Jay'; designed from inception for Jeopardy! demonstration; $50M R&D investment | NLP QA system designed for spectacle — same IBM pattern as Deep Blue; question is whether it converts to enterprise product","ai-arc","THREAD-8-watson-enterprise-nlp",""
"obs-t8-001m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2006","predictive-distance-years","16","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-8-watson-enterprise-nlp] Predictive distance from Watson project start (2006) to LLM mainstream (2022)","ai-arc","THREAD-8-watson-enterprise-nlp",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2011","specificity-score","4","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 2011","[thread:THREAD-8-watson-enterprise-nlp] IBM Watson wins Jeopardy! against Rutter and Jennings — Aberdeen: 'Watson is the most sophisticated enterprise NLP demonstration in the archive; open-domain QA over unstructured knowledge base is exactly the ChatGPT use case, eleven years early'; IBM announces healthcare and financial services verticals | Open-domain NLP QA 11 years before ChatGPT — highest-specificity IBM NLP claim in archive post-Deep Blue","ai-arc","THREAD-8-watson-enterprise-nlp",""
"obs-t8-002m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2011","predictive-distance-years","11","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-8-watson-enterprise-nlp] Predictive distance from Watson Jeopardy (2011) to LLM mainstream (2022)","ai-arc","THREAD-8-watson-enterprise-nlp",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2017","specificity-score","2","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 2017","[thread:THREAD-8-watson-enterprise-nlp] IBM Watson Health oncology program at MD Anderson Cancer Center cancelled — $62M spent; system cannot reliably match oncologist treatment recommendations; Aberdeen notes 'Watson Health failure is the most visible AI over-promise/under-deliver episode in the enterprise archive' | Watson Health failure = case study in the gap between NLP demonstration and clinical AI deployment; LLMs face same hallucination/reliability challenge","ai-arc","THREAD-8-watson-enterprise-nlp",""
"obs-t8-003m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2017","predictive-distance-years","5","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-8-watson-enterprise-nlp] Predictive distance from Watson Health failure (2017) to LLM mainstream (2022)","ai-arc","THREAD-8-watson-enterprise-nlp",""
"2026-kastner-enterprise-ai-arc.039","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2022","specificity-score","1","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 2022","[thread:THREAD-8-watson-enterprise-nlp] IBM sells Watson Health to Francisco Partners January 2022 — business unit dissolved; Aberdeen: 'IBM's second major AI retreat in 25 years; Deep Blue (1997) decommissioned, Watson Health (2022) sold; pattern is IBM succeeds at AI spectacle, fails at AI product' | Watson Health sale closes the IBM AI spectacle-to-product failure arc; watsonx reboot begins immediately","ai-arc","THREAD-8-watson-enterprise-nlp",""
"obs-t8-004m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2022","arc-duration-years","11","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-8-watson-enterprise-nlp] Years from Watson Jeopardy victory (2011) to Watson Health sale (2022)","ai-arc","THREAD-8-watson-enterprise-nlp",""
"2026-kastner-enterprise-ai-arc.005","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2023","specificity-score","4","medium","ingest-extraction","industry-analysis","IBM watsonx Announcement 2023","[thread:THREAD-8-watson-enterprise-nlp] IBM watsonx.ai launched May 2023 — LLM foundation model platform; open-source model library (Hugging Face integration); enterprise RAG pipelines; AI governance toolkit; Aberdeen: 'watsonx is IBM's third attempt to monetize AI research after Deep Blue and Watson; this time the technology substrate (transformers) was not invented at IBM' | watsonx represents IBM correctly adopting the transformer paradigm it did not invent; LLM-native rather than proprietary NLP architecture","ai-arc","THREAD-8-watson-enterprise-nlp",""
"obs-t8-005m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2023","predictive-distance-years","0","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-8-watson-enterprise-nlp] Predictive distance: watsonx is post-LLM-mainstream — distance 0","ai-arc","THREAD-8-watson-enterprise-nlp",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-interoffice","primary-observation","1995","specificity-score","5","medium","ingest-extraction","industry-analysis","Kastner Archive / Oracle InterOffice Product Record 1995","[thread:THREAD-9-oracle-interoffice-arc] Oracle InterOffice document summarization (1995) — Kastner verbatim: 'Oracle Office was the first to offer document summarization, a first hint of the AI routine to come two decades later'; product discontinued ~2002 when Oracle exits desktop productivity market; feature ahead of market by 20+ years | Anchor observation of the entire Enterprise AI Arc: named feature (document summarization) with named product (Oracle InterOffice), functionally identical to GPT-4 summarization UX — specificity 5, distance 27 years, composite 27.0","ai-arc","THREAD-9-oracle-interoffice-arc",""
"obs-t9-001m","2026-kastner-enterprise-ai-arc","oracle-corporation","oracle-interoffice","metric","1995","predictive-distance-years","27","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-9-oracle-interoffice-arc] Predictive distance from Oracle InterOffice summarization (1995) to LLM mainstream (2022)","ai-arc","THREAD-9-oracle-interoffice-arc",""
